"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_eds","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_nf","projectedPts_wf","projectedPts_yahoo","passAttMedian","passCompMedian","passIncompMedian","passYdsMedian","passTdsMedian","passIntMedian","rushAttMedian","rushYdsMedian","rushTdsMedian","recMedian","recYdsMedian","recTdsMedian","returnTdsMedian","twoPtsMedian","fumblesMedian","projectedPtsMean","projectedPtsMedian"
"MIKEWILLIAMS","Mike Williams","WR","BUF",163,97.0873079839436,116.08,85.375,81.5,103.2850585091,103.6600585091,NA,89.1875,108.075,94.7850585091,91.4100585091,113.6600585091,85.1600585091,78.1600585091,109.875,123.25,61.6264085091,NA,112.775,0.06,0,0.02,0,0,0,0,0,0,43.499995225728,611,3.8420415791406,0,0,0.779980496966654,97.9684551432881,97.0873079839436
"NATEWASHINGTON","Nate Washington","WR","TEN",164,97.0749701905277,100.46,100.375,89.5,88.1997699553157,85.1997699553157,NA,90.1375,134.75,80.0747699553157,75.5747699553157,85.1997699553157,69.6997699553157,91.1997699553157,154.75,102.625,116.809769955316,NA,118.5,0,0,0,0,0,0,0,0,0,42.1350490261736,646.999937939011,3.00003466547261,0,0,0.600076681561447,101.021985294118,97.0749701905277
"MARVINJONES","Marvin Jones","WR","CIN",165,95.0077600760088,148.035,96.25,109.375,101.094947575915,86.8949475759154,NA,98.4625,110.35,84.6199475759154,67.3449475759154,67.9699475759154,99.0949475759154,87.9699475759154,79,94.675,72.6655475759154,NA,112.46,0.145,0,0.135,0,0,0,4,33.0000234131364,0,41.0000422881954,557.5,4.05005169312996,0,0,0.760017474694875,98.4933552187029,95.0077600760088
"ROBERTWOODS","Robert Woods","WR","BUF",166,94.4610320988973,71.34,93.375,90.875,95.4001213820913,85.1251213820913,NA,97.225,93.5,87.1251213820913,95.9001213820913,97.6501213820913,95.1001213820913,97.1501213820913,97.125,137.825,98.5589213820913,NA,87.49,0.04,0,0,0,0,0,1.9999660978615,11.806899169105,0,45.5000326436653,607.039985552815,3.2500371009656,0,0,0.699959539302891,96.7896609049774,94.4610320988973
"TRAVISKELCE","Travis Kelce","TE","KC",167,94.3849004099245,NA,97.375,102.125,119.75,73.75,NA,92.225,69.875,89.875,99.375,96.5,85.875,105,37.875,105.25,NA,NA,100.125,0,0,0,0,0,0,0,0,0,45.0000425029844,548.677555340998,4.30003433204996,0,0,0,85.1305208333333,94.3849004099245
"CHRISIVORY","Chris Ivory","RB","NYJ",168,93.8752208948415,84.875,116.875,77.125,124.4,87.575,NA,93.36,93.875,88.225,77.55,109.625,86.9,106.125,122.525,119.35,85.548,NA,83.4,0.14,0,0.14,0,0,0,149.500032515258,662,4.5500362709003,6.20004329239173,39.000026155518,0,0,0,1.5,97.5569166666667,93.8752208948415
"DEVONTAFREEMAN","Devonta Freeman","RB","ATL",169,93.7994652231059,NA,151.3,115.175,104.175,58.6,NA,107.7275,3.125,-3,86.875,98.25,98.925,123.875,NA,114.65,65.738,NA,84.3,0,0,0,0,0,0,94.8,442.99,3.50006263384427,28.269441292281,204,1.00001490334005,0,0,1,92.6210521978022,93.7994652231059
"JEREMYKERLEY","Jeremy Kerley","WR","NYJ",170,93.2749147446883,126.145,94.15,101.9,82.624915359038,70.274915359038,2.4,89.35,95.35,76.024915359038,96.824915359038,97.399915359038,72.599915359038,79.899915359038,108.025,105.075,88.507415359038,NA,99.095,0.28,0,0.1,0,0,0,3.00001923839059,13.9999938565034,0,44.9999661873542,595.8,3,0.4,0,1.000028213654,93.4547110859728,93.2749147446883
"JAREDCOOK","Jared Cook","TE","STL",171,92.1253220325987,146.145,89.875,83.75,92.1252064826682,82.1252064826682,NA,88.8125,102.125,96.0002064826682,92.1252064826682,97.2502064826682,79.1252064826682,86.6252064826682,84.75,106.625,104.617706482668,NA,99.35,0,0,0,0,0,0,0,0,0,47.3500282180171,569,4.00001925832174,0,0,0.99993117244392,96.8932352941176,92.1253220325987
"MATTSCHAUB","Matt Schaub","QB","OAK",172,91.4258166503553,171.69,173.12,27.42,9.21996141975309,32.2799614197531,1,146.262,29.76,32.1599614197531,29.4999614197531,18.1999614197531,116.339961419753,97.9999614197531,211.48,153.14,153.227211419753,NA,NA,294.04,165.5,121.675,2015,10.6459918752245,9.55072131755423,14.8243583351998,18.940516823669,0,0,0,0,NA,0.5,2.0000128600823,96.8812678571428,91.4258166503553
