"name","name_ffc","pos","team_ffc","mean","sd","freq","mad","median"
"CAMNEWTON","CamNewton","QB","CAR",78.9693429199121,13.406226681645,1,11.8608,80
"MATTRYAN","MattRyan","QB","ATL",79.7699221090473,10.3189323856043,1,11.8608,83
"REGGIEWAYNE","ReggieWayne","WR","IND",79.8196524865189,12.9917438478595,1,8.8956,78
"MICHAELFLOYD","MichaelFloyd","WR","ARI",80.1864389854204,10.2892886800506,1,10.3782,80
"JOSHGORDON","JoshGordon","WR","CLE",80.2535450369483,13.1998491692746,1,11.8608,81
"SEATTLE","Seattle","DEF","SEA",80.40233672858,3.82575106997709,1,2.9652,81
"MAURICEJONESDREW","MauriceJones-Drew","RB","OAK",81.056121429998,7.15517229267995,1,7.413,83
"PIERRETHOMAS","PierreThomas","RB","NO",81.5312562412622,8.74416223514269,1,4.4478,84
"DARRENSPROLES","DarrenSproles","RB","PHI",83.5319552626323,10.8612600728513,1,5.9304,85
"GOLDENTATE","GoldenTate","WR","DET",83.7391651687637,9.16636465719882,1,8.8956,82
"MIKEEVANS","MikeEvans","WR","TB",84.2133013780707,16.7822555544153,1,10.3782,90
"GREGOLSEN","GregOlsen","TE","CAR",85.0414419812263,13.6894980584957,1,11.8608,79
"ERICDECKER","EricDecker","WR","NYJ",85.3042740163771,13.0443851877658,1,11.8608,87
"COLINKAEPERNICK","ColinKaepernick","QB","SF",88.1387058118634,10.8494152380864,1,13.3434,88
"DENNISPITTA","DennisPitta","TE","BAL",88.1406031555822,14.8535244212154,1,14.826,91
"MARQUESCOLSTON","MarquesColston","WR","NO",90.5826842420611,10.0048477086751,1,11.8608,90
"TERRANCEWILLIAMS","TerranceWilliams","WR","DAL",91.4211104453765,9.04148465391683,1,8.8956,92
"FREDJACKSON","FredJackson","RB","BUF",93.5599161174356,9.69570762053045,1,10.3782,95
"KENDALLWRIGHT","KendallWright","WR","TEN",94.136309167166,7.63793521365921,1,4.4478,95
"SANFRANCISCO","SanFrancisco","DEF","SF",94.8470141801478,9.42333929410966,1,11.8608,93
"TONYROMO","TonyRomo","QB","DAL",95.7253844617535,6.40167203944496,1,7.413,95
"MIKEWALLACE","MikeWallace","WR","MIA",95.742360695027,10.6375478568882,1,8.8956,98
"DANNYWOODHEAD","DannyWoodhead","RB","SD",96.6744557619333,11.3829710067613,1,13.3434,98
"RILEYCOOPER","RileyCooper","WR","PHI",97.2470541242261,11.2484040751192,1,5.9304,100
"KHIRYROBINSON","KhiryRobinson","RB","NO",97.6018573996405,19.8484511040695,1,19.2738,101
"BRANDINCOOKS","BrandinCooks","WR","NO",98.1916317155982,14.3277094344786,1,13.3434,95
"DARRENMCFADDEN","DarrenMcFadden","RB","OAK",102.047833033753,8.76586084685246,1,10.3782,103
"ERICEBRON","EricEbron","TE","DET",103.736968244458,20.0809238055534,1,22.239,102
"PHILIPRIVERS","PhilipRivers","QB","SD",105.297283802676,9.1265719742487,1,11.8608,105
"KYLERUDOLPH","KyleRudolph","TE","MIN",105.428662488048,23.3153271045465,0.939984022368684,25.2042,107
"TAVONAUSTIN","TavonAustin","WR","STL",106.226782504494,9.27091488859091,1,5.9304,104
"HAKEEMNICKS","HakeemNicks","WR","IND",107.253644897144,9.71666797151761,1,14.826,105
"DEANGELOWILLIAMS","DeAngeloWilliams","RB","CAR",107.451767525464,10.1679504812619,1,10.3782,107
"MARKINGRAM","MarkIngram","RB","NO",107.929140832595,9.14783678196904,0.112742160974636,0,116
"DENVER","Denver","DEF","DEN",108.955262632315,10.1751953683901,1,10.3782,108
"CAROLINA","Carolina","DEF","CAR",109.240263630917,8.87814871403022,1,10.3782,109
"KELVINBENJAMIN","KelvinBenjamin","WR","CAR",109.532554423807,13.1269827358503,1,10.3782,112
"LAMARMILLER","LamarMiller","RB","MIA",111,0,0.0600159776313162,0,111
"RUSSELLWILSON","RussellWilson","QB","SEA",111.610944677452,14.749969287228,1,8.8956,112
"TERRANCEWEST","TerranceWest","RB","CLE",112.083418107833,16.0381945593616,0.981625723986419,19.2738,108
"CECILSHORTS","CecilShorts","WR","JAC",112.25304573597,9.00851701547163,1,8.8956,113
"TREMASON","TreMason","RB","STL",113.018621036739,4.65530434241023,0.198422208907529,1.4826,110
"JAYCUTLER","JayCutler","QB","CHI",113.335530257639,7.7097075408836,1,7.413,114
"ZACHERTZ","ZachErtz","TE","PHI",116.97143890094,22.9316317817126,0.828639904134212,31.1346,120
"CJANDERSON","CJAnderson","RB","DEN",117,17.0070759628454,0.120031955262632,25.2042,117
"ARIZONA","Arizona","DEF","ARI",117.19602556421,7.44665909187642,1,5.9304,116
"KENNYSTILLS","KennyStills","WR","NO",117.828440183743,11.8843475627179,1,13.3434,121
"HEATHMILLER","HeathMiller","TE","PIT",118.230769230769,14.6822139818015,0.0675054923107649,0,110
"STLOUIS","St.Louis","DEF","STL",118.562113041742,9.14220065335375,1,4.4478,116
"ACESANDERS","AceSanders","WR","JAC",119,0,0.0600159776313162,0,119
"KNILEDAVIS","KnileDavis","RB","KC",119.519337016575,12.383892269861,0.0542240862792091,0,113
"ANQUANBOLDIN","AnquanBoldin","WR","SF",121.33083682844,9.5280153106641,1,4.4478,126
"DANNYAMENDOLA","DannyAmendola","WR","NE",121.608095187507,11.3521523256728,0.939984022368684,10.3782,121
"DONALDBROWN","DonaldBrown","RB","SD",122.605929586164,9.88320493813519,0.161673656880367,7.413,128
"MARCUSLATTIMORE","MarcusLattimore","RB","SF",124.087621696801,11.4898210876188,0.0717994807269822,0,119
"DEVONTAFREEMAN","DevontaFreeman","RB","ATL",124.126792885829,16.8276336917756,0.870281605751947,20.7564,125
"NEWENGLAND","NewEngland","DEF","NE",124.248723559446,10.245177480924,0.958358298382265,8.8956,125
