"name","name_ffc","pos","team_ffc","mean","sd","freq","mad","median"
"RAYRICE","RayRice","RB","BAL",52.9856028794241,7.07690500310845,1,4.4478,55
"RODDYWHITE","RoddyWhite","WR","ATL",53.4071185762847,5.38762644063882,1,1.4826,54
"CORDARRELLEPATTERSON","CordarrellePatterson","WR","MIN",54.251849630074,4.91799150204054,1,4.4478,55
"TYHILTON","T.Y.Hilton","WR","IND",56.5141971605679,9.53582483085755,1,10.3782,51
"SHANEVEREEN","ShaneVereen","RB","NE",58.0106978604279,8.21816474097,1,5.9304,57
"JORDANCAMERON","JordanCameron","TE","CLE",58.8970205958808,6.86426116295442,1,2.9652,61
"RASHADJENNINGS","RashadJennings","RB","NYG",59.2764447110578,9.94254382035254,1,2.9652,59
"TRENTRICHARDSON","TrentRichardson","RB","IND",60.0248950209958,4.85229076224963,1,4.4478,57
"JOIQUEBELL","JoiqueBell","RB","DET",61.8288342331534,8.45936997220734,1,11.8608,62
"TORREYSMITH","TorreySmith","WR","BAL",62.3103379324135,11.1943440974361,1,19.2738,66
"JEREMYMACLIN","JeremyMaclin","WR","PHI",62.5969806038792,8.36406881348498,1,4.4478,64
"TOMBRADY","TomBrady","QB","NE",65.1669666066787,12.7398777909394,1,17.7912,66
"NICKFOLES","NickFoles","QB","PHI",66.3273345330934,5.10872007177806,1,4.4478,66
"ROBERTGRIFFINIII","RobertGriffinIII","QB","WAS",67.9356128774245,8.53132903549001,1,11.8608,69
"JULIANEDELMAN","JulianEdelman","WR","NE",70.5656868626275,9.07438702740483,1,5.9304,70
"EMMANUELSANDERS","EmmanuelSanders","WR","DEN",71.6648670265947,12.2462021247678,1,4.4478,70
"STEVANRIDLEY","StevanRidley","RB","NE",71.9508098380324,6.49756554474292,1,7.413,74
"JASONWITTEN","JasonWitten","TE","DAL",72.4375124975005,6.81994819348048,1,4.4478,77
"STEVENJACKSON","StevenJackson","RB","ATL",72.5503899220156,10.6709476353128,1,5.9304,79
"MIKEWALLACE","MikeWallace","WR","MIA",73.3665266946611,9.77417402474248,1,8.8956,69
"KNOWSHONMORENO","KnowshonMoreno","RB","MIA",74.4345130973805,10.9443402153626,1,7.413,81
"SEATTLE","Seattle","DEF","SEA",75.2874425114977,8.31725571349613,1,8.8956,75
"SAMMYWATKINS","SammyWatkins","WR","BUF",75.626974605079,11.9350358071178,1,22.239,72
"GREGOLSEN","GregOlsen","TE","CAR",76.119376124775,7.02610915583546,1,4.4478,74
"MAURICEJONESDREW","MauriceJones-Drew","RB","OAK",77.4132173565287,7.90376304803697,1,7.413,78
"MATTRYAN","MattRyan","QB","ATL",78.3067386522695,13.5301805606165,1,13.3434,74
"GOLDENTATE","GoldenTate","WR","DET",78.5168966206759,11.2347382040197,1,10.3782,77
"JORDANREED","JordanReed","TE","WAS",78.5733853229354,10.504847849182,1,5.9304,77
"MICHAELFLOYD","MichaelFloyd","WR","ARI",80.9524095180964,11.0951712204283,1,4.4478,83
