"name","player","pos","team","overallRank","pick","positionRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_nf","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","risk","cost_yahoo","costProjected_yahoo","costAvg_yahoo","costMax_yahoo","adp_yahoo","cost_espn","adp_espn","cost_fp","adp_fp","adp_ffc","adpSD_ffc","avgCost","inflatedCost"
"DOUGMARTIN","Doug Martin","RB","TB",43,21.7,11,202.981041192461,239.53,222.25,190.175,207.099969476243,201.825,204.4525,208.65,196.524969476243,188.749969476243,178.399969476243,182.399969476243,201.149969476243,226.55,209.55,201.999919476243,NA,195.35,202.65962627451,202.981041192461,82.4705189344764,6.4,16.028930417186,3.55203678243024,25.5,36,30.75,36,34.5,40,16.2,42,23,23.9,4,30.75,35
"SAMBRADFORD","Sam Bradford","QB","STL",44,NA,22,201.387800109106,224.39,NA,NA,-7.785,NA,NA,NA,187.715,-7.785,-7.785,-7.785,-7.785,NA,NA,-7.785,NA,NA,72.7421428571429,201.387800109106,-44.3051102659798,NA,99.4716344505702,20.1525726948473,1.3,0,0.65,1.3,124.4,0,170,1,NA,NA,NA,0.65,1
"VINCENTJACKSON","Vincent Jackson","WR","TB",45,34.5,11,200.587190395078,331.46,201.775,189.15,201.068632743257,0.4,196.6375,210.65,188.118632743257,198.368632743257,183.743632743257,200.168632743257,195.493632743257,211.125,211.95,200.931732743257,NA,191.875,209.182274166667,200.587190395078,57.8060213832412,5.5,61.9981423733747,7.64410828892669,29.2,30,29.6,30,34.9,19.8,38.1,25,32,34.5,3.7,29.6,34
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",46,17.3,12,200.149899625202,168.57,243.4,196.55,187.250015653834,208.55,210.84,173.975,207.625015653834,191.300015653834,214.300015653834,205.575015653834,215.800015653834,208.45,224.65,199.000765653834,NA,184.45,202.589161764706,200.149899625202,79.6393773672171,4.9,18.8912892152923,3.62902078807562,39,38,38.5,39,19.2,27.5,29.7,35,20,18.2,3.5,38.5,44
"ELIMANNING","Eli Manning","QB","NYG",47,147.8,23,199.485772144009,141.56,213.34,210.38,202.9150570665,NA,207.3,174.3,193.4750570665,194.8950570665,193.5350570665,200.2350570665,183.2350570665,241.56,218.86,201.7550570665,NA,184.93,198.681333333333,199.485772144009,-46.2071382310766,18,22.4133290866803,5.56423587158112,1.1,2,1.55,2,132.3,2,125.8,3,158,NA,NA,1.55,2
"JAKELOCKER","Jake Locker","QB","TEN",48,162.6,24,197.311445151033,263.27,229.92,229.26,148.66375,NA,192.33,136.32,118.10375,206.36375,182.94375,200.26375,167.44375,236.12,249.14,184.55545,NA,231.34,199.384595833333,197.311445151033,-48.3814652240531,18.1,42.6815965301407,7.42965027945114,1,0,0,0,NA,0,170,3,229,NA,NA,0,1
"ANDREJOHNSON","Andre Johnson","WR","HOU",49,37,12,191.09482362664,180.075,198.4,188.775,210.4607954289,0.4,193.3125,210.9,169.7107954289,179.8357954289,178.8357954289,176.3357954289,199.2107954289,199.375,214.75,202.9789454289,NA,178.4,193.378958125,191.09482362664,48.3136546148029,8,49.8896798786159,6.84491072166824,19.2,24,21.6,24,39.8,21.5,34.8,27,37,44.2,5.3,21.6,25
"JOSHMCCOWN","Josh McCown","QB","TB",50,154.2,25,190.282348828008,256.74,220.4,196.74,195.420153029401,NA,193.254,161.32,139.380153029401,168.820153029401,154.720153029401,203.000153029401,174.620153029401,262.82,165.34,172.562353029401,NA,209.72,196.008970833333,190.282348828008,-55.4105615470774,22.5,35.3655562291233,7.30259284765524,1.1,1,1.05,1.1,133,2,134.1,0,178,NA,NA,1.05,2
"ANDREELLINGTON","Andre Ellington","RB","ARI",51,26.3,13,190.082633981281,147.26,209.2,178.05,175.324928014155,NA,191.035,220.75,198.974928014155,170.899928014155,179.624928014155,176.299928014155,192.499928014155,197.35,203.875,193.960678014155,NA,199.725,188.836880208333,190.082633981281,69.5721117232968,7.9,18.1039590542979,3.92647134106462,35.4,38,36.7,38,24.2,16,46.6,21,30,27,3.4,36.7,42
"KEENANALLEN","Keenan Allen","WR","SD",52,34.1,13,186.812601539381,224.345,187.825,178.325,176.824809090909,1.2,182.675,188.3,187.324809090909,181.199809090909,184.949809090909,191.074809090909,196.199809090909,170.825,208.45,183.352309090909,NA,177.4,187.973697916667,186.812601539381,44.0314325275445,6.7,48.4694894831149,6.55497613039353,35.2,35,35.1,35.2,29.8,16.8,44.2,23,35,31.7,4.1,35.1,40
