"name","pos","name_fbg3","team_fbg3","positionRank_fbg3","overallRank_fbg3","pts_fbg3","passAtt_fbg3","passComp_fbg3","passYds_fbg3","passTds_fbg3","passInt_fbg3","rushAtt_fbg3","rushYds_fbg3","rushTds_fbg3","rec_fbg3","recYds_fbg3","recTds_fbg3","returnTds_fbg3","twoPts_fbg3","fumbles_fbg3"
"JEREMYROSS","WR","Jeremy Ross","DET",154,367,13.8,NA,NA,NA,NA,NA,0,0,0,6,78,1,NA,NA,NA
"ANTHONYDIXON","RB","Anthony Dixon","BUF",103,368,13.4,NA,NA,NA,NA,NA,16,66,1,1,8,0,NA,NA,NA
"BRANDONBOLDEN","RB","Brandon Bolden","NE",104,369,13,NA,NA,NA,NA,NA,14,59,1,2,11,0,NA,NA,NA
"BRANDONWEEDEN","QB","Brandon Weeden","DAL",45,370,12.75,26,14,185,1,1,1,5,0,NA,NA,NA,NA,NA,NA
"DUJUANHARRIS","RB","DuJuan Harris","GB",105,371,12.7,NA,NA,NA,NA,NA,12,51,1,2,16,0,NA,NA,NA
"CHARLIEWHITEHURST","QB","Charlie Whitehurst","TEN",46,372,12.3,27,17,178,1,1,3,4,0,NA,NA,NA,NA,NA,NA
"DANTEROSARIO","TE","Dante Rosario","CHI",68,372,12.3,NA,NA,NA,NA,NA,NA,NA,NA,6,63,1,NA,NA,NA
"RHETTELLISON","TE","Rhett Ellison","MIN",69,374,12.2,NA,NA,NA,NA,NA,NA,NA,NA,6,62,1,NA,NA,NA
"VIRGILGREEN","TE","Virgil Green","DEN",69,374,12.2,NA,NA,NA,NA,NA,NA,NA,NA,7,62,1,NA,NA,NA
"BRUCEGRADKOWSKI","QB","Bruce Gradkowski","PIT",47,376,12,26,15,176,1,1,1,2,0,NA,NA,NA,NA,NA,NA
"CHASEDANIEL","QB","Chase Daniel","KC",48,377,11.9,23,14,162,1,1,3,8,0,NA,NA,NA,NA,NA,NA
"JAMESHANNA","TE","James Hanna","DAL",71,377,11.9,NA,NA,NA,NA,NA,NA,NA,NA,7,59,1,NA,NA,NA
"TYRODTAYLOR","QB","Tyrod Taylor","BAL",49,379,11.8,24,14,160,1,1,2,8,0,NA,NA,NA,NA,NA,NA
"GARYBARNIDGE","TE","Gary Barnidge","CLE",72,380,11,NA,NA,NA,NA,NA,NA,NA,NA,5,50,1,NA,NA,NA
"JASONCAMPBELL","QB","Jason Campbell","CIN",50,381,10.4,20,11,132,1,1,1,8,0,NA,NA,NA,NA,NA,NA
"BEARPASCOE","TE","Bear Pascoe","NYG",73,381,10.4,NA,NA,NA,NA,NA,NA,NA,NA,5,44,1,NA,NA,NA
"MIKEBROWN","WR","Mike Brown","JAX",155,383,10.1,NA,NA,NA,NA,NA,0,0,0,8,101,0,NA,NA,NA
"MARKSANCHEZ","QB","Mark Sanchez","PHI",51,384,10,20,11,128,1,1,3,6,0,NA,NA,NA,NA,NA,NA
