"name","player","pos","team","overallRank","projections","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_nfl","projectedPts_yahoo","passYdsMedian","passTdsMedian","passIntMedian","rushYdsMedian","rushTdsMedian","recMedian","recYdsMedian","recTdsMedian","twoPtsMedian","fumblesMedian","projectedPtsMean","projectedPtsMedian","weeklyVariability"
"DEXTERMCCLUSTER","Dexter McCluster","RB","TEN",210,69.2832707854058,94,84.6,89.2,NA,84.76875,46,71.275,63.675,48.25,66.175,78,NA,40.675,0,0,0,132.25,0.661729608635963,39.500014154227,367.153729071251,1.50006689203457,0,0.935574784174566,68.3998863636364,69.2832707854058,2.7831441613967
"CHRISTINEMICHAEL","Christine Michael","RB","SEA",211,69.0995069554682,136.85,NA,66.85,NA,86.86,55.5,41.35,72.55,57,50.375,92.5,53.025,54.5125,0,0,0,395.75,2.847197910033,8.49996383730224,68.85,0.639178249211694,0,0,69.5320454545455,69.0995069554682,2.8306119173429
"EDDIEROYAL","Eddie Royal","WR","SD",212,68.6918468127955,85.5,46.25,73.175,NA,67.5,104.075,67.75,54,40.125,76.3,68,92.4,65.26,0,0,0,11.2946146047109,0,35.7499197157927,438.5,2.50000974983013,0,0.750057715552111,69.29225,68.6918468127955,3.02359136669164
"KNILEDAVIS","Knile Davis","RB","KC",213,67.7888679863886,88.3,72.2,69.075,NA,72.24,84.65,70.125,69.675,91.75,62.975,38.125,72.6,54.9,0,0,0,371.975,3.40008982203451,13.7500071828995,105.52614546961,0,0,0.999979709839888,69.22625,67.7888679863886,3.21690050916006
"MYCHALRIVERA","Mychal Rivera","TE","OAK",214,67.4410588008919,83.625,87.75,NA,NA,73.5375,45.75,110.625,20.5,21.25,63.875,75.5,82.625,49.65,0,0,0,0,0,37.0000765405542,395.525,3.00007230014865,0,0,64.9261363636364,67.4410588008919,3.26372626665141
"BRENTCELEK","Brent Celek","TE","PHI",215,67.3404503823684,86.25,68.875,56.375,NA,75.3625,79.875,90.75,52.25,69.25,59.375,47.625,80.25,54.975,0,0,0,0,0,31.0000047613265,400.725,3.24999975483746,0,0.750057715552111,67.509375,67.3404503823684,3.24602449510527
"ADRIENROBINSON","Adrien Robinson","TE","NYG",216,66.5592480472099,65.875,70.25,58.5,NA,63.0375,111.125,52.5,50.375,79,47.5,39.75,NA,87.25,0,0,0,0,0,31.8,410.875,2.49997884120164,0.1,0,65.9747727272727,66.5592480472099,3.05062149259615
"MARLONBROWN","Marlon Brown","WR","BAL",217,66.4155503971537,87.25,46.125,69.375,NA,56.9125,86.125,15.125,70.525,87.5,62.7,56,87.25,29.65,0,0,0,0,0,33.9999770326237,387.325,2.99998756619229,0,0,62.888125,66.4155503971537,3.00831684990287
"LANCEDUNBAR","Lance Dunbar","RB","DAL",218,66.290625,78.475,56.8,52.9,NA,72.3375,79.625,105.875,56.825,81.25,38.725,49.625,59.725,53.425,0,0,0,305.5,2,19.9999606383177,149.125,1,0,0.3,64.815625,66.290625,3.09758743488648
"JACQUIZZRODGERS","Jacquizz Rodgers","RB","ATL",219,66.1312012347734,69.8,55.975,56.375,NA,62.5975,96.55,73.95,63.425,71.5,68.775,47,83.175,84.35,0,0,0,237.525,1.00004060980526,37,267.025,1.00005542932364,0,1,68.3060416666667,66.1312012347734,3.20141130819583
"AUSTINSEFERIANJENKINS","Austin Seferian-Jenkins","TE","RIA",220,66.0565772643587,87.125,43.375,73.125,NA,59.4,83.95,28.125,60.875,81.25,56.5,NA,80.125,66.775,0,0,0,0,0,30.9999934463431,360.45,3.50005454405979,0,0,65.475,66.0565772643587,3.22054569312278
"ROBERTHOUSLER","Robert Housler","TE","ARI",221,65.5125,NA,NA,NA,NA,58.35,44.25,96,NA,NA,NA,NA,NA,NA,0,0,0,0,0,37.375,408.9,2.4,NA,0,66.2,65.5125,3.11002663214241
