"name","pos","name_fp","team_fp","positionRank_fp","overallRank_fp","pts_fp","passAtt_fp","passComp_fp","passYds_fp","passTds_fp","passInt_fp","rushAtt_fp","rushYds_fp","rushTds_fp","rec_fp","recYds_fp","recTds_fp","returnTds_fp","twoPts_fp","fumbles_fp"
"HARRYDOUGLAS","WR","Harry Douglas","ATL",52,173,97.5,NA,NA,NA,NA,NA,0,0,0,63.9,786.8,3.3,NA,NA,0.5
"MARKINGRAM","RB","Mark Ingram","NO",45,174,96.9,NA,NA,NA,NA,NA,144.2,619,4.7,13.3,88.1,0,NA,NA,1
"KHIRYROBINSON","RB","Khiry Robinson","NO",46,175,96.7,NA,NA,NA,NA,NA,126.6,572.6,4.8,11.6,88.4,0.3,NA,NA,0
"HEATHMILLER","TE","Heath Miller","PIT",13,176,96.2,NA,NA,NA,NA,NA,NA,NA,NA,61.6,682.2,5,NA,NA,1
"LADARIUSGREEN","TE","Ladarius Green","SD",14,177,96.1,NA,NA,NA,NA,NA,NA,NA,NA,45.9,655.4,5.1,NA,NA,0
"ANTONIOGATES","TE","Antonio Gates","SD",15,178,95.9,NA,NA,NA,NA,NA,NA,NA,NA,60.7,680.7,4.8,NA,NA,0.5
"MAIKONBONANI","K","Maikon Bonani","TEN",33,178,95.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHONNGREENE","RB","Shonn Greene","TEN",47,180,95.3,NA,NA,NA,NA,NA,140.6,579.7,5.3,10.4,74.9,0,NA,NA,1
"GREGJENNINGS","WR","Greg Jennings","MIN",53,181,94.9,NA,NA,NA,NA,NA,0,0,0,57.8,700.6,4.3,NA,NA,0.5
"JAMESJONES","WR","James Jones","OAK",53,181,94.9,NA,NA,NA,NA,NA,0,0,0,53.7,684.9,4.4,NA,NA,0
"STEVESMITH","WR","Steve Smith","BAL",55,183,94.7,NA,NA,NA,NA,NA,0,0,0,54.4,694.9,4.2,NA,NA,0
"CHRISIVORY","RB","Christopher Ivory","NYJ",48,184,94.4,NA,NA,NA,NA,NA,149.5,666.6,4.8,3.4,19.2,0,NA,NA,1.5
"CHARLESCLAY","TE","Charles Clay","MIA",16,185,93.7,NA,NA,NA,NA,NA,NA,NA,NA,56.1,656.7,5,NA,NA,1
"MARKUSWHEATON","WR","Markus Wheaton","PIT",56,186,93.6,NA,NA,NA,NA,NA,1,8.5,0,49.4,685.5,4.2,NA,NA,0.5
"DARRENMCFADDEN","RB","Darren McFadden","OAK",49,187,92.9,NA,NA,NA,NA,NA,124.5,515.6,3.9,25.7,183.8,0.6,NA,NA,2
"RODSTREATER","WR","Rod Streater","OAK",57,188,92.1,NA,NA,NA,NA,NA,1,8.5,0,51.4,686,4.1,NA,NA,1
"TAVONAUSTIN","WR","Tavon Austin","STL",57,188,92.1,NA,NA,NA,NA,NA,12.5,130,1,45.7,593.1,2.8,NA,NA,1.5
"JORDANMATTHEWS","WR","Jordan Matthews","PHI",59,190,91,NA,NA,NA,NA,NA,0,0,0,44.5,667.5,4.2,NA,NA,0.5
