"name","pos","name_wf","team_wf","positionRank_wf","overallRank_wf","pts_wf","passAtt_wf","passComp_wf","passYds_wf","passTds_wf","passInt_wf","rushAtt_wf","rushYds_wf","rushTds_wf","rec_wf","recYds_wf","recTds_wf","returnTds_wf","twoPts_wf","fumbles_wf"
"KENDALLWRIGHT","WR","Kendall Wright","TEN",35,117,132,NA,NA,NA,NA,NA,NA,NA,NA,88,1080,NA,NA,NA,NA
"MARVINJONES","WR","Marvin Jones","CIN",35,117,132,NA,NA,NA,NA,NA,NA,NA,NA,69,960,NA,NA,NA,NA
"KENNYBRITT","WR","Kenny Britt","STL",35,117,132,NA,NA,NA,NA,NA,NA,NA,NA,66,960,NA,NA,NA,NA
"RYANSUCCOP","K","Ryan Succop","KC",14,117,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAMVINATIERI","K","Adam Vinatieri","IND",14,117,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHAUNSUISHAM","K","Shaun Suisham","PIT",14,117,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FREDJACKSON","RB","Fred Jackson","BUF",35,124,131,NA,NA,NA,NA,NA,NA,750,NA,36,260,NA,NA,NA,NA
"CECILSHORTS","WR","Cecil Shorts","JAC",38,124,131,NA,NA,NA,NA,NA,NA,NA,NA,66,950,NA,NA,NA,NA
"RUEBENRANDLE","WR","Rueben Randle","NYG",38,124,131,NA,NA,NA,NA,NA,NA,NA,NA,61,890,NA,NA,NA,NA
"SHAYNEGRAHAM","K","Shayne Graham","NO",17,124,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WESWELKER","WR","Wes Welker","DEN",40,128,130,NA,NA,NA,NA,NA,NA,NA,NA,88,940,NA,NA,NA,NA
"GREGOLSEN","TE","Greg Olsen","CAR",6,128,130,NA,NA,NA,NA,NA,NA,NA,NA,74,880,NA,NA,NA,NA
"JORDANREED","TE","Jordan Reed","WAS",6,128,130,NA,NA,NA,NA,NA,NA,NA,NA,82,940,NA,NA,NA,NA
"SAMMYWATKINS","WR","Sammy Watkins","BUF",41,131,129,NA,NA,NA,NA,NA,NA,NA,NA,61,930,NA,NA,NA,NA
"GREGZUERLEIN","K","Greg Zuerlein","STL",18,131,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROBBIRONAS","K","Rob Bironas","TEN",18,131,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AARONDOBSON","WR","Aaron Dobson","NE",42,134,128,NA,NA,NA,NA,NA,NA,NA,NA,67,920,NA,NA,NA,NA
"DEANDREHOPKINS","WR","DeAndre Hopkins","HOU",42,134,128,NA,NA,NA,NA,NA,NA,NA,NA,63,920,NA,NA,NA,NA
"ANDREHOLMES","WR","Andre Holmes","OAK",42,134,128,NA,NA,NA,NA,NA,NA,NA,NA,65,980,NA,NA,NA,NA
"DENNISPITTA","TE","Dennis Pitta","BAL",8,134,128,NA,NA,NA,NA,NA,NA,NA,NA,78,860,NA,NA,NA,NA
"MIKENUGENT","K","Mike Nugent","CIN",20,134,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAYFEELY","K","Jay Feely","ARZ",20,134,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALEXHENERY","K","Alex Henery","PHI",20,134,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JARRETTBOYKIN","WR","Jarrett Boykin","GB",45,141,127,NA,NA,NA,NA,NA,NA,NA,NA,65,910,NA,NA,NA,NA
"GOLDENTATE","WR","Golden Tate","SEA",46,142,126,NA,NA,NA,NA,NA,NA,NA,NA,68,960,NA,NA,NA,NA
"RANDYBULLOCK","K","Randy Bullock","HOU",23,142,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GREGJENNINGS","WR","Greg Jennings","MIN",47,144,125,NA,NA,NA,NA,NA,NA,NA,NA,71,890,NA,NA,NA,NA
"BRANDINCOOKS","WR","Brandin Cooks","NO",47,144,125,NA,NA,NA,NA,NA,NA,NA,NA,62,890,NA,NA,NA,NA
"BRIANHARTLINE","WR","Brian Hartline","MIA",49,146,124,NA,NA,NA,NA,NA,NA,NA,NA,73,1000,NA,NA,NA,NA
"NATEFREESE","K","Nate Freese","DET",24,146,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEANGELOWILLIAMS","RB","DeAngelo Williams","CAR",36,148,123,NA,NA,NA,NA,NA,NA,750,NA,20,180,NA,NA,NA,NA
"RILEYCOOPER","WR","Riley Cooper","PHI",50,148,123,NA,NA,NA,NA,NA,NA,NA,NA,52,870,NA,NA,NA,NA
"JUSTINHUNTER","WR","Justin Hunter","TEN",50,148,123,NA,NA,NA,NA,NA,NA,NA,NA,60,880,NA,NA,NA,NA
"DANCARPENTER","K","Dan Carpenter","BUF",25,148,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CONNORBARTH","K","Connor Barth","TB",26,152,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",32,153,121,NA,NA,1900,13,11,NA,90,NA,NA,NA,NA,NA,NA,NA
"CALEBSTURGIS","K","Caleb Sturgis","MIA",27,153,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERICDECKER","WR","Eric Decker","NYJ",52,155,120,NA,NA,NA,NA,NA,NA,NA,NA,68,840,NA,NA,NA,NA
"MALCOMFLOYD","WR","Malcom Floyd","SD",52,155,120,NA,NA,NA,NA,NA,NA,NA,NA,60,900,NA,NA,NA,NA
"KAIFORBATH","K","Kai Forbath","WAS",28,155,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DANNYAMENDOLA","WR","Danny Amendola","NE",54,158,119,NA,NA,NA,NA,NA,NA,NA,NA,67,790,NA,NA,NA,NA
"NICKFOLK","K","Nick Folk","NYJ",29,159,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JOSHBROWN","K","Josh Brown","NYG",30,160,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TAVONAUSTIN","WR","Tavon Austin","STL",55,161,116,NA,NA,NA,NA,NA,NA,NA,NA,57,800,NA,NA,NA,NA
"JASONWITTEN","TE","Jason Witten","DAL",9,162,115,NA,NA,NA,NA,NA,NA,NA,NA,76,850,NA,NA,NA,NA
"JORDANCAMERON","TE","Jordan Cameron","CLE",9,162,115,NA,NA,NA,NA,NA,NA,NA,NA,70,790,NA,NA,NA,NA
"JOSHSCOBEE","K","Josh Scobee","JAC",31,162,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOUGBALDWIN","WR","Doug Baldwin","SEA",56,165,114,NA,NA,NA,NA,NA,NA,NA,NA,56,840,NA,NA,NA,NA
"CHARLESJOHNSON","WR","Charles Johnson","CLE",56,165,114,NA,NA,NA,NA,NA,NA,NA,NA,49,700,NA,NA,NA,NA
