"name","player","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","cost_yahoo","costProjected_yahoo","costAvg_yahoo","costMax_yahoo","adp_yahoo","cost_espn","adp_espn","cost_fp","adp_fp","adp_ffc","adpSD_ffc","avgCost","bidUpTo"
"THADLEWIS","Thad Lewis","QB",29.225,7.18939515387784,1,"BUF",339,NA,41,NA,21.08,62.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.68,32.76,29.225,-215.857314116524,NA,25.9708143884631,1,0,0,0,NA,0,170,1,NA,NA,NA,0,1
"MIKETHOMAS","Mike Thomas","WR",29.1933402739681,5.33374734548134,1,"HOU",340,NA,146,16.11,NA,NA,NA,NA,22.7125,35.375,NA,NA,10,21.75,41,2.5,NA,NA,51.45,28.1021517857143,29.1933402739681,-114.205881415642,NA,16.4282843768594,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"ALDRICKROBINSON","Aldrick Robinson","WR",29.166299089704,5.09937836761711,1,"WAS",341,NA,147,18.87,NA,30.875,NA,NA,31.625,43.625,NA,NA,NA,20.625,1.875,42.5,46.6,NA,NA,23.6645,29.166299089704,-114.232922599907,NA,15.2230594441225,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"SHAUNDRAUGHN","Shaun Draughn","RB",29.0617326961607,5.3046928418818,1,"CHI",342,NA,94,21.325,21.175,48.375,20.95,NA,30.995,32.225,29.7,27.625,6.125,7.075,49.375,NA,61.975,NA,19.175,28.5921428571429,29.0617326961607,-88.8660815049097,NA,16.2788737660117,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"JASONSNELLING","Jason Snelling","RB",28.785,NA,1,NA,343,NA,95,59.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.785,28.785,-89.1428142010705,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"DEVIERPOSEY","DeVier Posey","WR",28.5733223990442,5.40981644514737,1,"HOU",344,NA,148,NA,53.125,58.875,NA,NA,35.825,20.375,11.125,15.875,24.75,20,2.5,29.75,41.25,NA,19.425,23.7607142857143,28.5733223990442,-114.825899290566,NA,16.8194640302583,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"ANDRECALDWELL","Andre Caldwell","WR",28.2964526627864,3.43947996179664,1,"DEN",345,180,149,12.865,68.75,NA,NA,NA,30.85,38.4,29,26.125,7.625,NA,12.875,40.625,35.625,NA,20.975,26.0395154845155,28.2964526627864,-115.102769026824,1,17.0257626981744,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"CLAYHARBOR","Clay Harbor","TE",28.1752058994779,4.46004487225583,1,"JAX",346,NA,61,13.045,50.875,NA,NA,NA,30.2375,39,NA,39.625,18.75,21.625,27.25,NA,NA,NA,23.475,28.9016111111111,28.1752058994779,-90.1797183769526,NA,11.9353347803673,1,0,0,0,NA,0,170,1,NA,NA,NA,0,1
"ZACHSUDFELD","Zach Sudfeld","TE",28.0623117761336,4.88062097295808,1,"NYJ",347,NA,62,NA,NA,NA,NA,NA,26.4625,34.125,38,49.75,28.5,21.125,4.375,NA,NA,NA,14.625,27.1203125,28.0623117761336,-90.2926125002968,NA,14.09811590993,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"QUINTONPATTON","Quinton Patton","WR",27.9877853299745,6.34271503190928,1,"SF",348,NA,150,1.99,64.75,NA,NA,NA,33.5,40.925,NA,34.7,13,18.025,1.875,3.875,47.65,NA,NA,26.02,27.9877853299745,-115.411436359636,NA,21.6168252114463,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"TRAVISBENJAMIN","Travis Benjamin","WR",27.9197104331261,3.97214819707346,1,"CLE",349,NA,151,24.825,NA,33,NA,NA,25.2125,18.325,NA,11,NA,29.825,9.375,27.25,33.3,NA,9.7375,21.045,27.9197104331261,-115.479511256484,NA,9.42636263359309,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"DUJUANHARRIS","DuJuan Harris","RB",27.8594777926376,4.88299970873097,1,"GB",350,NA,96,NA,NA,43.575,NA,NA,28.6625,43.025,NA,29.025,36.375,13.1,12.625,3.375,NA,NA,22.3375,21.8954545454545,27.8594777926376,-90.0683364084329,NA,14.1103483806606,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"THEORIDDICK","Theo Riddick","RB",27.5683133272392,4.12728398067458,1,"DET",351,182.3,97,38.24,19.825,38.7,24.925,NA,28.1775,13.1,NA,23.2,48.625,22.775,23.25,2.85,NA,NA,33.6,26.3175297619048,27.5683133272392,-90.3595008738313,11.9,12.2497101755294,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"JOSHMORGAN","Josh Morgan","WR",27.5147318210872,5.24010986649256,1,"CHI",352,NA,152,3.77,57.625,NA,NA,NA,25.325,43.975,14.25,14,7.5,34.075,27.25,33.875,35.625,NA,14.4375,23.7761213786214,27.5147318210872,-115.884489868523,NA,15.9467606472928,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"JACOBTAMME","Jacob Tamme","TE",27.3126644543807,4.40518464814758,1,"DEN",353,NA,63,25.985,NA,NA,NA,NA,24.3125,53.625,30.25,24.25,15,24.25,40.125,NA,NA,NA,19.85,28.5566666666667,27.3126644543807,-91.0422598220497,NA,11.6532201826362,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"CHRISHOGAN","Chris Hogan","WR",27.3123546332947,4.99459871796996,1,"BUF",354,NA,153,NA,NA,35.5,NA,NA,24.3125,NA,NA,NA,NA,19.125,6.25,NA,NA,NA,44.225,25.8025,27.3123546332947,-116.086867056316,NA,14.6842379356234,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"ISAIAHCROWELL","Isaiah Crowell","RB",27.2745271929927,3.31734143429533,1,"CLE",355,192,98,NA,55.95,25.625,29.4,NA,37.79,24.5,NA,14.35,9.875,26.675,18.375,NA,NA,NA,13.315,25.5255,27.2745271929927,-90.6532870080777,3,13.5952717373031,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"JEFFJANIS","Jeff Janis","WR",27.26875,5.11120366947614,1,"GB",356,NA,154,NA,44.875,NA,NA,NA,33.9625,NA,NA,NA,23.5,19.375,4.375,NA,NA,NA,NA,25.2175,27.26875,-116.13047168961,NA,15.2838701741411,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"ROBERTHERRON","Robert Herron","WR",27.25,6.33164164317464,1,"TB",357,NA,155,NA,60.125,23.5,NA,NA,41.8125,-2,NA,NA,34,26.1,3.125,NA,NA,NA,NA,26.3789285714286,27.25,-116.14922168961,NA,21.5598811384103,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"JUSTINBROWN","Justin Brown","WR",27.2063329237779,5.14606474557779,1,"PIT",358,NA,156,NA,NA,35.875,NA,NA,26.9125,NA,NA,19.5,40.125,NA,NA,1,NA,NA,NA,20.56875,27.2063329237779,-116.192888765833,NA,15.4631406496223,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"LORENZOTALIAFERRO","Lorenzo Taliaferro","RB",27.1079011897412,5.06270212036003,1,"BAL",359,NA,99,NA,54.825,23.5,22.925,NA,35.105,25.5,NA,13.25,6.375,22.525,47,15.6,NA,NA,NA,29.2004545454545,27.1079011897412,-90.8199130113293,NA,15.034454586789,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"DONTRELLEINMAN","Dontrelle Inman","WR",26.875,5.16419015008121,1,"SD",360,NA,157,NA,NA,NA,NA,NA,NA,37.875,NA,NA,NA,15.875,NA,NA,NA,NA,NA,26.875,26.875,-116.52422168961,NA,15.556349186104,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"JOSHHUFF","Josh Huff","WR",26.7562418781602,4.18245195352059,1,"PHI",361,NA,158,NA,NA,40.25,NA,NA,36.9375,NA,NA,24.75,25,19.9,9.375,25,36.375,NA,14.325,23.7523611111111,26.7562418781602,-116.64297981145,NA,10.507833965798,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"ANTHONYMCCOY","Anthony McCoy","TE",26.2307508673957,4.51759742506738,1,"SEA",362,NA,64,40.24,NA,NA,NA,NA,17.1875,NA,NA,NA,NA,21.625,NA,NA,NA,NA,NA,13.0354166666667,26.2307508673957,-92.1241734090347,NA,12.2312944770099,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"RISHARDMATTHEWS","Rishard Matthews","WR",25.6558148922982,4.35340765014026,1,"MIA",363,NA,159,26.355,NA,26.5,NA,NA,26.75,35.375,9.625,24.375,15.625,17.875,4.375,26.25,45.125,NA,NA,23.4459090909091,25.6558148922982,-117.743406797312,NA,11.3869608444364,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"MIKELLESHOURE","Mikel Leshoure","RB",25.6382125719786,6.53476224394161,1,"DET",364,NA,100,NA,43.05,NA,NA,NA,18.1175,66.45,11.775,3.5,0.5,6.65,4.125,NA,45.2,NA,8.7175,16.5904166666667,25.6382125719786,-92.2896016290918,NA,22.6044136299873,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"TONYMOEAKI","Tony Moeaki","TE",24.6250739049274,5.0707069839217,1,"BUF",365,NA,65,NA,NA,NA,NA,NA,21.4625,39.125,9.625,4.125,26.625,17.875,18.5,38,50.875,NA,NA,22.62125,24.6250739049274,-93.729850371503,NA,15.0756189987159,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"NICKTOON","Nick Toon","WR",24.5315968414099,5.79561177148017,1,"NO",366,NA,160,66.3,NA,NA,NA,NA,21.85,4.375,11,43.625,24.75,36.75,7.5,5.875,26.625,NA,18.3,24.2022727272727,24.5315968414099,-118.867624848201,NA,18.8033876299893,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"JOHNKUHN","John Kuhn","RB",24.2226312756273,4.18528331995792,1,"GB",367,NA,101,25.94,41.1,15.125,NA,NA,23.455,NA,9.475,7.8,15,12.025,31.5,NA,NA,NA,20.39,19.878,24.2226312756273,-93.7051829254432,NA,10.5223940558538,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"DAVONEBESS","Davone Bess","WR",24.075,11.0480091885704,1,NA,368,NA,161,90.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5,NA,NA,37.1216666666667,24.075,-119.32422168961,NA,45.8134483530764,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"RONNIEBROWN","Ronnie Brown","RB",24.071778295709,5.44145266898942,1,"HOU",369,NA,102,-0.03,NA,NA,33.6,NA,33.6,8.4,NA,NA,5.5,20.35,1,NA,48.5,NA,13.2375,18.2370555555556,24.071778295709,-93.8560359053615,NA,16.982150944284,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"JIMDRAY","Jim Dray","TE",23.4949657234627,5.37505351332033,1,"CLE",370,NA,66,13.37,NA,NA,NA,NA,20.8375,22.85,NA,NA,NA,4.625,6.25,45.625,43.875,NA,NA,19.7356458333333,23.4949657234627,-94.8599585529677,NA,16.6406982543659,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"JOSEPHRANDLE","Joseph Randle","RB",23.2245275817182,4.1853584055297,1,"DAL",371,171.5,103,23.36,31.975,18.625,33.5,NA,26.185,28.875,21.525,8.25,12.875,19.725,22.375,9.725,NA,NA,23.625,21.4753846153846,23.2245275817182,-94.7032866193522,16.5,7.84607363426822,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"ROBERTHOUSLER","Robert Housler","TE",22.7875,3.48552357548735,1,"ARI",372,NA,67,NA,NA,NA,NA,NA,33.475,21.875,21.125,NA,NA,NA,NA,NA,NA,NA,NA,25.4916666666667,22.7875,-95.5674242764304,NA,6.92393192726021,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"JOSHHILL","Josh Hill","TE",22.15,4.41543723347126,1,"NO",373,NA,68,NA,NA,NA,NA,NA,15.5875,10.25,NA,38,19.75,NA,5.625,NA,NA,NA,26.55,19.19375,22.15,-96.2049242764304,NA,11.7059433355454,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"DENNISJOHNSON","Dennis Johnson","RB",22.0456277702344,4.47156730248917,1,"HOU",374,NA,104,NA,24.125,NA,NA,NA,18.105,NA,NA,NA,NA,NA,NA,20,44.2,NA,NA,11.5588888888889,22.0456277702344,-95.8821864308361,NA,11.9945880157122,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"ANTHONYSHERMAN","Anthony Sherman","RB",21.8940726196468,3.43134329277744,1,"KC",375,NA,105,32.565,22.775,19.825,NA,NA,21.3,NA,NA,14.675,10.5,11.425,NA,19.225,NA,NA,18.165,18.8261111111111,21.8940726196468,-96.0337415814236,NA,6.64531387729562,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"DAMIANWILLIAMS","Damian Williams","WR",21.8754013680684,5.37411236781241,1,"MIA",376,NA,162,11.53,53.875,31.375,NA,NA,36.975,10.625,20,8.75,NA,0.375,21,NA,NA,NA,NA,18.9525,21.8754013680684,-121.523820321542,NA,16.6358584840098,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"ANTHONYDIXON","Anthony Dixon","RB",21.84511217833,4.59897297035026,1,"BUF",377,NA,106,-0.03,28.125,33.1,NA,NA,30.6125,5.925,NA,24.15,15,13.6,1.75,NA,NA,NA,NA,16.9120555555556,21.84511217833,-96.0827020227404,NA,12.649762129955,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"KEVINWALTER","Kevin Walter","WR",21.8025,NA,1,NA,378,NA,163,44.715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8025,21.8025,-121.59672168961,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"CHRISOGBONNAYA","Chris Ogbonnaya","RB",21.7684066338319,5.57319954764383,1,"CLE",379,NA,107,58.165,50.3,16.625,NA,NA,22.3625,NA,17.425,6.875,7.625,8.575,28.625,NA,29.525,NA,NA,20.8184090909091,21.7684066338319,-96.1594075672386,NA,17.6596494102139,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"JUSTINFORSETT","Justin Forsett","RB",21.6571005521472,4.74121018650277,1,"BAL",380,NA,108,9.65,43.9,28.8,NA,NA,27.41,37.25,NA,12.025,9.125,16.525,4.625,NA,NA,NA,30.6125,19.9065909090909,21.6571005521472,-96.2707136489232,NA,13.3812063715621,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"LACHESEASTRUNK","Lache Seastrunk","RB",21.3876814968104,4.85494869273787,1,"WAS",381,NA,109,NA,26.725,54.925,23.225,NA,30.78,8.65,8.2,19.8,16.25,27.925,7.5,4.8,NA,NA,15.2,20.2816666666667,21.3876814968104,-96.54013270426,NA,13.9660981297461,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"KYLEWILLIAMS","Kyle Williams","WR",21.3853224700855,5.12572906516719,1,"KC",382,NA,164,23.835,47.5,NA,NA,NA,32.5,8.25,NA,13,NA,6.025,1.25,3.375,NA,NA,11.8625,13.84525,21.3853224700855,-122.013899219525,NA,15.3585659346647,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"JARONBROWN","Jaron Brown","WR",21.3180024326868,5.09330180209761,1,"ARI",383,NA,165,52.39,NA,18.75,NA,NA,27.5625,13.375,NA,7.875,16.875,4.875,NA,NA,NA,NA,10.7625,16.8765555555556,21.3180024326868,-122.081219256924,NA,15.1918111605985,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"MARCUSHARRIS","Marcus Harris","WR",21.21875,5.54736601312423,1,"NYG",384,NA,166,NA,NA,31.25,NA,NA,23.4375,-2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4791666666667,21.21875,-122.18047168961,NA,17.5268023918607,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"DANHERRON","Dan Herron","RB",21.0399706010459,4.97165385785477,1,"IND",385,NA,110,-0.03,NA,35.625,NA,NA,16.9125,18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.72,21.0399706010459,-96.8878436000246,NA,14.5662457092588,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"KELLENDAVIS","Kellen Davis","TE",20.9819794957568,4.81114683718035,1,"NYG",386,NA,69,NA,NA,NA,NA,NA,16.3625,NA,43.75,NA,27.625,15.375,8.75,NA,NA,NA,NA,15.9803571428571,20.9819794957568,-97.3729447806736,NA,13.7408503648792,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"JOSHCOOPER","Josh Cooper","WR",20.3125,5.93765315759469,1,"CLE",387,NA,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,34.125,NA,NA,NA,NA,20.3125,20.3125,-123.08672168961,NA,19.5338248302784,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"DEMETRIUSHARRIS","Demetrius Harris","TE",20.125,3.24404292471482,1,"KC",388,NA,70,NA,NA,NA,NA,NA,15.95,NA,19,11.25,24.75,25.5,14.75,NA,NA,NA,NA,15.8857142857143,20.125,-98.2299242764304,NA,5.68213574870107,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"LARODSTEPHENSHOWLING","LaRod Stephens-Howling","RB",19.635,2.25046906044376,1,NA,389,NA,111,30.415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.225,NA,NA,20.3166666666667,19.635,-98.2928142010705,NA,0.572756492761105,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"DANIELHERRON","Daniel Herron","RB",19.4750065344,3.16519998296461,1,"IND",390,NA,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5,14.4,20,NA,NA,NA,27.2375,20.109375,19.4750065344,-98.4528076666705,NA,5.27669181992847,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"STORMJOHNSON","Storm Johnson","RB",19.420152724021,4.94092199418001,1,"JAC",391,162.5,113,NA,35.9,11.075,16.5,NA,21.89,1.15,NA,11.55,19.625,27.7,NA,NA,NA,NA,13.2575,17.5741666666667,19.420152724021,-98.5076614770495,21.5,10.1811458711679,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"LOUISMURPHY","Louis Murphy","WR",19.3559952653835,4.77014404159213,1,"TB",392,NA,168,8.145,52.25,25.75,NA,NA,39,11.475,NA,11.125,16.25,16.875,11.875,15.875,NA,NA,18.5,20.4587987012987,19.3559952653835,-124.043226424227,NA,13.5299965564734,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"DIONLEWIS","Dion Lewis","RB",19.2815131491554,4.20431865358522,1,"CLE",393,NA,114,19.86,25.75,NA,NA,NA,14.0975,13.75,17.15,27.775,33.75,9.225,4.125,2.45,NA,NA,31.25,16.2160416666667,19.2815131491554,-98.6463010519151,NA,10.6202818347726,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"SHAUNHILL","Shaun Hill","QB",19.1498941653625,4.39521945935912,1,"STL",394,NA,42,NA,29.46,21,34.44,NA,21.658,-2.16,NA,5.32,6.6,8.84,20.5,NA,21.94,NA,NA,14.8952727272727,19.1498941653625,-225.932419951161,NA,11.6019749449058,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"DIONSIMS","Dion Sims","TE",19.0272280453549,3.46854287737418,1,"MIA",395,NA,71,7.735,NA,NA,NA,NA,20.5,15,NA,24,21,18.375,4.375,NA,NA,NA,18.875,16.18,19.0272280453549,-99.3276962310755,NA,6.83660995774117,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"ARRELIOUSBENN","Arrelious Benn","WR",18.525,7.11064145962755,1,"PHI",396,NA,169,-0.03,49,NA,NA,NA,37.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5025,18.525,-124.87422168961,NA,25.5658294082812,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"BRUCEMILLER","Bruce Miller","RB",18.4189782148039,3.70910462740748,1,"SF",397,NA,115,30.24,27.35,13.95,NA,NA,20.65,NA,NA,14.925,10.5,7.8,NA,NA,NA,NA,23.36,16.3625555555556,18.4189782148039,-99.5088359862665,NA,8.07368075800269,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"VANCEMCDONALD","Vance McDonald","TE",18.2624347182862,4.94823053932289,1,"SF",398,NA,72,1.185,50.875,NA,NA,NA,24.9875,13.5,10.75,26.625,5,17.625,5.625,NA,NA,NA,17.05,17.31625,18.2624347182862,-100.092489558144,NA,14.4457930462855,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"KIRKCOUSINS","Kirk Cousins","QB",18.2340495709457,4.37367171621106,1,"WAS",399,NA,43,6.31,32.84,22.76,35.34,NA,28.24,8.9,25.46,12.56,10.2,10.78,10.6,NA,40.62,NA,15.7,19.5491208791209,18.2340495709457,-226.848264545578,NA,11.4911672880098,1,0,0,0,NA,0,170,1,NA,NA,NA,0,1
"EDWINBAKER","Edwin Baker","RB",17.7885742044636,9.08210703009845,1,"CLE",400,NA,116,111.27,10.475,5.5,19.25,NA,11.0975,23.925,NA,NA,NA,15.375,1.125,NA,NA,NA,NA,21.6232777777778,17.7885742044636,-100.139239996607,NA,35.7039435956485,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"JACKIEBATTLE","Jackie Battle","RB",17.6357682367471,4.67971944739825,1,"TEN",401,NA,117,18.9,47.975,5.4,NA,NA,26.6875,16.65,NA,20.55,1.5,17.575,2.675,12.9,NA,NA,10.43,16.4391883116883,17.6357682367471,-100.292045964323,NA,13.0649948465703,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"JIMMYCLAUSEN","Jimmy Clausen","QB",17.3998496397036,3.52839690253916,1,"CHI",402,NA,44,NA,NA,NA,NA,NA,14.84,25.5,NA,NA,7.1,NA,9.4,NA,NA,NA,16.02,12.0183333333333,17.3998496397036,-227.68246447682,NA,7.14440480376077,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"JACOBYFORD","Jacoby Ford","WR",17.2449780249237,4.22678188155775,1,"NYJ",403,NA,170,-0.325,NA,27.5,NA,NA,25.5,4.975,NA,NA,3.75,17.575,22.5,3.25,18.05,NA,NA,13.1022222222222,17.2449780249237,-126.154243664687,NA,10.7357973038801,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"CHARLIEWHITEHURST","Charlie Whitehurst","QB",17.1191765970149,6.76597934454102,1,"TEN",404,NA,45,NA,NA,25.7,NA,NA,33.164,22.5,86.3,10.84,26.5,8.52,12,NA,NA,NA,15.82,22.3344,17.1191765970149,-227.963137519509,NA,23.7934302697194,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"WILLISMCGAHEE","Willis McGahee","RB",16.9375,NA,1,NA,405,NA,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.875,NA,NA,16.9375,16.9375,-100.99031420107,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"BRENTONBERSIN","Brenton Bersin","WR",16.6853584383697,4.61097543358327,1,"CAR",406,NA,171,NA,NA,NA,NA,NA,11.125,0.3,NA,NA,NA,30.875,NA,NA,NA,NA,11.775,13.51875,16.6853584383697,-126.713863251241,NA,12.7114838990838,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"DARIUSJOHNSON","Darius Johnson","WR",16.64375,4.09603715612058,1,"ATL",407,NA,172,NA,NA,NA,NA,NA,25.525,NA,NA,25.5,10.625,6.125,NA,NA,NA,NA,NA,16.94375,16.64375,-126.75547168961,NA,10.0634523358869,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"ALLENREISNER","Allen Reisner","TE",16.63625,4.77883369167116,1,"MIN",408,NA,73,26.235,NA,NA,NA,NA,7.0375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.63625,16.63625,-101.71867427643,NA,13.5746824318287,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"LOGANPAULSEN","Logan Paulsen","TE",16.5799753613281,4.23732682324904,1,"WAS",409,NA,74,11.14,NA,NA,NA,NA,24,44.375,24,7.5,18.5,17.625,12.125,NA,NA,NA,20.775,19.0127777777778,16.5799753613281,-101.774948915102,NA,10.7900238775351,1,0,0,0,NA,0,170,1,NA,NA,NA,0,1
"GARYBARNIDGE","Gary Barnidge","TE",16.4811490053426,3.40828352564809,1,"CLE",410,NA,75,NA,NA,NA,NA,NA,16.625,16.75,9.625,8.625,19.75,6.25,11.625,NA,NA,NA,25.75,12.6944444444444,16.4811490053426,-101.873775271088,NA,6.52673075020828,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"FOZZYWHITTAKER","Fozzy Whittaker","RB",16.3335949700574,5.03727843688716,1,"CAR",411,NA,119,22.51,NA,NA,NA,NA,NA,25.775,NA,NA,3.625,6.25,NA,NA,43.375,NA,11.285,13.795,16.3335949700574,-101.594219231013,NA,14.9037151967778,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1
"KEALOHAPILARES","Kealoha Pilares","WR",16.225,4.09027973431583,1,"CAR",412,NA,173,30.415,NA,NA,NA,NA,16.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5466666666667,16.225,-127.17422168961,NA,10.0338452250371,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"JURONCRINER","Juron Criner","WR",16.2187559871328,5.42727758560429,1,"OAK",413,NA,174,NA,51,NA,NA,NA,28.9375,22.75,NA,9,9.375,3.5,7.25,0.75,34.75,NA,NA,16.73125,16.2187559871328,-127.180465702478,NA,16.9092566385824,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"DARRELYOUNG","Darrel Young","RB",16.2019184345439,4.53281075470591,1,"WAS",414,NA,120,16.09,36.35,27.25,NA,NA,31.8,NA,NA,4.875,9,8.05,8.375,NA,NA,NA,NA,17.68625,16.2019184345439,-101.725895766527,NA,12.309527886386,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"MICHAELHOOMANAWANUI","Michael Hoomanawanui","TE",16.1872650015383,4.06713446902492,1,"NE",415,NA,76,15.685,NA,NA,NA,NA,20.45,28.125,29.125,7.25,3.75,13.75,1.25,NA,NA,NA,12.0625,14.5677777777778,16.1872650015383,-102.167659274892,NA,9.9148224300511,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"ERIKLORIG","Erik Lorig","RB",15.556181243754,3.8356827245333,1,"NO",416,NA,121,26.205,19.075,15.7,NA,NA,17.3875,3.975,NA,NA,NA,1.625,3.75,NA,NA,NA,12.9425,12.52625,15.556181243754,-102.371632957316,NA,8.7245991516598,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1
"MYLESWHITE","Myles White","WR",15.546875,5.16491168613728,1,"GB",417,NA,175,NA,NA,NA,NA,NA,20.8375,4.5,36.125,NA,NA,NA,3.125,NA,NA,NA,NA,16.146875,15.546875,-127.85234668961,NA,15.5600596312857,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
"BRUCEELLINGTON","Bruce Ellington","WR",15.187494286084,5.70049557915623,1,"SF",418,NA,176,NA,NA,NA,NA,NA,25.5625,26.875,NA,NA,5.5,3.5,8.5,NA,51.375,NA,NA,16.7589285714286,15.187494286084,-128.211727403527,NA,18.3142597277367,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1
