"name","pos","name_fs","team_fs","positionRank_fs","overallRank_fs","pts_fs","passAtt_fs","passComp_fs","passYds_fs","passTds_fs","passInt_fs","rushAtt_fs","rushYds_fs","rushTds_fs","rec_fs","recYds_fs","recTds_fs","returnTds_fs","twoPts_fs","fumbles_fs"
"RHETTELLISON","TE","Rhett Ellison","MIN",69,362,7,NA,0,0,0,0,0,0,0,11,90,0,NA,NA,1
"JAMESHANNA","TE","James Hanna","DAL",69,362,7,NA,0,0,0,0,0,0,0,10,76,0,NA,NA,0
"BEARPASCOE","TE","Bear Pascoe","ATL",69,362,7,NA,0,0,0,0,1,2,0,12,75,0,NA,NA,0
"JOHNPHILLIPS","TE","John Phillips","SDC",69,362,7,NA,0,0,0,0,0,0,0,5,77,0,NA,NA,0
"TAYLORGABRIEL","WR","Taylor Gabriel","CLE",145,362,7,NA,0,0,0,0,4,17,0,6,60,0,NA,NA,0
"BROCKOSWEILER","QB","Brock Osweiler","DEN",50,369,6,NA,19,164,0,0,11,0,0,0,0,0,NA,NA,0
"DREWSTANTON","QB","Drew Stanton","ARI",50,369,6,NA,27,247,0,3,0,1,0,0,0,0,NA,NA,0
"MARCUSLATTIMORE","RB","Marcus Lattimore","SFO",103,369,6,NA,0,0,0,0,20,64,0,2,3,0,NA,NA,0
"AUSTINSEFERIANJENKINS","TE","Austin Seferian-Jenkins","TBB",73,369,6,NA,0,0,0,0,0,0,0,7,66,0,NA,NA,0
"LUKESTOCKER","TE","Luke Stocker","TBB",73,369,6,NA,0,0,0,0,0,0,0,8,67,0,NA,NA,0
"FRANKIEHAMMOND","WR","Frankie Hammond","KCC",146,369,6,NA,0,0,0,0,1,0,0,9,80,0,NA,NA,1
"JOHNNYMANZIEL","QB","Johnny Manziel","CLE",52,375,5,NA,27,223,0,0,5,12,0,0,0,0,NA,NA,2
"MATTMOORE","QB","Matt Moore","MIA",52,375,5,NA,8,138,1,4,3,0,0,0,0,0,NA,NA,0
"TJYATES","QB","T.J. Yates","ATL",52,375,5,NA,34,259,0,5,3,0,0,0,0,0,NA,NA,0
"VIRGILGREEN","TE","Virgil Green","DEN",75,375,5,NA,0,0,0,0,1,4,0,9,52,0,NA,NA,0
"RICARDOLOCKETTE","WR","Ricardo Lockette","SEA",147,375,5,NA,0,0,0,0,0,0,0,5,55,0,NA,NA,0
"KADEEMCAREY","RB","Ka'Deem Carey","CHI",104,380,4,NA,0,0,0,0,16,32,0,2,19,0,NA,NA,0
"ANTHONYDIXON","RB","Anthony Dixon","BUF",104,380,4,NA,0,0,0,0,12,18,0,4,33,0,NA,NA,0
"STORMJOHNSON","RB","Storm Johnson","JAC",104,380,4,NA,0,0,0,0,10,29,0,7,25,0,NA,NA,0
