"name","pos","name_eds","team_eds","positionRank_eds","overallRank_eds","pts_eds","passAtt_eds","passComp_eds","passYds_eds","passTds_eds","passInt_eds","rushAtt_eds","rushYds_eds","rushTds_eds","rec_eds","recYds_eds","recTds_eds","returnTds_eds","twoPts_eds","fumbles_eds"
"SAMMYWATKINS","WR","Sammy Watkins","BUF",36,112,127.4,NA,NA,NA,NA,NA,62,890,6,3,24,0,NA,NA,NA
"RUEBENRANDLE","WR","Rueben Randle","NYG",37,113,127.2,NA,NA,NA,NA,NA,57,852,7,0,0,0,NA,NA,NA
"TERRANCEWILLIAMS","WR","Terrance Williams","DAL",38,114,126.8,NA,NA,NA,NA,NA,58,908,6,0,0,0,NA,NA,NA
"CECILSHORTS","WR","Cecil Shorts","JAC",39,115,126.4,NA,NA,NA,NA,NA,66,904,6,0,0,0,NA,NA,NA
"KELVINBENJAMIN","WR","Kelvin Benjamin","CAR",40,116,126.2,NA,NA,NA,NA,NA,53,782,8,0,0,0,NA,NA,NA
"DEANGELOWILLIAMS","RB","DeAngelo Williams","CAR",40,117,125.8,NA,NA,NA,NA,NA,188,808,4,19,150,1,NA,NA,NA
"ZACHERTZ","TE","Zach Ertz","PHI",6,118,123.1,NA,NA,NA,NA,NA,NA,NA,NA,61,811,7,NA,NA,NA
"JASONWITTEN","TE","Jason Witten","DAL",7,119,122.5,NA,NA,NA,NA,NA,NA,NA,NA,83,925,5,NA,NA,NA
"DEANDREHOPKINS","WR","DeAndre Hopkins","HOU",41,120,122.3,NA,NA,NA,NA,NA,66,983,4,0,0,0,NA,NA,NA
"TERRANCEWEST","RB","Terrance West","CLE",41,121,122.1,NA,NA,NA,NA,NA,165,726,5,21,135,1,NA,NA,NA
"MIKEEVANS","WR","Mike Evans","TB",42,122,121.8,NA,NA,NA,NA,NA,55,798,7,0,0,0,NA,NA,NA
"DARRENMCFADDEN","RB","Darren McFadden","OAK",42,123,121.6,NA,NA,NA,NA,NA,156,671,5,26,185,1,NA,NA,NA
