"name","pos","team","sourceName","player","playerID","season","positionRank","overallRank","points","pointsLo","pointsHi","vor","pick","risk","sdPts","sdPick","passAtt","passComp","passIncomp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recTgt","recYds","recTds","returnTds","twoPts","fumbles","dstPtsAllowed","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstBlk","dstTd","fg","fgAtt","fg019","fg2029","fg3039","fg4049","fg50","xp"
"GIOVANIBERNARD","RB","CIN","cbs1","Giovani Bernard",350,2015,8,11,223.6,175.975,223.6,99.4855247859347,18.68125,3.43152774009335,20.0357531989691,4.9826,NA,NA,NA,NA,NA,NA,234,1109,6,61,34,588,2,0,0.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDDIELACY","RB","GB","espn","Eddie Lacy",317,2015,6,8,222.025,200.875,251.025,97.9105247859347,12.10625,3.7146490190257,23.081516550045,7.0065,0,0,0,0,0,0,288,1220,10,42,30,301,1,0,0.1,1.26666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOUGMARTIN","RB","TB","cbs1","Doug Martin",304,2015,9,12,221.85,49.15,221.85,97.7355247859347,43.14375,7.18405441983948,80.1905578788218,5.50325,NA,NA,NA,NA,NA,NA,283,1261,8,43,13,334,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JIMMYGRAHAM","TE","NO","espn","Jimmy Graham",444,2015,1,9,216.575,216.575,233.15,95.9790115154841,12.34375,2.24020078359346,7.90546685844676,3.66195,0,0,0,0,0,0,0,0,0,84,75,1115,13,0,0.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDDIELACY","RB","GB","average","Eddie Lacy",317,2015,6,9,219.39375,200.875,251.025,95.2792747859347,12.10625,3.7146490190257,23.081516550045,7.0065,111,0,0,0,0,0,278,1174.25,9.8,40.25,30,317.75,1.175,0,0.1,1.26666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDDIELACY","RB","GB","averageRobust","Eddie Lacy",317,2015,7,10,216,200.875,251.025,91.8855247859347,12.10625,3.7146490190257,23.081516550045,7.0065,111,0,0,0,0,0,277.75,1174.25,9.75,40.25,30,295,1,0,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEZBRYANT","WR","DAL","cbs2","Dez Bryant",289,2015,3,8,238.325,232.575,238.325,91.195872341612,12.675,1.79617100746759,2.60994691836188,3.26195,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,94,1353,12,0,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JULIOJONES","WR","ATL","cbs2","Julio Jones",498,2015,4,9,238.325,224.45,238.325,91.195872341612,22.6125,2.37583050398187,6.39832058043359,7.60325,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,94,1473,9,0,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARIANFOSTER","RB","HOU","average","Arian Foster",54,2015,7,10,214.96875,182.525,281.175,90.8542747859347,14.65,5.13558893797284,45.3050143242077,7.9413,146.5,0,0,0,0,0,246.666666666667,1176.75,7.65,42.025,39,356.75,2.2,0,0.1,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANDREELLINGTON","RB","ARZ","yahoo","Andre Ellington",33,2015,7,13,213.925,140.1,213.925,89.8105247859347,22.425,4.33991632264297,34.1217756413213,5.7413,292,0,0,0,0,0,174.666666666667,1065,5.1,63.6,52,553,2.7,0,0.1,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEZBRYANT","WR","DAL","espn","Dez Bryant",289,2015,3,10,236.375,232.575,238.325,89.2458723416121,12.675,1.79617100746759,2.60994691836188,3.26195,0,0,0,0,0,0,1,8,0,100,94,1327,12,0,0.1,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
