"name","player","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_nfl","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","projectedPtsLatent","vor","sdPick","sdPts","avgCost","projectedCost","bidUpTo","simulation","bidUpToSim"
"TOBYGERHART","Toby Gerhart","RB",182.304578814999,6.37423203809832,18,"JAC",58,40.159713428857,16,190.075,163.375,145.6,NA,178.96,205.625,228.025,161.5,170.95,179.23875,182.304578814999,118.607231502125,59.1344401718109,11.6978,26.5852270671944,15.3,18,18,10.0869750959701,3
"BISHOPSANKEY","Bishop Sankey","RB",181.905951144576,5.37831366510621,20,"TEN",59,44.7603965344885,17,200.45,178.2,155.2,NA,186.035,195.25,219,173.25,174.875,184.045,181.905951144576,125.838797034568,58.735812501388,11.1826,19.5486788008076,17.35,20,16,9.49972100106354,7
"ANDREJOHNSON","Andre Johnson","WR",200.63739204696,4.17938952352191,27,"HOU",46,43.1421859380207,10,198,194.625,212.875,NA,194.7875,219.875,172.125,210.125,184.825,199.1421875,200.63739204696,141.915481757063,56.4803256451214,6.6152,15.6309844789524,23.65,27,27,9.97375960552146,25
"VINCENTJACKSON","Vincent Jackson","WR",200.449809063402,3.77619533258967,31,"TB",47,33.8941186271243,11,201.375,188.75,203.575,221.75,196.2375,210.375,190.625,201.075,170.475,199.22003968254,200.449809063402,140.772453282428,56.2927426615635,4.9652,14.4449770200963,27.3,31,27,9.28831941329277,23
"REGGIEBUSH","Reggie Bush","RB",178.677815023849,5.20712347941949,27,"DET",63,37.8947850716428,18,190.05,170.3,195.4,NA,175.2,193.125,155.075,200.95,145.65,176.31875,178.677815023849,117.307103417503,55.5076763806604,9.5239,20.1503489423881,23.4,27,12,8.41272116981953,1
"JULIUSTHOMAS","Julius Thomas","TE",176.662730546544,3.83110409692145,31,"DEN",65,33.7720926357881,2,185.875,182.375,187.375,173.375,182.925,190.375,177.875,168.5,156.9,178.162301587302,176.662730546544,122.40544694677,54.1553194610901,8.6478,10.6177287210799,27.5,31,23,8.77832592863448,25
"RANDALLCOBB","Randall Cobb","WR",194.805091059707,3.12718665194692,35,"GB",51,29.3149616794402,12,199,182.875,214.425,NA,200.2625,192.025,179.225,202.175,179.145,195.642395833333,194.805091059707,139.554544746114,50.6480246578683,2.2413,12.6142789654012,30.45,35,22,7.25417784645652,5
"CJSPILLER","C.J. Spiller","RB",173.225208182425,4.50049586140541,24,"BUF",68,31.9058647117627,19,193.7,158.925,175.6,NA,169.5775,190.45,158.35,175.425,162.65,171.5221875,173.225208182425,110.716971258104,50.0550695392369,10.5891,13.5073518630662,23.35,27,9,6.52795791762255,1
"RAYRICE","Ray Rice","RB",172.633583323195,5.62149839949944,11,"BAL",69,61.1039320226591,20,178.875,161.375,165.35,NA,171.14,167.175,191.975,184.8,137.05,169.13,172.633583323195,108.028585685114,49.4634446800072,15.1978,16.7803611828998,10.45,12,9,9.57296756607425,1
"LARRYFITZGERALD","Larry Fitzgerald","WR",192.10625,4.43210482205634,34,"ARI",52,41.1175441519493,13,203.875,190.125,181.225,NA,189.275,182.75,172.5,218.15,191.015,191.953541666667,192.10625,133.326706069354,47.9491835981617,9.5304,14.2045670315421,30.1,34,20,7.53849499941346,11
