"name","name_accu","pos","team_accu","positionRank_accu","overallRank_accu","passAtt_accu","passComp_accu","passYds_accu","passTds_accu","passInt_accu","rushYds_accu","rushTds_accu","rec_accu","recYds_accu","recTds_accu","twoPts_accu","fumbles_accu","pts_accu"
"DEANGELOWILLIAMS","DeAngelo Williams","RB","CAR",38,134,NA,NA,NA,NA,NA,470,2.19,33.9,307,1.62,NA,1.59,97.3
"DANNYWOODHEAD","Danny Woodhead","RB","SD",39,135,NA,NA,NA,NA,NA,176,1.17,57.2,499,4.03,NA,0.97,97.1
"BENTATE","Ben Tate","RB","CLE",40,136,NA,NA,NA,NA,NA,571,2.88,35.2,177,1.28,NA,2.3,95.3
"DEXTERMCCLUSTER","Dexter McCluster","WR","TEN",53,137,NA,NA,NA,NA,NA,NA,NA,59.9,577,2.49,NA,2.09,95
"STEVESMITH","Steve Smith","WR","BAL",54,138,NA,NA,NA,NA,NA,NA,NA,64.1,752,3.4,NA,0.55,94.9
"AUSTINPETTIS","Austin Pettis","WR","STL",55,139,NA,NA,NA,NA,NA,NA,NA,49.1,592,5.77,NA,0.71,94
"KYLERUDOLPH","Kyle Rudolph","TE","MIN",13,140,NA,NA,NA,NA,NA,NA,NA,68.4,726,3.47,NA,0.6,92.2
"STEVEJOHNSON","Steve Johnson","WR","SF",56,141,NA,NA,NA,NA,NA,NA,NA,57.8,700,3.51,NA,0.58,91
"MALCOMFLOYD","Malcom Floyd","WR","SD",57,142,NA,NA,NA,NA,NA,NA,NA,45.9,721,3.09,NA,0.39,89.9
"BRANDONMYERS","Brandon Myers","TE","TB",14,143,NA,NA,NA,NA,NA,NA,NA,65.6,650,4.33,NA,0.6,89.8
"LEONARDHANKERSON","Leonard Hankerson","WR","WAS",58,144,NA,NA,NA,NA,NA,NA,NA,46.9,651,4.1,NA,0.44,88.8
"DARRENSPROLES","Darren Sproles","RB","PHI",41,145,NA,NA,NA,NA,NA,161,1.14,51.6,432,2.37,NA,1.74,88.1
"RONNIEHILLMAN","Ronnie Hillman","RB","DEN",42,146,NA,NA,NA,NA,NA,523,2.78,20.2,172,0.88,NA,2.44,86.6
"JONATHANSTEWART","Jonathan Stewart","RB","CAR",43,147,NA,NA,NA,NA,NA,442,1.83,34,267,1.24,NA,1.87,85.5
"ROBHOUSLER","Rob Housler","TE","ARI",15,147,NA,NA,NA,NA,NA,NA,NA,64,694,2.92,NA,0.71,85.5
"CHRISTOPHERIVORY","Christopher Ivory","RB","NYJ",44,149,NA,NA,NA,NA,NA,609,3.22,8.1,55,0.35,NA,1.44,85
"DONALDBROWN","Donald Brown","RB","SD",45,150,NA,NA,NA,NA,NA,497,4.16,8.1,76,0.71,NA,0.99,84.5
"LAMARMILLER","Lamar Miller","RB","MIA",46,151,NA,NA,NA,NA,NA,479,2.4,23.4,175,1.17,NA,1.43,84
"NATEWASHINGTON","Nate Washington","WR","TEN",59,152,NA,NA,NA,NA,NA,NA,NA,47.8,694,2.49,NA,0.41,83.5
"DAVONEBESS","Davone Bess","WR","CLE",60,153,NA,NA,NA,NA,NA,NA,NA,59,664,2.19,NA,1.95,82
"JORDANREED","Jordan Reed","TE","WAS",16,154,NA,NA,NA,NA,NA,NA,NA,46.1,534,4.29,NA,0.38,81.9
"JACQUIZZRODGERS","Jacquizz Rodgers","RB","ATL",47,155,NA,NA,NA,NA,NA,280,1.54,40.5,290,1.94,NA,1.35,81.3
"JERMAINEGRESHAM","Jermaine Gresham","TE","CIN",17,156,NA,NA,NA,NA,NA,NA,NA,52.2,565,4.57,NA,1.5,80.9
"BENJARVUSGREENELLIS","BenJarvus Green-Ellis","RB","CIN",48,157,NA,NA,NA,NA,NA,548,3.52,9.8,55,0.42,NA,1.8,80.3
"ERICDECKER","Eric Decker","WR","NYJ",61,158,NA,NA,NA,NA,NA,NA,NA,49.6,650,2.65,NA,0.49,80.1
