"name","pos","name_nf","team_nf","positionRank_nf","overallRank_nf","pts_nf","passAtt_nf","passComp_nf","passYds_nf","passTds_nf","passInt_nf","rushAtt_nf","rushYds_nf","rushTds_nf","rec_nf","recYds_nf","recTds_nf","returnTds_nf","twoPts_nf","fumbles_nf"
"RAYRICE","RB","Ray Rice","BAL",29,90,126.45,0.08,0.08,0.6,0.06,0,196.26,754.61,4.19,39.42,261.44,0.42,NA,NA,NA
"VERNONDAVIS","TE","Vernon Davis","SF",5,91,126.42,0,0,0,0,0,0,0,0,59.27,805.01,7.72,NA,NA,NA
"JASONWITTEN","TE","Jason Witten","DAL",6,92,126.2,0.04,0,0,0,0,0,0,0,77.9,907.21,6,NA,NA,NA
"TORREYSMITH","WR","Torrey Smith","BAL",29,93,125.23,0.04,0.04,1.12,0,0,0,0,0,65.39,979.89,4.62,NA,NA,NA
"MAURICEJONESDREW","RB","Maurice Jones-Drew","OAK",30,94,125.21,0.06,0.02,0.23,0.02,0,170.68,665.61,2.51,50.68,427.82,0.52,NA,NA,NA
"TYHILTON","WR","T.Y. Hilton","IND",30,95,123.89,0.04,0,0,0,0,0.74,1.83,0,69.07,891.11,5.87,NA,NA,NA
"MATTCASSEL","QB","Matt Cassel","MIN",30,96,123.02,319.63,188.69,2087.25,11.24,8.72,29.43,103.38,1.04,0.11,-0.87,0,NA,NA,NA
"MIKEWALLACE","WR","Mike Wallace","MIA",31,97,121.48,0.35,0.2,4.87,0.14,0,2.06,16.06,0,73.2,874.8,5.42,NA,NA,NA
"CORDARRELLEPATTERSON","WR","Cordarrelle Patterson","MIN",32,98,121.13,0.02,0,0,0,0,9.08,79.83,1.55,86.54,870.11,2.91,NA,NA,NA
"GOLDENTATE","WR","Golden Tate","DET",33,99,120.13,0.14,0,0,0,0,1.23,10.56,0.02,64.24,853.72,5.72,NA,NA,NA
"SHANEVEREEN","RB","Shane Vereen","NE",31,100,118.6,0.09,0.09,0.75,0,0,69,329.92,2.91,57.24,519.78,2.74,NA,NA,NA
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",34,101,118.48,0.09,0.02,0.68,0,0.02,1.11,1.75,0,72.31,775.61,6.88,NA,NA,NA
"CHADHENNE","QB","Chad Henne","JAC",31,102,117.98,371.16,212.46,2299.21,11.47,11.65,17.76,35.28,0.7,0.02,-0.34,0,NA,NA,NA
"STEVESMITH","WR","Steve Smith","BAL",35,103,117.17,0.02,0,0,0,0,0,0,0,59.09,836.88,5.73,NA,NA,NA
"DEANGELOWILLIAMS","RB","DeAngelo Williams","CAR",32,104,116.53,0,0,0,0,0,177.24,676.73,3.71,25.25,237.13,0.8,NA,NA,NA
"GREGOLSEN","TE","Greg Olsen","CAR",7,105,115.99,0,0,0,0,0,0,0,0,70.68,802.5,6.09,NA,NA,NA
"DARRENMCFADDEN","RB","Darren McFadden","OAK",33,106,115.11,0.3,0.22,3.66,0.22,0,187.95,637.66,3.58,35.58,269.13,0.84,NA,NA,NA
"DWAYNEBOWE","WR","Dwayne Bowe","KC",36,107,113.8,0.02,0,0,0,0,0,0,0,63.01,860.56,4.73,NA,NA,NA
"ANQUANBOLDIN","WR","Anquan Boldin","SF",37,108,113.66,0.1,0,0,0,0,0.98,3.34,0,51.55,777.84,6.07,NA,NA,NA
"BRIANHARTLINE","WR","Brian Hartline","MIA",38,109,112.76,0.12,0,0,0,0,0,0,0,65.31,893.23,4.08,NA,NA,NA
"DANNYWOODHEAD","RB","Danny Woodhead","SD",34,110,111.89,0.08,0.04,-0.06,0,0.02,78.65,355.35,2.37,56.37,462.56,2.88,NA,NA,NA
"TERRANCEWILLIAMS","WR","Terrance Williams","DAL",39,110,111.89,0.12,0.08,2.6,0.08,0,2.19,8.62,0,57.56,825.79,4.8,NA,NA,NA
"DANNYAMENDOLA","WR","Danny Amendola","NE",40,112,110.81,0,0,0,0,0,0.66,-0.42,0,71.44,862.34,4.23,NA,NA,NA
"RILEYCOOPER","WR","Riley Cooper","PHI",41,113,109.65,0,0,0,0,0,0,0,0,48.79,765.12,5.6,NA,NA,NA
"GREGJENNINGS","WR","Greg Jennings","MIN",42,114,108.96,0.12,0,0,0,0,0,0,0,68.01,828.36,4.4,NA,NA,NA
"SAMMYWATKINS","WR","Sammy Watkins","BUF",43,115,107.44,0,0,0,0,0,0,0,0,62.08,834.57,4.17,NA,NA,NA
"LAMARMILLER","RB","Lamar Miller","MIA",35,116,106.37,0.06,0,0,0,0,178.01,709.96,3.29,28.15,159.29,0.36,NA,NA,NA
"BRIANHOYER","QB","Brian Hoyer","CLE",32,117,106.26,279.81,157.46,1757,9.97,9.14,23.23,114.69,0.99,0.21,1.09,0.04,NA,NA,NA
"CECILSHORTS","WR","Cecil Shorts","JAC",44,118,105.5,0,0,0,0,0,0,0,0,72.03,874.77,3.03,NA,NA,NA
"MARTELLUSBENNETT","TE","Martellus Bennett","CHI",8,119,104.4,0.06,0.06,2.03,0.06,0,0,0,0,69.63,762.82,4.82,NA,NA,NA
"BISHOPSANKEY","RB","Bishop Sankey","TEN",36,120,103.83,0.1,0.1,0.58,0.1,0,121.14,510.71,3.78,36.05,282.59,0.66,NA,NA,NA
"JORDANREED","TE","Jordan Reed","WSH",9,121,103.74,0,0,0,0,0,0.26,4.92,0,56.13,688.63,5.77,NA,NA,NA
"ANTONIOGATES","TE","Antonio Gates","SD",10,122,103.4,0,0,0,0,0,0,0,0,68.72,748.58,5.01,NA,NA,NA
"RUEBENRANDLE","WR","Rueben Randle","NYG",45,123,102.39,0,0,0,0,0,0,0,0,50.26,751.09,4.65,NA,NA,NA
"STEVANRIDLEY","RB","Stevan Ridley","NE",37,124,101.89,0.14,0,0,0,0,148.97,623.42,6.03,11.97,60.44,0.06,NA,NA,NA
"KELVINBENJAMIN","WR","Kelvin Benjamin","CAR",46,125,101.64,0,0,0,0,0,0,0,0,56.36,752.76,4.54,NA,NA,NA
"JOHNNYMANZIEL","QB","Johnny Manziel","CLE",33,126,101.57,217.83,132.6,1488.07,8.08,6.08,42.46,168.66,1.37,0,0,0,NA,NA,NA
"DOUGBALDWIN","WR","Doug Baldwin","SEA",47,127,100.59,0,0,0,0,0,1.33,7.66,0,49.6,693.65,5.17,NA,NA,NA
"NATEWASHINGTON","WR","Nate Washington","TEN",48,128,99.94,0,0,0,0,0,0,0,0,51.27,737.2,4.41,NA,NA,NA
"CHARLESCLAY","TE","Charles Clay","MIA",11,129,98.44,0.1,0.1,3.59,0,0,1.67,4.15,0.16,54.22,616.85,5.88,NA,NA,NA
"RODSTREATER","WR","Rod Streater","OAK",49,130,98.4,0.1,0.06,1.91,0,0,1.08,6.46,0.1,54.21,784.97,3.26,NA,NA,NA
"KENNYSTILLS","WR","Kenny Stills","NO",50,131,97.86,0.4,0.06,0.83,0,0,1.67,9.22,0,39.72,671.43,4.96,NA,NA,NA
"SHONNGREENE","RB","Shonn Greene","TEN",38,132,97.65,0.06,0,0,0,0,144.93,607.61,5.09,13.02,79.93,0.19,NA,NA,NA
"JERRICHOCOTCHERY","WR","Jerricho Cotchery","CAR",51,133,97.42,0.17,0.06,1.1,0,0,0.41,1.02,0,41.96,655.56,5.32,NA,NA,NA
"MILESAUSTIN","WR","Miles Austin","CLE",52,134,97.16,0.02,0.02,0.78,0,0,0,0,0,57.78,741.85,3.95,NA,NA,NA
"DELANIEWALKER","TE","Delanie Walker","TEN",12,135,97.04,0,0,0,0,0,0,0,0,63.34,702.21,4.63,NA,NA,NA
"ZACHERTZ","TE","Zach Ertz","PHI",13,136,96.65,0,0,0,0,0,0.1,0,0,55.5,611.91,5.91,NA,NA,NA
"DEANDREHOPKINS","WR","DeAndre Hopkins","HOU",53,137,96.05,0.06,0,0,0,0,0,0,0,57.8,790.08,2.92,NA,NA,NA
"MIKEEVANS","WR","Mike Evans","TB",54,138,94.29,0.14,0,0,0,0,0,0,0,55.73,725.52,3.68,NA,NA,NA
"DENNISPITTA","TE","Dennis Pitta","BAL",14,139,93.42,0,0,0,0,0,0,0,0,63.53,718.97,3.66,NA,NA,NA
"KYLERUDOLPH","TE","Kyle Rudolph","MIN",15,140,92.74,0,0,0,0,0,0,0,0,63.01,600.61,5.49,NA,NA,NA
"DARRENSPROLES","RB","Darren Sproles","PHI",39,141,92.14,0.22,0.22,-0.38,0,0,26.91,142.76,1.22,51.81,489.82,3.66,NA,NA,NA
"JAREDCOOK","TE","Jared Cook","STL",16,142,91.08,0,0,0,0,0,0,0,0,52.17,611.82,5.19,NA,NA,NA
"MALCOMFLOYD","WR","Malcom Floyd","SD",55,143,90.88,0.2,0.04,0.56,0,0,0,0,0,35.42,604.41,5.07,NA,NA,NA
"BRENTCELEK","TE","Brent Celek","PHI",17,144,90.82,0,0,0,0,0,0,0,0,40.36,562.4,5.81,NA,NA,NA
"BILALPOWELL","RB","Bilal Powell","NYJ",40,145,89.84,0.34,0.34,11.23,0,0,128.63,553.67,1.88,29.88,207.99,0.56,NA,NA,NA
"JAMESJONES","WR","James Jones","OAK",56,146,89.71,0.04,0,0,0,0,0,0,0,57.65,724.87,2.96,NA,NA,NA
"KNOWSHONMORENO","RB","Knowshon Moreno","MIA",41,147,87.34,0,0,0,0,0,80.25,390.29,2.9,25.77,232.5,1.55,NA,NA,NA
"HEATHMILLER","TE","Heath Miller","PIT",18,148,87.27,0.06,0.06,1.56,0.03,0,0,0,0,67.52,637.89,4.23,NA,NA,NA
