Player,Action,,Proj Value,Avg Cost,Percent Drafted
(Den - RB),,,,,
No new player Notes,,,,,
Dustin Keller,The add action is disabled,Add to Watch List,$0 ,$1.00 ,1%
(Mia - TE),,,,,
No new player Notes,,,,,
Danny Woodhead,The add action is disabled,Add to Watch List,$0 ,$1.00 ,2%
(SD - RB),,,,,
No new player Notes,,,,,
Bernard Pierce,The add action is disabled,Add to Watch List,$6 ,$3.50 ,13%
(Bal - RB),,,,,
Player Note,,,,,
E.J. Manuel,The add action is disabled,Add to Watch List,$0 ,$1.10 ,7%
(Buf - QB),,,,,
No new player Notes,,,,,
DeAngelo Williams,The add action is disabled,Add to Watch List,$7 ,$2.90 ,34%
(Car - RB),,,,,
No new player Notes,,,,,
Mason Crosby,The add action is disabled,Add to Watch List,$0 ,$2.80 ,12%
(GB - K),,,,,
No new player Notes,,,,,
Jermichael Finley,The add action is disabled,Add to Watch List,$1 ,$1.30 ,95%
(GB - TE),,,,,
No new player Notes,,,,,
Martellus Bennett,The add action is disabled,Add to Watch List,$4 ,$1.40 ,97%
(Chi - TE),,,,,
No new player Notes,,,,,
Connor Barth,The add action is disabled,Add to Watch List,$0 ,$1.00 ,44%
(TB - K),,,,,
No new player Notes,,,,,
Joel Dreessen,The add action is disabled,Add to Watch List,$0 ,$1.00 ,1%
(Den - TE),,,,,
No new player Notes,,,,,
Graham Gano,The add action is disabled,Add to Watch List,$0 ,$1.00 ,0%
(Car - K),,,,,
No new player Notes,,,,,
Delanie Walker,The add action is disabled,Add to Watch List,$0 ,$1.00 ,1%
(Ten - TE),,,,,
No new player Notes,,,,,
Justin Blackmon,The add action is disabled,Add to Watch List,$5 ,$2.00 ,99%
(Jac - WR),,,,,
No new player Notes,,,,,
Jacquizz Rodgers,The add action is disabled,Add to Watch List,$2 ,$2.20 ,8%
(Atl - RB),,,,,
Player Note,,,,,
Mohamed Sanu,The add action is disabled,Add to Watch List,$0 ,$1.30 ,2%
(Cin - WR),,,,,
No new player Notes,,,,,
Jacoby Jones,The add action is disabled,Add to Watch List,$0 ,$1.10 ,3%
(Bal - WR),,,,,
No new player Notes,,,,,
Johnathan Franklin,The add action is disabled,Add to Watch List,$7 ,$1.90 ,13%
(GB - RB),,,,,
No new player Notes,,,,,
Philip Rivers,The add action is disabled,Add to Watch List,$5 ,$2.10 ,96%
(SD - QB),,,,,
No new player Notes,,,,,
Andy Dalton,The add action is disabled,Add to Watch List,$4 ,$1.80 ,94%
(Cin - QB),,,,,
No new player Notes,,,,,
Cordarrelle Patterson,The add action is disabled,Add to Watch List,$0 ,$1.50 ,19%
(Min - WR),,,,,
Player Note,,,,,
Tyler Eifert,The add action is disabled,Add to Watch List,$0 ,$1.20 ,3%
(Cin - TE),,,,,
No new player Notes,,,,,
Greg Little,The add action is disabled,Add to Watch List,$0 ,$1.00 ,2%
(Cle - WR),,,,,
No new player Notes,,,,,
Sebastian Janikowski,The add action is disabled,Add to Watch List,$0 ,$1.50 ,40%
(Oak - K),,,,,
No new player Notes,,,,,
Ben Tate,The add action is disabled,Add to Watch List,$5 ,$2.40 ,16%
(Hou - RB),,,,,
No new player Notes,,,,,
Isaiah Pead,The add action is disabled,Add to Watch List,$5 ,$2.30 ,13%
(StL - RB),,,,,
No new player Notes,,,,,
Jordan Cameron,The add action is disabled,Add to Watch List,$0 ,$1.30 ,4%
(Cle - TE),,,,,
No new player Notes,,,,,
Dwayne Allen,The add action is disabled,Add to Watch List,$0 ,$0.00 ,0%
(Ind - TE),,,,,
No new player Notes,,,,,
A.J. Jenkins,The add action is disabled,Add to Watch List,$0 ,$1.00 ,2%
(SF - WR),,,,,
Player Note,,,,,
Daryl Richardson,The add action is disabled,Add to Watch List,$3 ,$1.70 ,18%
(StL - RB),,,,,
No new player Notes,,,,,
Ryan Broyles,The add action is disabled,Add to Watch List,$0 ,$1.10 ,5%
(Det - WR),,,,,
No new player Notes,,,,,
DeAndre Hopkins,The add action is disabled,Add to Watch List,$1 ,$1.30 ,40%
(Hou - WR),,,,,
No new player Notes,,,,,
Michael Bush,The add action is disabled,Add to Watch List,$1 ,$1.80 ,1%
(Chi - RB),,,,,
No new player Notes,,,,,
LaMichael James,The add action is disabled,Add to Watch List,$0 ,$3.10 ,2%
(SF - RB),,,,,
No new player Notes,,,,,
Heath Miller,The add action is disabled,Add to Watch List,$1 ,$1.60 ,58%
(Pit - TE),,,,,
Player Note,,,,,
Santana Moss,The add action is disabled,Add to Watch List,$0 ,$1.00 ,2%
(Was - WR),,,,,
No new player Notes,,,,,
Josh Freeman,The add action is disabled,Add to Watch List,$2 ,$1.50 ,42%
(TB - QB),,,,,
Player Note,,,,,
Robert Woods,The add action is disabled,Add to Watch List,$0 ,$1.00 ,1%
(Buf - WR),,,,,
No new player Notes,,,,,
Zach Ertz,The add action is disabled,Add to Watch List,$0 ,$1.00 ,1%
(Phi - TE),,,,,
No new player Notes,,,,,
Carson Palmer,The add action is disabled,Add to Watch List,$1 ,$1.20 ,27%
(Ari - QB),,,,,
No new player Notes,,,,,
Rob Bironas,The add action is disabled,Add to Watch List,$0 ,$1.00 ,2%
(Ten - K),,,,,
No new player Notes,,,,,
Zac Stacy,The add action is disabled,Add to Watch List,$6 ,$1.90 ,14%
(StL - RB),,,,,
No new player Notes,,,,,
Emmanuel Sanders,The add action is disabled,Add to Watch List,$4 ,$1.50 ,98%
(Pit - WR),,,,,
No new player Notes,,,,,
Brandon Myers,The add action is disabled,Add to Watch List,$4 ,$1.30 ,97%
(NYG - TE),,,,,
No new player Notes,,,,,
Darrius Heyward-Bey,The add action is disabled,Add to Watch List,$1 ,$1.10 ,15%
(Ind - WR),,,,,
No new player Notes,,,,,
Brandon Lloyd,The add action is disabled,Add to Watch List,$1 ,$1.10 ,12%
(NE - WR),,,,,
NA,,,,,
No new player Notes,,,,,
Garrett Hartley,The add action is disabled,Add to Watch List,$0 ,$1.40 ,7%
(NO - K),,,,,
No new player Notes,,,,,
Golden Tate,The add action is disabled,Add to Watch List,$1 ,$1.40 ,10%
(Sea - WR),,,,,
No new player Notes,,,,,
Kai Forbath,The add action is disabled,Add to Watch List,$0 ,$1.00 ,1%
(Was - K),,,,,
No new player Notes,,,,,
Matt Schaub,The add action is disabled,Add to Watch List,$2 ,$1.40 ,85%
(Hou - QB),,,,,
No new player Notes,,,,,
Michael Floyd,The add action is disabled,Add to Watch List,$1 ,$1.20 ,21%
(Ari - WR),,,,,
Player Note,,,,,
Andre Roberts,The add action is disabled,Add to Watch List,$0 ,$1.50 ,1%
(Ari - WR),,,,,
No new player Notes,,,,,
Jermaine Gresham,The add action is disabled,Add to Watch List,$2 ,$1.30 ,83%
(Cin - TE),,,,,
No new player Notes,,,,,
Vincent Brown,The add action is disabled,Add to Watch List,$1 ,$1.20 ,11%
(SD - WR),,,,,
No new player Notes,,,,,
Aaron Dobson,The add action is disabled,Add to Watch List,$1 ,$1.10 ,14%
(NE - WR),,,,,
Player Note,,,,,
Brandon LaFell,The add action is disabled,Add to Watch List,$1 ,$1.20 ,3%
(Car - WR),,,,,
No new player Notes,,,,,
Jared Cook,The add action is disabled,Add to Watch List,$3 ,$1.30 ,89%
(StL - TE),,,,,
No new player Notes,,,,,
Steven Hauschka,The add action is disabled,Add to Watch List,$0 ,$1.70 ,16%
(Sea - K),,,,,
No new player Notes,,,,,
Randy Bullock,The add action is disabled,Add to Watch List,$0 ,$2.30 ,2%
(Hou - K),,,,,
No new player Notes,,,,,
Kendall Wright,The add action is disabled,Add to Watch List,$3 ,$1.30 ,94%
(Ten - WR),,,,,
Player Note,,,,,
Brent Celek,The add action is disabled,Add to Watch List,$0 ,$1.20 ,2%
(Phi - TE),,,,,
No new player Notes,,,,,
Santonio Holmes,The add action is disabled,Add to Watch List,$1 ,$1.00 ,17%
(NYJ - WR),,,,,
No new player Notes,,,,,
Greg Zuerlein,The add action is disabled,Add to Watch List,$0 ,$2.00 ,15%
(StL - K),,,,,
No new player Notes,,,,,
Shayne Graham,The add action is disabled,Add to Watch List,$0 ,$1.10 ,4%
(Cle - K),,,,,
No new player Notes,,,,,
Alex Henery,The add action is disabled,Add to Watch List,$0 ,$1.00 ,1%
(Phi - K),,,,,
No new player Notes,,,,,
Jay Cutler,The add action is disabled,Add to Watch List,$1 ,$1.10 ,55%
(Chi - QB),,,,,
No new player Notes,,,,,
Malcom Floyd,The add action is disabled,Add to Watch List,$1 ,$1.00 ,86%
(SD - WR),,,,,
No new player Notes,,,,,
Brandon Pettigrew,The add action is disabled,Add to Watch List,$1 ,$1.00 ,56%
(Det - TE),,,,,
No new player Notes,,,,,
Brian Hartline,The add action is disabled,Add to Watch List,$2 ,$1.40 ,73%
(Mia - WR),,,,,
No new player Notes,,,,,
Fred Davis,The add action is disabled,Add to Watch List,$1 ,$1.00 ,39%
(Was - TE),,,,,
No new player Notes,,,,,
Alshon Jeffery,The add action is disabled,Add to Watch List,$1 ,$1.00 ,76%
(Chi - WR),,,,,
No new player Notes,,,,,
Dan Bailey,The add action is disabled,Add to Watch List,$0 ,$1.10 ,18%
(Dal - K),,,,,
Player Note,,,,,
Mike Nugent,The add action is disabled,Add to Watch List,$0 ,$1.00 ,3%
(Cin - K),,,,,
No new player Notes,,,,,
Scott Chandler,The add action is disabled,Add to Watch List,$0 ,$1.00 ,1%
(Buf - TE),,,,,
No new player Notes,,,,,
Chris Givens,The add action is disabled,Add to Watch List,$1 ,$1.00 ,45%
(StL - WR),,,,,
No new player Notes,,,,,
Lawrence Tynes,The add action is disabled,Add to Watch List,$0 ,$1.10 ,26%
(NYG - K),,,,,
NA,,,,,
No new player Notes,,,,,
Rob Housler,The add action is disabled,Add to Watch List,$0 ,$1.00 ,8%
(Ari - TE),,,,,
No new player Notes,,,,,
