"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_yahoo","passAttMedian","passCompMedian","projectedPtsMean","projectedPtsMedian","pick","sdPts","sdPick","risk"
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",45,197.570013059271,168.57,243.4,196.55,194.45,NA,210.84,173.975,214.825,197.625,210.25,202.35,229,207.475,224.65,185.05,0,0,201.338511904762,197.570013059271,17.3023095380924,20.6140278040875,5.93585,4.6356309198513
"RANDALLCOBB","Randall Cobb","WR","GB",46,196.624365029086,266.555,199,182.875,214.425,204.625,200.2625,192.025,191.725,195.25,191.25,199.65,217.5,164.75,205.3,187.29,0,0,201.444166666667,196.624365029086,29.2504199160168,22.2208985221334,2.6413,4.47713031740912
"EJMANUEL","E.J. Manuel","QB","BUF",47,195.426693843106,193.69,192.32,183.9,173.72,NA,184.334,187.52,204.62,198.74,187.2,210.74,231.2,238.34,225.12,207.34,478.85,287.499942882283,197.63225,195.426693843106,169.5,19.3251993618081,17.7,5.6703185833627
"VINCENTJACKSON","Vincent Jackson","WR","TB",48,194.895845260621,331.06,201.375,188.75,203.575,NA,196.2375,210.375,190.625,195.75,186.25,195.55,198,187.875,210.7,181.475,0,0,205.801704545455,194.895845260621,35.7411117776445,37.1412643790865,3.6826,6.15264828939681
"JOSHMCCOWN","Josh McCown","QB","TB",49,190.43731287491,256.74,220.4,213.74,207.3,NA,199.554,161.32,151.26,191.12,166.2,214.64,186.5,257.6,165.34,129.39,461,277.325,192.20730952381,190.43731287491,144.35,37.6499086150986,12.05,7.03874759533017
"ANDREELLINGTON","Andre Ellington","RB","ARI",50,189.454955839772,147.26,209.2,178.05,179.825,NA,191.035,220.75,203.475,170.375,184.125,180.675,197,189.3,203.875,196.175,0,0,187.276726190476,189.454955839772,30.0431713657269,18.2946098469071,7.4065,4.53759375839045
"ANDREJOHNSON","Andre Johnson","WR","HOU",51,189.348341408112,179.675,198,194.625,212.875,NA,194.7875,219.875,172.125,182.25,181.25,179.125,201.625,162.25,212.5,179.6,0,0,190.870357142857,189.348341408112,40.7856828634273,16.908686894002,9.1565,4.5656974897231
"JAKELOCKER","Jake Locker","QB","TEN",52,187.162585740793,263.27,223.92,180.66,157.72,NA,174.03,136.32,127.16,206.58,191.6,209.32,187.5,214.64,249.14,221.56,434.85,255,192.192976190476,187.162585740793,165.2,39.2176861313172,17.8,7.77601301584511
"ALFREDMORRIS","Alfred Morris","RB","WAS",53,186.956037137406,228.265,213.65,185.85,190.45,NA,192.03,170.75,185.45,179.775,174.75,174.95,184,220.15,191.4,175.325,0,0,187.359642857143,186.956037137406,21.4016096780644,17.8863922776168,6.6652,4.42083116227627
"KEENANALLEN","Keenan Allen","WR","SD",54,185.31221256817,223.145,186.625,177.125,178.625,NA,181.475,187.225,189.125,179.5,178.25,187.375,198,181,191.75,176.325,0,0,185.465638528139,185.31221256817,35.4432813437313,12.2014832743157,4.8326,3.63957161474811
