"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"DWAYNEBOWE","Dwayne Bowe","WR","KC",45,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.5,844.5,12.3,4.5,NA,0,103
"KENNYSTILLS","Kenny Stills","WR","NO",46,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,769,16.7,5.5,NA,0.5,101
"ZACHERTZ","Zach Ertz","TE","PHI",11,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,739,13.9,6,NA,0.5,101
"STEPFANTAYLOR","Stepfan Taylor","RB","ARI",39,129,NA,NA,NA,NA,NA,NA,NA,162.5,673.5,4.1,6,11,88.5,8,0,NA,0.5,99
"DANNYWOODHEAD","Danny Woodhead","RB","SD",39,129,NA,NA,NA,NA,NA,NA,NA,84.5,349.5,4.1,1.5,57.5,513.5,8.9,3.5,NA,1,99
"KELVINBENJAMIN","Kelvin Benjamin","WR","CAR",47,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,740,15.7,5.5,NA,0.5,99
"ODELLBECKHAM","Odell Beckham","WR","NYG",47,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,769.5,15.4,5,NA,0.5,99
"ERICEBRON","Eric Ebron","TE","DET",12,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5,654.5,13.2,7,NA,0,99
"TOMSAVAGE","Tom Savage","QB","HOU",34,134,240,138.5,1649,9.5,9,57.7,6.9,13,26.5,2,0,NA,NA,NA,NA,NA,1.5,97
"CHRISIVORY","Chris Ivory","RB","NYJ",41,134,NA,NA,NA,NA,NA,NA,NA,161.5,711,4.4,6,3,16,5.3,0,NA,1.5,97
"DARRENSPROLES","Darren Sproles","RB","PHI",42,136,NA,NA,NA,NA,NA,NA,NA,69,296.5,4.3,2,64.5,522,8.1,3.5,NA,1,96
"CHRISTINEMICHAEL","Christine Michael","RB","SEA",43,137,NA,NA,NA,NA,NA,NA,NA,137.5,659.5,4.8,5,9.5,78,8.2,0.5,NA,0,95
"DOUGBALDWIN","Doug Baldwin","WR","SEA",49,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,779.5,13.9,4.5,NA,0.5,95
"LADARIUSGREEN","Ladarius Green","TE","SD",13,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5,703,14.8,5.5,NA,0,95
"TREMASON","Tre Mason","RB","STL",44,140,NA,NA,NA,NA,NA,NA,NA,124,595.5,4.8,3.5,31.5,250.5,8,1,NA,1,94
"BRIANHARTLINE","Brian Hartline","WR","MIA",50,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,951,13.4,1.5,NA,1,94
"MARTELLUSBENNETT","Martellus Bennett","TE","CHI",14,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.5,722.5,11.7,5,NA,0.5,94
"HARRYDOUGLAS","Harry Douglas","WR","ATL",51,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,809,12.6,3.5,NA,0.5,93
"RODSTREATER","Rod Streater","WR","OAK",52,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,796,13.7,4,NA,1.5,92
"JEREMYHILL","Jeremy Hill","RB","CIN",45,145,NA,NA,NA,NA,NA,NA,NA,137,608,4.4,6,8,67,8.4,0,NA,0.5,91
"JARRETTBOYKIN","Jarrett Boykin","WR","GB",53,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.5,756.5,13.2,4,NA,0.5,91
