Name,,Proj Value,Avg Cost,Percent Drafted,
,Odell Beckham Jr. NYG - WR,,,,
,Mon 4:10 pm @ Det,,,,
?,New Player Note,?,$3 ,$1.60 ,61%
,Kelvin Benjamin Car - WR,,,,
,Sun 1:25 pm @ TB,,,,
?,New Player Note,?,$0 ,$1.00 ,3%
,Jermichael Finley GB - TE,,,,
,Thu 5:30 pm @ Sea,,,,
?,No new player Notes,?,$5 ,$1.60 ,79%
,Tavon Austin StL - WR,,,,
,Sun 10:00 am vs Min,,,,
?,No new player Notes,?,$1 ,$1.00 ,3%
,Joe Flacco Bal - QB,,,,
,Sun 10:00 am vs Cin,,,,
?,No new player Notes,?,$1 ,$1.00 ,3%
,Justin Hunter Ten - WR,,,,
,Sun 10:00 am @ KC,,,,
?,No new player Notes,?,$0 ,$2.10 ,85%
,Blair Walsh Min - K,,,,
,Sun 10:00 am @ StL,,,,
?,Player Note,?,$4 ,$1.80 ,100%
,Ladarius Green SD - TE,,,,
,Mon 7:20 pm @ Ari,,,,
?,No new player Notes,?,$0 ,$1.00 ,6%
,Doug Baldwin Sea - WR,,,,
,Thu 5:30 pm vs GB,,,,
?,No new player Notes,?,$3 ,$1.20 ,39%
,Steve Smith Sr. Bal - WR,,,,
,Sun 10:00 am vs Cin,,,,
?,No new player Notes,?,$6 ,$4.70 ,21%
,Chris Ivory NYJ - RB,,,,
,Sun 10:00 am vs Oak,,,,
?,No new player Notes,?,$1 ,$1.00 ,3%
,Brian Hartline Mia - WR,,,,
,Sun 10:00 am vs NE,,,,
?,No new player Notes,?,$1 ,$8.80 ,30%
,Carlos Hyde SF - RB,,,,
,Sun 1:25 pm @ Dal,,,,
?,Player Note,?,$5 ,$1.20 ,64%
,Rueben Randle NYG - WR,,,,
,Mon 4:10 pm @ Det,,,,
?,No new player Notes,?,$6 ,$1.50 ,88%
,DeAndre Hopkins Hou - WR,,,,
,Sun 10:00 am vs Was,,,,
?,No new player Notes,?,$2 ,$1.30 ,9%
,Ryan Tannehill Mia - QB,,,,
,Sun 10:00 am vs NE,,,,
?,No new player Notes,?,$0 ,$0.00 ,0%
,Harry Douglas Atl - WR,,,,
,Sun 10:00 am vs NO,,,,
?,No new player Notes,?,$2 ,$1.10 ,82%
,Eli Manning NYG - QB,,,,
,Mon 4:10 pm @ Det,,,,
?,No new player Notes,?,$3 ,$2.80 ,18%
,Lamar Miller Mia - RB,,,,
,Sun 10:00 am vs NE,,,,
?,No new player Notes,?,$0 ,$1.00 ,3%
,Jared Cook StL - TE,,,,
,Sun 10:00 am vs Min,,,,
