"name","name_nfl","pos","team_nfl","positionRank_nfl","overallRank_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","twoPts_nfl","fumbles_nfl","pts_nfl"
"RONNIEHILLMAN","Ronnie Hillman","RB","DEN",57,188,NA,NA,0,0,0,312,6,NA,140,1,0,1,85.2
"JEREMYHILL","Jeremy Hill","RB","CIN",58,189,NA,NA,0,0,0,510,3,NA,81,2,0,2,85.1
"ROYHELU","Roy Helu","RB","WAS",59,190,NA,NA,0,0,0,405,3,NA,224,1,0,1,84.9
"TYLEREIFERT","Tyler Eifert","TE","CIN",22,191,NA,NA,0,0,0,0,0,NA,589,4,0,0,82.9
"COBYFLEENER","Coby Fleener","TE","IND",23,192,NA,NA,0,0,0,0,0,NA,501,5,1,0,82.1
"EDDIEROYAL","Eddie Royal","WR","SD",76,193,NA,NA,0,0,0,9,0,NA,590,4,0,1,81.9
"BENNYCUNNINGHAM","Benny Cunningham","RB","STL",60,194,NA,NA,0,0,0,494,4,NA,102,0,0,1,81.6
"JEREMYKERLEY","Jeremy Kerley","WR","NYJ",77,195,NA,NA,0,0,0,13,0,NA,651,3,0,2,80.4
"DENARIUSMOORE","Denarius Moore","WR","OAK",77,195,NA,NA,0,0,0,0,0,NA,584,4,0,1,80.4
"ACESANDERS","Ace Sanders","WR","JAX",79,197,NA,NA,0,0,0,4,0,NA,557,4,0,0,80.1
"ANDREWQUARLESS","Andrew Quarless","TE","GB",24,197,NA,NA,0,0,0,0,0,NA,501,5,0,0,80.1
"ANDREROBERTS","Andre Roberts","WR","WAS",80,199,NA,NA,0,0,0,0,0,NA,559,4,0,0,79.9
"MIKETOLBERT","Mike Tolbert","RB","CAR",61,200,NA,NA,0,0,0,379,3,NA,178,1,0,0,79.7
"JACQUIZZRODGERS","Jacquizz Rodgers","RB","ATL",62,201,NA,NA,0,0,0,310,3,NA,240,1,0,0,79
"NATEBURLESON","Nate Burleson","WR","CLE",81,201,NA,NA,0,0,0,0,0,NA,570,4,0,1,79
"DAVANTEADAMS","Davante Adams","WR","GB",82,203,NA,NA,0,0,0,0,0,NA,509,5,0,1,78.9
"GREGLITTLE","Greg Little","WR","OAK",83,204,NA,NA,0,0,0,0,0,NA,541,4,0,0,78.1
"LANCEMOORE","Lance Moore","WR","PIT",84,205,NA,NA,0,0,0,0,0,NA,550,4,0,1,77
"LANCEDUNBAR","Lance Dunbar","RB","DAL",63,206,NA,NA,0,0,0,449,4,NA,100,0,0,1,76.9
"STEVEJOHNSON","Steve Johnson","WR","SF",85,207,NA,NA,0,0,0,6,0,NA,601,3,0,1,76.7
"KRISDURHAM","Kris Durham","WR","DET",86,208,NA,NA,0,0,0,0,0,NA,526,4,0,0,76.6
"BRANDONGIBSON","Brandon Gibson","WR","MIA",87,209,NA,NA,0,0,0,0,0,NA,584,3,0,0,76.4
"EARLBENNETT","Earl Bennett","WR",NA,88,210,NA,NA,0,0,0,0,0,NA,522,4,0,0,76.2
"JEFFCUMBERLAND","Jeff Cumberland","TE","NYJ",25,211,NA,NA,0,0,0,0,0,NA,450,5,0,0,75
"MARLONBROWN","Marlon Brown","WR","BAL",89,212,NA,NA,0,0,0,0,0,NA,506,4,0,0,74.6
"JERMAINEGRESHAM","Jermaine Gresham","TE","CIN",26,213,NA,NA,0,0,0,0,0,NA,543,4,0,2,74.3
"JEROMESIMPSON","Jerome Simpson","WR","MIN",90,214,NA,NA,0,0,0,0,0,NA,582,3,0,1,74.2
"JERRELJERNIGAN","Jerrel Jernigan","WR","NYG",91,215,NA,NA,0,0,0,71,0,NA,490,3,0,0,74.1
"CJANDERSON","C.J. Anderson","RB","DEN",64,216,NA,NA,0,0,0,365,2,NA,194,1,0,0,73.9
"KENBRELLTHOMPKINS","Kenbrell Thompkins","WR","NE",92,217,NA,NA,0,0,0,0,0,NA,541,3,0,0,72.1
"LEVINETOILOLO","Levine Toilolo","TE","ATL",27,217,NA,NA,0,0,0,0,0,NA,481,4,0,0,72.1
"JACOBYJONES","Jacoby Jones","WR","BAL",93,219,NA,NA,0,0,0,27,0,NA,531,3,0,1,71.8
"BRANDONLAFELL","Brandon LaFell","WR","NE",94,220,NA,NA,0,0,0,8,0,NA,524,3,0,0,71.2
"MYCHALRIVERA","Mychal Rivera","TE","OAK",28,221,NA,NA,0,0,0,0,0,NA,469,4,0,0,70.9
"AUSTINPETTIS","Austin Pettis","WR","STL",95,222,NA,NA,0,0,0,0,0,NA,528,3,0,0,70.8
"MOHAMEDSANU","Mohamed Sanu","WR","CIN",96,223,NA,NA,0,0,0,17,0,NA,530,3,0,1,70.7
"CHARLESSIMS","Charles Sims","RB","TB",65,224,NA,NA,0,0,0,308,3,NA,175,1,0,1,70.3
"MARQUISEGOODWIN","Marquise Goodwin","WR","BUF",97,224,NA,NA,0,0,0,33,0,NA,510,3,0,1,70.3
"STEPFANTAYLOR","Stepfan Taylor","RB","ARI",66,226,NA,NA,0,0,0,310,4,NA,85,1,0,0,69.5
"BRENTCELEK","Brent Celek","TE","PHI",29,227,NA,NA,0,0,0,0,0,NA,474,4,0,1,69.4
"AUSTINSEFERIANJENKINS","Austin Seferian-Jenkins","TE","TB",30,228,NA,NA,0,0,0,0,0,NA,449,4,0,0,68.9
"TREMASON","Tre Mason","RB","STL",67,229,NA,NA,0,0,0,348,2,NA,166,1,0,1,67.4
"JOSHGORDON","Josh Gordon","WR","CLE",98,230,NA,NA,0,0,0,48,0,NA,500,2,0,0,66.8
"ROBHOUSLER","Rob Housler","TE","ARI",31,230,NA,NA,0,0,0,0,0,NA,488,3,0,0,66.8
"TEDGINN","Ted Ginn","WR","ARI",99,232,NA,NA,0,0,0,22,0,NA,460,3,0,0,66.2
"OWENDANIELS","Owen Daniels","TE","BAL",32,232,NA,NA,0,0,0,0,0,NA,442,4,0,1,66.2
"VINCENTBROWN","Vincent Brown","WR","SD",100,234,NA,NA,0,0,0,0,0,NA,478,3,0,0,65.8
"KADEEMCAREY","Ka'Deem Carey","RB","CHI",68,235,NA,NA,0,0,0,380,2,NA,112,1,0,1,65.2
"ANDREHOLMES","Andre Holmes","WR","OAK",101,235,NA,NA,0,0,0,0,0,NA,472,3,0,0,65.2
"TIMOTHYWRIGHT","Timothy Wright","TE","TB",33,235,NA,NA,0,0,0,0,0,NA,472,3,0,0,65.2
"STEPHENHILL","Stephen Hill","WR","NYJ",102,238,NA,NA,0,0,0,0,0,NA,471,3,0,0,65.1
"DONTEMONCRIEF","Donte Moncrief","WR","IND",103,239,NA,NA,0,0,0,0,0,NA,469,3,0,0,64.9
"SCOTTCHANDLER","Scott Chandler","TE","BUF",34,239,NA,NA,0,0,0,0,0,NA,489,3,0,1,64.9
"JASONAVANT","Jason Avant","WR","CAR",104,241,NA,NA,0,0,0,0,0,NA,467,3,0,0,64.7
"TIQUANUNDERWOOD","Tiquan Underwood","WR","CAR",105,242,NA,NA,0,0,0,0,0,NA,480,3,0,1,64
"CODYLATIMER","Cody Latimer","WR","DEN",106,243,NA,NA,0,0,0,0,0,NA,475,3,0,1,63.5
"BRANDONMYERS","Brandon Myers","TE","TB",35,244,NA,NA,0,0,0,0,0,NA,452,3,0,0,63.2
"SANTONIOHOLMES","Santonio Holmes","WR",NA,107,245,NA,NA,0,0,0,0,0,NA,530,2,0,1,63
"MARIOMANNINGHAM","Mario Manningham","WR","NYG",107,245,NA,NA,0,0,0,0,0,NA,470,3,0,1,63
"KESHAWNMARTIN","Keshawn Martin","WR","HOU",109,247,NA,NA,0,0,0,0,0,NA,465,3,0,1,62.5
"RYANBROYLES","Ryan Broyles","WR","DET",110,248,NA,NA,0,0,0,0,0,NA,441,3,0,0,62.1
"MARCEDESLEWIS","Marcedes Lewis","TE","JAX",36,248,NA,NA,0,0,0,0,0,NA,441,3,0,0,62.1
"JACEAMARO","Jace Amaro","TE","NYJ",37,250,NA,NA,0,0,0,0,0,NA,400,4,0,1,62
"ALLENROBINSON","Allen Robinson","WR","JAX",111,251,NA,NA,0,0,0,0,0,NA,453,3,0,1,61.3
"COLEBEASLEY","Cole Beasley","WR","DAL",112,252,NA,NA,0,0,0,0,0,NA,472,2,0,0,59.2
"JERMICHAELFINLEY","Jermichael Finley","TE",NA,38,253,NA,NA,0,0,0,0,0,NA,401,3,0,0,58.1
"TROYNIKLAS","Troy Niklas","TE","ARI",39,254,NA,NA,0,0,0,0,0,NA,396,3,0,0,57.6
"JORDANTODMAN","Jordan Todman","RB","JAX",69,255,NA,NA,0,0,0,289,2,NA,103,1,0,0,57.2
"AJJENKINS","A.J. Jenkins","WR","KC",113,255,NA,NA,0,0,0,13,0,NA,439,2,0,0,57.2
"DANIELTHOMAS","Daniel Thomas","RB","MIA",70,257,NA,NA,0,0,0,268,3,NA,81,1,0,1,56.9
"JAMESWHITE","James White","RB","NE",71,258,NA,NA,0,0,0,81,6,NA,61,1,0,0,56.2
"BRANDONPETTIGREW","Brandon Pettigrew","TE","DET",40,259,NA,NA,0,0,0,0,0,NA,401,3,0,1,56.1
"MARCELREECE","Marcel Reece","RB","OAK",72,260,NA,NA,0,0,0,240,2,NA,125,1,0,0,54.5
"MIKEJAMES","Mike James","RB","TB",73,261,NA,NA,0,0,0,331,2,NA,93,0,0,0,54.4
"JARIUSWRIGHT","Jarius Wright","WR","MIN",114,262,NA,NA,0,0,0,0,0,NA,420,2,0,0,54
"MARCUSLATTIMORE","Marcus Lattimore","RB","SF",74,263,NA,NA,0,0,0,215,2,NA,140,1,0,0,53.5
"TJGRAHAM","T.J. Graham","WR","BUF",115,264,NA,NA,0,0,0,21,0,NA,413,2,0,1,53.4
