"player","position","positionRank","team","teams","aav","teams10","aavImputeZeros","aavPercent","aavImputeZerosPercent","aavFitted","aavPercentFitted","aavPercentToAAVFitted","predictedAAV","predictedAAVPercent","predictedAAVPercentToAAV"
"Charles Sims","RB",36,"TB",14,9,5,9,0.321428571428571,0.321428571428571,8.99416158981575,0.337217971855002,9.44210321194004,9.30818169242959,0.335552955198047,9.39548274554532
"Charles Sims","RB",36,"TB",20,12,5,12,0.3,0.3,12.0277627870074,0.291990428293069,11.6796171317228,12.6286617254653,0.31212338799134,12.4849355196536
"Charles Sims","RB",36,"TB",18,12,5,12,0.333333333333333,0.333333333333333,11.8886140547465,0.334279061666486,12.0340462199935,12.3938867145897,0.347146029246349,12.4972570528686
"Chris Conley","WR",83,"KC",16,1,0,1,0.03125,0.03125,1.33082116333401,0.052552807969213,1.68168985501482,1.88328728745071,0.0606807170515267,1.94178294564885
"Chris Conley","WR",83,"KC",14,NA,0,0,NA,0,0.572861154793387,0.0294221972253843,0.82382152231076,1.02095851339618,0.0368233219904078,1.03105301573142
"Chris Conley","WR",83,"KC",12,NA,0,0,NA,0,0.0689499529427846,0.010053870449402,0.241292890785648,0.412678546031675,0.0167282108971354,0.401477061531249
"Chris Conley","WR",83,"KC",18,2,0,2,0.0555555555555556,0.0555555555555556,2.36105505857198,0.077432870350461,2.7875833326166,3.01788994820258,0.0862875637500649,3.10635229500233
"Chris Conley","WR",83,"KC",4,NA,0,0,NA,0,0.229291612296286,0.0104600496323419,0.0836803970587352,0.155545143329561,0.0142272528109147,0.113818022487318
"Chris Conley","WR",83,"KC",6,NA,0,0,NA,0,0,-0.00534908276726801,0,0,0,0
"Chris Conley","WR",83,"KC",8,NA,0,0,NA,0,0,-0.0093446018773464,0,0,0,0
"Chris Conley","WR",83,"KC",20,4,0,4,0.1,0.1,3.68178792051456,0.102049552038706,4.08198208154823,4.44299157565906,0.1116310297556,4.46524119022399
"Chris Conley","WR",83,"KC",10,NA,0,0,NA,0,0,-0.00353934002831621,0,0.0402223053500332,0.00240821610212705,0.048164322042541
"Chris Ivory","RB",33,"NYJ",20,15,7,15,0.375,0.375,14.8291870702002,0.362091737791125,14.483669511645,15.1307262089312,0.375477690525221,15.0191076210088
