"projectionId","playerId","rec","recYds","recTds","rushAtt","rushYds","rushTds","fumbles","twoPts","rec100","rec150","rec200","returnYds","regTds","returnTds","dataScrapeId","analystId","rush40","rec40"
79562,2505242,122.06,1591.08,10.25,5.4,13.64,0.04,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79563,2508061,122.06,1591.08,10.25,5.4,13.64,0.04,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79564,2495212,6.73,86.66,0.46,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79565,2543498,89.62,990.1,5.63,4.09,36.44,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79566,81288,5.14,55.88,0.12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79567,497302,66.35,841.74,5,1.14,8.42,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79568,2495893,77.21,1058.72,4.7,0.72,1.49,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79569,81306,25.52,309.35,0.98,1.58,10.72,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79570,2535966,6.13,89.15,0.46,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79571,2552597,49.25,629.32,3.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79572,81831,50.64,661.54,2.95,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79573,2532933,56.7,784.7,4.08,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79574,2535522,4.14,54.5,0.42,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79575,2541388,6.58,80.76,0.26,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79576,2543646,5.24,82.92,0.56,0.61,3.75,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79577,2495647,93.11,1456.08,10.03,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79578,2495341,48.07,608.19,1.88,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79579,2501412,54.88,784.62,5.21,1.09,0.77,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79580,2541147,54.88,784.62,5.21,1.09,0.77,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79581,2533532,4.17,45.77,0.09,0.03,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79582,2535634,4.17,45.77,0.09,0.03,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79583,2530515,7.3,66.91,0.22,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79584,2531049,23.58,311.03,1.62,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79585,2532923,6.79,78.87,0.39,0.19,1.44,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79586,2543590,17.14,211.93,0.81,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79587,2535698,43.47,476.03,3.32,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79588,2540145,21.3,245.31,0.4,4.88,24.57,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79589,2540261,18.12,262.49,1.67,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79590,2550413,5.87,67.75,0.27,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79591,2536031,5.98,56.98,0,0.47,1.16,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79592,2649,41.2,396.53,1.71,0.24,0.34,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79593,2552408,5.58,70.93,0.43,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79594,80427,5.95,53.45,0,0.21,0.98,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79595,2543495,47.34,558.28,2.33,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79596,2540165,79.99,1119.75,6.79,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79597,1581,64,1064.73,7.49,4.54,15.71,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79598,2552409,48.33,589.23,3.89,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79599,2532930,6.76,82.1,0.51,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79600,497328,106.45,1484.12,12.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79601,2495315,4.31,54.39,0.22,0.19,0.51,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79602,2534436,5.07,59.88,0.29,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79603,2552458,37.96,475.25,2.81,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79604,2506897,26.2,308.68,1.04,1.36,5.96,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79605,2541891,21.86,279.5,1.92,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79606,2553434,21.86,279.5,1.92,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79607,2543641,15.19,204.62,0.34,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79608,497278,94.14,1361.67,11.31,0.36,1.59,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79609,2543614,32.29,428.06,2.18,2.2,9.78,0.06,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79610,2530700,7.79,111.01,0.67,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79611,2552491,33.78,426.48,1.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79612,2530747,48.62,617.62,4.19,1.11,5.12,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79613,2495558,62.51,788.18,3.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79614,2495159,5.09,67.58,0.26,0.27,2.73,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79615,1990,40.93,512.62,3.83,1.57,13.33,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79616,497322,89.23,1122.88,7.85,0.99,2.8,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79617,497284,63.19,842.34,4.72,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79618,2507029,6.66,89.65,0.46,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79619,2541828,3.58,52.03,0.13,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79620,497326,82.89,1052.78,6.79,2.59,9.54,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
79621,2495867,36.65,446.83,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
