"name","pos","team","overallRank","projections","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","actualPts"
"Danny Ware","RB",NA,412,16.07,NA,NA,NA,16.07,16.07,2.32222290950006,NA
"Danny Woodhead","RB","SD",139,107.52,91.375,117.4675,103.225,107.52,104.846875,105.484607226354,128.71
"Dante Rosario","TE","DAL",666,NA,NA,NA,NA,NA,0,2.55765622217905,38.88
"Darius Reynaud","RB","TEN",512,6.6975,NA,NA,NA,6.6975,6.6975,2.17487755258315,59.68
"Darrel Young","RB","WAS",443,12.4375,NA,NA,NA,12.4375,12.4375,2.17056414678416,34.63
"Darren McFadden","RB","OAK",63,183.87,183.05,183.7575,215.775,183.87,191.196458333333,204.130933712425,117.95
"Darren Sproles","RB","NO",68,178.0925,172.3,187.6075,175.375,178.0925,178.19375,174.878307012278,171.1
"Darrius Heyward-Bey","WR","IND",146,101.955,86.05,114.3375,123.25,101.955,106.525625,110.066307474528,108.85
"Daryl Richardson","RB","STL",147,101.605,103.425,92.8825,116.25,101.605,103.315625,102.718918566927,63.88
"David Ausberry","TE","OAK",252,48.3875,NA,52.0375,NA,48.3875,50.2125,22.3447790226225,16
"David Carr","QB","NYG",616,0.588,NA,0.308,NA,0.588,0.298666666666667,2.58454786585173,NA
"David Douglas","WR","TB",667,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"David Gettis","WR","CAR",375,20.6,NA,NA,NA,20.6,20.6,2.67903040318498,NA
"David Gilreath","WR","PIT",668,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"David Johnson","RB",NA,532,5.3375,NA,NA,NA,5.3375,5.3375,2.21968713112659,NA
"David Nelson","WR","CLE",278,39.2625,NA,NA,23.5,39.2625,31.38125,11.920521935561,NA
"David Paulson","TE","PIT",334,26.5875,44.125,NA,NA,26.5875,35.35625,11.3318409071874,10.2
"David Reed","WR","BAL",414,15.9125,NA,NA,33.875,15.9125,24.89375,6.48810542127183,11.75
"David Thomas","TE",NA,298,33.875,NA,NA,33.875,33.875,33.875,12.182104241871,34.75
"David Wilson","RB","NYG",65,182.9825,176.075,186.3575,190.15,182.9825,183.682916666667,179.196134927078,103.71
"Davin Meggett","RB","IND",669,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Davone Bess","WR","CLE",190,77.3125,77.625,87.5375,48.625,77.3125,72.625,74.3592992529474,103.85
"DeAndre Hopkins","WR","HOU",134,112.675,100.25,125.9,96.3,112.675,109.810416666667,111.782098771987,NA
"Deangelo Peterson","TE","WAS",670,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"DeAngelo Williams","RB","CAR",148,100.465,84.775,105.1325,66.95,100.465,89.1722916666667,94.0674939480547,134.08
"Deion Branch","WR",NA,295,35.75,NA,NA,35.75,35.75,35.75,13.0986792246916,19.13
"Deji Karim","RB","HOU",522,6.275,NA,NA,NA,6.275,6.275,2.18700198751759,12.56
"Delanie Walker","TE","TEN",182,83.1,67.25,88.6625,81,83.1,79.8864583333333,78.8014061294092,64.06
"Delone Carter","RB","IND",335,26.3575,11.6,41.0175,NA,26.3575,26.2916666666667,14.9786470136959,32.33
"DeMarco Murray","RB","DAL",57,188.8925,163.625,199.27,214.3,188.8925,191.130208333333,214.182437325098,117.68
"Demarco Sampson","WR","PHI",604,1,NA,NA,NA,1,1,2.47466698964166,NA
"Demaryius Thomas","WR","DEN",34,218.7375,216.125,226.5,207.5,218.7375,216.857291666667,216.093772195225,231.25
"Demetrius Harris","TE","KC",671,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Denard Robinson","RB","JAC",236,54.6575,22.125,60.275,55.875,54.6575,47.9747916666667,46.9637287028086,NA
"Denarius Moore","WR","OAK",105,142.43,138.825,135.8625,151.5,142.43,142.319375,139.225568148964,137.27
"Dennis Dixon","QB","PHI",516,6.482,NA,4.862,NA,6.482,3.78133333333333,3.25117670355661,NA
"Dennis Johnson","RB","HOU",451,11.25,NA,NA,NA,11.25,11.25,2.14694120424298,NA
"Dennis Pitta","TE","BAL",109,135.6375,123.75,141.8125,140.5,135.6375,135.383333333333,134.197809369151,127.63
"Deon Butler","WR","SD",449,11.6875,NA,NA,23.375,11.6875,17.53125,4.87574334749087,NA
"Deonte Thompson","WR","BAL",385,19.275,NA,NA,NA,19.275,19.275,2.555408779701,11.16
"Derek Anderson","QB","CAR",602,1.116,NA,NA,NA,1.116,0.558,2.46562728981201,NA
"Derek Carrier","TE","PHI",672,NA,NA,NA,NA,NA,0,2.55765622217905,NA
"Derek Hagan","WR","TB",344,25.0125,NA,NA,46.625,25.0125,35.81875,10.6449611780015,32.38
"DeSean Jackson","WR","PHI",101,147.3825,140.625,147.675,160.525,147.3825,151.624375,147.901399346487,99.74
"Devery Henderson","WR","WAS",451,11.25,NA,NA,NA,11.25,11.25,2.14694120424298,48.8
"DeVier Posey","WR","HOU",362,21.73,NA,NA,29.25,21.73,25.49,7.99249749153381,20.58
