"name","pos","team","overallRank","pick","positionRank","projections","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","vor","sdPick","sdPts","risk","avgCost","projectedCost","inflatedCost"
"Dexter McCluster","WR","KC",194,NA,65,83.5625,73.1,71.675,36.825,83.5625,67.5697916666667,72.4200257807521,-60.8625,NA,20.3461692109965,6.41976660605895,NA,1,1
"James Casey","TE","PHI",195,NA,38,52.6625,NA,93.7375,46.975,52.6625,64.525,46.8519305553255,-60.8916666666667,NA,25.5154681435268,7.63008845994154,NA,1,1
"Ed Dickson","TE","BAL",196,NA,39,52.0125,52.625,56.7125,88.625,52.0125,62.49375,64.1593822377988,-61.5416666666667,NA,17.5453118738311,5.76398351264067,NA,1,1
"Anthony Fasano","TE","KC",197,NA,40,51.1375,NA,63.5,45.125,51.1375,53.2541666666667,39.9597954971387,-62.4166666666667,NA,9.36858391558369,3.84951258141997,NA,1,1
"Mohamed Sanu","WR","CIN",198,150.8,66,81.87,76.975,110.375,52.5,81.87,80.7441666666667,86.6553992339065,-62.555,16.1,23.7402509815433,6.11717969600971,NA,1,1
"Brian Quick","WR","STL",199,171.9,67,81.6625,83.375,84.8375,NA,81.6625,83.0083333333333,72.8091349208094,-62.7625,22.9,1.58913957327017,4.28609571896874,NA,1,1
"Joe Morgan","WR","NO",200,175.1,68,81.3925,68.975,94.7125,NA,81.3925,82.4483333333333,71.1069202313903,-63.0325,22.1,12.8713869525911,5.5172291732285,NA,1,1
"Denard Robinson","RB","JAC",201,166.95,65,49.125,22.125,61.2375,55.875,49.125,46.840625,49.2677564579992,-64.2866666666667,20.3,17.3658710280395,5.84165608315139,NA,1,1
"A.J. Jenkins","WR","SF",202,157.45,69,79.5,85.625,73.3375,NA,79.5,79.4541666666667,68.9565680992052,-64.925,15.5,6.14375953712383,3.98994386765063,NA,1,1
"Garrett Graham","TE","HOU",203,NA,41,48.2875,NA,53.3375,NA,48.2875,50.8125,25.2674209922067,-65.2666666666667,NA,3.57088924499206,2.49206031302875,NA,1,1
"Justin Hunter","WR","TEN",204,188.5,70,77.3375,71.25,82.1875,56.125,77.3375,71.5,75.4626679358499,-67.0875,12.3,11.3218032647925,4.23748923774949,NA,1,1
"Darrius Heyward-Bey","WR","IND",205,142.5,71,77.1375,86.05,112.6625,123.25,77.1375,99.9166666666667,103.450604835586,-67.2875,15.8,21.74086254422,5.84949229975234,1,2,2
"Kendall Hunter","RB","SF",206,181.3,66,44.5875,28.175,77.2075,62.7,44.5875,53.1425,53.8804725083044,-68.8241666666667,29.2,21.3465970160742,7.30513836073477,NA,1,1
"Jeremy Kerley","WR","NYJ",207,187.1,72,75.35,85.25,102.8625,44.625,75.35,77.0885416666667,82.8129075369894,-69.075,18.4,24.4116954019141,6.45355653164133,NA,1,1
"Zach Ertz","TE","PHI",208,232.5,42,44.2,63.625,30.4625,NA,44.2,46.0958333333333,35.9561778597383,-69.3541666666667,35.5,16.6623374585721,7.46283127036183,1,2,2
"LaMichael James","RB","SF",209,149,67,43.8875,53.325,82.7125,48.025,43.8875,56.8208333333333,58.7919506119349,-69.5241666666667,15.05,17.579589846372,5.27828318400544,NA,1,1
