"name","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","vor","sdPick","sdPts","avgCost","projectedCost","bidUpTo"
"Brandon Pettigrew","TE",107.4625,4.98849008750358,2,"DET",140,137.7,15,98.375,109.925,99.25,107.4625,103.411458333333,100.686738247235,-6.15000000000001,23,5.80384548345606,1,2,1
"Isaiah Pead","RB",106.8825,4.34118744516749,3,"STL",141,108.35,38,118.75,114.98,123.25,106.8825,115.757291666667,112.898288990176,-12.9883333333333,15.7,6.93516353297935,2.5,3,1
"Ryan Broyles","WR",106.575,7.56759475875595,2,"DET",142,140.05,57,75.625,131.6125,95.125,106.575,102.184375,112.166367101957,-43.7016666666667,21.3,23.3845911138617,1.1,2,1
"Vick Ballard","RB",103.035,4.35786708717053,7,"IND",143,106.65,39,110.25,106.1625,93.7,103.035,103.070208333333,100.911764169783,-16.8358333333333,15.7,7.0409739427511,6.9,8,1
"Mikel Leshoure","RB",102.7625,4.36187611139326,3,"DET",144,112.2,40,108.9,111.875,98.575,102.7625,105.228125,102.265366578109,-17.1083333333333,17.2,5.99018620154388,2.4,3,1
"Fred Jackson","RB",102.6925,6.23899963833157,3,"BUF",145,99.85,41,77.45,114.1575,127.375,102.6925,105.085416666667,112.703971585549,-17.1783333333333,12.6,21.1984754267062,2.6,3,1
"Darrius Heyward-Bey","WR",101.955,5.50833078312227,2,"IND",146,143.45,58,86.05,114.3375,123.25,101.955,106.525625,110.066307474528,-48.3216666666667,13.2,16.1328538205686,1.1,2,1
"Daryl Richardson","RB",101.605,4.89789557747679,2,"STL",147,99.65,42,103.425,92.8825,116.25,101.605,103.315625,102.718918566927,-18.2658333333333,16.85,9.64164326740174,1.7,2,1
"DeAngelo Williams","RB",100.465,5.70540562253904,4,"CAR",148,110.2,43,84.775,105.1325,66.95,100.465,89.1722916666667,94.0674939480547,-19.4058333333333,13.35,17.2754127272211,3.1,4,1
"Mohamed Sanu","WR",100.2975,6.5732693306621,2,"CIN",149,172.2,59,76.975,109.5375,114,100.2975,100.5575,104.029334820605,-49.9791666666667,22.1,16.5029190599724,1.2,2,1
"Jermaine Gresham","TE",100.2375,6.1036821886605,2,"CIN",150,143.7,16,84.625,100.0625,113.125,100.2375,99.2208333333333,100.135511857561,-13.375,24.7,11.6585581941622,1.3,2,1
"Andre Roberts","WR",100.0625,4.60186556913327,2,"ARI",151,168.5,60,104.85,91.2875,107.125,100.0625,101.185416666667,98.338815198399,-50.2141666666667,17.9,7.01036806570573,1.3,2,1
"Jordan Cameron","TE",99.7625,4.7197139613365,2,"CLE",152,140.6,17,86.875,93.4,97,99.7625,94.209375,91.2944921874681,-13.85,20.95,5.56964779519316,1.1,2,1
"Bernard Pierce","RB",98.21,5.66197275092413,3,"BAL",153,105,44,71.65,112.8075,84.5,98.21,91.691875,96.4218350758464,-21.6608333333333,12.35,17.7173680531045,2.8,4,1
"Johnathan Franklin","RB",97.975,6.05289018006682,3,"GB",154,119,45,130.825,92.52,101.975,97.975,105.757083333333,109.585095470364,-21.8958333333333,16.65,17.1120622052594,2,3,1
"Marcedes Lewis","TE",96.6375,5.79223667670307,1,"JAC",155,194.7,18,82.5,102.5125,90.125,96.6375,92.8354166666667,91.7821261746939,-16.975,26.2,8.60662596007672,1,1,1
"Fred Davis","TE",96.5875,5.42910823222413,2,"WAS",156,155.7,19,93.625,104.1625,98.25,96.5875,98.1395833333333,94.1107060016446,-17.025,28.8,4.43760563254556,1,2,1
"Ben Tate","RB",96.5775,5.16344770378662,3,"HOU",157,101.1,46,74.45,103.295,99.1,96.5775,93.1389583333333,94.7035289203288,-23.2933333333333,14.65,12.9046781528702,2.1,3,1
"Malcom Floyd","WR",96.1625,4.15378000035609,2,"SD",158,151.3,61,101,106.4125,97.75,96.1625,100.33125,96.1711406436266,-54.1141666666667,17.4,4.52659387214419,1,2,1
"Dwayne Allen","TE",94.4,5.90994591016747,2,"IND",159,178.4,20,78.25,102.3125,83.625,94.4,89.5885416666667,89.7641314914784,-19.2125,24.2,10.7882960067458,1,2,1
"Jacquizz Rodgers","RB",93.7,4.75702427549471,3,"ATL",160,128.1,47,94.725,96.55,106.875,93.7,97.8541666666667,94.7540845812245,-26.1708333333333,20.6,6.05745064638032,2.2,3,1
"Dustin Keller","TE",93.0875,4.44089538917387,2,"MIA",161,159.8,21,93.625,96.0875,92.375,93.0875,93.7854166666667,88.3338087844753,-20.525,24,1.61259689631352,1.1,2,1
"Ronnie Hillman","RB",93.05,5.97070949142913,1,"DEN",162,132.5,48,75.85,110.1925,82.5,93.05,90.2314583333333,92.7700675210256,-26.8208333333333,18.9,14.9764041321396,1,1,1
"Bryce Brown","RB",92.95,4.71901566560698,4,"PHI",163,99.35,49,84.725,103.2425,77.05,92.95,89.091875,89.7692332443029,-26.9208333333333,13.05,11.2333086130415,3.3,4,1
"Nate Burleson","WR",92.9075,3.47577501417303,1,"DET",164,183,62,87.9,95.5125,90.125,92.9075,91.99625,87.2874111710626,-57.3691666666667,13.1,3.31070643267163,1,1,1
