"name","pos","team_espn","positionRank_espn","overallRank_espn","passAtt_espn","passComp_espn","passYds_espn","passTds_espn","passInt_espn","rushYds_espn","rushTds_espn","recYds_espn","recTds_espn","twoPts_espn","fumbles_espn","pts_espn"
"Philip Rivers","QB","SD",23,28,552,352,3789,26,16,35,0,0,0,NA,NA,216
"Joe Flacco","QB","BAL",15,29,525,320,3892,21,11,27,1,0,0,NA,NA,215
"Andy Dalton","QB","CIN",18,30,520,307,3446,24,16,131,1,0,0,NA,NA,210
"Sam Bradford","QB","STL",17,31,531,322,3523,23,14,104,0,0,0,NA,NA,206
"Ryan Tannehill","QB","MIA",24,32,477,283,3249,18,11,227,2,0,0,NA,NA,205
"Dez Bryant","WR","DAL",3,33,0,0,0,0,0,3,0,1405,11,NA,NA,202
"A.J. Green","WR","CIN",2,34,0,0,0,0,0,37,0,1287,12,NA,NA,201
"Jay Cutler","QB","CHI",19,35,456,278,3141,21,14,232,1,0,0,NA,NA,200
"LeSean McCoy","RB","PHI",10,35,0,0,0,0,0,1120,4,529,3,NA,NA,200
"Michael Vick","QB","PHI",16,37,378,225,2676,18,13,417,2,0,0,NA,NA,198
"Brandon Marshall","WR","CHI",4,38,0,0,0,0,0,3,0,1365,10,NA,NA,196
"Steven Jackson","RB","ATL",11,39,0,0,0,0,0,976,9,371,1,NA,NA,192
"Julio Jones","WR","ATL",5,40,0,0,0,0,0,64,0,1227,10,NA,NA,186
"Matt Forte","RB","CHI",12,41,0,0,0,0,0,1043,4,448,2,NA,NA,182
"Stevan Ridley","RB","NE",13,42,0,0,0,0,0,1247,10,37,0,NA,NA,181
"Demaryius Thomas","WR","DEN",6,43,0,0,0,0,0,0,0,1249,10,NA,NA,180
"Frank Gore","RB","SF",14,44,0,0,0,0,0,1102,8,187,1,NA,NA,178
"Roddy White","WR","ATL",7,45,0,0,0,0,0,0,0,1290,8,NA,NA,177
"Andre Johnson","WR","HOU",9,45,0,0,0,0,0,0,0,1412,6,NA,NA,177
"Vincent Jackson","WR","TB",8,47,0,0,0,0,0,0,0,1334,7,NA,NA,175
"Jimmy Graham","TE","NO",1,48,0,0,0,0,0,0,0,1167,10,NA,NA,174
"Rob Gronkowski","TE","NE",2,49,0,0,0,0,0,0,0,978,13,NA,NA,173
"Chris Johnson","RB","TEN",15,50,0,0,0,0,0,1198,5,292,0,NA,NA,172
"Maurice Jones-Drew","RB","JAC",16,50,0,0,0,0,0,1042,6,288,1,NA,NA,172
"Randall Cobb","WR","GB",10,52,0,0,0,0,0,133,0,1186,7,NA,NA,171
"Alex Smith","QB","KC",25,53,361,217,2466,17,6,147,1,0,0,NA,NA,170
"Jake Locker","QB","TEN",26,53,378,209,2705,15,14,309,1,0,0,NA,NA,170
"Brandon Weeden","QB","CLE",27,53,448,249,3177,17,15,97,0,0,0,NA,NA,170
"Darren McFadden","RB","OAK",18,56,0,0,0,0,0,1088,5,306,1,NA,NA,168
"Larry Fitzgerald","WR","ARI",11,57,0,0,0,0,0,0,0,1256,7,NA,NA,167
"Christian Ponder","QB","MIN",28,58,422,260,2679,17,13,204,1,0,0,NA,NA,165
"David Wilson","RB","NYG",17,59,0,0,0,0,0,1067,4,267,2,NA,NA,164
"Reggie Bush","RB","DET",22,60,0,0,0,0,0,703,3,610,3,NA,NA,161
"Eddie Lacy","RB","GB",19,61,0,0,0,0,0,1009,8,133,0,NA,NA,159
"Darren Sproles","RB","NO",21,62,0,0,0,0,0,313,2,696,7,NA,NA,154
"Wes Welker","WR","DEN",12,62,0,0,0,0,0,16,0,1170,6,NA,NA,154
"Mike Wallace","WR","MIA",16,62,0,0,0,0,0,47,0,1108,7,NA,NA,154
"E.J. Manuel","QB","BUF",29,65,289,159,2109,11,17,403,4,0,0,NA,NA,152
"Victor Cruz","WR","NYG",13,65,0,0,0,0,0,0,0,1043,8,NA,NA,152
"DeMarco Murray","RB","DAL",20,67,0,0,0,0,0,975,5,289,0,NA,NA,151
"Marques Colston","WR","NO",14,68,0,0,0,0,0,0,0,1065,8,NA,NA,150
"Reggie Wayne","WR","IND",15,69,0,0,0,0,0,0,0,1210,5,NA,NA,149
"James Jones","WR","GB",22,70,0,0,0,0,0,0,0,1045,7,NA,NA,146
"Montee Ball","RB","DEN",23,71,0,0,0,0,0,814,8,98,1,NA,NA,142
"Ryan Mathews","RB","SD",25,72,0,0,0,0,0,915,3,298,1,NA,NA,140
"Lamar Miller","RB","MIA",26,73,0,0,0,0,0,905,5,220,0,NA,NA,138
"Torrey Smith","WR","BAL",28,73,0,0,0,0,0,24,0,946,7,NA,NA,138
"Steve Smith","WR","CAR",19,75,0,0,0,0,0,43,0,1117,4,NA,NA,137
"Matt Flynn","QB","OAK",30,76,313,184,2145,14,9,99,1,0,0,NA,NA,134
"Eric Decker","WR","DEN",20,76,0,0,0,0,0,0,0,883,8,NA,NA,134
"Antonio Brown","WR","PIT",23,76,0,0,0,0,0,42,0,980,6,NA,NA,134
"Jordy Nelson","WR","GB",24,76,0,0,0,0,0,0,0,1003,6,NA,NA,134
"Sidney Rice","WR","SEA",33,76,0,0,0,0,0,0,0,940,7,NA,NA,134
"Rashard Mendenhall","RB","ARI",31,81,0,0,0,0,0,806,6,137,1,NA,NA,133
"Tony Gonzalez","TE","ATL",3,81,0,0,0,0,0,0,0,856,8,NA,NA,133
"Dwayne Bowe","WR","KC",21,83,0,0,0,0,0,0,0,982,6,NA,NA,132
"Cecil Shorts","WR","JAC",26,84,0,0,0,0,0,0,0,970,6,NA,NA,131
"Daryl Richardson","RB","STL",33,85,0,0,0,0,0,706,5,289,1,NA,NA,130
"DeSean Jackson","WR","PHI",27,85,0,0,0,0,0,55,0,995,5,NA,NA,130
"Giovani Bernard","RB","CIN",29,87,0,0,0,0,0,704,3,390,1,NA,NA,129
"Chris Ivory","RB","NYJ",24,88,0,0,0,0,0,855,7,57,0,NA,NA,128
"Ahmad Bradshaw","RB","IND",27,88,0,0,0,0,0,654,6,233,1,NA,NA,128
"DeAngelo Williams","RB","CAR",28,88,0,0,0,0,0,779,5,195,1,NA,NA,128
"Shane Vereen","RB","NE",32,88,0,0,0,0,0,587,4,386,2,NA,NA,128
"Steve Johnson","WR","BUF",32,88,0,0,0,0,0,0,0,1008,5,NA,NA,128
"BenJarvus Green-Ellis","RB","CIN",30,93,0,0,0,0,0,846,6,98,0,NA,NA,127
"T.Y. Hilton","WR","IND",34,94,0,0,0,0,0,21,0,902,6,NA,NA,126
"Anquan Boldin","WR","SF",31,95,0,0,0,0,0,12,0,887,6,NA,NA,125
"Hakeem Nicks","WR","NYG",18,96,0,0,0,0,0,0,0,884,6,NA,NA,124
"Pierre Garcon","WR","WAS",25,97,0,0,0,0,0,18,0,889,6,NA,NA,123
"Mike Williams","WR","TB",36,97,0,0,0,0,0,0,0,954,5,NA,NA,123
"Jason Witten","TE","DAL",4,97,0,0,0,0,0,0,0,936,5,NA,NA,123
"Greg Jennings","WR","MIN",29,100,0,0,0,0,0,0,0,806,7,NA,NA,122
"Tavon Austin","WR","STL",30,101,0,0,0,0,0,78,0,823,5,NA,NA,119
"Miles Austin","WR","DAL",35,102,0,0,0,0,0,0,0,840,6,NA,NA,118
