"name","pos","team","projections","vor","simulation","sdPick","sdPts","risk","avgCost","inflatedCost","bidUpTo","bidUpToSim"
"Josh Gordon","WR","CLE",148.0375,-3.04916666666665,6.96602418710611,11.7,14.9340163301772,5.14794100615044,2.3,3,1,5
"Kenny Britt","WR","TEN",146.175,-4.91166666666666,8.57734711423598,10.45,23.5048252470814,6.38731122933355,2.2,3,1,8
"Miles Austin","WR","DAL",145.4,-5.68666666666667,0,10.4,6.24073897200217,3.61642044862133,3.7,4,1,1
"Jay Cutler","QB","CHI",219.598,-5.81200000000001,5.55682806169954,19,25.2278016481817,7.57709995932535,1.1,2,1,3
"Vick Ballard","RB","IND",112.91,-6.87583333333333,0,18.05,13.386178428389,5.5786498570782,6.7,7,1,1
"Matt Schaub","QB","HOU",218.314,-7.096,0,21,11.7617825179689,5.63371879310568,1.5,2,1,1
"Brandon Pettigrew","TE","DET",106.8875,-7.77500000000002,0,21.8,4.38534936607107,4.53758263924369,1,2,1,1
"Isaiah Pead","RB","STL",112.005,-7.78083333333333,0,16.45,5.0721385611331,4.07581704870562,2.5,3,1,1
"Denarius Moore","WR","OAK",143.12,-7.96666666666667,0,13.9,5.52637553578293,3.8760495903746,1.8,2,1,1
"Pierre Thomas","RB","NO",111.66,-8.12583333333333,0,15.95,12.3794314245782,5.19294015841156,2.8,3,1,1
"Philip Rivers","QB","SD",217.048,-8.36199999999999,0,17.85,5.05903294447993,4.22334307406977,1.9,3,1,1
"Anquan Boldin","WR","SF",142.6875,-8.39916666666667,0.693147180559945,11.8,7.16246364155984,3.91369764337268,2.6,3,1,1
"Danny Woodhead","RB","SD",109.4925,-10.2933333333333,0,17.5,11.0121745127836,5.13957496078925,1,2,1,1
"Fred Jackson","RB","BUF",107.4875,-12.2983333333333,2.89037175789616,13.6,21.2659419612676,6.36532002930115,2.6,3,1,1
"Mikel Leshoure","RB","DET",107.2925,-12.4933333333333,0,14.35,8.46011263099769,4.39410103704391,2.3,3,1,1
"Fred Davis","TE","WAS",100.0375,-14.625,0,28.3,4.36575809568052,5.22913376737789,1,2,1,1
"Alex Smith","QB","KC",209.95,-15.46,4.61512051684126,23,25.37286482314,8.02783895025446,1.6,2,1,1
"Marcedes Lewis","TE","JAC",98.975,-15.6875,0,27.4,10.3239626950685,6.08739528830164,1,2,1,1
"Emmanuel Sanders","WR","PIT",134.57,-16.5166666666667,0,16,3.1767176292257,3.7240942522121,1.3,2,1,1
"Sam Bradford","QB","STL",208.854,-16.556,0,24.8,12.8964131835173,6.2216022869504,1.4,2,1,1
"Jermaine Gresham","TE","CIN",97.15,-17.5125,0,26.3,11.7269604571048,6.19457972599299,1.3,2,1,1
"Dwayne Allen","TE","IND",96.65,-18.0125,0,25.1,12.8900938021865,6.25265257133884,1,2,1,1
"Jordan Cameron","TE","CLE",95.9125,-18.75,0,21.6,4.74032320232492,4.5730711055243,1.1,2,1,1
"Dustin Keller","TE","MIA",95.2125,-19.45,0,24.4,1.65192438285372,4.37758901473494,1.1,2,1,1
"Ryan Tannehill","QB","MIA",205.792,-19.618,7.98173328669189,21.4,46.7187990820255,11.2762597917683,2,3,1,15
"Bernard Pierce","RB","BAL",98.9825,-20.8033333333333,0,12.95,17.8145910468544,5.74297657354249,2.8,3,1,1
"Johnathan Franklin","RB","GB",98.585,-21.2008333333333,0,16.85,16.3430940435606,5.92407003865637,1.8,2,1,1
"Carson Palmer","QB","ARI",203.614,-21.796,0,18.75,3.61538066230007,4.08827109753045,1.1,2,1,1
"DeAngelo Williams","RB","CAR",97.695,-22.0908333333333,0,15,16.7271226075846,5.78786855401225,2.9,3,1,1
"Kendall Wright","WR","TEN",128.925,-22.1616666666667,0,16.8,6.13889580190661,4.28410805255281,1.2,2,1,1
"Jacquizz Rodgers","RB","ATL",96.8675,-22.9183333333333,0,19.8,5.39930218292142,4.48625790085346,2.2,3,1,1
"Michael Floyd","WR","ARI",127.6875,-23.3991666666667,2.30258509299405,16.75,13.3428678474994,5.43277400871798,1.2,2,1,1
"Rob Housler","TE","ARI",90.7625,-23.9,0,33.1,12.6433056232669,7.06812180942809,1,2,1,1
"Chris Givens","WR","STL",126.805,-24.2816666666667,6.82871207164168,14.8,23.5349971230789,6.85705205233182,1,2,1,8
"Ben Tate","RB","HOU",94.8475,-24.9383333333333,0,14.55,11.9040482216135,4.96716274020172,2.3,3,1,1
"Daryl Richardson","RB","STL",93.985,-25.8008333333333,0,16.15,12.911781824978,5.29959283157038,1.6,2,1,1
"Heath Miller","TE","PIT",88.675,-25.9875,0,26.05,11.8450999670398,6.18678575757744,1.6,2,1,1
"Justin Blackmon","WR","JAC",124.34,-26.7466666666667,4.29045944114839,16.9,17.9308614748195,6.18375946744839,2,3,1,1
"Santonio Holmes","WR","NYJ",122.95,-28.1366666666667,0.693147180559945,25.6,11.8863821547671,6.14530489611653,1,2,1,1
"Bryce Brown","RB","PHI",91.3125,-28.4733333333333,0,12.7,9.82934785052735,4.43709561099093,3.4,4,1,1
