"name","pos","team","overallRank","pick","positionRank","projections","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","vor","sdPick","sdPts","risk"
"Derek Anderson","QB","CAR",531,NA,56,2.97,NA,NA,NA,2.97,1.485,12.1662189944564,-205.908,NA,NA,NA
"Dan Orlovsky","QB","TB",532,NA,57,1.78,NA,0.338,NA,1.78,1.059,12.4304843325685,-207.098,NA,1.019647978471,1.88055156343578
"Matt Hasselbeck","QB","IND",533,NA,58,1.71,NA,NA,NA,1.71,0.855,12.3378408649412,-207.168,NA,NA,NA
"Luke McCown","QB",NA,534,NA,59,1.582,NA,NA,NA,1.582,1.582,12.3558993672457,-207.296,NA,NA,NA
"Graham Harrell","QB","GB",535,NA,60,1.578,NA,5.72,NA,1.578,3.649,12.2240482226106,-207.3,NA,2.92883628767468,2.32947543715993
"Austin Davis","QB",NA,536,NA,61,1.52,NA,NA,NA,1.52,1.52,12.3646878219212,-207.358,NA,NA,NA
"Brady Quinn","QB",NA,537,NA,62,1.498,NA,NA,NA,1.498,1.498,12.3678127954279,-207.38,NA,NA,NA
"Charlie Whitehurst","QB","SD",538,NA,63,1.442,NA,5.392,NA,1.442,3.417,12.2303784080906,-207.436,NA,2.79307178568686,2.29755196169511
"Ryan Mallett","QB","NE",539,NA,64,1.282,NA,2.108,NA,1.282,1.13,12.5677180992143,-207.596,NA,0.584070201260088,1.77813041298612
"Brock Osweiler","QB","DEN",540,NA,65,1.2,NA,5.13,NA,1.2,3.165,12.200490293233,-207.678,NA,2.77892965006313,2.29422659966752
"Ryan Nassib","QB",NA,541,NA,66,0.91,NA,NA,NA,0.91,0.91,12.4525943849437,-207.968,NA,NA,NA
"Mike Glennon","QB",NA,542,NA,67,0.87,NA,NA,NA,0.87,0.87,12.4584500534814,-208.008,NA,NA,NA
"Taylor Yates","QB",NA,542,NA,68,0.87,NA,NA,NA,0.87,0.87,12.4584500534814,-208.008,NA,NA,NA
"David Carr","QB","NYG",544,NA,69,0.86,NA,0.308,NA,0.86,0.389333333333333,12.5437678804294,-208.018,NA,0.390322943214974,1.73257295320818
"Kellen Clemens","QB","STL",545,NA,70,0.84,NA,NA,NA,0.84,0.42,12.4628491794181,-208.038,NA,NA,NA
"John Skelton","QB",NA,546,NA,71,0.72,NA,NA,NA,0.72,0.72,12.4805088934532,-208.158,NA,NA,NA
"B.J. Coleman","QB",NA,547,NA,72,0,NA,NA,NA,0,0,12.588591043338,-208.878,NA,NA,NA
"Brian Hoyer","QB","CLE",547,NA,72,0,NA,3.102,NA,0,3.102,12.1228468709352,-208.878,NA,2.19344523524067,2.15655661172544
"Byron Leftwich","QB","PIT",547,NA,72,0,NA,NA,NA,0,0,12.588591043338,-208.878,NA,NA,NA
"Curtis Painter","QB","NYG",547,NA,72,0,NA,1.83,NA,0,1.83,12.3119535025426,-208.878,NA,1.29400540957138,1.94506358677095
"David Garrard","QB","NYJ",547,NA,72,0,NA,7.59,NA,0,7.59,11.4764499576823,-208.878,NA,5.3669404692059,2.90276785071582
"Dennis Dixon","QB","PHI",547,NA,72,0,NA,4.862,NA,0,4.862,11.8654894350182,-208.878,NA,3.43795317012899,2.44918847015304
"Jeff Tuel","QB",NA,547,NA,72,0,NA,NA,NA,0,0,12.588591043338,-208.878,NA,NA,NA
"Landry Jones","QB",NA,547,NA,72,0,NA,NA,NA,0,0,12.588591043338,-208.878,NA,NA,NA
"Matt Leinart","QB","OAK",547,NA,72,0,NA,NA,NA,0,0,12.588591043338,-208.878,NA,NA,NA
"Scott Tolzien","QB",NA,547,NA,72,0,NA,NA,NA,0,0,12.588591043338,-208.878,NA,NA,NA
"T.J. Yates","QB","HOU",547,NA,72,0,NA,2.302,NA,0,2.302,12.2414776224049,-208.878,NA,1.62775981029143,2.02354213062199
"Tim Tebow","QB",NA,547,110.8,72,0,NA,NA,NA,0,0,12.588591043338,-208.878,52.5,NA,12.912429826249
"Tyler Thigpen","QB",NA,547,NA,72,0,NA,NA,NA,0,0,12.588591043338,-208.878,NA,NA,NA
