"name","pos","team","overallRank","projections","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent"
"Leonard Hankerson","WR","WAS",196,73.63,65.1,86.4125,30.125,73.63,63.844375,67.2651784464762
"Mike Tolbert","RB","CAR",197,73.395,72.35,91.78,17.4,73.395,63.6229166666667,69.6651396497533
"James Casey","TE","PHI",198,72.5125,NA,93.7375,46.975,72.5125,71.1416666666667,59.9919008322786
"Andrew Hawkins","WR","CIN",199,72.045,83.95,77.7,NA,72.045,78.585,65.4996026377623
"Scott Chandler","TE","BUF",200,71.225,NA,77.0125,83.25,71.225,77.1625,63.4366631278692
"Ryan Williams","RB","ARI",201,70.3175,113.425,64.8075,82.65,70.3175,82.6,84.5295001085863
"Chad Henne","QB","JAC",202,70.17,60.54,72.81,NA,70.17,67.5066666666667,55.5862414779205
"Nate Washington","WR","TEN",203,69.6,61.95,72.0625,84,69.6,71.9989583333333,70.0830070384029
"Robert Turbin","RB","SEA",204,69.2675,81.725,70.4875,63.525,69.2675,71.2345833333333,69.0837530231987
"Jarius Wright","WR","MIN",205,69.1675,71.2,86.4875,NA,69.1675,76.5983333333333,62.7617258583188
"Jake Ballard","TE","NE",206,68.8375,80.75,50.05,69.25,68.8375,67.1052083333333,66.377975069408
"Jacob Tamme","TE","DEN",207,67.7125,75.375,78.375,50,67.7125,67.865625,67.1532135451926
"Tony Scheffler","TE","DET",208,65.9625,53.5,65.95,82.125,65.9625,66.8760416666667,65.5986365434037
"Jon Baldwin","WR","KC",209,65.8625,42.25,64.5375,72.125,65.8625,61.09375,60.4058989832726
"Joel Dreessen","TE","DEN",210,65.2375,65,71.875,48.375,65.2375,62.521875,61.2565284182867
"LaMichael James","RB","SF",211,65.0125,53.325,82.7125,48.025,65.0125,62.1270833333333,62.058501252837
"Kevin Kolb","QB","BUF",212,64.342,97.08,56.83,95.72,64.342,78.0263333333333,78.7753302264736
"Domenik Hixon","WR","CAR",213,63.8,62,68.2,53.75,63.8,61.9375,59.7176493707553
"T.J. Graham","WR","BUF",214,63.725,46.7,77.0375,38.125,63.725,56.7177083333333,56.5105691776661
"Daniel Thomas","RB","MIA",215,63.6825,65.8,53.6925,63.1,63.6825,61.3520833333333,59.1893868062412
"Earl Bennett","WR","CHI",216,63.5,48.5,74.825,55.875,63.5,60.6666666666667,59.4750145901431
"Kendall Hunter","RB","SF",217,63.03,28.175,77.2075,62.7,63.03,57.7364583333333,58.1939149889927
"Jacoby Ford","WR","OAK",218,62.8175,70.65,65.2625,60.875,62.8175,65.6370833333333,62.0725609382038
"Mark Sanchez","QB","NYJ",219,61.756,33.2,50.592,90.06,61.756,58.402,59.0454439765196
"Harry Douglas","WR","ATL",220,61.4875,56.9,67.25,46.375,61.4875,58.0822916666667,56.3667350573411
"Kellen Winslow","TE","NYJ",221,61.35,65.375,NA,NA,61.35,63.0125,31.4704664471698
"Toby Gerhart","RB","MIN",222,61.255,58.825,61.605,56.575,61.255,59.3483333333333,56.8005035567489
"Justin Hunter","WR","TEN",223,60.8425,71.25,74.2625,56.125,60.8425,65.3266666666667,63.4834551842925
"Luke Stocker","TE","TB",224,60.725,56.75,43.5375,56.25,60.725,54.3072916666667,52.534898108837
"Juron Criner","WR","OAK",225,60.2075,NA,71.7625,NA,60.2075,44.0183333333333,33.9274944377751
"Terrance Williams","WR","DAL",226,58.125,57.25,74.45,80.825,58.125,68.7208333333333,65.6888087934299
"Ed Dickson","TE","BAL",227,57.8375,52.625,61.6125,69.625,57.8375,60.425,58.104991274422
"Mario Manningham","WR","SF",228,57.3125,48,NA,69.125,57.3125,58.0791666666667,42.2618468261095
"Keenan Allen","WR","SD",229,56.6625,59.675,69.1125,NA,56.6625,62.1083333333333,46.8248155040176
"Jason Avant","WR","PHI",230,56.3,69.875,62.3875,23,56.3,52.7572916666667,52.2936957104237
"Knile Davis","RB","KC",231,55.7125,15.575,72.9175,52.075,55.7125,48.9033333333333,48.4851614944409
"LaRod Stephens-Howling","RB","PIT",232,55.36,26.575,72.4625,NA,55.36,51.3658333333333,38.3889991547688
"Anthony Fasano","TE","KC",233,55.2125,NA,63.5,45.125,55.2125,54.6125,40.144551154129
"Mike Gillislee","RB","MIA",234,55.0825,51.85,62.9425,46.85,55.0825,53.9729166666667,52.1161259311592
"Knowshon Moreno","RB","DEN",235,55.0725,37.05,62.4375,45.375,55.0725,49.7754166666667,48.4452551282927
"Denard Robinson","RB","JAC",236,54.6575,22.125,60.275,55.875,54.6575,47.9747916666667,46.9637287028086
"Michael Jenkins","WR","NE",237,54.2,NA,NA,42.75,54.2,48.475,21.6615945046906
"Julian Edelman","WR","NE",238,53.8925,63.625,NA,91.75,53.8925,69.6225,50.4668731151987
"Dwayne Harris","WR","DAL",239,53.5,51.25,NA,56.375,53.5,53.6916666666667,38.1040901122159
"Tiquan Underwood","WR","TB",240,53.405,44,NA,60.875,53.405,52.7433333333333,37.2948879973944
"Jordan Shipley","WR","JAC",241,52.3625,61.625,65.1625,28.5,52.3625,51.9125,50.4313614133319
"Travis Benjamin","WR","CLE",242,52.2025,NA,NA,55.25,52.2025,53.72625,23.5385012173351
"Rashad Jennings","RB","OAK",243,52.135,59.45,66.8425,50,52.135,56.906875,54.770056450225
"Travis Kelce","TE","KC",244,51.9875,59.125,62.5375,NA,51.9875,57.75,42.4165932672373
"Jeff Cumberland","TE","NYJ",245,50.7625,NA,66.8625,31.875,50.7625,49.8333333333333,35.5893948118153
"Isaac Redman","RB","PIT",246,50.68,57.975,39.3925,47.1,50.68,48.6702083333333,46.7561045665467
"Garrett Graham","TE","HOU",247,50.15,NA,53.3375,NA,50.15,51.74375,23.4928358558336
"Joique Bell","RB","DET",248,49.8,30.75,55.2925,61.425,49.8,49.1085416666667,47.2589608585131
"Braylon Edwards","WR",NA,249,49.625,NA,NA,49.625,49.625,49.625,21.1327598360317
"Justin Forsett","RB","JAC",250,48.955,53.025,53.9625,27.325,48.955,45.716875,43.933219441416
"Jerome Simpson","WR","MIN",251,48.425,55.625,NA,54.375,48.425,52.6916666666667,36.3743279120692
"David Ausberry","TE","OAK",252,48.3875,NA,52.0375,NA,48.3875,50.2125,22.3447790226225
"Jerricho Cotchery","WR","PIT",253,48.2375,NA,67.0375,40.875,48.2375,52.0666666666667,36.6834013745176
"Tony Moeaki","TE","KC",254,47.5875,NA,54.9875,55.25,47.5875,52.6083333333333,36.7631419273226
"Kevin Ogletree","WR","TB",255,46.4,19.425,59.0875,40.625,46.4,41.5302083333333,39.1828414305945
"Willis McGahee","RB","FA",256,46.2075,57.8,NA,106.675,46.2075,70.0108333333333,48.065955048194
"Michael Crabtree","WR","SF",257,45.755,NA,65.5125,NA,45.755,55.64875,24.3463595224661
"Quinton Patton","WR","SF",258,45.5425,56.125,NA,56.45,45.5425,52.6891666666667,35.6478688778129
