"name","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"Donald Brown","RB","IND",80,256,NA,NA,NA,NA,NA,NA,NA,65,268.7,4.1,1,12.3,99,8,0.3,NA,0.3,29.2
"Jake Ballard","TE","NE",43,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3,219,12,2.3,NA,0,27.8
"Zach Ertz","TE","PHI",44,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,241.3,12.1,1.7,NA,0,27.2
"Terrelle Pryor","QB","OAK",37,260,76.7,47,452,2.3,2.3,61.3,5.9,13.7,71,5.2,0.7,NA,NA,NA,NA,NA,0.7,27
"Mike Goodson","RB","NYJ",81,261,NA,NA,NA,NA,NA,NA,NA,47,207.3,4.4,1,19,128.7,6.8,0.7,NA,0.7,26.8
"Kirk Cousins","QB","WAS",38,262,62.3,39,457.3,3,1.7,62.6,7.3,4,14.3,3.6,0,NA,NA,NA,NA,NA,0,26.6
"Dion Lewis","RB","CLE",82,263,NA,NA,NA,NA,NA,NA,NA,36,165.3,4.6,0.7,16.3,131,8,1,NA,0,25.2
"Isaac Redman","RB","PIT",83,264,NA,NA,NA,NA,NA,NA,NA,54.7,240.7,4.4,1,13.3,105.3,7.9,0,NA,1,25
"Benjamin Watson","TE","NO",45,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.3,246.7,12.8,1.3,NA,0,24.8
"Jonathan Dwyer","RB","PIT",84,265,NA,NA,NA,NA,NA,NA,NA,58.3,282.3,4.8,0.7,7.7,53.3,6.9,0,NA,0.7,24.8
"Luke Stocker","TE","TB",46,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.7,250,12.1,1.3,NA,0,24.8
