"name","pos","team_fp","overallRank_fp","passAtt_fp","passComp_fp","passYds_fp","passTds_fp","passInt_fp","rushYds_fp","rushTds_fp","rec_fp","recYds_fp","recTds_fp","twoPts_fp","fumbles_fp","pts_fp"
"Denard Robinson","RB","JAC",224,NA,NA,NA,NA,NA,265.5,1.3,18.4,162.9,0.5,NA,0.9,52.2
"Earl Bennett","WR","CHI",225,NA,NA,NA,NA,NA,0,0,33,396.7,2.1,NA,0.1,52.1
"Joseph Randle","RB","DAL",226,NA,NA,NA,NA,NA,310.9,1.7,12,92.6,0.3,NA,0.2,51.9
"Rashad Jennings","RB","OAK",227,NA,NA,NA,NA,NA,331.8,1.4,14.3,107,0.2,NA,0.7,51.5
"Harry Douglas","WR","ATL",228,NA,NA,NA,NA,NA,1.3,0,33.8,416.9,1.5,NA,0,50.7
"Laurent Robinson","WR",NA,229,NA,NA,NA,NA,NA,0,0,0,384,2,NA,0,50.4
"Doug Baldwin","WR","SEA",230,NA,NA,NA,NA,NA,0,0,27,349.6,2.6,NA,0.1,50.3
"Dwayne Harris","WR","DAL",230,NA,NA,NA,NA,NA,0,0,29.5,392.5,1.9,NA,0.1,50.3
"Andrew Hawkins","WR","CIN",232,NA,NA,NA,NA,NA,15.9,0,33.3,387.5,1.6,NA,0,50
"Mike Goodson","RB","NYJ",233,NA,NA,NA,NA,NA,255.8,1.1,18,144.5,0.7,NA,0.5,49.8
"Mike Gillislee","RB","MIA",234,NA,NA,NA,NA,NA,301.7,1.6,13.7,99.2,0.2,NA,0.5,49.7
"T.J. Graham","WR","BUF",235,NA,NA,NA,NA,NA,9,0,30.1,394.3,1.6,NA,0.3,49.4
"David Ausberry","TE","OAK",236,NA,NA,NA,NA,NA,NA,NA,30.1,360.7,2.2,NA,0.1,49.3
"Anthony Fasano","TE","KC",237,NA,NA,NA,NA,NA,NA,NA,31.9,338.3,2.5,NA,0.1,49
"Luke Stocker","TE","TB",238,NA,NA,NA,NA,NA,NA,NA,32.3,348.9,2.3,NA,0.1,48.3
"Latavius Murray","RB","OAK",239,NA,NA,NA,NA,NA,276.3,1.6,11.9,90,0.5,NA,0.4,48.1
"Zach Ertz","TE","PHI",239,NA,NA,NA,NA,NA,NA,NA,29.1,337.7,2.4,NA,0.1,48.1
"LaRod Stephens-Howling","RB","PIT",241,NA,NA,NA,NA,NA,184.5,0.9,21.6,176,1.3,NA,0.3,48
"Christine Michael","RB","SEA",242,NA,NA,NA,NA,NA,290.2,1.7,10.6,82.8,0.1,NA,0.1,47.6
"Damaris Johnson","WR","PHI",242,NA,NA,NA,NA,NA,0,0,26.4,368.2,2.1,NA,0.8,47.6
"Eddie Royal","WR","SD",242,NA,NA,NA,NA,NA,10.5,0,31.2,358,2.1,NA,0.8,47.6
"Juron Criner","WR","OAK",245,NA,NA,NA,NA,NA,0,0,27.4,367.1,1.8,NA,0,47.2
"Justin Hunter","WR","TEN",246,NA,NA,NA,NA,NA,0,0,23.6,369.9,1.9,NA,0.8,47
"Kellen Winslow","TE","NYJ",247,NA,NA,NA,NA,NA,NA,NA,32.5,367.9,1.9,NA,0.6,46.9
"Travis Kelce","TE","KC",248,NA,NA,NA,NA,NA,NA,NA,28.5,330.1,2.4,NA,0.3,46.6
"Roy Helu","RB","WAS",249,NA,NA,NA,NA,NA,221.6,0.9,21.8,161,0.5,NA,0.6,46
"Isaac Redman","RB","PIT",250,NA,NA,NA,NA,NA,259.3,1.4,16.2,123.4,0.2,NA,1,45.5
"Brandon Stokley","WR",NA,251,NA,NA,NA,NA,NA,0,0,27.4,354.1,1.7,NA,0,45.4
"Percy Harvin","WR","SEA",252,NA,NA,NA,NA,NA,34.7,0,25.1,307,2,NA,0.6,44.9
"Jeff Cumberland","TE","NYJ",253,NA,NA,NA,NA,NA,NA,NA,29.7,327.3,1.9,NA,0.1,44.3
"Matt Cassel","QB","MIN",253,123.2,74.7,812.4,5.1,5.1,42.8,0,NA,NA,NA,NA,1.4,44.3
"Randy Moss","WR",NA,253,NA,NA,NA,NA,NA,0,0,0,323,2,NA,0,44.3
"Garrett Graham","TE","HOU",256,NA,NA,NA,NA,NA,NA,NA,28.6,310.7,2.2,NA,0.1,44.2
"Lance Dunbar","RB","DAL",257,NA,NA,NA,NA,NA,247.8,1.3,14.2,95.5,0.5,NA,0.8,43.6
"Jerricho Cotchery","WR","PIT",258,NA,NA,NA,NA,NA,0,0,29.3,361.7,1.2,NA,0,43.4
"Jonathan Dwyer","RB","PIT",259,NA,NA,NA,NA,NA,319,1.2,6.4,51.3,0,NA,0.5,43.3
"Braylon Edwards","WR","NYJ",260,NA,NA,NA,NA,NA,0,0,24,314.5,2,NA,0.1,43.2
"Justin Forsett","RB","JAC",261,NA,NA,NA,NA,NA,290.5,0.8,12.6,87.3,0.2,NA,0.2,43
"Terrance Williams","WR","DAL",262,NA,NA,NA,NA,NA,0,0,23.7,345.8,1.4,NA,0,42.8
"Dion Lewis","RB","CLE",263,NA,NA,NA,NA,NA,240.2,0.9,14.4,121.4,0.2,NA,0.2,42.2
"Mario Manningham","WR","SF",263,NA,NA,NA,NA,NA,0,0,20.9,313.1,1.9,NA,0.3,42.2
"Austin Pettis","WR","STL",265,NA,NA,NA,NA,NA,0,0,25.8,313.6,1.8,NA,0.3,41.5
"Michael Crabtree","WR","SF",266,NA,NA,NA,NA,NA,0,0,19.2,264,2.4,NA,0,40.9
"Ronnie Brown","RB","SD",266,NA,NA,NA,NA,NA,217.5,0.6,19.1,161.2,0.1,NA,0.5,40.9
"Tony Moeaki","TE","KC",268,NA,NA,NA,NA,NA,NA,NA,26.6,327.1,1.2,NA,0,40
"Travis Benjamin","WR","CLE",269,NA,NA,NA,NA,NA,10.3,0,17.5,304.6,1.6,NA,0.7,39.9
"Kevin Ogletree","WR","TB",270,NA,NA,NA,NA,NA,4.3,0,22.9,308.6,1.4,NA,0.1,39.8
"Stepfan Taylor","RB","ARI",271,NA,NA,NA,NA,NA,269.5,1.4,8.2,52.4,0,NA,0.6,39.7
"DuJuan Harris","RB","GB",272,NA,NA,NA,NA,NA,250.4,1.1,8.6,72.4,0.2,NA,0.7,38.9
"Tiquan Underwood","WR","TB",273,NA,NA,NA,NA,NA,0,0,20.6,289.5,1.6,NA,0,38.8
"Ryan Fitzpatrick","QB","TEN",274,101.3,60.6,651.9,4.2,3.2,28.3,0.2,NA,NA,NA,NA,1.1,38.6
"Jordan Shipley","WR","JAC",275,NA,NA,NA,NA,NA,0,0,29.7,307.2,1.3,NA,0,38.4
"Marvin Jones","WR","CIN",276,NA,NA,NA,NA,NA,4.7,0,19.6,276.4,1.7,NA,0.1,38.1
"Zach Sudfeld","TE","NE",276,NA,NA,NA,NA,NA,NA,NA,21.1,235.8,2.5,NA,0.2,38.1
"Donald Brown","RB","IND",278,NA,NA,NA,NA,NA,239.4,0.8,10.3,83.1,0.2,NA,0.2,38
"Jake Ballard","TE","NE",279,NA,NA,NA,NA,NA,NA,NA,17.2,231.8,2.4,NA,0.2,37
"Evan Royster","RB","WAS",280,NA,NA,NA,NA,NA,197,0.9,11.6,87.5,0.4,NA,0,36.7
"Joe Morgan","WR","NO",281,NA,NA,NA,NA,NA,10.5,0,17.2,263.4,1.5,NA,0,36.4
"Jerome Simpson","WR","MIN",282,NA,NA,NA,NA,NA,0,0,21.2,300.8,1.2,NA,0.6,36.1
"Dallas Clark","TE",NA,283,NA,NA,NA,NA,NA,NA,NA,22.8,252,1.9,NA,0.5,35.4
"Louis Murphy","WR","NYG",284,NA,NA,NA,NA,NA,2,0,19.8,291.4,0.8,NA,0,34.3
"Ace Sanders","WR","JAC",285,NA,NA,NA,NA,NA,0,0,19.9,270.2,1.2,NA,0.3,33.9
"Nick Toon","WR","NO",286,NA,NA,NA,NA,NA,6.6,0,17.3,226.5,1.7,NA,0,33.8
"John Kuhn","RB","GB",287,NA,NA,NA,NA,NA,83.6,1.5,16.5,101.5,1.1,NA,0.3,33.7
"David Nelson","WR","CLE",288,NA,NA,NA,NA,NA,0,0,25.8,284.8,0.9,NA,0,33.6
"Benjamin Watson","TE","NO",289,NA,NA,NA,NA,NA,NA,NA,18.1,237,1.6,NA,0,33.2
"Lance Kendricks","TE","STL",290,NA,NA,NA,NA,NA,NA,NA,18.6,232.4,1.7,NA,0,33.1
"Jason Snelling","RB","ATL",291,NA,NA,NA,NA,NA,118.7,0.6,18.9,138.7,0.8,NA,0.4,33
"Stedman Bailey","WR","STL",292,NA,NA,NA,NA,NA,0,0,18.8,251.9,1.3,NA,0.2,32.7
"Montario Hardesty","RB","CLE",293,NA,NA,NA,NA,NA,224.1,0.9,6,46.8,0,NA,0.1,32.5
"Vance McDonald","TE","SF",293,NA,NA,NA,NA,NA,NA,NA,18.5,237.5,1.5,NA,0.1,32.5
"Tom Crabtree","TE","TB",295,NA,NA,NA,NA,NA,NA,NA,20.3,219.3,1.7,NA,0,32.2
"Mike James","RB","TB",296,NA,NA,NA,NA,NA,207.8,1.1,6,46.1,0.2,NA,0.5,32.1
"Plaxico Burress","WR","PIT",297,NA,NA,NA,NA,NA,0,0,15,202.2,1.9,NA,0,31.9
"Tommy Streeter","WR","BAL",297,NA,NA,NA,NA,NA,0,0,17.1,256.2,1.1,NA,0,31.9
"Julius Thomas","TE","DEN",299,NA,NA,NA,NA,NA,NA,NA,17,222.2,1.7,NA,0.4,31.7
"Tandon Doss","WR","BAL",299,NA,NA,NA,NA,NA,0,0,21.2,257.3,1,NA,0,31.7
"Keshawn Martin","WR","HOU",301,NA,NA,NA,NA,NA,23.3,0.1,20.9,246.5,0.8,NA,0.3,31.3
"Kenny Stills","WR","NO",302,NA,NA,NA,NA,NA,0,0,15.5,234.5,1.4,NA,0.3,31
"Kevin Walter","WR","TEN",303,NA,NA,NA,NA,NA,0,0,17.1,242.5,1.1,NA,0,30.8
"Marquise Goodwin","WR","BUF",304,NA,NA,NA,NA,NA,0,0,14.4,242.1,1.2,NA,0.5,30.6
"Brian Leonard","RB","TB",305,NA,NA,NA,NA,NA,147.3,0.5,19.9,123.6,0.1,NA,0.1,30.4
"LeGarrette Blount","RB","NE",306,NA,NA,NA,NA,NA,182.2,2,1.7,11.8,0,NA,0.6,30.1
"Kirk Cousins","QB","WAS",307,61.5,38.3,454.6,3.3,1.8,19.1,0,NA,NA,NA,NA,0.1,29.4
"Mohamed Massaquoi","WR","JAC",307,NA,NA,NA,NA,NA,0,0,18.8,257.7,0.7,NA,0.4,29.4
"Michael Jenkins","WR","NE",309,NA,NA,NA,NA,NA,0,0,17.2,226.7,1.2,NA,0.3,29.3
"Quinton Patton","WR","SF",309,NA,NA,NA,NA,NA,0,0,15.6,250,0.7,NA,0,29.3
"Deion Branch","WR",NA,311,NA,NA,NA,NA,NA,0,0,0,286,0,NA,0,28.6
"Da'Rick Rogers","WR","BUF",312,NA,NA,NA,NA,NA,7,0,13.3,197.4,1.3,NA,0,28.5
"Charles Johnson","WR","GB",313,NA,NA,NA,NA,NA,0,0,0,223,1,NA,0,28.3
"Shaun Draughn","RB","KC",313,NA,NA,NA,NA,NA,181.5,0.6,10.1,73.8,0,NA,0.7,28.3
"Andre Ellington","RB","ARI",315,NA,NA,NA,NA,NA,158,0.3,10.6,84.7,0.4,NA,0,28.2
"Damian Williams","WR","TEN",315,NA,NA,NA,NA,NA,0,0,18.6,229.6,0.9,NA,0,28.2
"Matt Barkley","QB","PHI",317,76.2,47.1,514.7,2.8,1.7,10.7,0,NA,NA,NA,NA,1,27.6
"Phillip Tanner","RB","DAL",318,NA,NA,NA,NA,NA,182.4,0.7,5.3,46.6,0.1,NA,0.1,27.3
"David Thomas","TE",NA,319,NA,NA,NA,NA,NA,NA,NA,0,271,0,NA,0,27.1
"Visanthe Shiancoe","TE","BAL",320,NA,NA,NA,NA,NA,NA,NA,16,189.1,1.3,NA,0,26.5
"LaVon Brazill","WR","IND",321,NA,NA,NA,NA,NA,0,0,15.7,238.6,0.6,NA,0.5,26.4
"Luke Willson","TE","SEA",322,NA,NA,NA,NA,NA,NA,NA,13.4,159.1,1.7,NA,0.2,26
"Mike Thomas","WR","DET",322,NA,NA,NA,NA,NA,0,0,14.9,198.2,1.2,NA,0.5,26
"Delone Carter","RB","IND",324,NA,NA,NA,NA,NA,140.6,1.8,1.9,10.8,0,NA,0.1,25.6
"Gavin Escobar","TE","DAL",325,NA,NA,NA,NA,NA,NA,NA,15.1,175.5,1.3,NA,0,25.2
"Jorvorski Lane","RB","MIA",326,NA,NA,NA,NA,NA,61.7,1.7,8.3,58,0.7,NA,0.7,24.7
"Ramses Barden","WR","NYG",327,NA,NA,NA,NA,NA,0,0,4.5,204,0.7,NA,0,24.5
"Felix Jones","RB","PHI",328,NA,NA,NA,NA,NA,153.6,0.3,5.8,62.3,0.2,NA,0,24.4
"Charles Clay","TE","MIA",329,NA,NA,NA,NA,NA,NA,NA,16.1,190.6,0.9,NA,0.1,24.3
"Lestar Jean","WR","HOU",330,NA,NA,NA,NA,NA,0,0,12.8,193.8,0.8,NA,0,24.1
"Rishard Matthews","WR","MIA",330,NA,NA,NA,NA,NA,0,0,12.7,197.9,0.7,NA,0,24.1
"Terrelle Pryor","QB","OAK",330,56.4,33.8,327.7,1.8,1.8,55.8,0.5,NA,NA,NA,NA,0.6,24.1
"Joe McKnight","RB","NYJ",333,NA,NA,NA,NA,NA,140.6,0.4,9.2,84.6,0,NA,0.7,23.9
"William Powell","RB",NA,333,NA,NA,NA,NA,NA,118.2,0,15.6,120.4,0,NA,0,23.9
"Donald Jones","WR",NA,335,NA,NA,NA,NA,NA,0,0,14.7,197.4,0.7,NA,0,23.6
"Josh Boyce","WR","NE",336,NA,NA,NA,NA,NA,0,0,13.4,206.4,0.5,NA,0,23.5
"Jeff King","TE","ARI",337,NA,NA,NA,NA,NA,NA,NA,15.1,150.7,1.4,NA,0,23.3
"Kenjon Barner","RB","CAR",338,NA,NA,NA,NA,NA,163.2,0.6,4.2,34,0,NA,0.3,22.9
"Armando Allen","RB","CHI",339,NA,NA,NA,NA,NA,143.9,0.4,6.8,58.6,0,NA,0,22.8
"Craig Stevens","TE","TEN",339,NA,NA,NA,NA,NA,NA,NA,13.6,184,0.7,NA,0,22.8
"Leon Washington","RB","NE",339,NA,NA,NA,NA,NA,103.8,0.6,11.9,87.8,0.1,NA,0.3,22.8
"Chris Ogbonnaya","RB","CLE",342,NA,NA,NA,NA,NA,126.2,0.1,10.1,91.7,0.3,NA,0.6,22.7
"Brandon Bolden","RB","NE",343,NA,NA,NA,NA,NA,146.5,1,2.1,19.7,0,NA,0,22.6
"Peyton Hillis","RB","TB",344,NA,NA,NA,NA,NA,126.3,1.1,3.6,31.3,0,NA,0,22.5
"Clyde Gates","WR","NYJ",345,NA,NA,NA,NA,NA,0,0,13.1,176.1,0.9,NA,0.3,22.3
"Robert Meachem","WR","SD",346,NA,NA,NA,NA,NA,3.7,0,10.2,166.7,0.8,NA,0,21.9
"Mychal Rivera","TE","OAK",347,NA,NA,NA,NA,NA,NA,NA,15,176.2,0.7,NA,0,21.8
"Vonta Leach","RB","BAL",348,NA,NA,NA,NA,NA,25.6,1,15.7,117.1,0.2,NA,0,21.5
"David Paulson","TE","PIT",349,NA,NA,NA,NA,NA,NA,NA,13.2,148.7,1,NA,0,21.1
"Kyle Williams","WR","SF",349,NA,NA,NA,NA,NA,0,0,9.3,169.9,0.7,NA,0,21.1
"Alex Green","RB","GB",351,NA,NA,NA,NA,NA,136.6,0.3,5.5,36.7,0.3,NA,0,20.9
"Virgil Green","TE","DEN",352,NA,NA,NA,NA,NA,NA,NA,12.2,156.9,0.9,NA,0,20.8
"Logan Paulsen","TE","WAS",353,NA,NA,NA,NA,NA,NA,NA,13,149.7,0.9,NA,0,20.3
"Russell Shepard","WR","PHI",354,NA,NA,NA,NA,NA,0,0,13.9,168.7,0.5,NA,0,20.1
"Bruce Gradkowski","QB","PIT",355,64,36.6,435.9,1.9,2.3,9.7,0,NA,NA,NA,NA,0.7,20
"Courtney Roby","WR","NO",356,NA,NA,NA,NA,NA,0,0,0,135.5,1,NA,0,19.6
"Jamie Harper","RB",NA,356,NA,NA,NA,NA,NA,84,1.2,2,24.4,0.3,NA,0.3,19.6
"Steve Breaston","WR","NO",356,NA,NA,NA,NA,NA,0,0,13,157.9,0.6,NA,0,19.6
"John Phillips","TE","SD",359,NA,NA,NA,NA,NA,NA,NA,14,135.9,1,NA,0.1,19.5
"Cole Beasley","WR","DAL",360,NA,NA,NA,NA,NA,0,0,14.4,153.8,0.7,NA,0,19.4
"Marcus Easley","WR","BUF",361,NA,NA,NA,NA,NA,0,0,9.3,138.2,0.9,NA,0,19.2
"Cedric Peerman","RB","CIN",362,NA,NA,NA,NA,NA,118.1,0.4,4.5,34.5,0.3,NA,0.1,19.1
"Deonte Thompson","WR","BAL",363,NA,NA,NA,NA,NA,0,0,10.1,143.4,0.8,NA,0.1,19
"John Carlson","TE","MIN",363,NA,NA,NA,NA,NA,NA,NA,15,158.1,0.5,NA,0,19
"Aldrick Robinson","WR","WAS",365,NA,NA,NA,NA,NA,0,0,6.6,134.7,0.9,NA,0,18.9
"Matt Spaeth","TE","PIT",365,NA,NA,NA,NA,NA,NA,NA,12,126.2,1.1,NA,0,18.9
"Chris Polk","RB","PHI",367,NA,NA,NA,NA,NA,129.6,0.6,3,21.6,0,NA,0.1,18.8
"DeVier Posey","WR","HOU",367,NA,NA,NA,NA,NA,0,0,10.3,153.8,0.6,NA,0,18.8
"Derek Hagan","WR","TB",369,NA,NA,NA,NA,NA,0,0,4,146.7,0.7,NA,0,18.7
"Justin Brown","WR","PIT",370,NA,NA,NA,NA,NA,0,0,4.2,145.7,0.7,NA,0,18.6
"Will Johnson","RB","PIT",370,NA,NA,NA,NA,NA,18.2,0.4,10.2,88,0.9,NA,0,18.6
"Bernard Scott","RB","CIN",372,NA,NA,NA,NA,NA,110.2,0.3,8.6,59.3,0.3,NA,0.8,18.4
"Ted Ginn Jr.","WR","CAR",373,NA,NA,NA,NA,NA,0,0,11.1,174,0.2,NA,0.2,18.3
"Anthony McCoy","TE","SEA",374,NA,NA,NA,NA,NA,NA,NA,8.9,127.6,0.9,NA,0,18.2
"D.J. Williams","TE","GB",375,NA,NA,NA,NA,NA,NA,NA,10,108.5,1.2,NA,0,18.1
"Jordan Reed","TE","WAS",376,NA,NA,NA,NA,NA,NA,NA,9.3,124.4,0.9,NA,0,17.7
"Ricardo Lockette","WR","SF",376,NA,NA,NA,NA,NA,0,0,9.8,123.1,0.9,NA,0,17.7
"James Starks","RB","GB",378,NA,NA,NA,NA,NA,132.5,0.2,2.6,17.4,0.2,NA,0,17.6
"Josh Cribbs","WR","OAK",379,NA,NA,NA,NA,NA,0,0,11.3,146.9,0.5,NA,0.3,17.4
"Tavarres King","WR","DEN",379,NA,NA,NA,NA,NA,0,0,7.4,152.9,0.4,NA,0,17.4
"Andrew Quarless","TE","GB",381,NA,NA,NA,NA,NA,NA,NA,10,118.7,0.9,NA,0,17.2
"Taiwan Jones","RB","OAK",381,NA,NA,NA,NA,NA,155,0,0,17,0,NA,0,17.2
"Anthony Dixon","RB","SF",383,NA,NA,NA,NA,NA,78.6,1.4,1.5,9.3,0,NA,0,17.1
"Jason Campbell","QB","CLE",384,45.4,26.9,316,1.8,1.8,12.1,0,NA,NA,NA,NA,0.3,17
"Anthony Armstrong","WR","DAL",385,NA,NA,NA,NA,NA,0,0,7.3,128.9,0.7,NA,0,16.9
"Brad Smith","WR","BUF",385,NA,NA,NA,NA,NA,47.5,0,8.4,89.8,0.5,NA,0,16.9
"Lance Ball","RB","DEN",387,NA,NA,NA,NA,NA,95.2,0.6,3.9,31.5,0.3,NA,0.4,16.7
"Andre Caldwell","WR","DEN",388,NA,NA,NA,NA,NA,0,0,10.5,143.1,0.4,NA,0,16.6
"Lee Smith","TE","BUF",388,NA,NA,NA,NA,NA,NA,NA,10.3,124.8,0.7,NA,0,16.6
"Gary Barnidge","TE","CLE",390,NA,NA,NA,NA,NA,NA,NA,11.2,134.2,0.5,NA,0,16.4
"Marquess Wilson","WR","CHI",391,NA,NA,NA,NA,NA,0,0,5.3,162.1,0.2,NA,0.5,16.3
"Taylor Thompson","TE","TEN",391,NA,NA,NA,NA,NA,NA,NA,11.9,134,0.5,NA,0,16.3
"Drew Davis","WR","ATL",393,NA,NA,NA,NA,NA,0,0,7.4,103.8,0.9,NA,0,16
"Kellen Davis","TE","CLE",393,NA,NA,NA,NA,NA,NA,NA,11,126.3,0.6,NA,0,16
"Michael Robinson","RB","SEA",395,NA,NA,NA,NA,NA,36.9,0.3,10.1,73.9,0.5,NA,0,15.9
"Jacob Hester","RB","DEN",396,NA,NA,NA,NA,NA,63.8,0.3,8.4,55.6,0.3,NA,0,15.8
"Michael Hoomanawanui","TE","NE",397,NA,NA,NA,NA,NA,NA,NA,11.1,129.2,0.5,NA,0,15.7
"Montell Owens","RB","DET",398,NA,NA,NA,NA,NA,89.4,0.3,7.1,34.3,0.3,NA,0.3,15.6
"Ryan Swope","WR",NA,398,NA,NA,NA,NA,NA,0,0,9.1,156.2,0,NA,0,15.6
"Chris Gragg","TE","BUF",400,NA,NA,NA,NA,NA,NA,NA,9.1,108.6,0.8,NA,0.1,15.5
"Adrien Robinson","TE","NYG",401,NA,NA,NA,NA,NA,NA,NA,8.9,114.3,0.7,NA,0,15.4
"Dane Sanzenbacher","WR","CIN",402,NA,NA,NA,NA,NA,0,0,8.3,91.7,1,NA,0,15.2
"Tashard Choice","RB","BUF",403,NA,NA,NA,NA,NA,114.4,0.3,4.1,28.5,0,NA,0.6,15
"Devin Hester","WR","CHI",404,NA,NA,NA,NA,NA,0,0,4.6,121,0.6,NA,0.3,14.9
"Corey Fuller","WR","DET",405,NA,NA,NA,NA,NA,0,0,9.7,128.5,0.3,NA,0,14.8
"Jerrel Jernigan","WR","NYG",405,NA,NA,NA,NA,NA,0,0,6.7,93.8,0.9,NA,0,14.8
"Ladarius Green","TE","SD",405,NA,NA,NA,NA,NA,NA,NA,9.7,115.1,0.6,NA,0,14.8
"Damien Berry","RB","BAL",408,NA,NA,NA,NA,NA,64.3,0.6,5,39.3,0.2,NA,0.3,14.6
"Keiland Williams","RB","WAS",408,NA,NA,NA,NA,NA,59.1,0.4,4.9,43.6,0.4,NA,0.4,14.6
"Jed Collins","RB","NO",410,NA,NA,NA,NA,NA,4.7,0.5,9,44.3,1.1,NA,0,14.5
