"name","pos","team_fp","overallRank_fp","passAtt_fp","passComp_fp","passYds_fp","passTds_fp","passInt_fp","rushYds_fp","rushTds_fp","rec_fp","recYds_fp","recTds_fp","twoPts_fp","fumbles_fp","pts_fp"
"Theo Riddick","RB","DET",553,NA,NA,NA,NA,NA,33.4,0.2,0,0,0,NA,0.1,4.1
"Anthony Sherman","RB","KC",558,NA,NA,NA,NA,NA,8.9,0,4.4,30.2,0,NA,0,3.9
"Jalen Parmele","RB","TEN",558,NA,NA,NA,NA,NA,38.7,0,0,0,0,NA,0,3.9
"Michael Preston","WR","TEN",558,NA,NA,NA,NA,NA,0,0,3.4,39.4,0,NA,0,3.9
"Laron Byrd","WR","ARI",561,NA,NA,NA,NA,NA,0,0,3.1,36.9,0,NA,0,3.7
"Kyle Adams","TE","CHI",562,NA,NA,NA,NA,NA,NA,NA,2.8,30.7,0.1,NA,0,3.6
"Ryan Whalen","WR","CIN",562,NA,NA,NA,NA,NA,0,0,3.7,32,0.1,NA,0,3.6
"Kerwynn Williams","RB","IND",564,NA,NA,NA,NA,NA,35.3,0,0,0,0,NA,0,3.5
"Mike McNeill","TE","STL",565,NA,NA,NA,NA,NA,NA,NA,3.3,28.9,0.1,NA,0,3.4
"Bradie Ewing","RB","ATL",566,NA,NA,NA,NA,NA,12,0,3.1,20.4,0,NA,0,3.2
"Cobi Hamilton","WR","CIN",567,NA,NA,NA,NA,NA,0,0,2.2,30.7,0,NA,0,3.1
"Erik Lorig","RB","TB",567,NA,NA,NA,NA,NA,13.8,0,3.1,16.9,0,NA,0,3.1
"Tony Fiammetta","RB","NE",569,NA,NA,NA,NA,NA,12.7,0,2,16,0,NA,0,2.9
"Nate Byham","TE","TB",570,NA,NA,NA,NA,NA,NA,NA,2.7,21.8,0.1,NA,0,2.8
"Ryan Mallett","QB","NE",571,5.3,3.4,36.2,0.3,0,0.5,0,NA,NA,NA,NA,0,2.7
"Terrence Austin","WR","DET",571,NA,NA,NA,NA,NA,0,0,2.2,27.1,0,NA,0,2.7
"Danny Coale","WR","DAL",573,NA,NA,NA,NA,NA,0,0,2.2,25.8,0,NA,0,2.6
"Brody Eldridge","TE","CHI",574,NA,NA,NA,NA,NA,NA,NA,3.1,24.9,0,NA,0,2.5
"Curtis Painter","QB","NYG",575,7.6,4.4,45.3,0,0,6.2,0,NA,NA,NA,NA,0,2.4
"Mike Cox","RB",NA,575,NA,NA,NA,NA,NA,0,0,0,24,0,NA,0,2.4
"Vince Young","QB","GB",577,8.3,5.2,60,0.2,0.6,6.8,0,NA,NA,NA,NA,0.2,2.3
"Jeff Maehl","WR","HOU",578,NA,NA,NA,NA,NA,0,0,1.8,21.8,0,NA,0,2.2
"Jim Dray","TE","ARI",578,NA,NA,NA,NA,NA,NA,NA,1.7,21.7,0,NA,0,2.2
"Kyle Juszczyk","RB","BAL",580,NA,NA,NA,NA,NA,0,0,2.7,21.4,0,NA,0,2.1
"Tyler Clutts","RB","HOU",580,NA,NA,NA,NA,NA,0,0,2.7,20.7,0,NA,0,2.1
"Aaron Hernandez","TE",NA,582,NA,NA,NA,NA,NA,NA,NA,2,20,0,NA,0,2
"Will Ta'ufo'ou","RB","JAC",582,NA,NA,NA,NA,NA,5.4,0,3.4,14.7,0,NA,0,2
"John Conner","RB","CIN",584,NA,NA,NA,NA,NA,19.4,0,0,0,0,NA,0,1.9
"Luke McCown","QB","NO",585,5.3,3.1,37.5,0.1,0.1,1.5,0,NA,NA,NA,NA,0.1,1.8
"Ryan Taylor","TE","GB",585,NA,NA,NA,NA,NA,NA,NA,2.2,18.2,0,NA,0,1.8
"Taylor Yates","QB","HOU",585,12.7,7.4,72.7,0.3,0.6,7.6,0,NA,NA,NA,NA,1,1.8
"Kris Adams","WR","NYG",588,NA,NA,NA,NA,NA,0,0,1.4,17.4,0,NA,0,1.7
"Mardy Gilyard","WR",NA,588,NA,NA,NA,NA,NA,0,0,2,17.4,0,NA,0,1.7
"Matt Hasselbeck","QB","IND",588,5.9,3.5,40.5,0.1,0,0.2,0,NA,NA,NA,NA,0.1,1.7
"Brady Quinn","QB","SEA",591,6,3.5,39.5,0,0,0,0,NA,NA,NA,NA,0,1.6
"Jamar Newsome","WR","KC",591,NA,NA,NA,NA,NA,0,0,1.8,16,0,NA,0,1.6
"Kory Sperry","TE","ARI",591,NA,NA,NA,NA,NA,NA,NA,0.9,15.6,0,NA,0,1.6
"Stefan Logan","RB",NA,591,NA,NA,NA,NA,NA,32,0,1.4,10.7,0,NA,1.4,1.6
"Austin Davis","QB","STL",595,5.2,3,34.4,0.1,0.1,1.6,0,NA,NA,NA,NA,0.1,1.5
"Joe Adams","WR","CAR",595,NA,NA,NA,NA,NA,0,0,2.7,35,0,NA,1,1.5
"Kassim Osgood","WR","SF",595,NA,NA,NA,NA,NA,0,0,1.8,15.1,0,NA,0,1.5
"Chris Gronkowski","RB","SD",598,NA,NA,NA,NA,NA,4,0,2,10,0,NA,0,1.4
"Brit Miller","RB",NA,599,NA,NA,NA,NA,NA,3.4,0,0.7,9.4,0,NA,0,1.3
"Nate Eachus","RB",NA,599,NA,NA,NA,NA,NA,6.7,0,1.4,6,0,NA,0,1.3
"Armond Smith","RB","CAR",601,NA,NA,NA,NA,NA,12,0,0,0,0,NA,0,1.2
"Corey McIntyre","RB",NA,602,NA,NA,NA,NA,NA,1.4,0,1.4,10,0,NA,0,1.1
"Ryan Nassib","QB","NYG",602,2.7,1.6,21.1,0.1,0.1,0.3,0,NA,NA,NA,NA,0.1,1.1
"Colin Cochart","TE","DAL",604,NA,NA,NA,NA,NA,NA,NA,0.9,9.8,0,NA,0,1
"Dan Orlovsky","QB","TB",604,3.7,2.1,23.1,0,0,0.5,0,NA,NA,NA,NA,0,1
"LaQuan Williams","WR","BAL",604,NA,NA,NA,NA,NA,0,0,0.9,10.2,0,NA,0,1
"Manase Tonga","RB",NA,604,NA,NA,NA,NA,NA,4,0,1.4,6,0,NA,0,1
"Mike Caussin","TE","BUF",604,NA,NA,NA,NA,NA,NA,NA,1.3,9.6,0,NA,0,1
"Tarvaris Jackson","QB","SEA",604,2.3,1.4,18.1,0.1,0.1,0.4,0,NA,NA,NA,NA,0.1,1
"Dan Gronkowski","TE",NA,610,NA,NA,NA,NA,NA,NA,NA,1.3,9.3,0,NA,0,0.9
"Derek Anderson","QB","CAR",610,3.5,2,23.7,0.1,0.1,0.1,0,NA,NA,NA,NA,0.1,0.9
"Mike Glennon","QB","TB",610,2.8,1.5,19.6,0.1,0.1,0.2,0,NA,NA,NA,NA,0.1,0.9
"Reagan Maui'a","RB","ARI",610,NA,NA,NA,NA,NA,0,0,0.7,8.7,0,NA,0,0.9
"Roberto Wallace","WR","TEN",610,NA,NA,NA,NA,NA,0,0,0.9,9.3,0,NA,0,0.9
"Zack Pianalto","TE","TB",610,NA,NA,NA,NA,NA,NA,NA,0.9,8.9,0,NA,0,0.9
"Brock Bolen","RB","CLE",616,NA,NA,NA,NA,NA,3.4,0,0.7,4.7,0,NA,0,0.8
"Demarco Sampson","WR","PHI",616,NA,NA,NA,NA,NA,0,0,0.9,8,0,NA,0,0.8
"Mickey Shuler","TE","MIN",618,NA,NA,NA,NA,NA,NA,NA,0.4,6.7,0,NA,0,0.7
"Nick Miller","WR","PHI",618,NA,NA,NA,NA,NA,0,0,0.4,7.1,0,NA,0,0.7
"Thomas Clayton","RB",NA,618,NA,NA,NA,NA,NA,6.7,0,0,0.7,0,NA,0,0.7
"David Carr","QB","NYG",621,2.5,1.6,14.7,0,0,0,0,NA,NA,NA,NA,0,0.6
"Eddie Williams","RB","CLE",621,NA,NA,NA,NA,NA,0.7,0,0,5.4,0,NA,0,0.6
"Kevin Brock","TE",NA,621,NA,NA,NA,NA,NA,NA,NA,0.4,6.2,0,NA,0,0.6
"Moran Norris","RB",NA,624,NA,NA,NA,NA,NA,0,0,0.7,4.7,0,NA,0,0.5
"Robert Hughes","RB",NA,624,NA,NA,NA,NA,NA,3.4,0,0.7,2,0,NA,0,0.5
"Tommy Gallarda","TE",NA,624,NA,NA,NA,NA,NA,NA,NA,0.7,4.7,0,NA,0,0.5
"Allen Bradford","RB","SEA",627,NA,NA,NA,NA,NA,4,0,0,0,0,NA,0,0.4
"Carlton Mitchell","WR","DAL",627,NA,NA,NA,NA,NA,0,0,0.4,4.4,0,NA,0,0.4
"Josh Vaughan","RB","ATL",627,NA,NA,NA,NA,NA,4.4,0,0,0,0,NA,0,0.4
"Fendi Onobun","TE","CHI",630,NA,NA,NA,NA,NA,NA,NA,0.7,3.3,0,NA,0,0.3
"Isaiah Stanback","TE","NE",630,NA,NA,NA,NA,NA,NA,NA,0.4,2.7,0,NA,0,0.3
"Brad Smelley","TE","CLE",632,NA,NA,NA,NA,NA,NA,NA,0.7,2,0,NA,0,0.2
"Adam Weber","QB","TB",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Alex Silvestro","TE","BAL",633,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
"Alex Tanney","QB","DAL",633,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"Alfonso Smith","RB",NA,633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Andre Holmes","WR","OAK",633,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0
"Andre Smith","TE","IND",633,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0
