"name","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","vor","sdPick","sdPts","avgCost","projectedCost","bidUpTo","simulation"
"Brandon Weeden","QB",185.14,7.21922964342541,1,"CLE",60,167.1,27,159.78,199.742,158.04,185.14,174.783833333333,196.214464527634,-38.616,25.2,20.2686207637981,1,1,1,0
"Brandon Williams","TE",NA,NA,1,"ARI",648,NA,129,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Braylon Edwards","WR",49.625,8.4422093721964,1,NA,249,204.2,103,NA,NA,49.625,49.625,49.625,21.1327598360317,-100.651666666667,36.7,NA,1,1,1,NA
"Brent Celek","TE",73.75,4.68537992998015,2,"PHI",195,190.5,28,79.75,79.5375,83.75,73.75,79.096875,75.6162148275023,-39.8625,27.4,4.11587848814402,1.1,2,1,0
"Brett Brackett","TE",8.5875,NA,1,"JAC",482,NA,95,NA,NA,NA,8.5875,8.5875,2.14046014560466,-105.025,NA,NA,1,1,1,NA
"Brett Swain","WR",NA,NA,1,"SF",649,NA,238,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Brian Hartline","WR",118.2875,4.50573257254817,2,"MIA",126,135.2,50,100.125,122.1625,108.5,118.2875,112.14375,112.697289836846,-31.9891666666667,16.1,9.92951461133256,1.4,2,1,0
"Brian Hoyer","QB",5.142,1.94638698095562,1,"CLE",537,NA,57,NA,3.102,NA,5.142,4.122,2.97115166663775,-218.614,NA,1.44249783362056,1,1,1,0
"Brian Leonard","RB",31.5825,6.09631062655301,1,"TB",306,NA,90,NA,41.4375,14.6,31.5825,29.2066666666667,17.632479354781,-88.2883333333333,NA,13.5755769521348,1,1,1,0
"Brian Quick","WR",86.475,5.14527182993484,1,"STL",175,182.7,71,83.375,90.5625,108.75,86.475,92.1989583333333,91.7498373887615,-63.8016666666667,19.9,11.3608583109948,1,1,1,0
"Brian Robiskie","WR",14.7,NA,1,NA,422,NA,177,NA,NA,NA,14.7,14.7,2.25096865994055,-135.576666666667,NA,NA,1,1,1,NA
"Brice Butler","WR",16.5625,3.00994191547736,1,"OAK",409,NA,172,NA,NA,23,16.5625,19.78125,6.14253276025681,-133.714166666667,NA,4.5519999038884,1,1,1,0
"Brit Miller","RB",1.515,NA,1,NA,590,NA,182,NA,NA,NA,1.515,1.515,2.43546566351051,-118.355833333333,NA,NA,1,1,1,NA
"Brock Bolen","RB",0.9275,NA,1,"JAC",606,NA,188,NA,NA,NA,0.9275,0.9275,2.4803787751203,-118.943333333333,NA,NA,1,1,1,NA
"Brock Osweiler","QB",3.922,1.74516408032524,1,"DEN",556,NA,62,NA,5.13,NA,3.922,4.526,3.05422873521496,-219.834,NA,0.854184991673349,1,1,1,0
"Brody Eldridge","TE",2.3625,NA,1,"CHI",578,NA,112,NA,NA,NA,2.3625,2.3625,2.37619110906945,-111.25,NA,NA,1,1,1,NA
"Bruce Gradkowski","QB",16.856,3.92727324073457,1,"PIT",403,NA,44,25.92,11.622,NA,16.856,17.9826666666667,10.2726749287857,-206.9,NA,7.23398986267836,1,1,1,0
"Bruce Miller","RB",7.9325,NA,1,"SF",496,NA,149,NA,NA,NA,7.9325,7.9325,2.14871959523128,-111.938333333333,NA,NA,1,1,1,NA
"Bryan Walters","WR",NA,NA,1,"SEA",650,NA,239,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Bryce Brown","RB",92.95,4.63001459068383,4,"PHI",163,108.95,49,84.725,103.2425,77.05,92.95,89.091875,89.7692332443029,-26.9208333333333,15.15,11.2333086130415,3.1,4,1,0
"C.J. Anderson","RB",NA,NA,1,"DEN",651,NA,201,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
