"name","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","vor","sdPick","sdPts","avgCost","projectedCost","bidUpTo","simulation"
"Kyle Rudolph","TE",120.9,4.47321567397229,4,"MIN",123,98.85,9,110.875,128.2875,109.625,120.9,117.413541666667,116.831245972754,7.28749999999999,17.6,8.82821220458404,3.1,4,1,1.94591014905531
"Kyle Williams","WR",26.875,12.6992357333915,1,"SF",331,NA,144,NA,NA,73.375,26.875,50.125,14.1099717208548,-123.401666666667,NA,32.8804653251745,1,1,1,0
"Ladarius Green","TE",15.45,NA,1,"SD",418,NA,78,NA,NA,NA,15.45,15.45,2.28786780007346,-98.1625,NA,NA,1,1,1,NA
"Lamar Miller","RB",184.105,5.91333972525556,12,"MIA",62,41.4,19,148,193.045,194.675,184.105,179.58125,202.640619392197,64.2341666666667,10.1,21.8049766395197,10.1,12,9,10.3450917072602
"LaMichael James","RB",65.0125,5.85620494161449,3,"SF",211,149.2,59,53.325,82.7125,48.025,65.0125,62.1270833333333,62.058501252837,-54.8583333333333,20.15,15.3660898978888,2.2,3,1,0
"Lance Ball","RB",17.7775,NA,1,"DEN",396,NA,111,NA,NA,NA,17.7775,17.7775,2.43486003772642,-102.093333333333,NA,NA,1,1,1,NA
"Lance Dunbar","RB",20.79,4.85574069658787,1,"DAL",373,175.5,102,23.125,NA,29.275,20.79,24.1633333333333,14.1990530017224,-99.0808333333333,28.6,4.38311057735638,1,1,1,0
"Lance Kendricks","TE",37.375,6.23572020346068,1,"STL",285,NA,46,NA,36.7,61.25,37.375,45.1083333333333,28.7531046253433,-76.2375,NA,13.9831669636507,1,1,1,0
"Lance Lewis","WR",NA,NA,1,NA,725,NA,271,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Lance Moore","WR",151.7125,3.97251924360964,2,"NO",91,98,34,136.75,148.2875,159.25,151.7125,148.958333333333,149.503088364,1.43583333333333,11.9,9.36287549313778,1.8,3,1,5.74620319054015
"Landry Jones","QB",0.53,NA,1,"PIT",619,NA,75,NA,NA,NA,0.53,0.53,2.51254232165343,-223.226,NA,NA,1,1,1,NA
"LaQuan Williams","WR",3.875,NA,1,"BAL",557,NA,215,NA,NA,NA,3.875,3.875,2.28659294253322,-146.401666666667,NA,NA,1,1,1,NA
"LaRod Stephens-Howling","RB",55.36,9.13169104810978,1,"PIT",232,169.5,64,26.575,72.4625,NA,55.36,51.3658333333333,38.3889991547688,-64.5108333333333,38.8,23.1902795279258,1,1,1,0
"Laron Byrd","WR",7.6625,NA,1,"ARI",501,NA,201,NA,NA,NA,7.6625,7.6625,2.15325680872706,-142.614166666667,NA,NA,1,1,1,NA
"Larry Fitzgerald","WR",207.575,2.96508823380147,40,"ARI",44,25.9,9,199,214.775,197.25,207.575,204.608333333333,204.126189102632,57.2983333333333,4.25,8.11898495297699,35.5,40,30,7.82763954636642
"Latavius Murray","RB",38.045,5.04120719465131,1,"OAK",282,198.3,82,18.2,31.2375,NA,38.045,29.0941666666667,18.8612000392056,-81.8258333333333,21,10.084166528937,1,1,1,0
"Laurent Robinson","WR",30,8.70863734348615,1,NA,312,NA,132,NA,NA,60,30,45,14.171529812987,-120.276666666667,NA,21.2132034355964,1,1,1,0
"Lavelle Hawkins","WR",11.95,4.18595916826008,1,"NE",447,NA,189,NA,NA,23.25,11.95,17.6,4.94747720097592,-138.326666666667,NA,7.99030662740799,1,1,1,0
"LaVon Brazill","WR",37.275,1.83997102389147,1,"IND",286,NA,123,NA,NA,38.875,37.275,38.075,14.1441003339913,-113.001666666667,NA,1.13137084989848,1,1,1,0
"Lawrence Vickers","RB",8.5525,NA,1,NA,484,NA,145,NA,NA,NA,8.5525,8.5525,2.1408030860743,-111.318333333333,NA,NA,1,1,1,NA
"Le'Ron McClain","RB",13.6125,2.23554648223446,1,"SD",430,NA,125,15.825,NA,11.25,13.6125,13.5625,8.41548092993912,-106.258333333333,NA,2.28790979935836,1,1,1,0
"Le'Veon Bell","RB",166.375,7.41718508278151,11,"PIT",79,110.4,23,143.525,163.2625,137.975,166.375,152.417708333333,161.211811533176,46.5041666666667,37.2,14.1368290254863,10,12,1,8.00770001288403
"Lee Smith","TE",20.4875,NA,1,"BUF",378,NA,68,NA,NA,NA,20.4875,20.4875,2.66791565878577,-93.125,NA,NA,1,1,1,NA
"LeGarrette Blount","RB",29.6625,6.41807120857727,1,"NE",314,197.3,93,10.6,31.1175,33.275,29.6625,26.0054166666667,23.4507824159032,-90.2083333333333,33.6,10.481429311724,1,1,1,0
"Leon Washington","RB",24.5475,4.46145074493026,1,"NE",346,NA,98,15.1,32.675,NA,24.5475,24.0075,14.2613980918142,-95.3233333333333,NA,8.79575785535277,1,1,1,0
"Leonard Hankerson","WR",73.63,9.13288509959217,1,"WAS",196,193.1,81,65.1,86.4125,30.125,73.63,63.844375,67.2651784464762,-76.6466666666667,37.3,24.1084255132758,1,1,1,0.693147180559945
"LeSean McCoy","RB",226.5025,2.96765657815525,67,"PHI",29,6.55,9,220.125,241.12,223.625,226.5025,227.418125,229.783184827757,106.631666666667,2.45,9.22739972739703,53.5,61,41,4.65396035015752
"Lestar Jean","WR",40.1125,1.81276239850576,1,"HOU",272,NA,116,38.625,NA,NA,40.1125,39.36875,15.418251927064,-110.164166666667,NA,1.05182133701499,1,1,1,0
"Levine Toilolo","TE",8.075,NA,1,"ATL",493,NA,97,NA,NA,NA,8.075,8.075,2.14659151329778,-105.5375,NA,NA,1,1,1,NA
"Lex Hilliard","RB",4.6875,NA,1,"NYJ",543,NA,167,NA,NA,NA,4.6875,4.6875,2.24702813022515,-115.183333333333,NA,NA,1,1,1,NA
"Logan Paulsen","TE",25.1,NA,1,"WAS",343,NA,58,NA,NA,NA,25.1,25.1,3.21774467181092,-88.5125,NA,NA,1,1,1,NA
"Louis Murphy","WR",44.955,1.96167600136618,1,"NYG",259,NA,109,42.1,NA,44.25,44.955,43.7683333333333,29.3634948231162,-105.321666666667,NA,1.48719814864507,1,1,1,0
"Luke McCown","QB",1.572,NA,1,"NO",588,NA,68,NA,NA,NA,1.572,1.572,2.43127472708528,-222.184,NA,NA,1,1,1,NA
"Luke Stocker","TE",60.725,4.90393116639894,1,"TB",224,257,36,56.75,43.5375,56.25,60.725,54.3072916666667,52.534898108837,-52.8875,24,7.45913432616905,1,1,1,0
"Luke Willson","TE",21.6375,NA,1,"SEA",365,NA,64,NA,NA,NA,21.6375,21.6375,2.7869435746278,-91.975,NA,NA,1,1,1,NA
"Malcom Floyd","WR",96.1625,4.1115448283278,2,"SD",158,149.2,61,101,106.4125,97.75,96.1625,100.33125,96.1711406436266,-54.1141666666667,21.2,4.52659387214419,1.1,2,1,0
"Manase Tonga","RB",1.15,NA,1,NA,601,NA,186,NA,NA,NA,1.15,1.15,2.46300084986717,-118.720833333333,NA,NA,1,1,1,NA
"Marc Mariani","WR",0.35,NA,1,"TEN",625,NA,231,NA,NA,NA,0.35,0.35,2.52757833420179,-149.926666666667,NA,NA,1,1,1,NA
"Marcedes Lewis","TE",96.6375,5.93123536982941,1,"JAC",155,181.7,18,82.5,102.5125,90.125,96.6375,92.8354166666667,91.7821261746939,-16.975,32,8.60662596007672,1,1,1,0
"Marcel Reece","RB",74.405,5.57232007638262,1,"OAK",194,165,55,87.05,84.3625,62.95,74.405,77.0835416666667,76.1897278174525,-45.4658333333333,24.7,10.9422448517584,1,1,1,0
"Marcus Davis","WR",NA,NA,1,"NYJ",726,NA,272,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Marcus Easley","WR",22.675,NA,1,"BUF",359,NA,157,NA,NA,NA,22.675,22.675,2.90461922167935,-127.601666666667,NA,NA,1,1,1,NA
"Marcus Lattimore","RB",NA,NA,1,"SF",727,NA,216,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Marcus Thigpen","RB",7.275,NA,1,"MIA",507,NA,151,NA,NA,NA,7.275,7.275,2.16092392067151,-112.595833333333,NA,NA,1,1,1,NA
"Mardy Gilyard","WR",1.45,NA,1,"KC",591,NA,225,NA,NA,NA,1.45,1.45,2.44028076214033,-148.826666666667,NA,NA,1,1,1,NA
"Mario Manningham","WR",57.3125,7.4334236139871,1,"SF",228,211,94,48,NA,69.125,57.3125,58.0791666666667,42.2618468261095,-92.9641666666667,43.2,10.587126124843,1,1,1,0
"Mark Harrison","WR",NA,NA,1,"NE",728,NA,273,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Mark Ingram","RB",118.985,3.82106867035857,4,"NO",124,88.5,35,105.625,122.4425,122.4,118.985,117.204791666667,115.835419472145,-0.885833333333338,12.7,7.99133316344443,3.4,4,1,0
"Mark Sanchez","QB",61.756,5.58001161612335,1,"NYJ",219,256.5,35,33.2,50.592,90.06,61.756,58.402,59.0454439765196,-162,3.5,23.8650035547172,1,1,1,0
"Markus Wheaton","WR",75.905,7.98608940858973,1,"PIT",191,178.7,80,44.125,88.2625,44.5,75.905,63.300625,66.452772807241,-74.3716666666667,29.1,22.3837109091075,1,1,1,1.09861228866811
"Marlon Moore","WR",5.175,NA,1,"SF",536,NA,212,NA,NA,NA,5.175,5.175,2.22616314333891,-145.101666666667,NA,NA,1,1,1,NA
"MarQueis Gray","TE",NA,NA,1,"SF",729,NA,145,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Marques Colston","WR",187.2625,2.67652693043266,22,"NO",59,40,15,181.125,192.2875,181.125,187.2625,185.191666666667,179.868404747743,36.9858333333333,5.95,5.39900646724315,19.2,22,12,6.74875954749168
"Marquess Wilson","WR",20.825,3.76271388448224,1,"CHI",372,NA,163,NA,NA,30.375,20.825,25.6,7.82910035703111,-129.451666666667,NA,6.75286976033153,1,1,1,0
"Marquise Goodwin","WR",36.55,6.39920497794903,1,"BUF",290,211.8,125,21.15,NA,44.125,36.55,33.7083333333333,21.0450924313617,-113.726666666667,31.4,11.7074851412818,1,1,1,0
"Marshawn Lynch","RB",237.0775,2.63775897317736,71,"SEA",21,6.45,6,242.525,245.3125,254.05,237.0775,244.132916666667,241.279205140277,117.206666666667,2.8,7.08575992748837,56.8,64,50,4.48863636973214
"Martellus Bennett","TE",111.45,5.72114110720234,2,"CHI",135,122.5,14,107.625,123.5375,85.75,111.45,107.082291666667,111.938068445669,-2.16250000000001,18.2,15.760834153977,1.3,2,1,4.9416424226093
"Marvin Jones","WR",40.1875,6.58368335380332,1,"CIN",271,213,115,37.775,NA,66.625,40.1875,48.1958333333333,30.8366954164057,-110.089166666667,26.1,16.0056451629834,1,1,1,0
"Marvin McNutt","WR",NA,NA,1,"MIA",730,NA,274,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Matt Asiata","RB",5.5475,NA,1,"MIN",530,NA,162,NA,NA,NA,5.5475,5.5475,2.21167286187938,-114.323333333333,NA,NA,1,1,1,NA
"Matt Barkley","QB",24.216,5.20319897601413,1,"PHI",349,NA,41,NA,39.722,NA,24.216,21.3126666666667,10.3689083991516,-199.54,NA,10.9643977490786,1,1,1,0
"Matt Cassel","QB",35.098,6.16711547669251,1,"MIN",297,NA,38,27.3,8.302,NA,35.098,17.5583333333333,14.2701010058113,-188.658,NA,13.7825881942882,1,1,1,0
"Matt Flynn","QB",158.964,10.0369718349712,1,"OAK",84,209,29,130.7,184.98,111.7,158.964,145.919333333333,179.40620842519,-64.792,32.8,32.1284511090508,1,1,1,1.09861228866811
"Matt Forte","RB",212.51,3.69448182416449,40,"CHI",38,14.2,11,196.3,223.98,200.025,212.51,207.695416666667,217.141801978533,92.6391666666667,3.9,12.5966274421635,34.8,40,32,9.38143244681859
"Matt Hasselbeck","QB",3.178,NA,1,"IND",568,NA,64,NA,NA,NA,3.178,3.178,2.32530457703064,-220.578,NA,NA,1,1,1,NA
"Matt Moore","QB",8.616,NA,1,"MIA",481,NA,47,NA,NA,NA,8.616,8.616,2.14018910085099,-215.14,NA,NA,1,1,1,NA
"Matt Ryan","QB",291.134,5.2822949431626,15,"ATL",7,52.4,7,307.48,298.218,266.72,291.134,289.888,319.964214490305,67.378,11.2,17.4468345170884,12.1,14,10,9.94222738085206
"Matt Schaub","QB",218.266,5.17071700823874,2,"HOU",36,136.8,20,221.38,224.51,199,218.266,214.730666666667,222.621497543594,-5.49000000000004,19.95,11.4792736704027,1.4,2,1,0
"Matt Scott","QB",NA,NA,1,"JAC",731,NA,96,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Matt Slater","WR",9.5875,NA,1,"NE",471,NA,194,NA,NA,NA,9.5875,9.5875,2.13535531711096,-140.689166666667,NA,NA,1,1,1,NA
"Matt Spaeth","TE",24.4625,NA,1,"PIT",347,NA,59,NA,NA,NA,24.4625,24.4625,3.13026069333233,-89.15,NA,NA,1,1,1,NA
"Matt Willis","WR",NA,NA,1,"DET",732,NA,275,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Matthew Mulligan","TE",10.3375,NA,1,"GB",465,NA,91,NA,NA,NA,10.3375,10.3375,2.13747856067852,-103.275,NA,NA,1,1,1,NA
"Matthew Slater","WR",NA,NA,1,"NE",733,NA,276,NA,NA,31.625,NA,31.625,0.214335980575129,NA,NA,NA,1,1,1,NA
"Matthew Stafford","QB",275.634,4.71175073712913,11,"DET",12,60.05,11,278.1,287.38,254.22,275.634,272.7585,291.015537663362,51.878,11.35,14.0195324101769,8.2,10,1,8.43337670532313
"Matthew Tucker","RB",NA,NA,1,"PHI",734,NA,217,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Maurice Jones-Drew","RB",197.9625,3.37858085407352,38,"JAC",53,21.1,16,182.2,203.95,199.675,197.9625,195.530208333333,197.879906622583,78.0916666666667,5.95,9.50417876844181,33.4,38,19,6.10924758276437
"McLeod Bethel-Thompson","QB",NA,NA,1,"MIN",735,NA,97,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Michael Bush","RB",84.92,3.85384002785138,2,"CHI",179,132.85,51,86.175,87.4825,76.675,84.92,83.6047916666667,80.6179835898312,-34.9508333333333,18.15,4.87239732874554,1.4,2,1,0
"Michael Cox","RB",8.03,NA,1,"NYG",494,NA,148,NA,NA,NA,8.03,8.03,2.14724364293733,-111.840833333333,NA,NA,1,1,1,NA
"Michael Crabtree","WR",45.755,6.68236358850988,2,"SF",257,185.8,107,NA,65.5125,NA,45.755,55.64875,24.3463595224661,-104.521666666667,30.4,13.9706622292932,1.3,2,1,0
"Michael Egnew","TE",11.7125,NA,1,"MIA",448,NA,85,NA,NA,NA,11.7125,11.7125,2.15462115892586,-101.9,NA,NA,1,1,1,NA
"Michael Floyd","WR",130.3425,5.25123254146513,2,"ARI",112,114.3,44,103.75,136.075,117,130.3425,121.756875,127.288651311027,-19.9341666666667,15.85,14.4405928685713,1.1,2,1,3.93182563272433
"Michael Ford","RB",NA,NA,1,"CHI",736,NA,218,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Michael Higgins","TE",NA,NA,1,"NO",737,NA,146,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Michael Hill","RB",NA,NA,1,"SD",738,NA,219,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Michael Hoomanawanui","TE",23.125,NA,1,"NE",356,NA,62,NA,NA,NA,23.125,23.125,2.95869471248267,-90.4875,NA,NA,1,1,1,NA
"Michael Jenkins","WR",54.2,4.22223733544104,1,"NE",237,NA,97,NA,NA,42.75,54.2,48.475,21.6615945046906,-96.0766666666667,NA,8.09637264458597,1,1,1,0
"Michael Palmer","TE",18.95,NA,1,NA,387,NA,72,NA,NA,NA,18.95,18.95,2.52751825665575,-94.6625,NA,NA,1,1,1,NA
"Michael Preston","WR",4.925,NA,1,"TEN",541,NA,213,NA,NA,NA,4.925,4.925,2.23659388558099,-145.351666666667,NA,NA,1,1,1,NA
"Michael Robinson","RB",18.47,3.05408035221419,1,"SEA",391,NA,109,NA,NA,11.85,18.47,15.16,5.29486542633623,-101.400833333333,NA,4.68104689145494,1,1,1,0
"Michael Smith","RB",9.2275,NA,1,"TB",474,NA,139,NA,NA,NA,9.2275,9.2275,2.1361482479922,-110.643333333333,NA,NA,1,1,1,NA
"Michael Turner","RB",14.06,11.3534997925329,2,"FA",428,182.6,124,76.225,NA,NA,14.06,44.9425,8.09400875014859,-105.810833333333,26,43.9572930524617,1.8,3,1,1.6094379124341
"Michael Vick","QB",222.694,7.00706232176746,4,"PHI",31,103.8,17,193.74,245.102,234.1,222.694,222.867333333333,254.517859663726,-1.06200000000001,20.15,22.0955841440471,2.5,3,1,4.77068462446567
"Michael Williams","TE",14.425,NA,1,"DET",427,NA,80,NA,NA,NA,14.425,14.425,2.23871720907613,-99.1875,NA,NA,1,1,1,NA
"Micheal Spurlock","WR",NA,NA,1,"DET",739,NA,277,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Mickey Shuler","TE",0.8375,NA,1,"MIN",609,NA,120,NA,NA,NA,0.8375,0.8375,2.48753558821937,-112.775,NA,NA,1,1,1,NA
"Miguel Maysonet","RB",NA,NA,1,"CLE",740,NA,220,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Mike Brown","WR",2.5625,NA,1,"JAC",575,NA,221,NA,NA,NA,2.5625,2.5625,2.36315304463909,-147.714166666667,NA,NA,1,1,1,NA
"Mike Caussin","TE",1.2,NA,1,"BUF",598,NA,118,NA,NA,NA,1.2,1.2,2.45915748415138,-112.4125,NA,NA,1,1,1,NA
"Mike Cox","RB",3,NA,1,NA,570,NA,177,NA,NA,NA,3,3,2.3358970499969,-116.870833333333,NA,NA,1,1,1,NA
"Mike Gillislee","RB",55.0825,5.3958462215258,1,"MIA",234,190.8,65,51.85,62.9425,46.85,55.0825,53.9729166666667,52.1161259311592,-64.7883333333333,29.9,6.75163452432076,1,1,1,0
"Mike Glennon","QB",6.56,NA,1,"TB",513,NA,53,NA,NA,NA,6.56,6.56,2.17864566892149,-217.196,NA,NA,1,1,1,NA
"Mike Goodson","RB",81.4575,4.12596502546921,1,"NYJ",183,173.4,52,93.675,86.8125,81.825,81.4575,85.6841666666667,82.8157540936873,-38.4133333333333,19.4,5.70431086985974,1,1,1,0
"Mike James","RB",36.2125,4.82277777064933,1,"TB",293,208.3,85,NA,26.5925,NA,36.2125,20.8183333333333,12.0483097093916,-83.6583333333333,24.3,6.80236723501459,1,1,1,0
"Mike Kafka","QB",-0.6,NA,1,"JAC",628,NA,78,NA,NA,NA,-0.6,-0.6,2.23208691815182,-224.356,NA,NA,1,1,1,NA
"Mike McNeill","TE",4.1875,NA,1,"STL",553,NA,107,NA,NA,NA,4.1875,4.1875,2.27066715168036,-109.425,NA,NA,1,1,1,NA
"Mike Thomas","WR",33.4425,2.19247388166645,1,"DET",301,NA,127,NA,NA,36.5,33.4425,34.97125,12.4480735696656,-116.834166666667,NA,2.16197898347787,1,1,1,0
"Mike Tolbert","RB",73.395,8.87727470006354,1,"CAR",197,171,56,72.35,91.78,17.4,73.395,63.6229166666667,69.6651396497533,-46.4758333333333,21.6,32.150624767128,1,1,1,3.52636052461616
"Mike Wallace","WR",171.925,3.843294116723,8,"MIA",73,64.4,22,185.2,167.4125,162.375,171.925,172.123958333333,173.323562913783,21.6483333333333,9.95,9.79176085947602,7.9,9,1,8.76186337327473
"Mike Williams","WR",158.1375,3.29036585039978,3,"TB",85,88.7,30,149.25,160.8875,154.375,158.1375,155.445833333333,150.381144518896,7.86083333333335,12.45,5.03997561171348,2.3,3,1,4.40671924726425
"Mike Willie","WR",NA,NA,1,"SD",741,NA,278,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Mikel Leshoure","RB",102.7625,4.60077469986995,3,"DET",144,127.8,40,108.9,111.875,98.575,102.7625,105.228125,102.265366578109,-17.1083333333333,23.5,5.99018620154388,2.9,4,1,0
"Miles Austin","WR",149.525,3.2316504033259,3,"DAL",97,83.2,36,141,152.8875,155.875,149.525,149.751041666667,146.377830344639,-0.751666666666665,9.6,6.42785584228261,2.9,4,1,1.94591014905531
"Mohamed Massaquoi","WR",44.3075,1.46932908252602,1,"JAC",261,NA,110,44.375,NA,NA,44.3075,44.19125,18.1938315884384,-105.969166666667,NA,0.0477297077300887,1,1,1,0
"Mohamed Sanu","WR",100.2975,5.97790388830078,2,"CIN",149,146.05,59,76.975,109.5375,114,100.2975,100.5575,104.029334820605,-49.9791666666667,19.45,16.5029190599724,1.1,2,1,0
"Montario Hardesty","RB",43.38,5.76648199779975,1,"CLE",267,212.7,76,30.55,48.8625,33.1,43.38,38.9564583333333,37.0674621317194,-76.4908333333333,30.4,8.61515945272247,1,1,1,0
"Montee Ball","RB",165.225,4.25436023217865,7,"DEN",80,62.95,24,169.95,163.4,184.8,165.225,170.46875,171.740125770675,45.3541666666667,14.05,9.70490372183053,6.7,8,1,7.27031288607902
"Montell Owens","RB",16.5275,2.66892714397636,1,"DET",410,NA,117,NA,NA,11.5,16.5275,14.01375,4.99264077905326,-103.343333333333,NA,3.55497934241537,1,1,1,0
"Moran Norris","RB",0.5875,NA,1,NA,617,NA,193,NA,NA,NA,0.5875,0.5875,2.50780107871589,-119.283333333333,NA,NA,1,1,1,NA
"Mychal Rivera","TE",26.9375,NA,1,"OAK",329,NA,53,NA,NA,NA,26.9375,26.9375,3.49052758649412,-86.675,NA,NA,1,1,1,NA
"Nate Burleson","WR",92.9075,3.94516068909373,1,"DET",164,175.5,62,87.9,95.5125,90.125,92.9075,91.99625,87.2874111710626,-57.3691666666667,21.6,3.31070643267163,1,1,1,0
"Nate Byham","TE",3.2375,NA,1,"TB",566,NA,110,NA,NA,NA,3.2375,3.2375,2.32182791640855,-110.375,NA,NA,1,1,1,NA
"Nate Eachus","RB",1.42,NA,1,NA,593,NA,183,NA,NA,NA,1.42,1.42,2.44251603940364,-118.450833333333,NA,NA,1,1,1,NA
"Nate Washington","WR",69.6,4.77619898157019,1,"TEN",203,183.8,83,61.95,72.0625,84,69.6,71.9989583333333,70.0830070384029,-80.6766666666667,20,9.14200683999416,1,1,1,0
"Nathan Enderle","QB",NA,NA,1,"TEN",742,NA,98,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Nathan Palmer","WR",6.1125,NA,1,"IND",524,NA,209,NA,NA,NA,6.1125,6.1125,2.19209631679792,-144.164166666667,NA,NA,1,1,1,NA
"Nick Foles","QB",36.538,10.5214657506025,1,"PHI",291,NA,36,63.66,10.638,NA,36.538,36.6953333333333,21.8691721761379,-187.218,NA,26.5133468527331,1,1,1,0
"Nick Kasa","TE",19.225,NA,1,"OAK",386,NA,71,NA,NA,NA,19.225,19.225,2.55105557713091,-94.3875,NA,NA,1,1,1,NA
"Nick Miller","WR",0.8875,NA,1,"PHI",607,NA,229,NA,NA,NA,0.8875,0.8875,2.48355051143363,-149.389166666667,NA,NA,1,1,1,NA
"Nick Toon","WR",29.2375,5.61710422807324,1,"NO",319,239.7,137,18.375,NA,NA,29.2375,23.80625,8.41110322770169,-121.039166666667,30.5,7.68094741063887,1,1,1,0
"Nick Williams","WR",NA,NA,1,"PIT",743,NA,279,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Niles Paul","TE",12.95,NA,1,"WAS",437,NA,81,NA,NA,NA,12.95,12.95,2.18471021608991,-100.6625,NA,NA,1,1,1,NA
"Orson Charles","TE",16.775,NA,1,"CIN",406,NA,77,NA,NA,NA,16.775,16.775,2.36552402090899,-96.8375,NA,NA,1,1,1,NA
"Owen Daniels","TE",118.475,3.82852063829634,3,"HOU",125,113.75,10,117.75,119.45,110.875,118.475,116.5875,111.53094240505,4.86249999999998,19.5,3.90429784553723,2,3,1,0
"Owen Marecic","RB",6.3325,3.45858191628187,1,"CLE",520,NA,157,NA,NA,14.625,6.3325,10.47875,3.43248781675368,-113.538333333333,NA,5.86368298298945,1,1,1,0
"Pat Devlin","QB",NA,NA,1,"MIA",744,NA,99,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Pat White","QB",NA,NA,1,"WAS",745,NA,100,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Patrick Edwards","WR",25.4875,NA,1,"DET",342,NA,149,NA,NA,NA,25.4875,25.4875,3.27272235544797,-124.789166666667,NA,NA,1,1,1,NA
"Percy Harvin","WR",190.14,6.22103729370983,25,"SEA",56,146.7,13,208.425,177.1625,189.45,190.14,197.126875,198.878623512524,39.8633333333333,27.75,12.8828374810249,21.4,25,17,9.05427118632629
"Peyton Hillis","RB",NA,8.83696463838906,1,"FA",746,219,221,19.075,NA,NA,NA,9.5375,1.10468784414826,NA,38.6,NA,1,1,1,NA
"Peyton Manning","QB",309.644,3.53433966754919,31,"DEN",4,34.85,4,314.2,316.67,330.96,309.644,316.8935,321.148120540401,85.888,7.95,9.2000736772412,24.3,28,23,8.93102321585603
"Philip Lutzenkirchen","TE",NA,NA,1,"STL",747,NA,147,NA,NA,NA,NA,0,2.55765622217905,NA,NA,NA,1,1,1,NA
"Philip Rivers","QB",219.36,4.26741960783834,3,"SD",33,151.1,19,211.06,221.162,222,219.36,217.312166666667,211.050052943112,-4.39600000000002,21.9,5.01284227426584,1.7,2,1,0
"Phillip Tanner","RB",18.8275,2.90533986677227,1,"DAL",388,NA,108,NA,24.8325,NA,18.8275,21.83,7.10692743141624,-101.043333333333,NA,4.24617622102522,1,1,1,0
"Pierre Garcon","WR",171.5725,4.39166391733621,9,"WAS",74,51.55,23,148.925,177.9625,171.625,171.5725,167.62625,173.912737389677,21.2958333333333,10.35,12.7553074737538,8.8,10,1,9.09504174761272
"Pierre Thomas","RB",113.125,5.15965355901628,3,"NO",133,119.35,36,89.075,117.8175,104.675,113.125,106.023125,108.620410385876,-6.74583333333334,17.95,12.6294667634531,2.4,3,1,0
"Plaxico Burress","WR",31.05,7.94074947148921,1,"PIT",309,NA,131,NA,NA,57.875,31.05,44.4625,14.3915690734863,-119.226666666667,NA,18.9681394053291,1,1,1,0
"Preston Parker","WR",9.3875,NA,1,"NO",473,NA,196,NA,NA,NA,9.3875,9.3875,2.13565072213157,-140.889166666667,NA,NA,1,1,1,NA
"Quinn Johnson","RB",6.2925,NA,1,"TEN",521,NA,158,NA,NA,NA,6.2925,6.2925,2.1864676519171,-113.578333333333,NA,NA,1,1,1,NA
"Quinton Patton","WR",45.5425,8.13849679338571,1,"SF",258,185.3,108,56.125,NA,56.45,45.5425,52.6891666666667,35.6478688778129,-104.734166666667,57.2,6.20575656816583,1,1,1,0
"Ramses Barden","WR",26.9,6.88868262324143,1,"NYG",330,NA,143,NA,NA,49.375,26.9,38.1375,11.6632735694815,-123.376666666667,NA,15.8922249071677,1,1,1,0
"Randall Cobb","WR",203.28,2.43899531705333,34,"GB",48,30.4,11,203.55,197.3625,208.5,203.28,207.188125,195.345634486021,53.0033333333333,5.05,4.55676848901718,29.4,34,24,6.64118216974059
"Randy Moss","WR",26.1875,7.78656726097014,1,NA,338,NA,148,NA,NA,52.375,26.1875,39.28125,11.6663153743839,-124.089166666667,NA,18.5173588323227,1,1,1,0
"Rashad Jennings","RB",52.135,4.71816609229754,1,"OAK",243,179.6,68,59.45,66.8425,50,52.135,56.906875,54.770056450225,-67.7358333333333,21.9,7.64852583154645,1,1,1,0
