"name","pos","team","overallRank","projections","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","actualPts","pick","sdPts","sdPick","risk"
"Aaron Mellette","WR","BAL",423,14.675,NA,NA,NA,14.675,14.675,2.24982654946615,NA,NA,NA,NA,NA
"Julius Thomas","TE","DEN",424,14.5375,NA,NA,NA,14.5375,14.5375,2.24364626527199,NA,168.2,NA,38.4,8.79541145247404
"Chris Polk","RB","PHI",425,14.5325,12.375,NA,NA,14.5325,13.45375,4.8845065821543,NA,181.9,1.52558288040998,28.5,4.35666681413069
"Joe Webb","WR","MIN",426,14.4375,NA,NA,NA,14.4375,14.4375,2.23925921354396,NA,NA,NA,NA,NA
"Michael Williams","TE","DET",427,14.425,NA,NA,NA,14.425,14.425,2.23871720907613,NA,NA,NA,NA,NA
"Michael Turner","RB","FA",428,14.06,76.225,NA,NA,14.06,44.9425,8.09400875014859,159.3,182.6,43.9572930524617,26,11.3534997925329
"Kevin Dorsey","WR","GB",429,13.8125,NA,NA,27.625,13.8125,20.71875,5.59980949308255,NA,NA,9.76691241513919,NA,4.79361846854112
"Le'Ron McClain","RB","SD",430,13.6125,15.825,NA,11.25,13.6125,13.5625,8.41548092993912,7.83,NA,2.28790979935836,NA,2.23554648223446
"Jeff Fuller","WR","MIA",431,13.5125,NA,NA,NA,13.5125,13.5125,2.20297849892182,NA,NA,NA,NA,NA
"Eric Weems","WR","CHI",432,13.4875,NA,NA,35.875,13.4875,24.68125,5.68774292228255,16.5,NA,15.8303530638138,NA,6.86752035905254
"Jerrel Jernigan","WR","NYG",433,13.45,NA,NA,NA,13.45,13.45,2.2008069786483,6.55,NA,NA,NA,NA
"Jarrett Boykin","WR","GB",434,13.4375,NA,NA,NA,13.4375,13.4375,2.2003769259257,5.88,171,NA,53,11.8287940242703
"Chris ""Beanie"" Wells","RB",NA,435,13.3025,NA,NA,NA,13.3025,13.3025,2.1958226548154,NA,NA,NA,NA,NA
"Da'Rel Scott","RB","NYG",436,13.2425,7.25,NA,NA,13.2425,10.19625,4.00038177309011,NA,NA,4.23733738626039,NA,2.90231668617385
"Niles Paul","TE","WAS",437,12.95,NA,NA,NA,12.95,12.95,2.18471021608991,38.06,NA,NA,NA,NA
"Trindon Holliday","WR","DEN",438,12.8625,NA,NA,NA,12.8625,12.8625,2.18212639735231,31.79,NA,NA,NA,NA
"Cierre Wood","RB","HOU",439,12.7625,NA,NA,NA,12.7625,6.28125,2.17925848829407,NA,NA,NA,NA,NA
"Devin Aromashodu","WR","CHI",440,12.75,NA,NA,25.5,12.75,19.125,5.22613812185705,22.75,NA,9.01561146012848,NA,4.536648117676
"Tobais Palmer","WR","JAC",441,12.675,NA,NA,NA,12.675,12.675,2.17682346617994,NA,NA,NA,NA,NA
"Hayden Smith","TE","NYJ",442,12.525,NA,NA,NA,12.525,12.525,2.17281069317534,NA,NA,NA,NA,NA
"Darrel Young","RB","WAS",443,12.4375,NA,NA,NA,12.4375,12.4375,2.17056414678416,34.63,NA,NA,NA,NA
"Evan Moore","TE",NA,444,12.375,NA,NA,NA,12.375,12.375,2.16900198411139,NA,NA,NA,NA,NA
"Devon Wylie","WR","KC",445,12.2125,NA,NA,NA,12.2125,12.2125,2.16510616311422,10.97,NA,NA,NA,NA
"Steve Maneri","TE","CHI",446,12.1,NA,NA,NA,12.1,12.1,2.16254935022926,7.38,NA,NA,NA,NA
"Lavelle Hawkins","WR","NE",447,11.95,NA,NA,23.25,11.95,17.6,4.94747720097592,11.85,NA,7.99030662740799,NA,4.18595916826008
"Michael Egnew","TE","MIA",448,11.7125,NA,NA,NA,11.7125,11.7125,2.15462115892586,NA,NA,NA,NA,NA
"Deon Butler","WR","SD",449,11.6875,NA,NA,23.375,11.6875,17.53125,4.87574334749087,NA,NA,8.26431050511777,NA,4.27967776681089
"Spencer Ware","RB","SEA",450,11.375,NA,NA,NA,11.375,11.375,2.14882555772635,NA,NA,NA,NA,NA
"Dennis Johnson","RB","HOU",451,11.25,NA,NA,NA,11.25,11.25,2.14694120424298,NA,NA,NA,NA,NA
"Devery Henderson","WR","WAS",451,11.25,NA,NA,NA,11.25,11.25,2.14694120424298,48.8,NA,NA,NA,NA
