"projectionId","playerId","rec","recYds","recTds","rushAtt","rushYds","rushTds","fumbles","twoPts","rec100","rec150","rec200","returnYds","regTds","returnTds","dataScrapeId","analystId","rush40","rec40"
40861,497242,5.03,44.92,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40862,2532838,40.39,523.29,4.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40863,2536071,4.65,59.21,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40864,2533353,4.63,37.33,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40865,1992,20.28,236.92,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40866,2543794,21.06,243.87,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40867,2506619,18.88,215.11,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40868,2495724,18.56,143.82,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40869,2540928,17.19,159.72,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40870,79589,5.49,45.88,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40871,2495966,51.32,598.1,4.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40872,2541187,15.18,147.39,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40873,2540200,17.55,207.69,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40874,2533046,36.36,503.47,7.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40875,497224,17.44,183.07,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40876,2543466,34.18,347.52,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40877,2534820,3.87,54.35,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40878,497234,42.08,418.6,3.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40879,1060,32.02,305.29,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40880,2540211,14.08,212.29,3.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40881,2532941,14.26,125.4,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40882,2495700,73.48,840,5.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40883,2506369,57.18,599.77,3.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40884,2543481,36.6,322.73,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40885,2540232,4.96,32.49,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40886,324,40.57,353.95,2.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40887,2533028,5.02,41.91,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40888,71265,38.29,427.2,2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40889,2505629,68.6,796.61,6.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40890,2507883,37.38,399.39,1.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40891,497226,5.18,59.03,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40892,497236,85.42,957.74,8.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40893,71435,4.98,54.14,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40894,2495267,52.86,552.9,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40895,2540160,66.52,575.15,3.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40896,2550075,4.07,37.61,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40897,2539327,13.74,173.15,3.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40898,2541834,48.5,586.79,3.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40899,2495353,57.17,698.63,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40900,2507486,5.53,55.63,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40901,2495438,43.97,459.91,4.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40902,2532853,30.35,349.51,3.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40903,2495187,18.61,181.65,1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40904,2537933,58.06,541.74,3.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40905,2495347,5.02,39.26,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40906,2540203,17.72,151.45,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40907,2507828,17.57,112.07,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40908,2495234,4.72,41.97,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40909,2541199,18.46,242.71,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40910,2540259,6.63,81.89,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40911,2495888,18.88,200.94,1.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40912,1062,84,868.4,5.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40913,2507182,18.92,235.26,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40914,2552468,47.07,491.23,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40915,497246,4.09,39.72,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40916,2508064,4.04,35.28,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40917,2539995,44.82,452.32,3.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40918,2550355,4.74,60.57,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40919,2495211,19.44,188.68,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40920,2533047,5.14,49.71,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40921,2495825,47.59,603.86,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40922,2535535,5.66,48.67,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40923,2532835,17,227.12,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40924,2499255,3.41,22.45,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40925,2550313,25.16,275.93,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40926,497240,86.07,1065.05,10.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40927,2508112,17.11,169.22,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40928,2541316,5.01,61.8,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40929,2508137,5.81,54.82,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40930,2495573,24.41,273.96,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40931,2541768,5.09,54.35,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40932,497256,4.76,60.64,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40933,2540258,76.78,884.4,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40934,2550284,13.01,129.28,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40935,2543628,30,336.31,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40936,2540148,55.93,463.16,3.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40937,2495826,37.62,416.59,3.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40938,2495288,19.12,202.48,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40939,2540158,63.28,711.87,4.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40940,238457,5.41,61.58,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40941,2507170,5.41,61.58,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
40942,2541151,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA
41525,2533046,47,597,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41526,2543481,47,494,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41527,1060,10,110,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41528,1062,72,770,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41529,89688,3,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41530,2495267,54,632,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41531,2507218,23,251,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41532,2495573,29,307,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41533,2495139,54,594,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41534,71265,47,559,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41535,2507883,16,171,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41536,2495825,42,479,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41537,2495826,38,429,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41538,497224,13,147,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41539,2537933,52,525,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41540,2540232,8,72,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41541,2543466,44,471,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41542,2540148,49,559,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41543,2532835,8,72,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41544,2540158,64,781,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41545,2540211,15,173,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41546,2495835,9,88,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41547,2539327,6,66,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41548,2506619,12,137,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41549,2540928,10,110,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41550,2543721,6,60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41551,2532838,43,559,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41552,2505299,42,487,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41553,2543794,17,173,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41554,497234,30,330,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41555,497236,70,847,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41556,2540259,6,67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41557,2532853,36,425,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41558,2495288,23,271,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41559,2541316,17,179,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41560,497240,84,1151,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41561,2533028,6,66,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41562,497242,9,99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41563,2541187,6,66,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41564,2536071,6,72,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41565,2550206,5,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41566,2541834,55,649,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41567,2508112,31,363,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41568,2552633,7,72,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41569,2540258,70,833,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41570,2495187,28,294,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
41571,2552586,10,106,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11,NA,NA
