playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper,
"2552489","null","Eddie Goldman","DL","CHI","DL","CHI","null","37.85","28","null","933","719","null","null","0.1875","170","-1658","0.5","37.85","37.85","null","null",
"2552490","null","Benardrick McKinney","LB","HOU","LB","HOU","null","54.725","52","null","1172","568","null","null","0.9","143.06","-1685.94","1","84.545","24.905","13.0919","2",
"2552492","null","Jordan Phillips","DL","MIA","DL","MIA","null","33.6","24.5","null","934","770","null","null","0.2","170","-1660","0","41.6","25.6","5.3874","null",
"2552493","null","Arik Armstead","DL","SF","DL","SF","null","39.85","20.5","null","935","702","null","null","0.3","132.03","-1698.97","0.5","39.85","39.85","null","null",
"2552494","null","Eli Harold","LB","SF","LB","SF","null","12.35","11","null","1173","1078","null","null","0.1","61.6","-1770.4","1","12.35","12.35","null","null",
"2552559","null","C.J. Uzomah","TE","CIN","TE","CIN","null","4.9783","0.4","null","621","1293","null","null","0.7265","153.7233","-1679.2767","0.5","10.15","1.05","4.9739","null",
"2552568","null","Byron Jones","DB","DAL","DB","DAL","null","41.6","64.5","null","1466","686","null","null","1.325","137.375","-1696.625","0.5","41.6","41.6","null","null",
"2552570","null","Craig Mager","DB","SD","DB","SD","null","10.45","10.5","null","1467","1119","null","null","0.09","170","-1665","0.5","10.45","10.45","null","null",
"2552572","null","JaCorey Shepherd","DB","PHI","DB","PHI","null","0","null","null","1479","1479","null","null","0","170","-1666","0","0","0","null","null",
"2552573","null","Jalen Collins","DB","ATL","DB","ATL","null","59.65","17","null","1468","529","null","null","2.5692","123.5","-1713.5","0.5","62.09","57.21","4.0366","null",
"2552580","null","A.J. Derby","TE","NE","TE","NE","null","2.35","null","null","622","1401","null","null","0.7537","150.99","-1687.01","0.6667","5.66","0","6.015","null",
"2552586","null","Tyler Kroft","TE","CIN","TE","CIN","null","21.4614","18.9","383","623","912","null","null","1.0827","141.0933","-1697.9067","0.25","31.84","12.432","2.0038","null",
"2552587","null","Alex Carter","DB","DET","DB","DET","null","0","null","null","1479","1479","null","null","0","170","-1670","0","0","0","null","null",
"2552592","null","Kwon Alexander","LB","TB","LB","TB","null","106.9","101","null","1174","201","null","null","0.515","141.87","-1699.13","0.5","112.38","101.42","3.28","61",
"2552593","null","Kyshoen Jarrett","DB","WAS","DB","WAS","null","7.55","54.5","null","1469","1209","null","null","0.175","null","null","0","7.55","7.55","null","null",
"2552599","null","Lorenzo Doss","DB","DEN","DB","DEN","null","8.15","1","null","1470","1179","null","null","0.05","170","-1673","0","8.15","8.15","null","null",
"2552602","null","Christian Covington","DL","HOU","DL","HOU","null","17.8","10.5","null","936","973","null","null","0.775","170","-1674","0.5","17.8","17.8","null","null",
"2552603","null","Danielle Hunter","DL","MIN","DL","MIN","null","20.35","45","null","937","929","null","null","0.585","140.25","-1704.75","0.5","20.35","20.35","null","null",
"2552605","null","Ibraheim Campbell","DB","CLE","DB","CLE","null","20","14.5","null","1471","933","null","null","0.275","112","-1734","0","20","20","null","null",
"2552611","null","Xavier Cooper","DL","CLE","DL","CLE","null","8.2","18","null","938","1178","null","null","0.525","139.5","-1707.5","0","8.2","8.2","null","null",
"2552615","null","Delvin Breaux","DB","NO","DB","NO","null","0","69","null","1479","1479","null","null","0","81","-1767","0","0","0","null","null",
"2552629","null","Frank Clark","DL","SEA","DL","SEA","null","30.475","25.5","null","939","804","null","null","0.25","134.7","-1714.3","0.5","32.775","28.175","3.7884","null",
"2552633","null","Jesse James","TE","PIT","TE","PIT","null","16.72","11.6","400","624","987","null","null","0.2892","150.98","-1699.02","0.5","27.35","5.82","2.3797","null",
"2552637","null","Obum Gwacham","DL","SEA","DL","SEA","null","4.1","12.5","null","940","1332","null","null","0.525","170","-1681","0","4.1","4.1","null","null",
"2552660","null","Randall Telfer","TE","CLE","TE","CLE","null","6.775","null","null","625","1237","null","null","0.5892","133.6633","-1718.3367","0.25","14.26","0","2.4584","null",
