"tableColumnID","dataColID","siteTableID","columnPeriod","columnOrder","removeColumn"
14070,106,156,"week",15,0
14071,234,156,"week",16,0
14072,110,156,"week",17,0
14073,232,156,"week",18,0
14074,109,156,"week",19,0
14075,108,156,"week",20,0
14076,107,156,"week",21,0
14077,233,156,"week",22,0
14078,236,156,"week",23,0
14079,111,156,"week",24,0
14080,97,156,"week",25,0
14081,94,156,"week",1,1
14082,49,156,"week",2,0
14083,95,156,"week",3,1
14084,96,156,"week",4,1
14085,248,156,"week",5,1
14086,7,7,"season",6,0
