"name","player","pos","team","overallRank","pick","positionRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","risk","cost_yahoo","costProjected_yahoo","costAvg_yahoo","costMax_yahoo","adp_yahoo","cost_espn","adp_espn","cost_fp","adp_fp","adp_ffc","adpSD_ffc","avgCost","inflatedCost"
"ANTONIOBROWN","Antonio Brown","WR","PIT",34,23.461203879612,9,215.664417346935,195.48,220.875,202.375,226.075,218.375,218.35,213.55,221.65,209.35,213.25,203.85,221.375,204.625,222.525,NA,198.785,215.581208333333,215.664417346935,72.2651956573247,3.7326,9.68900331500074,3.30859475642098,37.1,36,36.55,37.1,25.9,24.8,29.9,31,26,22.8,3.5,36.55,42
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",35,13.5336566343366,6,214.294086875055,301.98,249.525,196.825,206.025,216.4,214.51,219.45,213.125,199.5,210.5,207.525,211.625,242.45,219.925,NA,210.925,217.877583333333,214.294086875055,96.3662726739849,4.5739,26.3366663110758,5.03901729184061,42.6,45,43.8,45,16.3,38.6,16.6,40,12,13.4,2.7,43.8,50
"MONTEEBALL","Montee Ball","RB","DEN",36,13.5880261973803,7,213.025809004688,157.425,241.1,199.75,195.925,216.1,213.335,231.375,224.475,222,237.5,209.525,210.625,222.875,217,NA,204.1,210.594583333333,213.025809004688,95.0979948036171,4.3739,20.198398616392,4.41284647802435,53.1,44,48.55,53.1,12.5,28.6,26.6,37,16,13.6,3.2,48.55,55
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",37,10.2349615038496,8,211.035030172942,258.505,204.825,187.9,241.375,206.65,207.9225,228.5,212.15,209.625,218.5,211.6,220.125,178.425,237.75,NA,208.85,211.798947916667,211.035030172942,93.1072159718712,2.7413,20.1858842520142,4.23584460120275,56.5,50,53.25,56.5,10.1,51.8,6.8,49,9,9.9,2.7,53.25,60
"SAMBRADFORD","Sam Bradford","QB","STL",38,161.6,20,208.654603937405,224.39,233.22,243.86,169.94,NA,212.708,228.2,195.5,203.9,221.4,204.86,197.5,235.4,225.7,NA,199.38,211.354426190476,208.654603937405,-36.4277101791187,18.8,19.9556755720888,5.9420819802767,1.3,0,0.65,1.3,124.9,0,134.2,3,166,NA,NA,0.65,1
"CARSONPALMER","Carson Palmer","QB","ARI",39,135.84800861141,21,207.955098512067,181.3,234.84,226.68,210.94,NA,218.184,201.62,208.7,198.44,207.4,210.54,204.5,229.46,244.3,NA,188.94,207.866528571429,207.955098512067,-37.1272156044566,9.79224306838828,17.4986729870494,4.73026542561155,1,1,1,1,136.6,2.1,131.6,3,158,133,11.4,1,2
"JOEFLACCO","Joe Flacco","QB","BAL",40,143.8,22,204.640859013797,168.87,223.22,209.16,202.3,NA,209.666,200.1,210.96,211.02,220,207.36,217.6,236.14,222.3,NA,206.62,207.59920952381,204.640859013797,-40.4414551027273,9.2,15.2800762554912,4.44796462930356,1.3,1,1.15,1.3,124.6,2.1,124.3,3,152,NA,NA,1.15,2
"LEVEONBELL","Le'Veon Bell","RB","PIT",41,19.8244875512449,9,204.277337179889,214.485,213.45,194.475,206.05,207.625,213.975,193.425,216.5,188.5,195,202.95,202.75,213.075,217.15,NA,190,202.522875,204.277337179889,86.3495229788185,6.4739,10.1565518731694,3.64978390122578,39.2,38,38.6,39.2,20.7,34.2,21.9,40,19,22.9,4.4,38.6,44
"ARIANFOSTER","Arian Foster","RB","HOU",42,20.3680081991801,10,204.0122941225,192.19,206.6,185.325,195.775,NA,204.9375,181.5,206.525,217.575,209,207.075,208.75,213.3,218.225,NA,201.65,201.11130952381,204.0122941225,86.08447992143,10.7891,11.1207112566158,4.20934015815511,44,36,40,44,18.7,43,12.8,43,17,22.1,4.1,40,45
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",43,17.2298920107989,11,201.576375759643,168.57,243.4,196.55,194.45,208.55,210.84,173.975,214.825,209.85,221.5,212.25,229,207.475,224.65,NA,185.05,203.8733125,201.576375759643,83.6485615585725,5.3652,20.2836022089625,4.52796475308633,38.7,38,38.35,38.7,19.5,26.4,29.7,35,21,16.6,3.2,38.35,44
