"pos","name","points","name_info","games","team","overall_rank","age","games_start","pass_comp","pass_att","pass_yds","pass_td","pass_int","rush_att","rush_yds","rush_yds_att","rush_td","receptions","rec_yds","yds_rec","rec_td","fant_points","vbd","pos_rank","ovrank","passYdsPts","passTdsPts","passIntPts","rushYdsPts","rushTdsPts","recYdsPts","recTdsPts","fg30","fg40","fg50","fgMissed","pat","patMissed","fg30Pts","fg40Pts","fg50Pts","fgMissedPts","patPts","patMissedPts","sack","fumlRec","int","defTD","ptsA","passYdsAPG","rushYdsAPG","safety","kickTD","pts","ptsPG","passYdsA","rushYdsA","ptsAPG","td","fumlRecoveryPts","intCaughtPts","sackPts","safetyPts","tdPts","paPts","year","overallRank","positionRank","vor"
"WR","MARQUESSWILSON",1.3,"Marquess Wilson","10","CHI",499,21,1,0,0,0,0,0,0,0,NA,0,2,13,6.5,0,1,NA,189,NA,0,0,0,0,0,1.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,552,189,-103.4
"WR","BRIANTYMS",1.2,"Brian Tyms","7","2TM",501,24,0,0,0,0,0,0,0,0,NA,0,2,12,6,0,1,NA,190,NA,0,0,0,0,0,1.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,555,191,-103.5
"WR","KEVINCONE",1.2,"Kevin Cone","16","ATL",493,25,0,0,0,0,0,0,0,0,NA,0,1,12,12,0,1,NA,191,NA,0,0,0,0,0,1.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,555,191,-103.5
"RB","ROBERTHUGHES",0.6,"Robert Hughes","2","2TM",490,24,0,0,0,0,0,0,0,0,NA,0,1,6,6,0,1,NA,153,NA,0,0,0,0,0,0.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,570,153,-103.5
"RB","RONNIEWINGO",0.6,"Ronnie Wingo","2","BUF",491,22,0,0,0,0,0,0,1,4,4,0,1,2,2,0,1,NA,154,NA,0,0,0,0.4,0,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,570,153,-103.5
"RB","ARMONDSMITH",0.5,"Armond Smith","5","CAR",492,27,0,0,0,0,0,0,4,5,1.25,0,0,0,NA,0,1,NA,155,NA,0,0,0,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,574,155,-103.6
"RB","DARIUSREYNAUD",0.4,"Darius Reynaud","9","2TM",592,29,0,0,0,0,0,0,1,0,0,0,1,4,4,0,-2,NA,176,NA,0,0,0,0,0,0.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,578,156,-103.7
"RB","TYLERCLUTTS",0.4,"Tyler Clutts","8","2TM",593,29,1,0,0,0,0,0,0,0,NA,0,1,4,4,0,-2,NA,177,NA,0,0,0,0,0,0.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,578,156,-103.7
"WR","ARMANTIEDWARDS",1,"Armanti Edwards","6","2TM",502,25,0,0,0,0,0,0,1,0,0,0,1,10,10,0,1,NA,192,NA,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,558,193,-103.7
"RB","EVANROYSTER",0.3,"Evan Royster","10","WAS",509,26,0,0,0,0,0,0,2,0,0,0,1,3,3,0,NA,NA,156,NA,0,0,0,0,0,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,581,158,-103.8
"RB","SHAUNDRAUGHN",0.2,"Shaun Draughn","3","BAL",508,26,0,0,0,0,0,0,4,2,0.5,0,0,0,NA,0,NA,NA,157,NA,0,0,0,0.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,583,159,-103.9
"WR","BENOBOMANU",0.8,"Ben Obomanu","3","NYJ",498,30,0,0,0,0,0,0,0,0,NA,0,1,8,8,0,1,NA,193,NA,0,0,0,0,0,0.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,563,194,-103.9
"WR","ERICWEEMS",0.8,"Eric Weems","16","CHI",496,28,0,0,0,0,0,0,0,0,NA,0,1,8,8,0,1,NA,194,NA,0,0,0,0,0,0.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,563,194,-103.9
"WR","TRINDONHOLLIDAY",0.7,"Trindon Holliday","15","DEN",598,27,0,0,0,0,0,0,1,7,7,0,0,0,NA,0,-3,NA,223,NA,0,0,0,0.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,568,196,-104
"RB","LEONWASHINGTON",0.1,"Leon Washington","7","2TM",515,31,0,0,0,0,0,0,1,1,1,0,0,0,NA,0,NA,NA,158,NA,0,0,0,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,586,160,-104
"Def","SANDIEGOCHARGERS",99.99952," 31. San Diego Chargers","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,7,11,1,348,"259.3","107.1",0,0,58,"3.6",259.3,107.1,21.75,1,14,22,34,0,6,23.99952,2013,181,26,-104.0312
"RB","BRADSMELLEY",0,"Brad Smelley","2","HOU",513,24,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,NA,NA,163,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,587,161,-104.1
"RB","CHADSPANN",0,"Chad Spann","1","HOU",522,25,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,NA,NA,164,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,587,161,-104.1
