Offense,,Owner,Fan Pts?,% Owned,Proj,Actual,Yds,TD,Int,Yds,TD,Yds,TD,Yds,TD,2PT,Lost,
,Jay Cutler Chi - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Buf,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,153.55,70%,91,87,0,0,0,33,0,930,5,0,0,0,0
,Mike Wallace Mia - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NE,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,153,28%,142,80,0,0,0,0,0,1016,4,0,0,0,0
,Brian Hartline Mia - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NE,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,152.66,8%,202,98,2454,14,12,225,3,0,0,0,0,0,2
,Ryan Fitzpatrick Hou - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Was,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,151.87,30%,86,63,8,1,0,803,5,314,0,0,0,0,1
,Maurice Jones-Drew Oak - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ NYJ,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,149.88,70%,81,82,0,0,0,0,0,943,5,0,0,0,0
,Marques Colston NO - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Atl,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,149.75,98%,40,86,0,0,0,0,0,998,4,0,0,0,1
,Victor Cruz NYG - WR,,,,,,,,,,,,,,,,,
,Mon 7:10 pm @ Det,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,149.27,30%,84,77,0,0,0,549,2,513,3,12,0,0,1
,Pierre Thomas NO - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Atl,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,148.88,75%,69,88,0,0,0,0,0,1079,2,0,0,0,0
,Kendall Wright Ten - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ KC,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,148.34,3%,2136,108,3241,13,14,77,0,0,0,0,0,0,0
,Chad Henne Jax - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Phi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,146.52,18%,212,96,0,0,0,0,0,1067,2,57,0,0,2
,Harry Douglas Atl - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NO,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,145.02,3%,2275,138,2608,19,9,37,0,0,0,0,0,0,4
,Mike Glennon TB - QB,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs Car,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,144.93,30%,108,69,0,0,0,843,3,333,1,0,0,0,2
,DeAngelo Williams Car - RB,,,,,,,,,,,,,,,,,
