Offense,,Owner,Fan Pts?,% Owned,Proj,Actual,Yds,TD,Int,Yds,TD,Yds,TD,Yds,TD,2PT,Lost,
?,No new player Notes,?,FA,16.65,0%,2412,1590,0,0,0,24,0,46,0,0,0,0,0
,Cyrus Gray KC - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Ten,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,16.63,0%,2090,1549,0,0,0,0,0,37,2,0,0,0,0
,Michael Preston Ten - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ KC,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,16.14,0%,2467,1708,151,1,0,1,1,0,0,0,0,0,0
,Tarvaris Jackson Sea - QB,,,,,,,,,,,,,,,,,
,Thu 8:30 pm vs GB,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,16.12,3%,2522,1711,248,1,1,52,0,0,0,0,0,0,0
,Chase Daniel KC - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Ten,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,16.02,0%,2333,1576,0,0,0,0,0,96,0,201,0,0,0
,Deonte Thompson Bal - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cin,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,15.88,0%,2252,1568,0,0,0,0,0,55,1,0,0,0,0
,Domenik Hixon Chi - WR,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Buf,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,15.88,3%,2133,1447,0,0,0,0,0,119,0,0,0,0,0
,Vance McDonald SF - TE,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ Dal,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,15.74,15%,130,1598,0,0,0,0,0,64,0,37,0,0,0
,Markus Wheaton Pit - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cle,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,15.33,0%,2390,1572,0,0,0,12,1,33,0,0,0,0,0
,Phillip Tanner Dal - RB,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs SF,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,15.18,0%,2392,1558,0,0,0,23,0,47,1,0,0,0,0
,Vonta Leach Bal - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cin,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,15.13,0%,2375,1557,0,0,0,62,0,69,0,15,0,0,0
,Tommy Bohanon NYJ - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Oak,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,15.05,0%,2359,1586,0,0,0,-2,0,82,0,0,0,0,0
,Ricardo Lockette Sea - WR,,,,,,,,,,,,,,,,,
,Thu 8:30 pm vs GB,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,14.91,0%,2411,1594,0,0,0,0,0,5,1,239,0,0,0
,Travaris Cadet NO - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Atl,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,14.75,3%,1748,1443,0,0,0,0,0,70,1,0,0,0,0
,Fred Davis Was - TE,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Hou,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,14.75,0%,2304,1556,0,0,0,10,1,62,0,0,0,0,0
,James Develin NE - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Mia,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,14.58,0%,2296,1502,0,0,0,0,0,31,0,10,0,0,0
,James Casey Phi - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Jax,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,14.52,0%,2410,1639,0,0,0,17,0,0,0,66,0,0,0
,Cedric Peerman Cin - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Bal,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,14.27,0%,1901,1446,0,0,0,0,0,61,1,7,0,0,0
,Rhett Ellison Min - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ StL,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,13.77,0%,2361,1567,0,0,0,31,0,82,0,21,0,0,0
,Justin Forsett Bal - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cin,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,13.69,0%,2299,1578,0,0,0,33,0,57,0,13,0,0,0
,Daniel Herron Ind - RB,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 8:30 pm @ Den,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,13.63,0%,2308,1470,0,0,0,0,0,13,1,0,0,0,0
,Taylor Thompson Ten - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ KC,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,13.38,0%,1761,1451,0,0,0,0,0,47,1,0,0,0,0
,Joel Dreessen Den - TE,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 8:30 pm vs Ind,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,13.2,0%,2408,1614,0,0,0,1,0,40,0,5,0,0,0
,Will Ta'ufo'ou Jax - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Phi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,13,10%,2315,1575,0,0,0,0,0,96,0,0,0,0,0
,Kenny Britt StL - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Min,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,12.88,0%,2335,1574,0,0,0,0,0,103,0,0,0,0,0
,Brice Butler Oak - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ NYJ,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,12.64,0%,2427,1662,0,0,0,0,0,8,0,57,0,0,0
,Eric Weems Chi - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Buf,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,12.63,0%,1812,1449,0,0,0,0,0,53,1,0,0,0,0
,Chris Gragg Buf - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Chi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,12.32,0%,2421,1699,0,0,0,0,0,0,0,270,0,0,1
,Greg Jenkins Oak - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ NYJ,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,12,0%,2259,1458,0,0,0,0,0,88,0,0,0,0,0
,Jeron Mastrud Oak - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ NYJ,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,11.66,0%,2431,1666,0,0,0,1,0,0,0,578,0,0,0
,Leon Washington Ten - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ KC,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,11.33,0%,2306,1462,0,0,0,2,0,81,0,0,0,0,0
,Bear Pascoe Atl - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NO,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,11.2,0%,1906,1455,0,0,0,-8,0,44,1,0,0,0,0
,Josh Hill NO - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Atl,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,10.75,0%,2134,1468,0,0,0,0,0,78,0,0,0,0,0
,Lee Smith Buf - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Chi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,10.71,5%,2288,1581,0,0,0,0,0,85,0,4,0,0,0
,Ryan Broyles Det - WR,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Mon 7:10 pm vs NYG,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,10.63,3%,2282,1580,0,0,0,0,0,85,0,0,0,0,0
,Mario Manningham NYG - WR,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Mon 7:10 pm @ Det,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,10.25,0%,1751,1463,0,0,0,0,0,82,0,0,0,0,0
,Tony Scheffler Det - TE,,,,,,,,,,,,,,,,,
,Mon 7:10 pm vs NYG,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,10.2,0%,2378,1631,0,0,0,2,0,27,0,106,0,0,0
,Brad Smith Phi - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Jax,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,10.13,0%,2298,1471,0,0,0,0,0,73,0,0,0,0,0
,James Hanna Dal - TE,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs SF,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,10,0%,1758,1457,0,0,0,0,0,32,1,0,0,0,0
,Kellen Davis NYG - TE,,,,,,,,,,,,,,,,,
,Mon 7:10 pm @ Det,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,10,0%,1923,1456,0,0,0,0,0,32,1,0,0,0,0
,Dion Sims Mia - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NE,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,10,0%,2287,1472,0,0,0,0,0,12,1,0,0,0,0
,Alex Smith Cin - TE,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Bal,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,9.75,0%,2125,1464,0,0,0,0,0,102,0,0,0,0,1
,David Paulson Pit - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cle,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,9.7,0%,2432,1691,0,0,0,0,0,0,0,10,0,0,0
,Matthew Slater NE - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Mia,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,9.64,0%,2377,1623,0,0,0,0,0,15,0,188,0,1,0
,Nick Williams Was - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Hou,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,9.57,0%,2413,1696,0,0,0,0,0,14,0,541,0,0,1
,Damaris Johnson Phi - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Jax,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,9.5,0%,2291,1585,0,0,0,0,0,20,1,0,0,0,0
,Derek Moye Pit - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cle,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,9.48,0%,1915,1582,0,0,0,61,0,19,0,0,0,0,0
,Mike Goodson NYJ - RB,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Oak,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,9.44,0%,2368,1612,0,0,0,35,0,8,0,22,0,0,0
,Alex Green NYJ - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Oak,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,9.31,0%,2426,1619,0,0,0,2,0,34,0,43,0,0,0
,Greg Jones Hou - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Was,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,9.06,0%,2478,1709,309,1,3,17,0,0,0,0,0,0,0
,Jeff Tuel Buf - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Chi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,9,0%,2409,1686,0,0,0,0,0,0,0,0,0,0,0
,Russell Shepard TB - WR,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs Car,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,8.88,0%,2128,1480,0,0,0,0,0,63,0,0,0,0,0
,Zach Sudfeld NYJ - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Oak,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,8.75,0%,1889,1474,0,0,0,0,0,70,0,0,0,0,0
,David Johnson SD - TE,,,,,,,,,,,,,,,,,
,Mon 10:20 pm @ Ari,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,8.63,0%,2365,1601,0,0,0,0,0,61,0,0,0,0,0
,Dane Sanzenbacher Cin - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Bal,,,,,,,,,,,,,,,,,
?,New Player Note,?,FA,8.63,0%,2258,1476,0,0,0,0,0,69,0,0,0,0,0
,Michael Egnew Mia - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NE,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,8.63,0%,1760,1465,0,0,0,0,0,21,1,0,0,0,0
,Tom Crabtree TB - TE,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs Car,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,8.5,0%,2331,1595,0,0,0,0,0,68,0,0,0,0,0
,Nick Toon NO - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Atl,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,8.5,40%,162,1466,0,0,0,0,0,20,1,0,0,0,0
,Dwayne Allen Ind - TE,,,,,,,,,,,,,,,,,
,Sun 8:30 pm @ Den,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,8.38,0%,1879,1473,0,0,0,0,0,11,1,0,0,0,0
,Matt Spaeth Pit - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cle,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,8.38,0%,2310,1503,0,0,0,0,0,31,0,0,0,0,0
,Larry Donnell NYG - TE,,,,,,,,,,,,,,,,,
,Mon 7:10 pm @ Det,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,8.25,0%,2332,1597,0,0,0,0,0,66,0,0,0,0,0
,Myles White GB - WR,,,,,,,,,,,,,,,,,
,Thu 8:30 pm @ Sea,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,8.13,0%,2320,1493,0,0,0,0,0,45,0,0,0,0,0
,Virgil Green Den - TE,,,,,,,,,,,,,,,,,
,Sun 8:30 pm vs Ind,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,8.13,0%,2321,1520,0,0,0,0,0,9,1,0,0,0,0
,Nick Kasa Oak - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ NYJ,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,8,0%,1887,1469,0,0,0,0,0,16,1,0,0,0,0
,Matthew Mulligan Chi - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Buf,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,8,0%,2401,1653,0,0,0,0,0,12,0,0,0,0,0
,Kevin Cone Mia - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NE,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,7.94,0%,2440,1713,156,1,1,37,0,0,0,0,0,0,1
,Matt Simms NYJ - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Oak,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,7.9,18%,2182,1584,0,0,0,79,0,0,0,0,0,0,0
,Christine Michael Sea - RB,,,,,,,,,,,,,,,,,
,Thu 8:30 pm vs GB,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,7.88,0%,2324,1599,0,0,0,0,0,63,0,0,0,0,0
,Austin Collie NE - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Mia,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,7.63,0%,2360,1588,0,0,0,0,0,37,1,0,0,0,1
,Louis Murphy Jr. TB - WR,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs Car,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,7.63,0%,2371,1602,0,0,0,0,0,57,0,0,0,0,0
,Tony Fiammetta Chi - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Buf,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,7.5,0%,2255,1604,0,0,0,0,0,60,0,0,0,0,0
,Josh Cooper Cle - WR,,,,,,,,,,,,,,,,,
,Injured Reserve,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Pit,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,7.3,0%,2290,1486,0,0,0,43,0,8,0,0,0,0,0
,MarQueis Gray Cle - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Pit,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,7.05,0%,2398,1608,0,0,0,0,0,49,0,21,0,0,0
,Patrick DiMarco Atl - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NO,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,7,0%,2419,1673,0,0,0,0,0,0,0,0,0,0,0
,Chase Reynolds StL - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Min,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,7,0%,2420,1610,0,0,0,0,0,47,0,6,0,0,0
,Erik Lorig NO - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Atl,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,6.99,5%,1940,1603,0,0,0,26,0,34,0,7,0,0,0
,Quinton Patton SF - WR,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ Dal,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,6.88,0%,1982,1609,0,0,0,0,0,51,0,0,0,0,0
,Teddy Williams Ari - WR,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Mon 10:20 pm vs SD,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,6.83,0%,2323,1516,0,0,0,0,0,13,0,10,0,0,0
,Dante Rosario Chi - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Buf,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,6.56,0%,2383,1611,0,0,0,23,0,23,0,19,0,0,0
,Michael Hill GB - RB,,,,,,,,,,,,,,,,,
,Thu 8:30 pm @ Sea,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,6.5,0%,2393,1621,0,0,0,0,0,32,0,0,0,0,0
,Collin Mooney Ten - RB,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ KC,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,6.31,0%,2523,1720,0,0,0,0,0,33,0,9,0,0,0
,Joe Webb Car - QB,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ TB,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,6.25,0%,2322,1505,0,0,0,0,0,30,0,0,0,0,0
,John Phillips SD - TE,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Mon 10:20 pm @ Ari,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,6.25,0%,2280,1492,0,0,0,0,0,46,0,0,0,0,0
,Weslye Saunders Ind - TE,,,,,,,,,,,,,,,,,
,Sun 8:30 pm @ Den,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,6,0%,2430,1654,0,0,0,0,0,8,0,0,0,0,0
,Orson Charles Cin - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Bal,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,5.89,0%,2206,1620,0,0,0,14,0,21,0,93,0,0,0
,Jeff Demps TB - RB,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs Car,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,5.75,0%,2334,1504,0,0,0,0,0,30,0,0,0,0,0
,Ryan Taylor GB - TE,,,,,,,,,,,,,,,,,
,Thu 8:30 pm @ Sea,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,5.75,0%,2118,1613,0,0,0,0,0,46,0,0,0,0,0
,Patrick Edwards Det - WR,,,,,,,,,,,,,,,,,
,Mon 7:10 pm vs NYG,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,5.68,5%,1764,1600,0,0,0,63,0,-5,0,0,0,0,0
,Vick Ballard Ind - RB,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 8:30 pm @ Den,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,5.44,0%,2435,1707,481,1,7,32,0,0,0,0,0,0,0
,Blaine Gabbert SF - QB,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ Dal,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,5.38,0%,2385,1622,0,0,0,0,0,35,0,0,0,0,0
,Lestar Jean Min - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ StL,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,5.07,0%,2422,1617,0,0,0,0,0,37,0,22,0,0,0
,Jerome Felton Min - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ StL,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,5,0%,2257,1495,0,0,0,0,0,40,0,0,0,0,0
,Allen Reisner Min - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ StL,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,4.75,0%,1883,1497,0,0,0,0,0,38,0,0,0,0,0
,Garrett Celek SF - TE,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ Dal,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,4.74,0%,2418,1670,0,0,0,0,0,0,0,37,0,0,0
,Michael Ford Chi - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Buf,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,4.68,0%,2386,1635,0,0,0,15,0,12,0,84,0,0,0
,Skye Dawson TB - WR,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs Car,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,4.5,0%,2263,1499,0,0,0,0,0,36,0,0,0,0,0
,Kevin Brock Cin - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Bal,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,4.46,0%,2399,1629,0,0,0,0,0,27,0,4,0,0,0
,Michael Robinson Sea - RB,,,,,,,,,,,,,,,,,
,Thu 8:30 pm vs GB,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,4.38,0%,2311,1512,0,0,0,0,0,19,0,0,0,0,0
,Jack Doyle Ind - TE,,,,,,,,,,,,,,,,,
,Sun 8:30 pm @ Den,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,4.34,0%,2417,1669,0,0,0,0,0,0,0,17,0,0,0
,Kyle Juszczyk Bal - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cin,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,4.23,0%,2519,1714,2,0,1,64,0,6,0,0,0,0,0
,Tyrod Taylor Bal - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cin,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,4.1,3%,2137,1637,0,0,0,21,0,0,0,0,0,0,0
,Mike Gillislee Mia - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NE,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,4,3%,2521,1718,95,0,0,2,0,0,0,0,0,0,0
,Brock Osweiler Den - QB,,,,,,,,,,,,,,,,,
,Sun 8:30 pm vs Ind,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,4,0%,2132,1627,0,0,0,0,0,32,0,0,0,0,0
,Juron Criner Oak - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ NYJ,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,3.92,0%,2416,1668,0,0,0,0,0,0,0,196,0,0,0
,Chris Thompson Was - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Hou,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,3.88,0%,2388,1624,0,0,0,0,0,31,0,0,0,0,0
,John Conner NYG - RB,,,,,,,,,,,,,,,,,
,Mon 7:10 pm @ Det,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,3.88,0%,2115,1628,0,0,0,0,0,31,0,0,0,0,0
,Lamaar Thomas Jax - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Phi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,3.88,0%,2423,1663,0,0,0,0,0,3,0,0,0,0,0
,Evan Royster Was - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Hou,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,3.86,5%,2400,1636,0,0,0,66,0,0,0,88,0,0,2
,Denard Robinson Jax - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Phi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,3.8,5%,2176,1616,0,0,0,38,0,0,0,0,0,0,0
,C.J. Anderson Den - RB,,,,,,,,,,,,,,,,,
,Sun 8:30 pm vs Ind,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,3.78,0%,1900,1625,0,0,0,19,0,11,0,25,0,0,0
,LaRod Stephens-Howling Pit - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cle,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,3.63,0%,2138,1626,0,0,0,0,0,29,0,0,0,0,0
,Bradie Ewing Jax - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Phi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,3.52,0%,2424,1687,0,0,0,0,0,0,0,176,0,0,0
,Lavelle Hawkins TB - WR,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs Car,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,3.5,0%,2305,1672,0,0,0,0,0,0,0,0,0,0,0
,Evan Rodriguez Buf - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Chi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,3.5,0%,2379,1633,0,0,0,0,0,28,0,0,0,0,0
,Jon Baldwin SF - WR,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ Dal,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,3.36,0%,2473,1719,34,0,0,0,0,0,0,0,0,1,0
,Dominique Davis Atl - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NO,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,3.29,88%,47,1643,0,0,0,0,0,17,0,58,0,0,0
,Percy Harvin Sea - WR,,,,,,,,,,,,,,,,,
,Thu 8:30 pm vs GB,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,3.25,0%,2387,1641,0,0,0,0,0,18,0,0,0,0,0
,Jeremy Ebert Jax - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Phi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,3.2,0%,2276,1667,0,0,0,0,0,0,0,160,0,0,0
,Chris Rainey Ind - RB,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 8:30 pm @ Den,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,3.1,0%,1882,1522,0,0,0,0,0,8,0,5,0,0,0
,Michael Palmer Pit - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cle,,,,,,,,,,,,,,,,,
