"name","name_yahoo","pos","team_yahoo","passYds","passTds","passInt","rushAtt","rushYds","rushTds","recTgts","rec","recYds","recTds","returnTDs","twoPts","fumbles","pts"
"DWAYNEALLEN","Dwayne Allen","TE","IND",0,0,0,0,0,0,50,29,395,8,0,0,0,87.5
"BRANDINCOOKS","Brandin Cooks","WR","NO",0,0,0,7,73,1,69,53,550,3,0,0,0,86.3
"ZACHERTZ","Zach Ertz","TE","PHI",0,0,0,0,0,0,89,58,702,3,0,0,1,86.2
"ROYHELU","Roy Helu Jr.","RB","WAS",0,0,0,40,216,1,47,42,477,2,0,0,1,85.3
"DARRENMCFADDEN","Darren McFadden","RB","OAK",0,0,0,155,534,2,56,36,212,0,0,0,1,84.6
"ALFREDBLUE","Alfred Blue","RB","HOU",0,0,0,169,528,2,18,15,113,1,0,0,0,82.1
"JAREDCOOK","Jared Cook","TE","STL",0,0,0,1,0,0,99,52,634,3,0,0,0,81.4
"RONNIEHILLMAN","Ronnie Hillman","RB","DEN",0,0,0,106,434,3,34,21,139,1,0,0,0,81.3
"BENNYCUNNINGHAM","Benny Cunningham","RB","STL",0,0,0,66,246,3,53,45,352,1,0,0,2,79.8
"CHARLESCLAY","Charles Clay","TE","MIA",0,0,0,0,0,0,84,58,605,3,0,0,0,78.5
"PERCYHARVIN","Percy Harvin","WR","NYJ",0,0,0,33,202,1,78,51,483,1,0,0,1,78.5
"MARKUSWHEATON","Markus Wheaton","WR","PIT",0,0,0,4,19,0,86,53,644,2,0,0,0,78.3
"BISHOPSANKEY","Bishop Sankey","RB","TEN",0,0,0,152,569,2,23,18,133,0,0,0,2,78.2
"BOBBYRAINEY","Bobby Rainey","RB","TB",0,0,0,94,406,1,45,33,315,1,0,0,3,78.1
"PIERRETHOMAS","Pierre Thomas","RB","NO",0,0,0,45,222,2,55,45,378,1,0,0,0,78
"JARIUSWRIGHT","Jarius Wright","WR","MIN",0,0,0,5,71,0,62,42,588,2,0,0,0,77.9
"ZACHMETTENBERGER","Zach Mettenberger","QB","TEN",1412,8,7,5,4,0,0,0,0,0,0,0,2,77.88
"NATEWASHINGTON","Nate Washington","WR","TEN",0,0,0,0,0,0,72,40,647,2,0,0,0,76.7
"OWENDANIELS","Owen Daniels","TE","BAL",0,0,0,0,0,0,79,48,527,4,0,0,0,76.7
"DEVINHESTER","Devin Hester","WR","ATL",0,0,0,6,36,1,59,38,504,2,1,0,1,76
"JERMAINEGRESHAM","Jermaine Gresham","TE","CIN",0,0,0,0,0,0,79,62,460,5,0,0,0,76
"DWAYNEBOWE","Dwayne Bowe","WR","KC",0,0,0,0,0,0,95,60,754,0,0,0,0,75.4
"MYCHALRIVERA","Mychal Rivera","TE","OAK",0,0,0,0,0,0,99,58,534,4,0,0,1,75.4
"RILEYCOOPER","Riley Cooper","WR","PHI",0,0,0,0,0,0,94,55,577,3,0,0,1,73.7
"JONASGRAY","Jonas Gray","RB","NE",0,0,0,89,412,5,3,1,7,0,0,0,0,71.9
"JAKELOCKER","Jake Locker","QB","TEN",993,5,7,22,142,1,0,0,0,0,0,0,1,70.92
"HARRYDOUGLAS","Harry Douglas","WR","ATL",0,0,0,0,0,0,74,51,556,2,0,1,0,69.6
"TAYLORGABRIEL","Taylor Gabriel","WR","CLE",0,0,0,4,10,0,72,36,621,1,0,0,0,69.1
"MILESAUSTIN","Miles Austin","WR","CLE",0,0,0,0,0,0,72,47,568,2,0,0,0,68.8
"ALLENROBINSON","Allen Robinson","WR","JAX",0,0,0,0,0,0,81,48,548,2,0,1,0,68.8
"LATAVIUSMURRAY","Latavius Murray","RB","OAK",0,0,0,82,424,2,23,17,143,0,0,0,0,68.7
"DOUGMARTIN","Doug Martin","RB","TB",0,0,0,134,494,2,20,13,64,0,0,0,0,67.8
"JUSTINHUNTER","Justin Hunter","WR","TEN",0,0,0,0,0,0,67,28,498,3,0,0,0,67.8
"SCOTTCHANDLER","Scott Chandler","TE","BUF",0,0,0,0,0,0,70,47,497,3,0,0,0,67.7
"JERICKMCKINNON","Jerick McKinnon","RB","MIN",0,0,0,113,538,0,41,27,135,0,0,0,0,67.3
