"name","pos","name_nfl","team_nfl","positionRank_nfl","overallRank_nfl","pts_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushAtt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","returnTds_nfl","twoPts_nfl","fumbles_nfl"
"MARTELLUSBENNETT","TE","Martellus Bennett","CHI",11,149,113.7,NA,NA,0,0,0,NA,0,0,NA,717,7,NA,0,0
"STEVESMITH","WR","Steve Smith","BAL",57,150,113.1,NA,NA,0,0,0,NA,0,0,NA,791,6,NA,0,1
"CHARLESCLAY","TE","Charles Clay","MIA",12,151,112.5,NA,NA,0,0,0,NA,0,0,NA,765,6,NA,0,0
"JAMESJONES","WR","James Jones","OAK",58,152,112.1,NA,NA,0,0,0,NA,0,0,NA,841,5,NA,0,1
"SHONNGREENE","RB","Shonn Greene","TEN",48,153,111.7,NA,NA,0,0,0,NA,798,5,NA,59,0,NA,0,2
"MILESAUSTIN","WR","Miles Austin","CLE",59,154,110.1,NA,NA,0,0,0,NA,0,0,NA,761,6,NA,0,1
"KELVINBENJAMIN","WR","Kelvin Benjamin","CAR",60,155,110,NA,NA,0,0,0,NA,0,0,NA,760,6,NA,0,1
"DEVONTAFREEMAN","RB","Devonta Freeman","ATL",49,156,109.3,NA,NA,0,0,0,NA,611,5,NA,122,1,NA,0,0
"JARRETTBOYKIN","WR","Jarrett Boykin","GB",61,157,109.1,NA,NA,0,0,0,NA,0,0,NA,791,5,NA,0,0
"MALCOMFLOYD","WR","Malcom Floyd","SD",62,158,107.7,NA,NA,0,0,0,NA,0,0,NA,717,6,NA,0,0
"JERRICHOCOTCHERY","WR","Jerricho Cotchery","CAR",63,159,106.5,NA,NA,0,0,0,NA,0,0,NA,765,5,NA,0,0
"AHMADBRADSHAW","RB","Ahmad Bradshaw","IND",50,160,106.3,NA,NA,0,0,0,NA,710,5,NA,93,0,NA,0,2
"ZACHERTZ","TE","Zach Ertz","PHI",13,161,106.1,NA,NA,0,0,0,NA,0,0,NA,761,5,NA,0,0
"ANDREWHAWKINS","WR","Andrew Hawkins","CLE",64,162,105.2,NA,NA,0,0,0,NA,20,0,NA,732,5,NA,0,0
"MIKEWILLIAMS","WR","Mike Williams","BUF",65,163,105,NA,NA,0,0,0,NA,0,0,NA,770,5,NA,0,1
"LADARIUSGREEN","TE","Ladarius Green","SD",14,164,104,NA,NA,0,0,0,NA,0,0,NA,680,6,NA,0,0
"CHRISGIVENS","WR","Chris Givens","STL",66,165,103.7,NA,NA,0,0,0,NA,8,0,NA,689,6,NA,0,1
"HARRYDOUGLAS","WR","Harry Douglas","ATL",67,166,103.4,NA,NA,0,0,0,NA,0,0,NA,734,5,NA,0,0
"JORDANMATTHEWS","WR","Jordan Matthews","PHI",68,167,103,NA,NA,0,0,0,NA,0,0,NA,690,6,NA,0,1
"DELANIEWALKER","TE","Delanie Walker","TEN",15,167,103,NA,NA,0,0,0,NA,0,0,NA,690,6,NA,0,1
"KNILEDAVIS","RB","Knile Davis","KC",51,169,102.8,NA,NA,0,0,0,NA,608,4,NA,160,1,NA,0,2
"ANDREHOLMES","WR","Andre Holmes","OAK",69,170,102.4,NA,NA,0,0,0,NA,0,0,NA,724,5,NA,0,0
"LEGARRETTEBLOUNT","RB","LeGarrette Blount","PIT",52,171,101.1,NA,NA,0,0,0,NA,652,6,NA,39,0,NA,0,2
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",53,172,100.8,NA,NA,0,0,0,NA,604,4,NA,164,0,NA,0,0
"ANTONIOGATES","TE","Antonio Gates","SD",16,173,100.6,NA,NA,0,0,0,NA,0,0,NA,726,5,NA,0,1
"MARQISELEE","WR","Marqise Lee","JAX",70,174,99.4,NA,NA,0,0,0,NA,0,0,NA,774,4,NA,0,1
"RODSTREATER","WR","Rod Streater","OAK",71,175,98.7,NA,NA,0,0,0,NA,7,0,NA,640,6,NA,0,1
"HEATHMILLER","TE","Heath Miller","PIT",17,175,98.7,NA,NA,0,0,0,NA,0,0,NA,647,6,NA,0,1
"JONATHANGRIMES","RB","Jonathan Grimes","HOU",54,177,96.5,NA,NA,0,0,0,NA,525,5,NA,80,1,NA,0,0
"JAMESSTARKS","RB","James Starks","GB",55,178,96.3,NA,NA,0,0,0,NA,469,4,NA,194,1,NA,0,0
"NATEWASHINGTON","WR","Nate Washington","TEN",72,178,96.3,NA,NA,0,0,0,NA,0,0,NA,723,4,NA,0,0
"DONNIEAVERY","WR","Donnie Avery","KC",73,180,95.6,NA,NA,0,0,0,NA,6,0,NA,730,4,NA,0,1
"TYLEREIFERT","TE","Tyler Eifert","CIN",18,181,95,NA,NA,0,0,0,NA,0,0,NA,650,5,NA,0,0
"JAREDCOOK","TE","Jared Cook","STL",19,182,94.1,NA,NA,0,0,0,NA,0,0,NA,541,7,NA,0,1
"DWAYNEALLEN","TE","Dwayne Allen","IND",20,183,93.8,NA,NA,0,0,0,NA,0,0,NA,578,6,NA,0,0
"JERMAINEKEARSE","WR","Jermaine Kearse","SEA",74,184,92,NA,NA,0,0,0,NA,0,0,NA,680,4,NA,0,0
"GARRETTGRAHAM","TE","Garrett Graham","HOU",21,185,91.2,NA,NA,0,0,0,NA,0,0,NA,612,5,NA,0,0
"ERICEBRON","TE","Eric Ebron","DET",22,186,91,NA,NA,0,0,0,NA,0,0,NA,630,5,NA,0,1
"ODELLBECKHAM","WR","Odell Beckham","NYG",75,187,89.9,NA,NA,0,0,0,NA,10,0,NA,649,4,NA,0,0
"LANCEDUNBAR","RB","Lance Dunbar","DAL",56,188,88.9,NA,NA,0,0,0,NA,449,5,NA,100,1,NA,0,1
"RONNIEHILLMAN","RB","Ronnie Hillman","DEN",57,189,85.2,NA,NA,0,0,0,NA,312,6,NA,140,1,NA,0,1
"JEREMYHILL","RB","Jeremy Hill","CIN",58,190,85.1,NA,NA,0,0,0,NA,510,3,NA,81,2,NA,0,2
"ROYHELU","RB","Roy Helu","WAS",59,191,84.9,NA,NA,0,0,0,NA,405,3,NA,224,1,NA,0,1
"COBYFLEENER","TE","Coby Fleener","IND",23,192,82.1,NA,NA,0,0,0,NA,0,0,NA,501,5,NA,1,0
"EDDIEROYAL","WR","Eddie Royal","SD",76,193,81.9,NA,NA,0,0,0,NA,9,0,NA,590,4,NA,0,1
"BENNYCUNNINGHAM","RB","Benny Cunningham","STL",60,194,81.6,NA,NA,0,0,0,NA,494,4,NA,102,0,NA,0,1
"STEVEJOHNSON","WR","Steve Johnson","SF",77,195,81.4,NA,NA,0,0,0,NA,6,0,NA,588,4,NA,0,1
"MARVINJONES","WR","Marvin Jones","CIN",78,196,81.2,NA,NA,0,0,0,NA,33,0,NA,539,4,NA,0,0
"JEREMYKERLEY","WR","Jeremy Kerley","NYJ",79,197,80.4,NA,NA,0,0,0,NA,13,0,NA,651,3,NA,0,2
"ACESANDERS","WR","Ace Sanders","JAX",80,198,80.1,NA,NA,0,0,0,NA,4,0,NA,557,4,NA,0,0
"ANDREWQUARLESS","TE","Andrew Quarless","GB",24,198,80.1,NA,NA,0,0,0,NA,0,0,NA,501,5,NA,0,0
"ANDREROBERTS","WR","Andre Roberts","WAS",81,200,79.9,NA,NA,0,0,0,NA,0,0,NA,559,4,NA,0,0
"MIKETOLBERT","RB","Mike Tolbert","CAR",61,201,79.7,NA,NA,0,0,0,NA,379,3,NA,178,1,NA,0,0
"DENARIUSMOORE","WR","Denarius Moore","OAK",82,202,79.3,NA,NA,0,0,0,NA,0,0,NA,573,4,NA,0,1
"JACQUIZZRODGERS","RB","Jacquizz Rodgers","ATL",62,203,79,NA,NA,0,0,0,NA,310,3,NA,240,1,NA,0,0
"NATEBURLESON","WR","Nate Burleson","CLE",83,203,79,NA,NA,0,0,0,NA,0,0,NA,570,4,NA,0,1
"DAVANTEADAMS","WR","Davante Adams","GB",84,205,78.9,NA,NA,0,0,0,NA,0,0,NA,509,5,NA,0,1
"LEVINETOILOLO","TE","Levine Toilolo","ATL",25,206,78.5,NA,NA,0,0,0,NA,0,0,NA,545,4,NA,0,0
"GREGLITTLE","WR","Greg Little","OAK",85,207,78.1,NA,NA,0,0,0,NA,0,0,NA,541,4,NA,0,0
"MARCEDESLEWIS","TE","Marcedes Lewis","JAX",26,208,78,NA,NA,0,0,0,NA,0,0,NA,480,5,NA,0,0
"LANCEMOORE","WR","Lance Moore","PIT",86,209,77,NA,NA,0,0,0,NA,0,0,NA,550,4,NA,0,1
"KRISDURHAM","WR","Kris Durham","DET",87,210,76.6,NA,NA,0,0,0,NA,0,0,NA,526,4,NA,0,0
"BRANDONGIBSON","WR","Brandon Gibson","MIA",88,211,76.4,NA,NA,0,0,0,NA,0,0,NA,584,3,NA,0,0
"EARLBENNETT","WR","Earl Bennett",NA,89,212,76.2,NA,NA,0,0,0,NA,0,0,NA,522,4,NA,0,0
"ZACHMILLER","TE","Zach Miller","SEA",27,213,75.9,NA,NA,0,0,0,NA,0,0,NA,459,5,NA,0,0
"MARLONBROWN","WR","Marlon Brown","BAL",90,214,74.6,NA,NA,0,0,0,NA,0,0,NA,506,4,NA,0,0
"JEROMESIMPSON","WR","Jerome Simpson","MIN",91,215,74.2,NA,NA,0,0,0,NA,0,0,NA,582,3,NA,0,1
"JERRELJERNIGAN","WR","Jerrel Jernigan","NYG",92,216,74.1,NA,NA,0,0,0,NA,71,0,NA,490,3,NA,0,0
"CJANDERSON","RB","C.J. Anderson","DEN",63,217,73.9,NA,NA,0,0,0,NA,365,2,NA,194,1,NA,0,0
"BRENTCELEK","TE","Brent Celek","PHI",28,218,73.2,NA,NA,0,0,0,NA,0,0,NA,512,4,NA,0,1
"TRAVISKELCE","TE","Travis Kelce","KC",29,219,72.7,NA,NA,0,0,0,NA,0,0,NA,487,4,NA,0,0
"KENBRELLTHOMPKINS","WR","Kenbrell Thompkins","NE",93,220,72.1,NA,NA,0,0,0,NA,0,0,NA,541,3,NA,0,0
"STEPFANTAYLOR","RB","Stepfan Taylor","ARI",64,221,72,NA,NA,0,0,0,NA,322,4,NA,98,1,NA,0,0
"JACOBYJONES","WR","Jacoby Jones","BAL",94,222,71.8,NA,NA,0,0,0,NA,27,0,NA,531,3,NA,0,1
"ROBERTTURBIN","RB","Robert Turbin","SEA",65,223,71.5,NA,NA,0,0,0,NA,400,4,NA,95,0,NA,0,1
"BRANDONLAFELL","WR","Brandon LaFell","NE",95,224,71.2,NA,NA,0,0,0,NA,8,0,NA,524,3,NA,0,0
"MYCHALRIVERA","TE","Mychal Rivera","OAK",30,225,70.9,NA,NA,0,0,0,NA,0,0,NA,469,4,NA,0,0
"AUSTINPETTIS","WR","Austin Pettis","STL",96,226,70.8,NA,NA,0,0,0,NA,0,0,NA,528,3,NA,0,0
"MOHAMEDSANU","WR","Mohamed Sanu","CIN",97,227,70.7,NA,NA,0,0,0,NA,17,0,NA,530,3,NA,0,1
"MARQUISEGOODWIN","WR","Marquise Goodwin","BUF",98,228,70.3,NA,NA,0,0,0,NA,33,0,NA,510,3,NA,0,1
"BOBBYRAINEY","RB","Bobby Rainey","TB",66,229,70.1,NA,NA,0,0,0,NA,401,3,NA,80,1,NA,0,1
"JEFFCUMBERLAND","TE","Jeff Cumberland","NYJ",31,230,69,NA,NA,0,0,0,NA,0,0,NA,450,4,NA,0,0
"JERMAINEGRESHAM","TE","Jermaine Gresham","CIN",31,230,69,NA,NA,0,0,0,NA,0,0,NA,490,4,NA,0,2
"AUSTINSEFERIANJENKINS","TE","Austin Seferian-Jenkins","TB",33,232,68.9,NA,NA,0,0,0,NA,0,0,NA,449,4,NA,0,0
"TREMASON","RB","Tre Mason","STL",67,233,67.4,NA,NA,0,0,0,NA,348,2,NA,166,1,NA,0,1
"JOSHGORDON","WR","Josh Gordon","CLE",99,234,66.8,NA,NA,0,0,0,NA,48,0,NA,500,2,NA,0,0
"ROBHOUSLER","TE","Rob Housler","ARI",34,234,66.8,NA,NA,0,0,0,NA,0,0,NA,488,3,NA,0,0
"TEDGINN","WR","Ted Ginn","ARI",100,236,66.2,NA,NA,0,0,0,NA,22,0,NA,460,3,NA,0,0
"OWENDANIELS","TE","Owen Daniels","BAL",35,236,66.2,NA,NA,0,0,0,NA,0,0,NA,442,4,NA,0,1
"VINCENTBROWN","WR","Vincent Brown","SD",101,238,65.8,NA,NA,0,0,0,NA,0,0,NA,478,3,NA,0,0
"TIMWRIGHT","TE","Timothy Wright","TB",36,239,65.2,NA,NA,0,0,0,NA,0,0,NA,472,3,NA,0,0
"STEPHENHILL","WR","Stephen Hill","NYJ",102,240,65.1,NA,NA,0,0,0,NA,0,0,NA,471,3,NA,0,0
"DONTEMONCRIEF","WR","Donte Moncrief","IND",103,241,64.9,NA,NA,0,0,0,NA,0,0,NA,469,3,NA,0,0
"SCOTTCHANDLER","TE","Scott Chandler","BUF",37,241,64.9,NA,NA,0,0,0,NA,0,0,NA,489,3,NA,0,1
"JASONAVANT","WR","Jason Avant","CAR",104,243,64.7,NA,NA,0,0,0,NA,0,0,NA,467,3,NA,0,0
