"name","player","pos","team","overallRank","projections","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_nfl","projectedPts_yahoo","passYdsMedian","passTdsMedian","passIntMedian","rushYdsMedian","rushTdsMedian","recMedian","recYdsMedian","recTdsMedian","twoPtsMedian","fumblesMedian","projectedPtsMean","projectedPtsMedian","weeklySD","weeklyVariability","ydsPerRec","totalTds"
"CJSPILLER","C.J. Spiller","RB","BUF",64,172.774041178845,193.7,158.925,175.6,NA,169.5775,190.45,158.35,166.325,188.75,173.225,189.5,175.425,162.65,0,0,0,1004.975,5.30546762549952,38.9999925746223,304.75,1.50000791253824,0.05,2.25002068312728,172.014791666667,172.774041178845,4.18285168620066,4.29211747394364,7.81410405186343,6.80547553803775
"BISHOPSANKEY","Bishop Sankey","RB","TEN",65,172.739937423923,200.45,178.2,155.2,NA,186.035,195.25,219,150.5,145,164.9,171.75,173.25,174.875,0,0,0,994.275,6.0500484426634,34.1999871343786,270.5,1.49994071557583,0.1,1.9999991751707,173.5925,172.739937423923,4.40034623437304,4.90431436834304,7.90935970055051,7.54998915823922
"JULIUSTHOMAS","Julius Thomas","TE","DEN",66,171.987368779534,179.875,182.375,187.375,173.375,181.125,190.375,177.875,165,177.25,165.75,160.25,168.5,156.9,0,0,0,0,0,74.0000610467537,889.500026889371,10.4999456157917,0.1,0.7999360921292,173.667857142857,171.987368779534,3.84018722323678,3.37274326940534,12.0202607174524,10.4999456157917
"RODDYWHITE","Roddy White","WR","ATL",67,171.462418050987,181.625,171.5,167.5,NA,177.0875,187.5,189.375,160.375,175.125,166.875,162.625,176.875,172.15,0,0,0,0,0,83.5,1060.5,6.99997178194922,0.1,1.09997088023596,172.792708333333,171.462418050987,3.8259636571698,3.36102777034313,12.7005988023952,6.99997178194922
"WESWELKER","Wes Welker","WR","DEN",68,171.440122957363,180.125,168,160.75,NA,176.3125,185.375,193.375,156.25,142,167.25,148,198.375,181.075,0,0,0,0,0,80.5000344222776,963.624486598193,8.96451912228761,0.1,1.00001753371236,170.248958333333,171.440122957363,3.83219997185769,3.37972673195678,11.9704853980972,8.96451912228761
"MICHAELFLOYD","Michael Floyd","WR","ARI",69,171.211154636607,184.25,176.75,164.5,NA,177.825,158.8,183.125,168.75,177,162.625,167.25,164.875,164.2,0,0,0,0,0,72.9999437625066,1064.5,6.3997757727679,0.1,0.15,170.425833333333,171.211154636607,3.77745050488802,3.2383811662198,14.5822030146102,6.3997757727679
"RYANMATHEWS","Ryan Mathews","RB","SD",70,170.573138392611,182.575,177.125,170.5,NA,171.285,165.5,164.175,168.55,180.125,175.575,189.625,181.475,159.725,0,0,0,1101.1261729815,6.06425867712041,25.6999341566653,191,0.999994838623137,0.1,2,171.119583333333,170.573138392611,3.97511500099671,3.82737070950446,7.43192565536063,7.06425351574355
"ROBGRONKOWSKI","Rob Gronkowski","TE","NE",71,170.346875,185.25,181.875,157.5,NA,164.7625,191.6,115.625,204.375,170,149,178.75,169.125,176.425,0,0,0,0,0,67.4999544923673,929.175,9,0.1,0,170.415625,170.346875,3.85213635563531,3.49440519499925,13.7655648361225,9
"RASHADJENNINGS","Rashad Jennings","RB","NYG",72,167.937426452289,167.5,147.2,165.25,NA,164.29,191.375,196.15,174.375,172.5,156.675,153.5,179.25,172.8,0,0,0,890.75,6.99997302499276,38.9999327003973,293.300042270274,1.00001383642479,0.1,2,167.98875,167.937426452289,4.33293304457126,4.9731241004901,7.52052688201911,7.99998686141755
"TORREYSMITH","Torrey Smith","WR","BAL",73,166.496495403426,162.125,169.125,169.2,NA,168.65,198,175.225,148.75,145.375,159.575,169.5,180.5,170.75,0,0,0,11.9999882350625,0,63.5000037474375,1049.5,6.00005359834747,0.1,0.697108336721604,167.80875,166.496495403426,3.7085282774119,3.29823655743999,16.5275580797482,6.00005359834747
"DESEANJACKSON","DeSean Jackson","WR","WAS",74,165.076120002105,162.75,162.125,173.475,NA,164.7375,177.475,155.7,159.55,179.75,162.825,173.25,175.325,157.975,0,0,0,19.0000271231293,0,63.5000362513922,994,7.00001538671439,0.1,1.09132501016481,166.668125,165.076120002105,3.85141718034828,3.77553577891653,15.6535343706706,7.00001538671439
"PERCYHARVIN","Percy Harvin","WR","SEA",75,164.637040863586,144.5,135.5,152.6,NA,163.475,180.125,195.875,163.75,152.75,155.55,194.375,172.7,154.8,0,0,0,114.5,1.00003200023396,70.5000419713187,883.65,6.49995912993534,0.1,0.823051972476603,166.06,164.637040863586,4.32338119620218,5.12361745831099,12.5340350912059,7.49999113016929
"JOIQUEBELL","Joique Bell","RB","DET",76,163.480559399058,178.7,160.075,175.325,NA,169.4125,142.725,178.575,175.5,178.25,159.775,179.5,159.075,155.675,0,0,0,730.625,6.14998656687567,46.0000098935905,409.75,1.49994120557429,0.1,2.30008574521395,164.482291666667,163.480559399058,4.36280364434474,5.29637749817266,8.90760677982143,7.64992777244996
"SHANEVEREEN","Shane Vereen","RB","NE",77,162.797417773726,195.15,162.25,165.475,NA,171.02,121.375,159.525,158.125,160.25,155.975,169.875,192.9,174.875,0,0,0,503.35,2.99994367081287,65.5500030178495,612.5,3.50002283275753,0.1,1.09996041589863,164.182916666667,162.797417773726,4.24860092497732,5.01258409779722,9.34401177423613,6.4999665035704
"CHRISJOHNSON","Chris Johnson","RB","NYJ",78,162.132502257365,168.775,150.875,169.45,NA,164.735,183.9,189.75,168.2,147,144.25,191.625,168.15,150.025,0,0,0,932.137019293819,5.00000838799719,36.0000188323224,277.35,1.675,0.1,2,163.51125,162.132502257365,4.13946010381024,4.74201701194769,7.7041626364646,6.67500838799719
"MIKEWALLACE","Mike Wallace","WR","MIA",79,159.826480432394,157.5,159.375,156.35,NA,160.1625,156.675,160.6,148,162.75,158.15,162.25,178.525,157.02,0,0,0,24.5000136749271,0,72.4999465777095,985.834575752656,6,0.1,0.684280968060233,159.620125,159.826480432394,3.7421591029436,3.75093438240477,13.5977283058545,6
"FRANKGORE","Frank Gore","RB","SF",80,159.281488381926,170.425,149.15,176.55,NA,165.2375,198.7,179.275,146.075,150.625,149.55,162,160.825,166.525,0,0,0,1018,7.50002550350654,16.0999386161499,140.25,0,0.1,1.74997154637112,162.194791666667,159.281488381926,3.91758010906556,4.2725036826779,8.71121333713126,7.50002550350654
"BENTATE","Ben Tate","RB","CLE",81,159.10138493981,167.025,139.55,188.1,NA,155.5175,179.875,147.625,136.325,149.75,154.15,159.875,177.725,149.2,0,0,0,970.270271765933,6.4999688670206,28.4999688112571,195,0.999951248757103,0.1,2.50005431048316,154.943125,159.10138493981,4.09046813265813,4.76736247456338,6.84211275076827,7.4999201157777
"RAYRICE","Ray Rice","RB","BAL",82,158.024280371104,176.975,161.375,165.35,NA,170.57,167.175,191.975,145.4,134.375,146.825,128.75,184.8,137.05,0,0,0,779.05,5.50001614759252,48.200059851276,344.156314784966,1.49994068957138,0.55,2,157.31,158.024280371104,4.06181186332574,4.74480593641235,7.14016363977305,6.9999568371639
"TYHILTON","T.Y. Hilton","WR","IND",83,156.841710889186,148.625,144.625,168.475,NA,158.075,151.575,176.175,157.025,149.5,159.225,156,159.575,161.25,0,0,0,15.8228070344059,0,69.9999854660026,968.9,5.99996218165442,0.1,0.684280968060233,157.18125,156.841710889186,3.53558373207074,3.33155656621495,13.8414314453047,5.99996218165442
"KENDALLWRIGHT","Kendall Wright","WR","TEN",84,155.989332532834,162.625,153,156.175,NA,155.3875,146.2,152.125,154.75,155,159.75,161,181.875,159.01,0,0,0,6.02060919931468,0,85.4500353056017,1025.49992036731,4.99996359449813,0.1,1,157.033291666667,155.989332532834,3.58797152496329,3.52436519831319,12.0011643845404,4.99996359449813
"TRENTRICHARDSON","Trent Richardson","RB","IND",85,155.899997350546,177.925,142.725,181.45,NA,166.25,177.625,186.825,141.425,149.5,135.2,132.25,156.2,141.975,0,0,0,826.375,6.4999896184358,38.9999849150369,284.5,0.99997193813324,0.1,2.49992399628952,154.4125,155.899997350546,4.04360682970707,4.80783437232134,7.29487461648498,7.49996155656904
"RYANFITZPATRICK","Ryan Fitzpatrick","QB","HOU",86,155.528752388165,175.84,82.52,153.6,NA,133.028,155.02,139,189.52,188,139.54,192.8,151.32,162.44,2909.75,15.5,14.0119670496162,185.25,1.49992492099991,0,0,0,0.7,3.24996532966207,152.035666666667,155.528752388165,5.74806201029512,9.61106780836428,NA,16.9999249209999
"JULIANEDELMAN","Julian Edelman","WR","NE",87,154.533314651724,183.75,152.375,162.275,NA,164.5625,146.225,154.25,132.375,132,148.55,148.75,180.45,170.575,0,0,0,13.5482662156807,0,87.1999710912247,944.25,6.00001348905617,0.6,0.684280968060233,156.823125,154.533314651724,3.86607142258442,4.38302790727896,10.828558635784,6.00001348905617
