"name","pos","name_accu","team_accu","positionRank_accu","overallRank_accu","pts_accu","passAtt_accu","passComp_accu","passYds_accu","passTds_accu","passInt_accu","rushAtt_accu","rushYds_accu","rushTds_accu","rec_accu","recYds_accu","recTds_accu","returnTds_accu","twoPts_accu","fumbles_accu"
"REGGIEWAYNE","WR","Reggie Wayne","IND",26,142,134.2,NA,NA,NA,NA,NA,NA,NA,NA,89.5,1036,5.38,NA,NA,0.79
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",28,144,134.1,NA,NA,NA,NA,NA,NA,NA,NA,83.2,972,5.91,NA,NA,1.21
"JUSTINTUCKER","K","Justin Tucker","BAL",13,145,133.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIKENUGENT","K","Mike Nugent","CIN",14,146,133.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARVINJONES","WR","Marvin Jones","CIN",29,147,133.5,NA,NA,NA,NA,NA,NA,NA,NA,54.3,843,7.37,NA,NA,0.52
"FRANKGORE","RB","Frank Gore","SF",29,148,133.3,NA,NA,NA,NA,NA,209.7,795,6.27,17.6,152,0.85,NA,NA,2.09
"SHAYNEGRAHAM","K","Shayne Graham","NO",15,149,132.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JUSTINHOUSTON","LB","Justin Houston","KC",6,150,131.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FREDJACKSON","RB","Fred Jackson","BUF",30,151,130.5,NA,NA,NA,NA,NA,142.2,572,4.32,48.8,392,2,NA,NA,1.86
"DEANDRELEVY","LB","DeAndre Levy","DET",7,152,129.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEANLEE","LB","Sean Lee","DAL",8,153,129.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAURICEJONESDREW","RB","Maurice Jones-Drew","OAK",31,154,129.5,NA,NA,NA,NA,NA,203.4,586,3.62,51.2,398,2.31,NA,NA,2.32
"MATTBRYANT","K","Matt Bryant","ATL",16,155,128.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WILLIAMMOORE","DB","William Moore","ATL",2,156,128.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STEVENJACKSON","RB","Steven Jackson","ATL",32,157,127.4,NA,NA,NA,NA,NA,175.5,542,4.32,52.5,361,2.52,NA,NA,2.01
"DOUGBALDWIN","WR","Doug Baldwin","SEA",30,158,126.1,NA,NA,NA,NA,NA,NA,NA,NA,57.2,949,5.3,NA,NA,0.5
"DARRENMCFADDEN","RB","Darren McFadden","OAK",33,159,125.7,NA,NA,NA,NA,NA,186.3,566,4.36,46.8,345,2.09,NA,NA,2.07
"JAREDCOOK","TE","Jared Cook","STL",6,159,125.7,NA,NA,NA,NA,NA,NA,NA,NA,67.3,849,7.07,NA,NA,0.8
"MYCHALKENDRICKS","LB","Mychal Kendricks","PHI",9,161,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALEXHENERY","K","Alex Henery","PHI",17,161,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAYFEELY","K","Jay Feely","ARI",18,163,124.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RYANSUCCOP","K","Ryan Succop","KC",19,164,124.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRENTRICHARDSON","RB","Trent Richardson","IND",34,165,124.6,NA,NA,NA,NA,NA,210.9,659,4.84,29.2,245,1.53,NA,NA,2.05
"JASONWITTEN","TE","Jason Witten","DAL",7,166,124.5,NA,NA,NA,NA,NA,NA,NA,NA,85,878,6.37,NA,NA,0.76
"JOSHSCOBEE","K","Josh Scobee","JAC",20,167,123.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KENDALLWRIGHT","WR","Kendall Wright","TEN",31,168,123.7,NA,NA,NA,NA,NA,NA,NA,NA,90.8,1029,3.82,NA,NA,1.05
"MIKEBROWN","WR","Mike Brown","JAC",32,169,123.6,NA,NA,NA,NA,NA,NA,NA,NA,75.8,1060,3.85,NA,NA,2.79
"RODSTREATER","WR","Rod Streater","OAK",33,170,123.3,NA,NA,NA,NA,NA,NA,NA,NA,71.9,1008,3.93,NA,NA,0.78
