"name","name_fftoday","pos","team_fftoday","positionRank_fftoday","overallRank_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","twoPts_fftoday","fumbles_fftoday","pts_fftoday"
"LANCEMOORE","Lance Moore","WR","PIT",52,146,NA,NA,NA,0,0,47,645,5,NA,NA,94.5
"JONATHANSTEWART","Jonathan Stewart","RB","CAR",44,147,NA,NA,NA,585,3,23,176,0,NA,NA,94.1
"DELANIEWALKER","Delanie Walker","TE","TEN",16,148,NA,NA,NA,NA,NA,61,636,5,NA,NA,93.6
"TERRANCEWILLIAMS","Terrance Williams","WR","DAL",53,149,NA,NA,NA,0,0,47,695,4,NA,NA,93.5
"JEREMYHILL","Jeremy Hill","RB","CIN",45,150,NA,NA,NA,576,5,8,49,0,NA,NA,92.5
"GOLDENTATE","Golden Tate","WR","DET",54,150,NA,NA,NA,0,0,50,685,4,NA,NA,92.5
"CHRISIVORY","Chris Ivory","RB","NYJ",46,152,NA,NA,NA,641,4,6,37,0,NA,NA,91.8
"DWAYNEALLEN","Dwayne Allen","TE","IND",17,153,NA,NA,NA,NA,NA,55,613,5,NA,NA,91.3
"LADARIUSGREEN","Ladarius Green","TE","SD",18,154,NA,NA,NA,NA,NA,49,584,5,NA,NA,88.4
"JAREDCOOK","Jared Cook","TE","STL",18,154,NA,NA,NA,NA,NA,53,644,4,NA,NA,88.4
"BLAKEBORTLES","Blake Bortles","QB","JAC",37,156,1129,6,6,75,0,NA,NA,NA,NA,NA,88
"SHONNGREENE","Shonn Greene","RB","TEN",47,157,NA,NA,NA,488,5,13,89,0,NA,NA,87.7
"EMMANUELSANDERS","Emmanuel Sanders","WR","DEN",55,158,NA,NA,NA,0,0,46,635,4,NA,NA,87.5
"MIKEEVANS","Mike Evans","WR","TB",56,159,NA,NA,NA,0,0,39,566,5,NA,NA,86.6
"SCOTTCHANDLER","Scott Chandler","TE","BUF",20,160,NA,NA,NA,NA,NA,57,622,4,NA,NA,86.2
"ODELLBECKHAM","Odell Beckham Jr.","WR","NYG",57,161,NA,NA,NA,21,0,47,645,3,NA,NA,84.6
"MILESAUSTIN","Miles Austin","WR","CLE",58,162,NA,NA,NA,0,0,48,645,3,NA,NA,82.5
"ROBERTHOUSLER","Robert Housler","TE","ARI",21,163,NA,NA,NA,NA,NA,54,576,4,NA,NA,81.6
"MIKETOLBERT","Mike Tolbert","RB","CAR",48,164,NA,NA,NA,321,4,26,193,1,NA,NA,81.4
"ANDREWHAWKINS","Andrew Hawkins","WR","CLE",59,165,NA,NA,NA,45,0,51,588,3,NA,NA,81.3
"DOUGBALDWIN","Doug Baldwin","WR","SEA",60,166,NA,NA,NA,0,0,37,512,5,NA,NA,81.2
"NATEWASHINGTON","Nate Washington","WR","TEN",61,167,NA,NA,NA,0,0,40,620,3,NA,NA,80
"CJANDERSON","C.J. Anderson","RB","DEN",49,168,NA,NA,NA,445,4,17,113,0,NA,NA,79.8
"JACEAMARO","Jace Amaro","TE","NYJ",22,169,NA,NA,NA,NA,NA,52,556,4,NA,NA,79.6
"GARRETTGRAHAM","Garrett Graham","TE","HOU",23,170,NA,NA,NA,NA,NA,56,555,4,NA,NA,79.5
"HAKEEMNICKS","Hakeem Nicks","WR","IND",62,171,NA,NA,NA,0,0,38,550,4,NA,NA,79
"BRENTCELEK","Brent Celek","TE","PHI",24,172,NA,NA,NA,NA,NA,39,486,5,NA,NA,78.6
"CASEKEENUM","Case Keenum","QB","HOU",38,173,1022,5,5,67,0,NA,NA,NA,NA,NA,77.8
"TYLEREIFERT","Tyler Eifert","TE","CIN",25,174,NA,NA,NA,NA,NA,51,531,4,NA,NA,77.1
"NATEBURLESON","Nate Burleson","WR","CLE",63,175,NA,NA,NA,0,0,44,575,3,NA,NA,75.5
"RODSTREATER","Rod Streater","WR","OAK",63,175,NA,NA,NA,0,0,39,515,4,NA,NA,75.5
"JUSTINHUNTER","Justin Hunter","WR","TEN",65,177,NA,NA,NA,0,0,33,511,4,NA,NA,75.1
"JERRICHOCOTCHERY","Jerricho Cotchery","WR","CAR",66,178,NA,NA,NA,0,0,39,496,4,NA,NA,73.6
"MARCELREECE","Marcel Reece","RB","OAK",50,179,NA,NA,NA,229,1,36,314,2,NA,NA,72.3
"DENARDROBINSON","Denard Robinson","RB","JAC",51,180,NA,NA,NA,345,2,25,195,1,NA,NA,72
"BRANDINCOOKS","Brandin Cooks","WR","NO",67,181,NA,NA,NA,0,0,31,477,4,NA,NA,71.7
"DONNIEAVERY","Donnie Avery","WR","KC",68,182,NA,NA,NA,0,0,36,529,3,NA,NA,70.9
"CHRISGIVENS","Chris Givens","WR","STL",69,183,NA,NA,NA,0,0,33,515,3,NA,NA,69.5
"MARCEDESLEWIS","Marcedes Lewis","TE","JAC",26,184,NA,NA,NA,NA,NA,48,510,3,NA,NA,69
"SIDNEYRICE","Sidney Rice","WR","SEA",70,185,NA,NA,NA,0,0,34,499,3,NA,NA,67.9
"KNILEDAVIS","Knile Davis","RB","KC",52,186,NA,NA,NA,395,3,13,101,0,NA,NA,67.6
"JACQUIZZRODGERS","Jacquizz Rodgers","RB","ATL",53,187,NA,NA,NA,287,1,40,266,1,NA,NA,67.3
"RONNIEHILLMAN","Ronnie Hillman","RB","DEN",54,188,NA,NA,NA,277,2,32,212,1,NA,NA,66.9
"ACESANDERS","Ace Sanders","WR","JAC",71,188,NA,NA,NA,0,0,47,549,2,NA,NA,66.9
"GAVINESCOBAR","Gavin Escobar","TE","DAL",27,188,NA,NA,NA,NA,NA,44,489,3,NA,NA,66.9
"MALCOMFLOYD","Malcom Floyd","WR","SD",72,191,NA,NA,NA,0,0,31,425,4,NA,NA,66.5
"ERICEBRON","Eric Ebron","TE","DET",28,191,NA,NA,NA,NA,NA,46,485,3,NA,NA,66.5
"KENDALLHUNTER","Kendall Hunter","RB","SF",55,193,NA,NA,NA,395,3,13,88,0,NA,NA,66.3
"LEGARRETTEBLOUNT","LeGarrette Blount","RB","PIT",56,194,NA,NA,NA,396,4,3,17,0,NA,NA,65.3
"JEREMYKERLEY","Jeremy Kerley","WR","NYJ",73,195,NA,NA,NA,0,0,37,469,3,NA,NA,64.9
"ANDREBROWN","Andre Brown","RB","HOU",57,196,NA,NA,NA,424,3,6,39,0,NA,NA,64.3
"ZACHMILLER","Zach Miller","TE","SEA",29,197,NA,NA,NA,NA,NA,38,395,4,NA,NA,63.5
"MIKEWILLIAMS","Mike Williams","WR","BUF",74,198,NA,NA,NA,0,0,33,453,3,NA,NA,63.3
"BRANDONPETTIGREW","Brandon Pettigrew","TE","DET",30,199,NA,NA,NA,NA,NA,46,445,3,NA,NA,62.5
"DEXTERMCCLUSTER","Dexter McCluster","WR","TEN",75,200,NA,NA,NA,149,0,38,355,2,NA,NA,62.4
"MIKEGLENNON","Mike Glennon","QB","TB",39,201,788,5,5,19,0,NA,NA,NA,NA,NA,61.3
"MARKUSWHEATON","Markus Wheaton","WR","PIT",76,202,NA,NA,NA,17,0,27,415,3,NA,NA,61.2
"DEVONTAFREEMAN","Devonta Freeman","RB","ATL",58,203,NA,NA,NA,367,2,20,121,0,NA,NA,60.8
"DONALDBROWN","Donald Brown","RB","SD",59,204,NA,NA,NA,415,2,10,69,0,NA,NA,60.4
"ANDREROBERTS","Andre Roberts","WR","WAS",77,205,NA,NA,NA,0,0,38,422,3,NA,NA,60.2
"DAVIDWILSON","David Wilson","RB","NYG",60,206,NA,NA,NA,349,2,16,128,0,NA,NA,59.7
"TRAVISKELCE","Travis Kelce","TE","KC",31,207,NA,NA,NA,NA,NA,39,416,3,NA,NA,59.6
"JACOBYJONES","Jacoby Jones","WR","BAL",78,208,NA,NA,NA,0,0,37,475,2,NA,NA,59.5
"DAVIDAUSBERRY","David Ausberry","TE","OAK",32,208,NA,NA,NA,NA,NA,35,415,3,NA,NA,59.5
"ANDREHOLMES","Andre Holmes","WR","OAK",79,210,NA,NA,NA,0,0,27,411,3,NA,NA,59.1
"BILALPOWELL","Bilal Powell","RB","NYJ",61,211,NA,NA,NA,282,2,26,185,0,NA,NA,58.7
"ROYHELU","Roy Helu","RB","WAS",62,212,NA,NA,NA,329,0,33,244,0,NA,NA,57.3
"STEPFANTAYLOR","Stepfan Taylor","RB","ARI",63,213,NA,NA,NA,345,2,15,102,0,NA,NA,56.7
"EDDIEROYAL","Eddie Royal","WR","SD",80,214,NA,NA,NA,0,0,40,446,2,NA,NA,56.6
"COBYFLEENER","Coby Fleener","TE","IND",33,215,NA,NA,NA,NA,NA,35,385,3,NA,NA,56.5
"AHMADBRADSHAW","Ahmad Bradshaw","RB","IND",64,216,NA,NA,NA,355,2,12,87,0,NA,NA,56.2
"JAMESSTARKS","James Starks","RB","GB",65,217,NA,NA,NA,345,2,14,94,0,NA,NA,55.9
"JOEMORGAN","Joe Morgan","WR","NO",81,218,NA,NA,NA,0,0,20,361,3,NA,NA,54.1
"MARKINGRAM","Mark Ingram","RB","NO",66,219,NA,NA,NA,279,2,20,131,0,NA,NA,53
"CHRISOWUSU","Chris Owusu","WR","TB",82,220,NA,NA,NA,0,0,38,407,2,NA,NA,52.7
"BENJARVUSGREENELLIS","BenJarvus Green-Ellis","RB","CIN",67,221,NA,NA,NA,312,3,5,31,0,NA,NA,52.3
"KADEEMCAREY","Ka'Deem Carey","RB","CHI",68,222,NA,NA,NA,324,1,19,135,0,NA,NA,51.9
"JERMAINEGRESHAM","Jermaine Gresham","TE","CIN",34,223,NA,NA,NA,NA,NA,37,388,2,NA,NA,50.8
"STEVEJOHNSON","Steve Johnson","WR","SF",83,224,NA,NA,NA,0,0,30,386,2,NA,NA,50.6
"CHRISPOLK","Chris Polk","RB","PHI",69,225,NA,NA,NA,381,2,0,0,0,NA,NA,50.1
"TEDGINN","Ted Ginn Jr.","WR","ARI",84,226,NA,NA,NA,21,0,27,357,2,NA,NA,49.8
"JERMICHAELFINLEY","Jermichael Finley","TE","FA",35,227,NA,NA,NA,NA,NA,27,314,3,NA,NA,49.4
"LEVINETOILOLO","Levine Toilolo","TE","ATL",36,228,NA,NA,NA,NA,NA,37,367,2,NA,NA,48.7
"MARQISELEE","Marqise Lee","WR","JAC",85,229,NA,NA,NA,0,0,29,365,2,NA,NA,48.5
"JUNIORHEMINGWAY","Junior Hemingway","WR","KC",86,230,NA,NA,NA,0,0,27,356,2,NA,NA,47.6
"STEPHENHILL","Stephen Hill","WR","NYJ",86,230,NA,NA,NA,0,0,26,356,2,NA,NA,47.6
"JOSHGORDON","Josh Gordon","WR","CLE",88,232,NA,NA,NA,0,0,22,350,2,NA,NA,47
"BRANDONGIBSON","Brandon Gibson","WR","MIA",88,232,NA,NA,NA,0,0,26,350,2,NA,NA,47
"AUSTINPETTIS","Austin Pettis","WR","STL",90,234,NA,NA,NA,0,0,31,349,2,NA,NA,46.9
"BRANDONMYERS","Brandon Myers","TE","TB",37,235,NA,NA,NA,NA,NA,33,344,2,NA,NA,46.4
"BENNYCUNNINGHAM","Benny Cunningham","RB","STL",70,236,NA,NA,NA,319,1,12,84,0,NA,NA,46.3
"MOHAMEDSANU","Mohamed Sanu","WR","CIN",91,237,NA,NA,NA,0,0,30,389,1,NA,NA,44.9
"BRIANQUICK","Brian Quick","WR","STL",91,237,NA,NA,NA,0,0,22,329,2,NA,NA,44.9
"ADRIENROBINSON","Adrien Robinson","TE","NYG",38,239,NA,NA,NA,NA,NA,28,324,2,NA,NA,44.4
"MARQUESSWILSON","Marquess Wilson","WR","CHI",93,240,NA,NA,NA,0,0,24,375,1,NA,NA,43.5
"MYCHALRIVERA","Mychal Rivera","TE","OAK",39,241,NA,NA,NA,NA,NA,28,300,2,NA,NA,42
"CHRISTINEMICHAEL","Christine Michael","RB","SEA",71,242,NA,NA,NA,276,2,2,14,0,NA,NA,41
"LANCEKENDRICKS","Lance Kendricks","TE","STL",40,243,NA,NA,NA,NA,NA,25,286,2,NA,NA,40.6
"CARLOSHYDE","Carlos Hyde","RB","SF",72,244,NA,NA,NA,329,1,2,13,0,NA,NA,40.2
"MARQUISEGOODWIN","Marquise Goodwin","WR","BUF",94,244,NA,NA,NA,0,0,26,342,1,NA,NA,40.2
"AJJENKINS","A.J. Jenkins","WR","KC",95,246,NA,NA,NA,0,0,21,279,2,NA,NA,39.9
"MIKEJAMES","Mike James","RB","TB",73,247,NA,NA,NA,269,1,11,67,0,NA,NA,39.6
"BENWATSON","Ben Watson","TE","NO",41,248,NA,NA,NA,NA,NA,26,275,2,NA,NA,39.5
"TREMASON","Tre Mason","RB","STL",74,249,NA,NA,NA,285,1,4,29,0,NA,NA,37.4
"KELLENDAVIS","Kellen Davis","TE","NYG",42,249,NA,NA,NA,NA,NA,23,254,2,NA,NA,37.4
"TIQUANUNDERWOOD","Tiquan Underwood","WR","CAR",96,251,NA,NA,NA,0,0,22,311,1,NA,NA,37.1
"ANDRECALDWELL","Andre Caldwell","WR","DEN",97,252,NA,NA,NA,0,0,18,244,2,NA,NA,36.4
"KIRKCOUSINS","Kirk Cousins","QB","WAS",40,253,449,3,2,15,0,NA,NA,NA,NA,NA,36
"JORDANMATTHEWS","Jordan Matthews","WR","PHI",98,254,NA,NA,NA,0,0,22,289,1,NA,NA,34.9
"LUKEWILLSON","Luke Willson","TE","SEA",43,254,NA,NA,NA,NA,NA,20,229,2,NA,NA,34.9
"ANTHONYFASANO","Anthony Fasano","TE","KC",43,254,NA,NA,NA,NA,NA,25,229,2,NA,NA,34.9
"OWENDANIELS","Owen Daniels","TE","BAL",45,257,NA,NA,NA,NA,NA,21,228,2,NA,NA,34.8
"DENARIUSMOORE","Denarius Moore","WR","OAK",99,258,NA,NA,NA,0,0,19,287,1,NA,NA,34.7
"JEROMESIMPSON","Jerome Simpson","WR","MIN",99,258,NA,NA,NA,0,0,20,287,1,NA,NA,34.7
"JERMAINEKEARSE","Jermaine Kearse","WR","SEA",99,258,NA,NA,NA,0,0,26,347,0,NA,NA,34.7
"MARTAVISBRYANT","Martavis Bryant","WR","PIT",102,261,NA,NA,NA,0,0,22,286,1,NA,NA,34.6
"BOBBYRAINEY","Bobby Rainey","RB","TB",75,262,NA,NA,NA,236,1,7,44,0,NA,NA,34
"BRYCEBROWN","Bryce Brown","RB","BUF",76,263,NA,NA,NA,267,1,1,11,0,NA,NA,33.8
"RICHARDRODGERS","Richard Rodgers","TE","GB",46,264,NA,NA,NA,NA,NA,20,215,2,NA,NA,33.5
"KRISDURHAM","Kris Durham","WR","DET",103,265,NA,NA,NA,0,0,25,320,0,NA,NA,32
"JASONAVANT","Jason Avant","WR","CAR",104,266,NA,NA,NA,0,0,19,245,1,NA,NA,30.5
"KESHAWNMARTIN","Keshawn Martin","WR","HOU",105,267,NA,NA,NA,0,0,18,244,1,NA,NA,30.4
"MYLESWHITE","Myles White","WR","GB",106,268,NA,NA,NA,0,0,14,241,1,NA,NA,30.1
