"name","pos","name_cbs2","team_cbs2","positionRank_cbs2","overallRank_cbs2","pts_cbs2","passAtt_cbs2","passComp_cbs2","passYds_cbs2","passTds_cbs2","passInt_cbs2","rushAtt_cbs2","rushYds_cbs2","rushTds_cbs2","rec_cbs2","recYds_cbs2","recTds_cbs2","returnTds_cbs2","twoPts_cbs2","fumbles_cbs2"
"FALCONS","DST","Falcons","ATL",26,114,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOLDENTATE","WR","Golden Tate","DET",23,118,130,NA,NA,NA,NA,NA,NA,NA,NA,65,965,7,NA,NA,1
"ADAMVINATIERI","K","Adam Vinatieri","IND",9,118,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COLTS","DST","Colts","IND",27,118,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARQUESCOLSTON","WR","Marques Colston","NO",24,121,129,NA,NA,NA,NA,NA,NA,NA,NA,73,948,7,NA,NA,0
"NICKNOVAK","K","Nick Novak","SD",10,121,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STEELERS","DST","Steelers","PIT",28,121,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BISHOPSANKEY","RB","Bishop Sankey","TEN",27,124,128,NA,NA,NA,NA,NA,207,890,6,20,175,1,NA,NA,2
"TERRANCEWILLIAMS","WR","Terrance Williams","DAL",25,124,128,NA,NA,NA,NA,NA,NA,NA,NA,63,883,8,NA,NA,1
"VERNONDAVIS","TE","Vernon Davis","SF",4,124,128,NA,NA,NA,NA,NA,NA,NA,NA,58,760,10,NA,NA,0
"ROBBIEGOULD","K","Robbie Gould","CHI",11,127,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KELVINBENJAMIN","WR","Kelvin Benjamin","CAR",26,128,126,NA,NA,NA,NA,NA,NA,NA,NA,67,985,6,NA,NA,1
"DANCARPENTER","K","Dan Carpenter","BUF",12,128,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TITANS","DST","Titans","TEN",29,128,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KENDALLWRIGHT","WR","Kendall Wright","TEN",27,131,125,NA,NA,NA,NA,NA,NA,NA,NA,89,1043,5,NA,NA,1
"JULIANEDELMAN","WR","Julian Edelman","NE",27,131,125,NA,NA,NA,NA,NA,NA,NA,NA,82,966,6,NA,NA,0
"JORDANCAMERON","TE","Jordan Cameron","CLE",5,131,125,NA,NA,NA,NA,NA,NA,NA,NA,77,940,7,NA,NA,1
