"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"JEREMYSHOCKEY","TE","Jeremy Shockey","NO",16,146,79.7,NA,NA,NA,NA,NA,NA,NA,NA,50,557,4,NA,NA,NA
"EDGERRINJAMES","RB","Edgerrin James","SEA",51,147,79.1,NA,NA,NA,NA,NA,109,436,5,8,55,0,NA,NA,NA
"MAURICEMORRIS","RB","Maurice Morris","DET",52,148,77.6,NA,NA,NA,NA,NA,108,455,3,18,141,0,NA,NA,NA
"CHAZSCHILENS","WR","Chaz Schilens","OAK",49,149,77.5,NA,NA,NA,NA,NA,0,0,0,45,595,3,NA,NA,NA
"BRYANTJOHNSON","WR","Bryant Johnson","DET",50,150,76.5,NA,NA,NA,NA,NA,0,0,0,35,525,4,NA,NA,NA
"KEVINCURTIS","WR","Kevin Curtis","PHI",50,150,76.5,NA,NA,NA,NA,NA,0,0,0,41,585,3,NA,NA,NA
"TONYSCHEFFLER","TE","Tony Scheffler","DEN",17,152,75.5,NA,NA,NA,NA,NA,NA,NA,NA,45,515,4,NA,NA,NA
"KEVINBOSS","TE","Kevin Boss","NYG",17,152,75.5,NA,NA,NA,NA,NA,NA,NA,NA,50,515,4,NA,NA,NA
"ISAACBRUCE","WR","Isaac Bruce","SF",52,154,75.2,NA,NA,NA,NA,NA,0,0,0,37,512,4,NA,NA,NA
"MICHAELJENKINS","WR","Michael Jenkins","ATL",53,155,74.7,NA,NA,NA,NA,NA,0,0,0,49,627,2,NA,NA,NA
"GREGCAMARILLO","WR","Greg Camarillo","MIA",54,156,74.6,NA,NA,NA,NA,NA,0,0,0,45,566,3,NA,NA,NA
"MARCEDESLEWIS","TE","Marcedes Lewis","JAC",19,157,74.5,NA,NA,NA,NA,NA,NA,NA,NA,49,565,3,NA,NA,NA
"SIDNEYRICE","WR","Sidney Rice","MIN",55,158,74.4,NA,NA,NA,NA,NA,0,0,0,40,564,3,NA,NA,NA
"NATEWASHINGTON","WR","Nate Washington","TEN",56,159,74.2,NA,NA,NA,NA,NA,0,0,0,42,562,3,NA,NA,NA
"LAURENTROBINSON","WR","Laurent Robinson","STL",57,160,73.5,NA,NA,NA,NA,NA,0,0,0,32,495,4,NA,NA,NA
"ANTHONYFASANO","TE","Anthony Fasano","MIA",20,160,73.5,NA,NA,NA,NA,NA,NA,NA,NA,51,495,4,NA,NA,NA
"NATEBURLESON","WR","Nate Burleson","SEA",58,162,72.5,NA,NA,NA,NA,NA,0,0,0,38,545,3,NA,NA,NA
"MICHAELBUSH","RB","Michael Bush","OAK",53,163,71.1,NA,NA,NA,NA,NA,130,495,2,14,96,0,NA,NA,NA
"CHANSISTUCKEY","WR","Chansi Stuckey","NYJ",59,164,70.5,NA,NA,NA,NA,NA,0,0,0,39,465,4,NA,NA,NA
"DAVONEBESS","WR","Davone Bess","MIA",60,165,69.5,NA,NA,NA,NA,NA,0,0,0,41,515,3,NA,NA,NA
"MARKCLAYTON","WR","Mark Clayton","BAL",61,166,69.4,NA,NA,NA,NA,NA,0,0,0,42,514,3,NA,NA,NA
"SAMMYMORRIS","RB","Sammy Morris","NE",54,167,67.6,NA,NA,NA,NA,NA,79,331,3,25,165,0,NA,NA,NA
"MICHAELCLAYTON","WR","Michael Clayton","TB",62,168,67.5,NA,NA,NA,NA,NA,0,0,0,41,555,2,NA,NA,NA
"JAMAALCHARLES","RB","Jamaal Charles","KC",55,169,67.4,NA,NA,NA,NA,NA,72,309,1,29,245,1,NA,NA,NA
"LERONMCCLAIN","RB","Le'Ron McClain","BAL",56,170,67,NA,NA,NA,NA,NA,51,246,5,19,124,0,NA,NA,NA
"RANDYMCMICHAEL","TE","Randy McMichael","STL",21,171,66.9,NA,NA,NA,NA,NA,NA,NA,NA,45,489,3,NA,NA,NA
"TODDHEAP","TE","Todd Heap","BAL",22,172,66.5,NA,NA,NA,NA,NA,NA,NA,NA,39,425,4,NA,NA,NA
"MICHAELCRABTREE","WR","Michael Crabtree","SF",63,173,65.7,NA,NA,NA,NA,NA,0,0,0,37,477,3,NA,NA,NA
"MARKBRADLEY","WR","Mark Bradley","KC",64,174,65.5,NA,NA,NA,NA,NA,0,0,0,42,475,3,NA,NA,NA
"JOHNNIELEEHIGGINS","WR","Johnnie Lee Higgins","OAK",65,175,64.5,NA,NA,NA,NA,NA,0,0,0,43,525,2,NA,NA,NA
"BOBBYENGRAM","WR","Bobby Engram","KC",66,176,64.2,NA,NA,NA,NA,NA,0,0,0,38,462,3,NA,NA,NA
"JUSTINFARGAS","RB","Justin Fargas","OAK",57,177,64,NA,NA,NA,NA,NA,67,315,3,19,145,0,NA,NA,NA
"KEENANBURTON","WR","Keenan Burton","STL",67,178,63.1,NA,NA,NA,NA,NA,0,0,0,30,451,3,NA,NA,NA
"DAUNTECULPEPPER","QB","Daunte Culpepper","DET",33,179,62.4,110,66,812,5,2,5,18,0,NA,NA,NA,NA,NA,NA
"BRANDONJACKSON","RB","Brandon Jackson","GB",58,180,62.3,NA,NA,NA,NA,NA,78,311,1,27,192,1,NA,NA,NA
"PEYTONHILLIS","RB","Peyton Hillis","DEN",59,181,61.7,NA,NA,NA,NA,NA,79,362,3,10,75,0,NA,NA,NA
"MEWELDEMOORE","RB","Mewelde Moore","PIT",60,182,61.1,NA,NA,NA,NA,NA,57,245,1,34,246,1,NA,NA,NA
"JAMESDAVIS","RB","James Davis","CLE",61,183,59.1,NA,NA,NA,NA,NA,95,372,2,17,99,0,NA,NA,NA
"JEROMEHARRISON","RB","Jerome Harrison","CLE",62,184,59,NA,NA,NA,NA,NA,55,215,2,33,195,1,NA,NA,NA
"VERNONDAVIS","TE","Vernon Davis","SF",23,184,59,NA,NA,NA,NA,NA,NA,NA,NA,39,410,3,NA,NA,NA
"SINORICEMOSS","WR","Sinorice Moss","NYG",68,186,55.5,NA,NA,NA,NA,NA,0,0,0,36,435,2,NA,NA,NA
"MALCOLMKELLY","WR","Malcolm Kelly","WAS",68,186,55.5,NA,NA,NA,NA,NA,0,0,0,37,435,2,NA,NA,NA
"CORRELLBUCKHALTER","RB","Correll Buckhalter","DEN",63,188,55.3,NA,NA,NA,NA,NA,85,355,2,11,78,0,NA,NA,NA
"LAURENCEMARONEY","RB","Laurence Maroney","NE",64,189,55,NA,NA,NA,NA,NA,86,395,2,4,35,0,NA,NA,NA
"ANTWAANRANDLEEL","WR","Antwaan Randle El","WAS",70,190,54.4,NA,NA,NA,NA,NA,0,0,0,31,424,2,NA,NA,NA
"RASHADJENNINGS","RB","Rashad Jennings","JAC",65,191,53.9,NA,NA,NA,NA,NA,80,329,2,16,90,0,NA,NA,NA
"JEREMYMACLIN","WR","Jeremy Maclin","PHI",71,192,53.4,NA,NA,NA,NA,NA,0,0,0,26,414,2,NA,NA,NA
"KYLEBOLLER","QB","Kyle Boller","STL",34,193,53.2,103,62,656,5,6,1,4,0,NA,NA,NA,NA,NA,NA
"JOEYGALLOWAY","WR","Joey Galloway","NE",72,194,52.5,NA,NA,NA,NA,NA,0,0,0,30,465,1,NA,NA,NA
"JOSHREED","WR","Josh Reed","BUF",72,194,52.5,NA,NA,NA,NA,NA,0,0,0,28,345,3,NA,NA,NA
"MILESAUSTIN","WR","Miles Austin","DAL",72,194,52.5,NA,NA,NA,NA,NA,0,0,0,27,345,3,NA,NA,NA
"CHASECOFFMAN","TE","Chase Coffman","CIN",24,197,51.5,NA,NA,NA,NA,NA,NA,NA,NA,38,395,2,NA,NA,NA
"DESMONDCLARK","TE","Desmond Clark","CHI",25,198,51.3,NA,NA,NA,NA,NA,NA,NA,NA,28,333,3,NA,NA,NA
"CHRISBROWN","RB","Chris Brown","HOU",66,199,51.1,NA,NA,NA,NA,NA,84,346,2,6,45,0,NA,NA,NA
"MIKEFURREY","WR","Mike Furrey","CLE",75,200,48.9,NA,NA,NA,NA,NA,0,0,0,37,429,1,NA,NA,NA
"JOSHCRIBBS","WR","Josh Cribbs","CLE",75,200,48.9,NA,NA,NA,NA,NA,0,0,0,29,429,1,NA,NA,NA
"JAMESJONES","WR","James Jones","GB",77,202,47.6,NA,NA,NA,NA,NA,0,0,0,26,356,2,NA,NA,NA
"DONALDLEE","TE","Donald Lee","GB",26,202,47.6,NA,NA,NA,NA,NA,NA,NA,NA,31,356,2,NA,NA,NA
"JAVONWALKER","WR","Javon Walker","OAK",78,204,47.5,NA,NA,NA,NA,NA,0,0,0,25,355,2,NA,NA,NA
"MICHAELVICK","QB","Michael Vick","PHI",35,205,47.3,38,22,256,1,3,80,185,2,NA,NA,NA,NA,NA,NA
