positionRank,player,pos,team,passComp,passAtt,passYds,passTds,passInt,rushAtt,rushYds,rushTds,rec,recYds,recTds,points
7,Jason Witten,TE,Cowboys,,,,,,,,,83,925,5,122.5
8,Vernon Davis,TE,49ers,,,,,,,,,50,735,8,121.5
9,Kyle Rudolph,TE,Vikings,,,,,,,,,61,729,8,120.9
10,Greg Olsen,TE,Panthers,,,,,,,,,72,835,6,119.5
11,Dennis Pitta,TE,Ravens,,,,,,,,,72,803,6,116.3
12,Heath Miller,TE,Steelers,,,,,,,,,71,785,6,114.5
13,Charles Clay,TE,Dolphins,,,,,,,,,64,704,6,106.4
14,Travis Kelce,TE,Chiefs,,,,,,,,,50,670,6,103
15,Martellus Bennett,TE,Bears,,,,,,,,,57,656,6,101.6
16,Ladarius Green,TE,Chargers,,,,,,,,,43,643,6,100.3
17,Delanie Walker,TE,Titans,,,,,,,,,60,606,6,96.6
18,Tyler Eifert,TE,Bengals,,,,,,,,,52,616,5,91.6
19,Antonio Gates,TE,Chargers,,,,,,,,,56,622,4,86.2
20,Jared Cook,TE,Rams,,,,,,,,,41,521,5,82.1
21,Dwayne Allen,TE,Colts,,,,,,,,,44,510,5,81
22,Eric Ebron,TE,Lions,,,,,,,,,37,496,5,79.6
23,Marcedes Lewis,TE,Jaguars,,,,,,,,,41,474,5,77.4
24,Tim Wright,TE,Patriots,,,,,,,,,42,445,4,68.5
25,Austin Seferian-Jenkins,TE,Buccaneers,,,,,,,,,33,370,5,67
26,Garrett Graham,TE,Texans,,,,,,,,,36,403,4,64.3
27,Gavin Escobar,TE,Cowboys,,,,,,,,,32,381,4,62.1
28,Coby Fleener,TE,Colts,,,,,,,,,38,431,3,61.1
29,Scott Chandler,TE,Bills,,,,,,,,,39,480,2,60
29,Zach Miller,TE,Seahawks,,,,,,,,,32,360,4,60
31,Richard Rodgers,TE,Packers,,,,,,,,,27,346,4,58.6
32,Jace Amaro,TE,Jets,,,,,,,,,31,381,3,56.1
33,Levine Toilolo,TE,Falcons,,,,,,,,,32,304,4,54.4
34,Brent Celek,TE,Eagles,,,,,,,,,23,288,3,46.8
35,Luke Willson,TE,Seahawks,,,,,,,,,20,260,3,44
36,C.J. Fiedorowicz,TE,Texans,,,,,,,,,24,252,3,43.2
37,Jermaine Gresham,TE,Bengals,,,,,,,,,28,297,2,41.7
38,Mychal Rivera,TE,Raiders,,,,,,,,,26,281,2,40.1
