"name","name_fbg1","pos","team_fbg1","overallRank_fbg1","passAtt_fbg1","passComp_fbg1","passYds_fbg1","passTds_fbg1","passInt_fbg1","rushAtt_fbg1","rushYds_fbg1","rushTds_fbg1","rec_fbg1","recYds_fbg1","recTds_fbg1","twoPts_fbg1","fumbles_fbg1","pts_fbg1"
"MARLONBROWN","Marlon Brown","WR","BAL",202,NA,NA,NA,NA,NA,1,4,0,36,428,3,NA,NA,61.2
"LEVINETOILOLO","Levine Toilolo","TE","ATL",203,NA,NA,NA,NA,NA,NA,NA,NA,35,364,4,NA,NA,60.4
"JACQUIZZRODGERS","Jacquizz Rodgers","RB","ATL",204,NA,NA,NA,NA,NA,60,216,1,36,263,1,NA,NA,59.9
"BRIANQUICK","Brian Quick","WR","STL",205,NA,NA,NA,NA,NA,0,0,0,30,417,3,NA,NA,59.7
"MARVINJONES","Marvin Jones","WR","CIN",206,NA,NA,NA,NA,NA,0,0,0,33,413,3,NA,NA,59.3
"JAMESWHITE","James White","RB","NE",207,NA,NA,NA,NA,NA,80,320,3,12,89,0,NA,NA,58.9
"MIKETOLBERT","Mike Tolbert","RB","CAR",208,NA,NA,NA,NA,NA,50,178,3,23,166,1,NA,NA,58.4
"LANCEMOORE","Lance Moore","WR","PIT",209,NA,NA,NA,NA,NA,0,0,0,32,400,3,NA,NA,58
"LEGARRETTEBLOUNT","LeGarrette Blount","RB","PIT",210,NA,NA,NA,NA,NA,85,336,3,8,56,0,NA,NA,57.2
"TIMWRIGHT","Timothy Wright","TE","TB",211,NA,NA,NA,NA,NA,NA,NA,NA,37,389,3,NA,NA,56.9
"NATEBURLESON","Nate Burleson","WR","CLE",212,NA,NA,NA,NA,NA,1,4,0,32,374,3,NA,NA,55.8
"JAMESSTARKS","James Starks","RB","GB",213,NA,NA,NA,NA,NA,65,270,2,13,103,1,NA,NA,55.3
"PAULRICHARDSON","Paul Richardson","WR","SEA",214,NA,NA,NA,NA,NA,0,0,0,31,431,2,NA,NA,55.1
"JARIUSWRIGHT","Jarius Wright","WR","MIN",215,NA,NA,NA,NA,NA,0,0,0,31,428,2,NA,NA,54.8
"OWENDANIELS","Owen Daniels","TE","BAL",216,NA,NA,NA,NA,NA,NA,NA,NA,34,367,3,NA,NA,54.7
"BRANDONBOSTICK","Brandon Bostick","TE","GB",217,NA,NA,NA,NA,NA,NA,NA,NA,33,366,3,NA,NA,54.6
"AUSTINSEFERIANJENKINS","Austin Seferian-Jenkins","TE","TB",218,NA,NA,NA,NA,NA,NA,NA,NA,35,364,3,NA,NA,54.4
"ROYHELU","Roy Helu","RB","WAS",219,NA,NA,NA,NA,NA,55,234,1,22,172,1,NA,NA,52.6
"JERRELJERNIGAN","Jerrel Jernigan","WR","NYG",220,NA,NA,NA,NA,NA,2,10,0,31,394,2,NA,NA,52.4
"JARVISLANDRY","Jarvis Landry","WR","MIA",221,NA,NA,NA,NA,NA,1,4,0,28,339,3,NA,NA,52.3
"CODYLATIMER","Cody Latimer","WR","DEN",221,NA,NA,NA,NA,NA,0,0,0,27,343,3,NA,NA,52.3
"BRANDONLAFELL","Brandon LaFell","WR","NE",223,NA,NA,NA,NA,NA,1,5,0,30,390,2,NA,NA,51.5
"JERMAINEGRESHAM","Jermaine Gresham","TE","CIN",224,NA,NA,NA,NA,NA,NA,NA,NA,32,333,3,NA,NA,51.3
"SCOTTCHANDLER","Scott Chandler","TE","BUF",225,NA,NA,NA,NA,NA,NA,NA,NA,34,384,2,NA,NA,50.4
"ALFREDBLUE","Alfred Blue","RB","HOU",226,NA,NA,NA,NA,NA,80,320,2,7,49,0,NA,NA,48.9
"CHRISPOLK","Chris Polk","RB","PHI",227,NA,NA,NA,NA,NA,65,296,2,8,56,0,NA,NA,47.2
"JORDANTODMAN","Jordan Todman","RB","JAX",228,NA,NA,NA,NA,NA,65,257,2,11,86,0,NA,NA,46.3
"TIQUANUNDERWOOD","Tiquan Underwood","WR","CAR",229,NA,NA,NA,NA,NA,0,0,0,23,338,2,NA,NA,45.8
"CHRISGIVENS","Chris Givens","WR","STL",230,NA,NA,NA,NA,NA,2,8,0,21,326,2,NA,NA,45.4
"EDDICKSON","Ed Dickson","TE","CAR",231,NA,NA,NA,NA,NA,NA,NA,NA,29,322,2,NA,NA,44.2
"BRYCEBROWN","Bryce Brown","RB","BUF",232,NA,NA,NA,NA,NA,70,291,2,4,30,0,NA,NA,44.1
"JONATHANDWYER","Jonathan Dwyer","RB","ARI",233,NA,NA,NA,NA,NA,65,250,2,8,63,0,NA,NA,43.3
"EDDIEROYAL","Eddie Royal","WR","SD",234,NA,NA,NA,NA,NA,2,10,0,24,302,2,NA,NA,43.2
"RONNIEHILLMAN","Ronnie Hillman","RB","DEN",235,NA,NA,NA,NA,NA,65,257,1,14,112,0,NA,NA,42.9
"KRISDURHAM","Kris Durham","WR","DET",235,NA,NA,NA,NA,NA,0,0,0,24,309,2,NA,NA,42.9
"STEPHENHILL","Stephen Hill","WR","NYJ",237,NA,NA,NA,NA,NA,0,0,0,22,308,2,NA,NA,42.8
"BRENTCELEK","Brent Celek","TE","PHI",237,NA,NA,NA,NA,NA,NA,NA,NA,23,308,2,NA,NA,42.8
"DONTEMONCRIEF","Donte Moncrief","WR","IND",239,NA,NA,NA,NA,NA,1,5,0,23,301,2,NA,NA,42.6
"ZACHSUDFELD","Zach Sudfeld","TE","NYJ",240,NA,NA,NA,NA,NA,NA,NA,NA,27,302,2,NA,NA,42.2
"CHARLESJOHNSON","Charles Johnson","WR","CLE",241,NA,NA,NA,NA,NA,1,4,0,24,295,2,NA,NA,41.9
"LATAVIUSMURRAY","Latavius Murray","RB","OAK",242,NA,NA,NA,NA,NA,60,255,2,6,42,0,NA,NA,41.7
"KADEEMCAREY","KaDeem Carey","RB","CHI",243,NA,NA,NA,NA,NA,64,259,2,5,36,0,NA,NA,41.5
"CASEKEENUM","Case Keenum","QB","HOU",244,85,52,604,3,3,5,18,0,NA,NA,NA,NA,NA,41
"DAVANTEADAMS","Davante Adams","WR","GB",244,NA,NA,NA,NA,NA,0,0,0,23,290,2,NA,NA,41
"BRANDONGIBSON","Brandon Gibson","WR","MIA",246,NA,NA,NA,NA,NA,0,0,0,25,285,2,NA,NA,40.5
"MYCHALRIVERA","Mychal Rivera","TE","OAK",247,NA,NA,NA,NA,NA,NA,NA,NA,27,284,2,NA,NA,40.4
"JUNIORHEMINGWAY","Junior Hemingway","WR","KC",248,NA,NA,NA,NA,NA,0,0,0,24,271,2,NA,NA,39.1
"STEDMANBAILEY","Stedman Bailey","WR","STL",249,NA,NA,NA,NA,NA,1,6,1,20,260,1,NA,NA,38.6
"JEROMESIMPSON","Jerome Simpson","WR","MIN",250,NA,NA,NA,NA,NA,0,0,0,24,322,1,NA,NA,38.2
"GAVINESCOBAR","Gavin Escobar","TE","DAL",250,NA,NA,NA,NA,NA,NA,NA,NA,24,262,2,NA,NA,38.2
"BRANDONPETTIGREW","Brandon Pettigrew","TE","DET",252,NA,NA,NA,NA,NA,NA,NA,NA,25,255,2,NA,NA,37.5
"NICKTOON","Nick Toon","WR","NO",253,NA,NA,NA,NA,NA,0,0,0,16,253,2,NA,NA,37.3
"KESHAWNMARTIN","Keshawn Martin","WR","HOU",253,NA,NA,NA,NA,NA,0,0,0,25,313,1,NA,NA,37.3
"JERICKMCKINNON","Jerick McKinnon","RB","MIN",255,NA,NA,NA,NA,NA,55,234,1,11,74,0,NA,NA,36.8
"JONATHANGRIMES","Jonathan Grimes","RB","HOU",256,NA,NA,NA,NA,NA,55,223,1,12,84,0,NA,NA,36.7
"MIKEJAMES","Mike James","RB","TB",257,NA,NA,NA,NA,NA,65,267,1,6,39,0,NA,NA,36.6
"ADRIENROBINSON","Adrien Robinson","TE","NYG",258,NA,NA,NA,NA,NA,NA,NA,NA,23,244,2,NA,NA,36.4
"DREWDAVIS","Drew Davis","WR","ATL",259,NA,NA,NA,NA,NA,0,0,0,17,243,2,NA,NA,36.3
"MICHAELVICK","Michael Vick","QB","NYJ",260,50,28,333,2,1,11,66,1,NA,NA,NA,NA,NA,36.25
"JACEAMARO","Jace Amaro","TE","NYJ",261,NA,NA,NA,NA,NA,NA,NA,NA,21,242,2,NA,NA,36.2
"DANIELTHOMAS","Daniel Thomas","RB","MIA",262,NA,NA,NA,NA,NA,55,209,2,5,30,0,NA,NA,35.9
"DAVIDAUSBERRY","David Ausberry","TE","OAK",263,NA,NA,NA,NA,NA,NA,NA,NA,23,238,2,NA,NA,35.8
"LANCEKENDRICKS","Lance Kendricks","TE","STL",263,NA,NA,NA,NA,NA,NA,NA,NA,24,238,2,NA,NA,35.8
"COLEBEASLEY","Cole Beasley","WR","DAL",265,NA,NA,NA,NA,NA,0,0,0,19,230,2,NA,NA,35
"CLAYHARBOR","Clay Harbor","TE","JAX",266,NA,NA,NA,NA,NA,NA,NA,NA,21,221,2,NA,NA,34.1
"GREGLITTLE","Greg Little","WR","OAK",267,NA,NA,NA,NA,NA,0,0,0,20,280,1,NA,NA,34
"JERMICHAELFINLEY","Jermichael Finley","TE","",267,NA,NA,NA,NA,NA,NA,NA,NA,20,220,2,NA,NA,34
"BRIANHOYER","Brian Hoyer","QB","CLE",269,70,41,456,3,2,4,11,0,NA,NA,NA,NA,NA,33.9
"BILALPOWELL","Bilal Powell","RB","NYJ",270,NA,NA,NA,NA,NA,40,160,1,15,116,0,NA,NA,33.6
"DENARIUSMOORE","Denarius Moore","WR","OAK",270,NA,NA,NA,NA,NA,0,0,0,19,276,1,NA,NA,33.6
"MARQUESSWILSON","Marquess Wilson","WR","CHI",270,NA,NA,NA,NA,NA,0,0,0,18,216,2,NA,NA,33.6
"VINCENTBROWN","Vincent Brown","WR","SD",273,NA,NA,NA,NA,NA,0,0,0,17,214,2,NA,NA,33.4
"RICHARDRODGERS","Richard Rodgers","TE","GB",273,NA,NA,NA,NA,NA,NA,NA,NA,20,214,2,NA,NA,33.4
"MIKEGLENNON","Mike Glennon","QB","TB",275,70,41,455,3,2,4,6,0,NA,NA,NA,NA,NA,33.35
"JOSHHILL","Josh Hill","TE","NO",276,NA,NA,NA,NA,NA,NA,NA,NA,20,208,2,NA,NA,32.8
"LUKEWILLSON","Luke Willson","TE","SEA",276,NA,NA,NA,NA,NA,NA,NA,NA,16,208,2,NA,NA,32.8
"ACESANDERS","Ace Sanders","WR","JAX",278,NA,NA,NA,NA,NA,1,5,0,23,262,1,NA,NA,32.7
"TEDGINN","Ted Ginn","WR","ARI",278,NA,NA,NA,NA,NA,3,20,0,18,247,1,NA,NA,32.7
"ANDREWQUARLESS","Andrew Quarless","TE","GB",280,NA,NA,NA,NA,NA,NA,NA,NA,18,205,2,NA,NA,32.5
"BENJARVUSGREENELLIS","BenJarvus Green-Ellis","RB","CIN",281,NA,NA,NA,NA,NA,50,183,2,3,21,0,NA,NA,32.4
"DEREKCARR","Derek Carr","QB","OAK",282,65,37,440,3,3,4,12,0,NA,NA,NA,NA,NA,32.2
"MARCELREECE","Marcel Reece","RB","OAK",283,NA,NA,NA,NA,NA,20,90,0,22,169,1,NA,NA,31.9
"JACKIEBATTLE","Jackie Battle","RB","TEN",284,NA,NA,NA,NA,NA,50,195,1,6,45,0,NA,NA,30
"JOSEPHFAURIA","Joseph Fauria","TE","DET",285,NA,NA,NA,NA,NA,NA,NA,NA,16,176,2,NA,NA,29.6
"QUINTONPATTON","Quinton Patton","WR","SF",286,NA,NA,NA,NA,NA,2,12,0,18,220,1,NA,NA,29.2
"JASONAVANT","Jason Avant","WR","CAR",287,NA,NA,NA,NA,NA,0,0,0,18,229,1,NA,NA,28.9
"JOHNCARLSON","John Carlson","TE","ARI",288,NA,NA,NA,NA,NA,NA,NA,NA,22,227,1,NA,NA,28.7
"CJFIEDOROWICZ","C.J. Fiedorowicz","TE","HOU",289,NA,NA,NA,NA,NA,NA,NA,NA,15,165,2,NA,NA,28.5
"BENNYCUNNINGHAM","Benny Cunningham","RB","STL",290,NA,NA,NA,NA,NA,40,160,1,7,56,0,NA,NA,27.6
