"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","passAttMedian","passCompMedian","passIncompMedian","passYdsMedian","passTdsMedian","passIntMedian","rushAttMedian","rushYdsMedian","rushTdsMedian","recMedian","recYdsMedian","recTdsMedian","returnTdsMedian","twoPtsMedian","fumblesMedian","projectedPtsMean","projectedPtsMedian"
"DOUGMARTIN","Doug Martin","RB","TB",46,196.667356742486,239.13,209.35,183.4,212.7,NA,201.5775,208.25,202.125,178.225,182,184.125,199.875,213,203.55,NA,187.8,0,0,0,0,0,0,269.5,1128.77200883148,7.49997188198758,36.4056431312701,292.725,1.2999502625023,0,0.2,2.00000066920066,197.564630952381,196.667356742486
"VINCENTJACKSON","Vincent Jackson","WR","TB",47,196.489595260621,331.06,201.375,188.75,203.575,NA,196.2375,210.375,190.625,194.875,186.25,194.425,198,187.875,211.95,NA,182.6,0,0,0,0,0,0,0.75,7.50005604346746,0,74.9999798838123,1225.75,7.50002620896602,0,0.2,0.959772532507287,206.463192640693,196.489595260621
"JOSHMCCOWN","Josh McCown","QB","TB",48,192.517950124987,256.74,220.4,213.74,207.3,NA,199.554,161.32,151.26,177.98,166.6,214.52,186.5,257.6,165.34,NA,154.34,460,277.4,180.999984631923,3408,21.2795148284186,12.9999833514461,27.4999763452278,113.2,1.14997932049635,0,0,0,0,0.4,2.98001168577566,195.779242857143,192.517950124987
"JOHNNYMANZIEL","Johnny Manziel","QB","CLE",49,190.149640364679,NA,241.92,157.16,166.34,NA,171.73,189.5,166.3,195.32,164.3,223.7,198,245.6,257,NA,226.62,425.15,254.999992566912,172,3012.5,16.6499779328666,15,69.9999770241346,368,2.99997229057445,0,0,0,0,1.125,3.00003503674474,193.552399267399,190.149640364679
"ANDREELLINGTON","Andre Ellington","RB","ARI",50,189.673213822496,147.26,209.2,178.05,179.825,NA,191.035,220.75,203.475,175.4,184.125,180.8,197,189.3,203.875,NA,196.175,0,0,0,0,0,0,195.15,962.953670082865,5.00000707581348,50.575137036655,447.023143761513,1.9999972291641,0,0,1.50002399528165,187.714773809524,189.673213822496
"EJMANUEL","EJ Manuel","QB","BUF",51,189.254060498546,193.69,192.32,172.14,173.72,NA,180.446,187.52,204.62,196.1,187.2,210.74,198.6,238.34,225.12,NA,206.58,477.45,282.891799544556,195,3212.725,17.3699567380089,13.9999284295877,78.7,299.475,2.45004982961894,0,0,0,0,0.5,4.12759338081353,191.179078571429,189.254060498546
"JAKELOCKER","Jake Locker","QB","TEN",52,189.112053096937,263.27,229.92,192.66,157.72,NA,178.95,136.32,127.16,202.2,192,209.32,187.5,214.64,249.14,NA,220.92,436.2,254.5,174.8,3106.75,17.5500551498267,12.5369306038193,47.4999497324583,302.999969028291,1.99998335558858,0,0,0,0,0,3.34909090909091,194.402214285714,189.112053096937
"ANDREJOHNSON","Andre Johnson","WR","HOU",53,188.414175302624,179.675,198,188.375,212.875,NA,192.9125,210.5,172.125,182.25,181.25,178.75,201.625,162.25,214.75,NA,179,0,0,0,0,0,0,0,0,0,94.5974656794662,1241.025,5.95004247895403,0,0.2,0.938068190366811,189.916726190476,188.414175302624
"KEENANALLEN","Keenan Allen","WR","SD",54,187.544034427069,223.145,186.625,177.125,178.625,NA,181.475,187.225,189.125,179.5,186.75,192.875,198,181,205.625,NA,177.525,0,0,0,0,0,0,0,0,0,78.9518424983928,1130.75,8.0000596772388,0.2,0,1.00002454545455,188.729090909091,187.544034427069
"ALFREDMORRIS","Alfred Morris","RB","WAS",55,186.435233847497,228.265,207.65,185.85,190.45,NA,192.03,170.75,185.45,179.775,181.25,174.95,184,220.15,191.4,NA,175.225,0,0,0,0,0,0,269.3403125,1256.75,8.99996591998704,12.0000766900119,90.6870342708416,0.650063248038842,0,0.2,2.95860681483773,186.855571428571,186.435233847497
"ZACSTACY","Zac Stacy","RB","STL",56,184.512504621353,160.64,209.7,183.525,188.575,NA,193.2125,187.25,208.65,173,176.5,177.275,181.875,194.075,189.5,NA,196.15,0,0,0,0,0,0,272.334016597682,1112.37423035967,8.15001578191375,30.2086102774445,195.000050040494,1.00003488013372,0,0,2.00007621398678,184.31625,184.512504621353
"VICTORCRUZ","Victor Cruz","WR","NYG",57,182.790947287826,199.655,179.375,167.875,172.25,NA,176.475,208.525,195.25,181.75,170.375,181.5,204.875,185.25,207.75,NA,180.075,0,0,0,0,0,0,0,0,0,85.0787558865203,1149.25,6.99996892820444,0,0,0.955038760466895,185.277548701299,182.790947287826
"PIERREGARCON","Pierre Garcon","WR","WAS",58,179.457426768109,163.1,199,183.375,179.025,NA,184.4875,187.825,170,174.2,179.375,182.55,176.625,145.75,210.8,NA,173.6,0,0,0,0,0,0,1.99992825196456,13.1834003743773,0,91,1157.875,6.00000840204904,0,0,0.865112893874277,180.054485930736,179.457426768109
"TOBYGERHART","Toby Gerhart","RB","JAC",59,177.496699036044,148.925,200.575,178.625,160.725,NA,189.71,205.625,228.025,173.175,181.75,171.1,196.375,160.475,180.6,NA,178.8,0,0,0,0,0,0,254.799821939556,1025.025,6.94994972328142,36.9931730182987,272.000003806162,1.00008555820241,0,0,2.23533770954308,177.7315,177.496699036044
"LARRYFITZGERALD","Larry Fitzgerald","WR","ARI",60,176.874789598011,124.37,203.875,190.125,181.225,NA,189.275,182.75,172.5,169.275,162.75,175.525,173,158.25,203.75,NA,181.07,0,0,0,0,0,0,1.49999839194196,7.50007033746196,0,82.9148495954353,1039.2,8.04997124271831,0,0.2,0.825014964015054,177.446682900433,176.874789598011
"CORDARRELLEPATTERSON","Cordarrelle Patterson","WR","MIN",61,175.499980106156,89.705,155.375,159.375,160.15,NA,173.85,205.725,184.325,169.7,162,165.975,171.125,155.875,203.275,NA,165.095,0,0,0,0,0,0,12.7499456156808,105.500053766294,1.14997291078158,70.75,943.999980651605,6.50002328056441,0.5,0,0.65,173.512326839827,175.499980106156
"RODDYWHITE","Roddy White","WR","ATL",62,174.658307668097,125.005,187.625,171.5,167.5,NA,176.7125,187.5,189.375,174.25,176.375,172.625,177,158.5,194.625,NA,173.825,0,0,0,0,0,0,0,0,0,85.0000729635149,1085.39021744769,6.9999615779689,0,0,1.00507966022597,173.740297619048,174.658307668097
"REGGIEBUSH","Reggie Bush","RB","DET",63,174.249805055784,153.17,190.05,161.3,195.4,NA,172.5,181.125,155.075,182.15,200.5,175.125,192.5,184.15,201.95,NA,148.35,0,0,0,0,0,0,188.000017922592,823.125,4.49999911237986,50.9999565222037,464.000023987399,2.50007732020971,0,0,2.68771884605945,174.001845238095,174.249805055784
"MICHAELFLOYD","Michael Floyd","WR","ARI",64,173.474440821051,163.825,184.25,176.75,164.5,NA,179.025,158.8,189.125,171.375,180.75,172.125,167.25,180.125,179.25,NA,169.025,0,0,0,0,0,0,0,0,0,73.5000298101193,1095.6,6.49993243208522,0,0,0.825051257153487,173.819594155844,173.474440821051
