"playerId","idpRetYds","idpRetTds","idpSolo","idpAst","idpTFL","idpSack","idpSafety","idpPD","idpBlk","idpInt","idpFumlForce","idpFumlRec","idpFumlRet","idpTd","player","analystId"
2541832,0,0,19,5,0,0,0,2,0,2,0,0,19,0,"Jeff Heath","yasp"
2543739,0,0,29,3,0,0,0,5,1,0,0,0,0,0,"Dontae Johnson","yasp"
2550442,0,0,25,4,2,0,0,6,0,0,1,0,0,0,"Marcus Roberson","yasp"
2552255,0,0,24,7,0,0,0,5,0,1,0,0,0,0,"Eric Rowe","yasp"
2552386,0,0,27,7,0,0,0,1,0,0,0,1,29,0,"Clayton Geathers","yasp"
2552434,0,0,23,5,0,0,0,4,0,0,0,0,0,0,"Bobby McCain","yasp"
2552448,0,0,26,4,0,0,0,4,0,0,0,0,0,0,"Trae Waynes","yasp"
2553607,0,0,27,6,0,0,0,2,0,1,0,0,10,0,"Robenson Therezie","yasp"
2553897,0,0,22,4,0,0,0,2,0,1,1,0,23,0,"Harold Jones-Quartey","yasp"
729,0,0,24,5,0,0,0,1,0,0,0,0,0,0,"Husain Abdullah","yasp"
494283,0,0,18,8,1,0,0,5,0,0,0,0,0,0,"Taylor Mays","yasp"
494289,0,0,23,6,0,0,0,0,0,0,0,0,0,0,"Sherrick McManis","yasp"
496733,0,0,18,4,0,0,0,2,0,0,0,1,0,0,"Joe Haden","yasp"
496749,0,0,16,9,1,0,0,4,0,0,0,0,0,0,"Major Wright","yasp"
2495265,0,0,19,3,0,0,0,3,0,0,0,0,0,0,"Jalil Brown","yasp"
2495297,0,0,17,10,0,0,0,0,1,0,0,0,0,0,"Jeron Johnson","yasp"
2532839,0,0,19,2,0,0,0,5,0,0,0,1,0,0,"Jamell Fleming","yasp"
2534834,0,0,11,2,0,0,0,6,0,2,0,0,60,0,"Jeremy Lane","yasp"
2535693,0,0,20,7,0,0,0,2,0,0,0,1,0,0,"Johnson Bademosi","yasp"
2539262,0,0,19,6,0,0,0,1,0,0,0,0,0,0,"Johnthan Banks","yasp"
2539338,0,0,20,2,1,0,0,2,0,1,0,0,0,0,"B.W. Webb","yasp"
2539943,0,0,16,3,0,0,0,1,0,0,1,2,12,0,"D.J. Swearinger","yasp"
2539946,0,0,21,7,0,0,0,1,0,0,0,0,0,0,"Dwayne Gratz","yasp"
2540286,0,0,21,4,0,0,0,0,0,0,0,0,0,0,"Demetrius McCray","yasp"
2540287,0,0,15,9,0,0,0,1,0,1,0,0,11,0,"Rontez Miles","yasp"
2541162,0,0,15,1,0,0,0,6,0,2,0,0,9,0,"A.J. Bouye","yasp"
2541688,0,0,17,1,1,1,0,2,0,1,0,0,0,0,"Marcus Burley","yasp"
2543474,0,0,14,6,0,0,0,3,0,1,0,0,10,0,"Darqueze Dennard","yasp"
2543724,0,0,24,6,0,0,0,0,0,0,0,0,0,0,"Walt Aikens","yasp"
2543830,0,0,21,8,1,0,0,0,0,0,0,0,0,0,"Tre Boston","yasp"
2550257,0,0,21,3,1,1,0,2,1,0,0,0,0,0,"Daniel Sorensen","yasp"
2552436,0,0,20,2,1,0,0,4,0,0,0,0,0,0,"Damian Swann","yasp"
2553500,34,0,20,1,4,1,0,3,0,0,0,0,0,0,"Bryce Callahan","yasp"
2553637,0,0,17,4,1,0,0,5,0,0,0,1,0,0,"Justin Coleman","yasp"
