"playerId","aav","leagueType","source"
2530510,"0.0","std","ESPN"
2530510,"0.0","std","ESPN"
2530515,"0","std","MFL"
2530515,"0.0","std","ESPN"
2530515,"0","std","Yahoo"
2507999,"8","std","MFL"
2507999,"10.1","std","ESPN"
2507999,"16","std","Yahoo"
262,"1","std","MFL"
262,"0.0","std","ESPN"
262,"0","std","Yahoo"
2541408,"0","std","MFL"
276,"2","std","MFL"
276,"0.0","std","ESPN"
2507918,"0","std","MFL"
2531049,"1","std","MFL"
2531049,"0.0","std","ESPN"
2531049,"1","std","Yahoo"
2550628,"1","std","MFL"
2550628,"0.0","std","ESPN"
80674,"0","std","MFL"
80674,"0","std","Yahoo"
2507785,"0","std","MFL"
2532923,"0","std","MFL"
2532923,"0","std","Yahoo"
2533037,"1","std","MFL"
2533037,"0.0","std","ESPN"
2533037,"0","std","Yahoo"
2543692,"1","std","MFL"
2540011,"0","std","MFL"
2540011,"0.0","std","ESPN"
2540011,"0","std","Yahoo"
2508129,"0","std","MFL"
2552602,"1","std","MFL"
2552602,"0.0","std","ESPN"
2550572,"2","std","MFL"
2550572,"0.0","std","ESPN"
2543720,"1","std","MFL"
2543720,"0.0","std","ESPN"
2495215,"1","std","MFL"
2495215,"0.0","std","ESPN"
2495215,"0","std","Yahoo"
2553461,"0","std","MFL"
2539322,"2","std","MFL"
2539322,"1.3","std","ESPN"
2539322,"0","std","Yahoo"
2541782,"0","std","Yahoo"
2495126,"0","std","MFL"
2540209,"0","std","Yahoo"
2495620,"0.0","std","ESPN"
2495620,"0","std","Yahoo"
497242,"1","std","MFL"
497242,"0.0","std","ESPN"
497242,"0","std","Yahoo"
80431,"4","std","MFL"
80431,"2.3","std","ESPN"
2552386,"1","std","MFL"
2552386,"0.0","std","ESPN"
1330,"1","std","MFL"
1330,"0.0","std","ESPN"
2495198,"0","std","MFL"
2495198,"0.0","std","ESPN"
496784,"0","std","MFL"
89758,"2","std","MFL"
89758,"0.0","std","ESPN"
2552397,"1","std","MFL"
2552397,"0.0","std","ESPN"
2552397,"0","std","Yahoo"
2539203,"0","std","MFL"
2539203,"0","std","Yahoo"
2532838,"2","std","MFL"
2532838,"0.0","std","ESPN"
2532838,"1","std","Yahoo"
2541135,"0","std","MFL"
2553645,"0","std","MFL"
2553645,"0","std","Yahoo"
2543590,"3","std","MFL"
2543590,"1.1","std","ESPN"
2543590,"3","std","Yahoo"
2535698,"1","std","MFL"
2535698,"0.0","std","ESPN"
2535698,"1","std","Yahoo"
2505358,"0.0","std","ESPN"
2499257,"0","std","MFL"
2495186,"5","std","MFL"
2495186,"2.6","std","ESPN"
2495186,"5","std","Yahoo"
2507597,"0","std","MFL"
2507597,"0.0","std","ESPN"
2550626,"0","std","MFL"
497123,"1","std","MFL"
497123,"0.0","std","ESPN"
497123,"0","std","Yahoo"
100014,"1","std","MFL"
100014,"0.0","std","ESPN"
100014,"0","std","Yahoo"
71197,"2","std","MFL"
71197,"0.0","std","ESPN"
2550252,"0","std","MFL"
2550252,"0.0","std","ESPN"
2550252,"0","std","Yahoo"
2536071,"0","std","MFL"
2536071,"0.0","std","ESPN"
2536071,"0","std","Yahoo"
2540317,"1","std","MFL"
2531031,"0","std","MFL"
2540145,"2","std","MFL"
2540145,"0.0","std","ESPN"
2550546,"1","std","MFL"
2550546,"0.0","std","ESPN"
2550546,"0","std","Yahoo"
2540261,"1","std","MFL"
2495613,"1","std","MFL"
2495613,"0.0","std","ESPN"
2553650,"1","std","MFL"
2553650,"0.0","std","ESPN"
2540172,"0","std","MFL"
2495483,"2","std","MFL"
2495483,"0.0","std","ESPN"
2550167,"0","std","MFL"
496841,"1","std","MFL"
2550413,"1","std","MFL"
2550413,"0","std","Yahoo"
2532972,"1","std","MFL"
496883,"0","std","MFL"
2539232,"0","std","MFL"
2539224,"1","std","MFL"
2495497,"1","std","MFL"
2495497,"0.0","std","ESPN"
2506978,"0","std","MFL"
2506978,"0.0","std","ESPN"
2533353,"0","std","MFL"
2533353,"0","std","Yahoo"
2505510,"0","std","MFL"
2505510,"0.0","std","ESPN"
2532946,"0","std","MFL"
2532964,"1","std","MFL"
100008,"1","std","MFL"
100008,"0.0","std","ESPN"
100008,"0","std","Yahoo"
2495585,"0","std","MFL"
2552570,"1","std","MFL"
2552570,"0.0","std","ESPN"
2532431,"1","std","MFL"
2532431,"0.0","std","ESPN"
1992,"0.0","std","ESPN"
1992,"0","std","Yahoo"
2543794,"1","std","MFL"
2543794,"0.0","std","ESPN"
2543794,"0","std","Yahoo"
2505363,"0","std","MFL"
2505363,"0.0","std","ESPN"
774,"3","std","MFL"
774,"0.0","std","ESPN"
2532851,"0","std","MFL"
2532851,"0","std","Yahoo"
2553442,"0","std","MFL"
2553442,"0.0","std","ESPN"
2539237,"1","std","MFL"
2539237,"0.0","std","ESPN"
2539943,"1","std","MFL"
2539943,"0.0","std","ESPN"
2539266,"0","std","MFL"
2552389,"1","std","MFL"
2552389,"0.0","std","ESPN"
2536031,"0","std","MFL"
2536031,"0.0","std","ESPN"
2536031,"0","std","Yahoo"
2553634,"0","std","MFL"
2553634,"0","std","Yahoo"
2552436,"0","std","MFL"
2552436,"0.0","std","ESPN"
497336,"0","std","MFL"
497336,"0","std","Yahoo"
2550512,"1","std","MFL"
2550512,"0.0","std","ESPN"
2550512,"0","std","Yahoo"
2553499,"0","std","MFL"
2553499,"0","std","Yahoo"
2535718,"1","std","MFL"
2535718,"0.0","std","ESPN"
2540138,"1","std","MFL"
2540138,"0.0","std","ESPN"
2532864,"1","std","MFL"
2532864,"1.0","std","ESPN"
2532864,"1","std","Yahoo"
2506481,"0","std","MFL"
2506481,"0.0","std","ESPN"
2506481,"0","std","Yahoo"
2507673,"0","std","MFL"
2508083,"1","std","MFL"
2508083,"0.0","std","ESPN"
497262,"0.0","std","ESPN"
2507838,"0","std","MFL"
2495892,"0.0","std","ESPN"
2553900,"0","std","Yahoo"
2506619,"0","std","MFL"
2506619,"0.0","std","ESPN"
2506619,"0","std","Yahoo"
2550154,"0","std","MFL"
2550154,"0.0","std","ESPN"
2550257,"0.0","std","ESPN"
2495241,"0","std","MFL"
2495241,"0","std","Yahoo"
2552603,"1","std","MFL"
2552603,"0.0","std","ESPN"
79844,"2","std","MFL"
79844,"0.0","std","ESPN"
2649,"1","std","MFL"
2649,"0.0","std","ESPN"
2649,"1","std","Yahoo"
