"name","player","pos","team","overallRank","pick","positionRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","risk"
"SHANEVEREEN","Shane Vereen","RB","NE",47,54.1,26,155.954594651863,194.305,195.15,172.75,165.475,NA,172.59,121.375,151.625,132.075,150,152.825,169.875,172.325,150.5,NA,151,159.033202380952,155.954594651863,38.0267804507927,11.1,20.8793722933099,4.88178560742605
"PIERREGARCON","Pierre Garcon","WR","WAS",48,40,15,179.098153443051,163.1,199,183.375,179.025,NA,184.4875,187.825,170,174.2,175,182.55,176.625,145.75,208.925,NA,172.4,179.552104978355,179.098153443051,35.698931753441,8.1,15.0942118356983,4.00217804207859
"BENTATE","Ben Tate","RB","CLE",49,55.8,27,151.642932997023,97.285,167.025,140.25,183.475,NA,154.2025,186.875,147.625,146.625,152,153.9,142.875,175.225,169.725,NA,129.575,149.621357142857,151.642932997023,33.7151187959528,16.4,23.2640736184691,5.67388606804463
"LARRYFITZGERALD","Larry Fitzgerald","WR","ARI",50,41.6,16,176.874789598011,124.37,203.875,190.125,181.225,NA,189.275,182.75,172.5,169.275,162.75,175.525,173,158.25,203.75,NA,181.07,177.446682900433,176.874789598011,33.4755679084004,7.2,20.0832334121205,4.39212830097957
"TRENTRICHARDSON","Trent Richardson","RB","IND",51,71.7,28,150.343208627425,128.595,177.925,146.475,181.45,NA,164.94,177.85,174.65,149.425,155.5,145.05,132.25,111.475,166,NA,148.175,152.089154761905,150.343208627425,32.4153944263542,21.3,20.9477709874024,5.96662419718529
"CORDARRELLEPATTERSON","Cordarrelle Patterson","WR","MIN",52,52.7,17,175.499980106156,89.705,155.375,159.375,160.15,NA,173.85,205.725,184.325,169.7,162,165.975,171.125,155.875,203.275,NA,165.095,173.512326839827,175.499980106156,32.1007584165454,11.3,27.0835208198639,5.50615832578543
"RODDYWHITE","Roddy White","WR","ATL",53,40.4,18,174.862029596572,125.005,187.625,171.5,167.5,NA,176.7125,187.5,189.375,174.25,176.375,172.625,177,158.5,206.625,NA,173.825,174.568869047619,174.862029596572,31.4628079069617,11.1,18.3488689850041,4.63574378662549
"NICKFOLES","Nick Foles","QB","PHI",54,70.1,5,276.396240810082,259.74,270.3,294.7,275.06,294.64,283.604,288.3,299.3,284.14,282.8,280.38,282,268.02,286.94,NA,281.14,277.014541666667,276.396240810082,31.3139266935579,14.6,10.5948968272915,4.25178858299538
"MICHAELFLOYD","Michael Floyd","WR","ARI",55,49.3,19,174.712390725653,163.825,184.25,176.75,164.5,NA,179.025,188.95,189.125,171.375,180.75,172.125,167.25,180.125,179.25,NA,169.025,175.884312770563,174.712390725653,31.3131690360429,9.6,8.36475324445732,3.50642724818749
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",56,71.5,6,275.660434167799,292.3,300.32,270.8,280.86,292.2,280.684,257.96,268.88,274.52,289.3,263.68,279,257.24,296.84,NA,264.48,274.11125,275.660434167799,30.5781200512747,14.1,14.0682770028377,4.5366543275977
"MICHAELCRABTREE","Michael Crabtree","WR","SF",57,49,20,173.304118405745,140.29,201.75,196.625,167.575,NA,187.9875,189.35,179,153.25,161.625,168.375,179.5,150,199,NA,149.855,173.443371212121,173.304118405745,29.9048967161341,13,20.2588443080837,5.02229040072635
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",58,83.8,7,274.934289473856,296.33,302.14,323.14,261.52,294.24,295.932,287.4,274.22,285.88,284.4,267.98,277.9,247.12,287.54,NA,254.42,278.404916666667,274.934289473856,29.8519753573323,18.4,19.624634496566,5.53143142958451
"JORDANCAMERON","Jordan Cameron","TE","CLE",59,62,4,146.768620626958,145.85,129.5,156.5,151.875,151.875,143.9,144.125,141.625,151.5,159.5,147.75,161.625,131.125,151,NA,144.275,146.730729166667,146.768620626958,28.4136963505274,17.6,9.08383310114865,4.42198143339355
"CAMNEWTON","Cam Newton","QB","CAR",60,68.4,8,272.496143866509,254.23,281.94,267.1,281.3,280.22,274.172,283.36,276.2,288.62,276.2,276.56,289.9,263.06,296.14,NA,253.14,273.579041666667,272.496143866509,27.4138297499847,20.3,12.3636593242338,5.02628296035684
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",61,50,9,271.700914584426,201.72,307.82,301.28,273.24,291.3,286.59,274.96,261.06,272.88,274.8,272.48,276.4,254.04,283.58,NA,266.86,269.869541666667,271.700914584426,26.6186004679026,8.9,24.322535836623,4.98401535076955
"PERCYHARVIN","Percy Harvin","WR","SEA",62,57.8,21,167.887615482865,-0.03,156.5,131.75,152.6,NA,165.95,155.875,195.875,163.75,158.375,163.3,195,159.2,179.575,NA,153.425,159.385027056277,167.887615482865,24.4883937932548,14.8,46.9429809803785,7.80706788555219
"JASONWITTEN","Jason Witten","TE","DAL",63,78.7,5,142.11311532329,145.69,151.25,151.125,144.25,144.25,145.3625,148.5,129,127.75,147,141.375,136.25,143.375,161.25,NA,143.3,143.652427083333,142.11311532329,23.7581910468592,10.8,8.41711449892986,3.63836401898615
"DESEANJACKSON","DeSean Jackson","WR","WAS",64,57,22,166.950004093462,155.86,159.75,164.625,173.475,NA,165.4875,177.475,155.7,165.925,182.25,161.825,173.25,137.625,180.325,NA,166.28,167.072819264069,166.950004093462,23.5507824038517,12,11.7044824890526,4.08484175281336
"TORREYSMITH","Torrey Smith","WR","BAL",65,52.3,23,166.821151560461,146.505,162.125,166.625,169.2,NA,167.9,198,175.225,154.25,153.5,164.575,175.75,172.25,179.375,NA,162.725,167.492483766234,166.821151560461,23.421929870851,10.7,12.7017148243071,4.04438690280107
"WESWELKER","Wes Welker","WR","DEN",66,56.9,24,165.806764498343,188.56,180.125,165.75,160.75,NA,168.4875,185.375,168.875,148.25,141.375,163.875,148,140.125,193.5,NA,160.4,166.227261904762,165.806764498343,22.4075428087325,15.3,17.1533323951824,4.96346112886189
"PIERRETHOMAS","Pierre Thomas","RB","NO",67,83,29,140.036833595374,153.59,161.75,138.125,132.625,NA,146.7775,159.475,149.05,120.875,119.75,122.3,143.25,169.825,150.325,NA,132.975,139.586833333333,140.036833595374,22.1090193943034,16.9,15.8105609059487,5.00203048896535
"LAMARMILLER","Lamar Miller","RB","MIA",68,68,30,139.826616014677,86.905,162.525,138.725,88.875,NA,126.2975,152.75,127.375,151.125,152,147.9,112.875,144.325,154.375,NA,151.05,136.238107142857,139.826616014677,21.8988018136064,17.1,24.150759314076,5.83409216803783
"STEVANRIDLEY","Stevan Ridley","RB","NE",69,76.1,31,139.75381191672,160.75,169.475,127.55,166.2,NA,148.5325,130.6,142.925,150.3,132,122.425,135.125,147.9,129.5,NA,133.5,140.252583333333,139.75381191672,21.8259977156499,16.4,15.0166743368409,4.8719882284091
"MAURICEJONESDREW","Maurice Jones-Drew","RB","OAK",70,86.2,32,139.328168141343,136.97,154.4,136.1,130.4,NA,141.795,134.625,145.525,139.575,150.875,122.35,140.5,159.45,157.65,NA,136.475,140.687880952381,139.328168141343,21.4003539402725,16.6,10.6270191617281,4.46632129283623
"VERNONDAVIS","Vernon Davis","TE","SF",71,70.6,6,139.519846942373,74.47,145.25,172.875,170.375,170.375,155.4375,172.125,132.625,124.875,136.75,140.875,126.375,104,153.375,NA,116.875,139.924635416667,139.519846942373,21.1649226659423,14.7,28.0397151195959,5.95852552213096
"FREDJACKSON","Fred Jackson","RB","BUF",72,81.2,33,138.787542543247,138.54,157.325,140.9,122.05,NA,136.665,175.225,138.125,132.825,151.75,137.825,153.875,116.575,153.025,NA,127.85,139.831238095238,138.787542543247,20.8597283421769,12.5,15.4352085254873,4.50043405693932
"MATTRYAN","Matt Ryan","QB","ATL",73,65.4,10,264.019427187751,236.11,288.98,271.64,253.68,278.48,271.302,244.76,266.4,265.32,253.4,255.58,256.5,290.48,274.48,NA,269.22,263.063083333333,264.019427187751,18.9371130712268,14.7,15.2769373856711,4.71759567951005
