"name","player","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_nf","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","cost_yahoo","costProjected_yahoo","costAvg_yahoo","costMax_yahoo","adp_yahoo","cost_espn","adp_espn","cost_fp","adp_fp","adp_ffc","adpSD_ffc","avgCost","bidUpTo","simulation"
"DESEANJACKSON","DeSean Jackson","WR",169.564731502529,6.74024823964675,16,"WAS",70,57.3,22,157.06,160.95,168.325,171.899874165478,1.2,165.9375,178.675,154.124874165478,160.849874165478,179.424874165478,160.249874165478,172.924874165478,151.075,198.025,183.834374165478,NA,169.765,170.015583333333,169.564731502529,26.7835624906922,11.8,43.6267228931913,8.9,22,15.45,22,47.3,14.8,47.5,18,51,54.3,7.4,15.45,14,9.66039636341222
"DEVIERPOSEY","DeVier Posey","WR",31.3559142471138,5.75199674440556,1,"HOU",336,NA,145,NA,53.125,58.875,NA,NA,35.825,20.375,11.125,15.875,24.75,20,2.5,69.875,41.25,NA,NA,20.65,26.5375,31.3559142471138,-111.425254764723,NA,20.7185343525959,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"DEVINHESTER","Devin Hester","WR",30.2704824400202,5.33549212893436,1,"ATL",341,NA,148,-3.48,4.2,11.075,4.2,4.2,23.3875,46.3,4.2,48.325,4.2,5.2,48.075,39.45,4.2,4.2,NA,12.7075,23.0375,30.2704824400202,-112.510686571816,NA,18.4407761722042,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"DEVINSTREET","Devin Street","WR",39.78125,5.82556078314982,1,"DAL",296,NA,126,NA,50.875,58.75,NA,NA,54.8125,48.875,NA,10.5,5.625,21,44.5,NA,NA,NA,NA,NA,36.8671875,39.78125,-102.999919011837,NA,21.1208374359431,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"DEVONTAFREEMAN","Devonta Freeman","RB",94.7364471595652,6.29511086611003,5,"ATL",168,125.8,46,NA,151.3,118.175,58.6,NA,107.7275,91,75.825,86.875,101.75,98.8,125.75,NA,114.65,65.738,NA,87.9,97.53575,94.7364471595652,-25.7740750984193,21.7,25.4237472762003,2,6,4,6,123.8,1.8,135.3,3,139,103.4,10.3,4,1,2.94443897916644
"DEVONWYLIE","Devon Wylie","WR",-0.84,NA,1,"SF",819,NA,291,-0.84,NA,NA,-0.84,NA,NA,NA,-0.84,-0.84,-0.84,-0.84,-0.84,NA,NA,-0.84,NA,NA,-0.84,-0.84,-143.621169011837,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"DEXTERCARTER","Dexter Carter","RB",0,NA,1,NA,645,NA,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-120.510522257984,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"DEXTERMCCLUSTER","Dexter McCluster","RB",85.1773517532087,6.9637578622097,1,"TEN",182,176.3,50,84.395,117.425,90.15,95.0648297403687,3.6,97.52375,49.6,76.3398297403687,81.9148297403687,67.6148297403687,60.7148297403687,66.2398297403687,3.6,3.6,72.7550797403687,NA,96.05,83.2504102564103,85.1773517532087,-35.3331705047758,19.8,35.2961750919829,1,1,1,1,NA,1.2,142.7,2,202,NA,NA,1,1,5.37989735354046
"DEZBRYANT","Dez Bryant","WR",236.687270550945,4.01682732444684,66,"DAL",23,10.7,3,331.07,232.375,238.125,234.925129140395,236.15,232.975,252.625,221.500129140395,222.775129140395,230.000129140395,229.350129140395,255.500129140395,219,248.075,224.857129140395,NA,240.625,240.618658974359,236.687270550945,93.9061015391088,2.5,26.3654753609404,53.6,52,52.8,53.6,10.8,39.5,16.8,37,11,11.3,2.1,52.8,54,8.7653024887482
"DEZMONBRISCOE","Dezmon Briscoe","WR",0,NA,1,NA,645,NA,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-142.781169011837,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
