"name","player","pos","team","points","vor","simulation","sdPick","sdPts","risk","avgCost","inflatedCost","bidUpTo","bidUpToSim"
"BOBBYRAINEY","Bobby Rainey","RB","TB",74.03125,-50.0832252140653,0,42.9,24.2871483076269,5.46268631338283,1,1,1,1
"BOOBIEDIXON","Boobie Dixon","RB","BUF",54.8,-69.3144752140653,NA,NA,NA,NA,1,1,1,1
"BOSCAIFE","Bo Scaife","TE","FA",0,-120.595988484516,NA,NA,NA,NA,1,1,1,1
"BRADSMELLEY","Brad Smelley","TE","STL",0,-120.595988484516,NA,NA,NA,NA,1,1,1,1
"BRADSMITH","Brad Smith","WR","PHI",4.0625,-143.066627658388,0,NA,3.80069894887769,1.42968930021774,1,1,1,1
"BRADSORENSEN","Brad Sorensen","QB","SD",0,-141.747601193478,NA,NA,NA,NA,1,1,1,1
"BRADYQUINN","Brady Quinn","QB","MIA",0,-141.747601193478,NA,NA,NA,NA,1,1,1,1
"BRANDENOLIVER","Branden Oliver","RB","SD",125.7,1.58552478593472,NA,4.4478,NA,2.54392706820267,1,1,1,1
"BRANDINCOOKS","Brandin Cooks","WR","NO",155.13415591743,8.00502825904186,1.09861228866811,5.9304,25.6272593719396,4.17452285076643,5.45,6,1,2
"BRANDONBARDEN","Brandon Barden","TE","KC",0,-120.595988484516,NA,NA,NA,NA,1,1,1,1
"BRANDONBOGOTAY","Brandon Bogotay","K","CLE",0,NA,NA,NA,NA,NA,1,1,1,1
"BRANDONBOLDEN","Brandon Bolden","RB","NE",37.1163797169343,-86.9980954971309,0,76.3,27.8478115537529,7.24043877244982,1,1,1,1
"BRANDONBOSTICK","Brandon Bostick","TE","GB",41,-79.5959884845159,0,53.8,15.9968759157062,6.19248398297534,1,1,1,1
"BRANDONCOUTU","Brandon Coutu","K","FA",0,NA,NA,NA,NA,NA,1,1,1,1
"BRANDONGIBSON","Brandon Gibson","WR","MIA",57.2375,-89.8916276583879,0,46.9,23.014130623018,5.89522127492636,1,1,1,1
"BRANDONHARTSON","Brandon Hartson","TE","CHI",0,-120.595988484516,NA,NA,NA,NA,1,1,1,1
"BRANDONLAFELL","Brandon LaFell","WR","NE",98.3689245019804,-48.7602031564076,1.6094379124341,22.98585,51.5775750690162,7.53346980835996,1,1,1,1
"BRANDONLLOYD","Brandon Lloyd","WR","SF",52.40625,-94.7228776583879,0,96.9,7.89961760677904,6.82963726547057,1,1,1,1
"BRANDONMANUMALEUNA","Brandon Manumaleuna","TE","FA",0,-120.595988484516,NA,NA,NA,NA,1,1,1,1
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",220.55625,73.427122341612,0.693147180559945,4.5826,19.2337634447863,3.48463274040351,46.3,58,39,22
"BRANDONMCMANUS","Brandon McManus","K","DEN",0,NA,NA,91,NA,11.8008908811184,1,1,1,1
"BRANDONMYERS","Brandon Myers","TE","TB",39.1403348253151,-81.4556536592008,0,38.7,22.8543258122687,5.9049394001919,1,1,1,1
"BRANDONPETTIGREW","Brandon Pettigrew","TE","DET",38.7375,-81.8584884845159,0,49.6,25.4421443344175,6.84466116907772,1,1,1,1
"BRANDONTATE","Brandon Tate","WR","CIN",24.975,-122.154127658388,0,75,20.6475180106472,7.01927053447144,1,1,1,1
"BRANDONWEEDEN","Brandon Weeden","QB","DAL",7.345,-134.402601193478,0,NA,1.94724994115633,2.67871862409805,1,1,1,1
"BRANDONWILLIAMS","Brandon Williams","TE","CAR",3.5,-117.095988484516,0,NA,2.82842712474619,1.67922416469619,1,1,1,1
"BRENDONKAY","Brendon Kay","QB","PIT",0,-141.747601193478,NA,NA,NA,NA,1,1,1,1
"BRENNANCLAY","Brennan Clay","RB","DEN",0,-124.114475214065,NA,NA,NA,NA,1,1,1,1
"BRENTCELEK","Brent Celek","TE","PHI",66.1875,-54.4084884845159,0,33.4,14.0054360725874,4.71073578158276,0.6,1,1,1
"BRENTONBERSIN","Brenton Bersin","WR","CAR",35.8875,-111.241627658388,0,NA,8.37948884678137,2.32472395555875,1,1,1,1
"BRETTSMITH","Brett Smith","QB","TB",0,-141.747601193478,NA,NA,NA,NA,1,1,1,1
"BRETTSWENSON","Brett Swenson","K","FA",0,NA,NA,NA,NA,NA,1,1,1,1
"BRIANHARTLINE","Brian Hartline","WR","MIA",114.637209266589,-32.4919183917985,0,19.3,21.928343293175,4.4578613332017,1,1,1,1
"BRIANHOYER","Brian Hoyer","QB","CLE",32.9951293520324,-108.752471841445,0,71.6,42.2430193168055,7.88518537939687,1,1,1,1
"BRIANJENNINGS","Brian Jennings","TE","FA",0,-120.595988484516,NA,NA,NA,NA,1,1,1,1
"BRIANLEONARD","Brian Leonard","RB","NO",1.18,-122.934475214065,NA,NA,NA,NA,1,1,1,1
"BRIANLEONHARDT","Brian Leonhardt","TE","OAK",15.725,-104.870988484516,NA,NA,NA,NA,1,1,1,1
"BRIANQUICK","Brian Quick","WR","STL",82.1125609231249,-65.016566735263,0,4.4478,44.3006272293821,5.92809172428579,1,1,1,1
"BRIANSTPIERRE","Brian St. Pierre","QB","FA",0,-141.747601193478,NA,NA,NA,NA,1,1,1,1
"BRIANTYMS","Brian Tyms","WR","NE",16.6625,-130.466627658388,NA,NA,NA,NA,1,1,1,1
"BRIANWOZNIAK","Brian Wozniak","TE","ATL",0,-120.595988484516,NA,NA,NA,NA,1,1,1,1
"BRICEBUTLER","Brice Butler","WR","OAK",34.5625,-112.566627658388,0,NA,12.4040064092212,3.11141274664332,1,1,1,1
"BROCKJENSEN","Brock Jensen","QB","MIA",0,-141.747601193478,NA,NA,NA,NA,1,1,1,1
"BROCKOSWEILER","Brock Osweiler","QB","DEN",4.06226500203296,-137.685336191445,0,NA,3.16735867877321,2.8718500087875,1,1,1,1
"BRODIECROYLE","Brodie Croyle","QB","FA",0,-141.747601193478,NA,NA,NA,NA,1,1,1,1
"BRUCEELLINGTON","Bruce Ellington","WR","SF",25.683125,-121.446002658388,0,NA,11.9809239870443,3.02871110748594,1,1,1,1
"BRUCEGRADKOWSKI","Bruce Gradkowski","QB","PIT",3.521,-138.226601193478,0,NA,5.23117596721808,3.19853227764979,1,1,1,1
"BRUCEMILLER","Bruce Miller","RB","SF",14.703125,-109.411350214065,0,NA,8.6541445995546,2.85845371526468,1,1,1,1
"BRYANWALTERS","Bryan Walters","WR","SEA",5.3,-141.829127658388,NA,NA,NA,NA,1,1,1,1
"BRYCEBROWN","Bryce Brown","RB","BUF",42.6595053036316,-81.4549699104337,0,26.8,13.1708801275136,4.02316183348062,1,1,1,1
"BRYNRENNER","Bryn Renner","QB","DEN",0,-141.747601193478,NA,NA,NA,NA,1,1,1,1
"BUFFALOBILLS","Buffalo Bills","DST","BUF",0,NA,NA,51.5,NA,5.71761914118758,0.5,1,1,1
"BYRONLEFTWICH","Byron Leftwich","QB","FA",0,-141.747601193478,NA,NA,NA,NA,1,1,1,1
"CAIROSANTOS","Cairo Santos","K","KC",0,NA,NA,NA,NA,NA,1,1,1,1
"CALEBHANIE","Caleb Hanie","QB","DAL",0,-141.747601193478,NA,NA,NA,NA,1,1,1,1
"CALEBSTURGIS","Caleb Sturgis","K","MIA",0,NA,NA,35.3,NA,5.15626190500973,1,1,1,1
"CALVINJOHNSON","Calvin Johnson","WR","DET",265.07481060805,117.945682949662,3.40119738166216,6.21195,41.6461101374826,5.75373783357932,57.55,72,74,68
"CAMERONBRATE","Cameron Brate","TE","TB",0,-120.595988484516,NA,NA,NA,NA,1,1,1,1
"CAMNEWTON","Cam Newton","QB","CAR",171.044718435091,29.2971172416136,1.6094379124341,13.4739,17.5461339331489,4.30520032102437,12.65,15,1,6
"CAREYSPEAR","Carey Spear","K","PHI",0,NA,NA,NA,NA,NA,1,1,1,1
"CARLOSHYDE","Carlos Hyde","RB","SF",100.00625,-24.1082252140653,0,27.2,35.2599712551878,5.4108397606319,5.95,7,1,1
"CAROLINAPANTHERS","Carolina Panthers","DST","CAR",0,NA,NA,18,NA,2.45197322673154,0.95,1,1,1
"CARSONPALMER","Carson Palmer","QB","ARZ",111.556746220425,-30.1908549730526,0,5.9304,27.5357634117281,4.88489657277538,1,2,1,1
"CARSONWIGGS","Carson Wiggs","K","IND",0,NA,NA,NA,NA,NA,1,1,1,1
"CASEKEENUM","Case Keenum","QB","STL",4.43,-137.317601193478,0,111.5,6.26496608131281,6.15339733276948,1,1,1,1
"CECILSHORTS","Cecil Shorts","WR","JAC",121.55,-25.5791276583879,0,23.4,13.1151312104251,3.79424057149088,4.1,5,1,1
"CEDRICPEERMAN","Cedric Peerman","RB","CIN",10.34375,-113.770725214065,0,NA,0.68571738590569,1.87072463127465,1,1,1,1
"CHADHENNE","Chad Henne","QB","JAC",31.805,-109.942601193478,0,81.9,22.0131481543796,6.57210204061004,1,1,1,1
"CHADREMPEL","Chad Rempel","TE","CHI",0,-120.595988484516,NA,NA,NA,NA,1,1,1,1
"CHADYOUNG","Chad Young","RB","NYJ",0,-124.114475214065,NA,NA,NA,NA,1,1,1,1
"CHANDLERCATANZARO","Chandler Catanzaro","K","ARZ",0,NA,NA,54.3,NA,7.42283193276671,1,1,1,1
"CHANDLERHARNISH","Chandler Harnish","QB","MIN",0,-141.747601193478,NA,NA,NA,NA,1,1,1,1
"CHARLESCLAY","Charles Clay","TE","MIA",111.037413130912,-9.55857535360363,0,18.5,4.65619546947935,2.86166503745968,3.05,4,1,1
"CHARLESJOHNSON","Charles Johnson","WR","CLE",31.225,-115.904127658388,0,69,22.4859956417322,6.9095582455485,1,1,1,1
